Date, Open, High, Low, Close, Volume
17-May-13,18.20,18.28,18.20,18.23,10418
16-May-13,18.15,18.25,18.15,18.20,28240
15-May-13,18.30,18.30,18.20,18.20,13589
14-May-13,18.35,18.37,18.25,18.30,21357
13-May-13,18.25,18.38,18.25,18.35,17401
10-May-13,18.36,18.40,18.27,18.30,40802
9-May-13,18.32,18.40,18.31,18.39,12557
8-May-13,18.39,18.46,18.36,18.37,6573
7-May-13,18.39,18.41,18.30,18.34,26368
6-May-13,18.44,18.45,18.38,18.40,35185
3-May-13,18.45,18.45,18.38,18.44,12633
2-May-13,18.44,18.48,18.39,18.44,11745
1-May-13,18.42,18.46,18.36,18.44,10243
30-Apr-13,18.43,18.45,18.36,18.36,10809
29-Apr-13,18.53,18.53,18.45,18.46,12266
26-Apr-13,18.50,18.55,18.45,18.49,8655
25-Apr-13,18.44,18.49,18.38,18.49,16441
24-Apr-13,18.40,18.49,18.40,18.44,10055
23-Apr-13,18.31,18.48,18.31,18.40,6042
22-Apr-13,18.31,18.41,18.30,18.31,13857
19-Apr-13,18.38,18.38,18.35,18.37,11415
18-Apr-13,18.39,18.42,18.37,18.39,7648
17-Apr-13,18.46,18.58,18.40,18.40,10992
16-Apr-13,18.59,18.59,18.50,18.54,12155
15-Apr-13,18.55,18.60,18.55,18.55,8283
12-Apr-13,18.54,18.58,18.54,18.57,7337
11-Apr-13,18.55,18.75,18.55,18.55,18854
10-Apr-13,18.69,18.69,18.47,18.57,6717
9-Apr-13,18.74,18.74,18.65,18.69,11587
8-Apr-13,18.65,18.74,18.65,18.74,7741
5-Apr-13,18.60,18.71,18.52,18.70,7080
4-Apr-13,18.59,18.61,18.47,18.49,18423
3-Apr-13,18.49,18.80,18.45,18.60,39645
2-Apr-13,18.43,18.51,18.40,18.45,9267
1-Apr-13,18.54,18.56,18.41,18.42,15043
28-Mar-13,18.46,18.52,18.42,18.46,17459
27-Mar-13,18.44,18.44,18.39,18.40,13310
26-Mar-13,18.37,18.45,18.35,18.38,12494
25-Mar-13,18.39,18.45,18.33,18.35,9225
22-Mar-13,18.43,18.49,18.39,18.39,8861
21-Mar-13,18.51,18.51,18.39,18.39,14010
20-Mar-13,18.32,18.47,18.32,18.42,6680
19-Mar-13,18.33,18.44,18.33,18.35,9459
18-Mar-13,18.29,18.37,18.29,18.36,12484
15-Mar-13,18.28,18.32,18.22,18.30,16193
14-Mar-13,18.26,18.29,18.26,18.28,11967
13-Mar-13,18.35,18.35,18.25,18.26,21918
12-Mar-13,18.35,18.43,18.35,18.35,6894
11-Mar-13,18.35,18.42,18.33,18.35,19311
8-Mar-13,18.40,18.41,18.36,18.36,13093
7-Mar-13,18.40,18.50,18.40,18.41,9399
6-Mar-13,18.42,18.48,18.42,18.43,12340
5-Mar-13,18.42,18.54,18.42,18.50,5970
4-Mar-13,18.41,18.43,18.38,18.42,22753
1-Mar-13,18.39,18.45,18.39,18.40,12684
28-Feb-13,18.40,18.49,18.40,18.45,26648
27-Feb-13,18.36,18.42,18.36,18.41,16603
26-Feb-13,18.39,18.44,18.37,18.38,8846
25-Feb-13,18.38,18.45,18.38,18.40,15014
22-Feb-13,18.44,18.44,18.35,18.41,11769
21-Feb-13,18.47,18.49,18.35,18.35,10823
20-Feb-13,18.38,18.41,18.37,18.38,16912
19-Feb-13,18.38,18.41,18.35,18.40,13084
15-Feb-13,18.31,18.40,18.31,18.39,6696
14-Feb-13,18.37,18.46,18.36,18.38,16586
13-Feb-13,18.55,18.55,18.45,18.47,10927
12-Feb-13,18.46,18.53,18.46,18.51,12308
11-Feb-13,18.48,18.49,18.46,18.46,18711
8-Feb-13,18.49,18.53,18.48,18.48,10477
7-Feb-13,18.50,18.55,18.49,18.49,8855
6-Feb-13,18.53,18.58,18.50,18.50,20181
5-Feb-13,18.51,18.57,18.50,18.50,11592
4-Feb-13,18.56,18.59,18.55,18.55,7750
1-Feb-13,18.61,18.64,18.56,18.57,15757
31-Jan-13,18.57,18.58,18.54,18.56,13751
30-Jan-13,18.54,18.59,18.53,18.54,10568
29-Jan-13,18.66,18.66,18.52,18.56,11121
28-Jan-13,18.66,18.66,18.55,18.61,14535
25-Jan-13,18.74,18.74,18.66,18.70,21359
24-Jan-13,18.65,18.78,18.64,18.72,13484
23-Jan-13,18.76,18.78,18.68,18.69,20803
22-Jan-13,18.57,18.75,18.57,18.69,24745
18-Jan-13,18.63,18.69,18.60,18.62,18326
17-Jan-13,18.66,18.66,18.60,18.62,9429
16-Jan-13,18.66,18.75,18.60,18.65,10643
15-Jan-13,18.78,18.80,18.60,18.75,17794
14-Jan-13,18.65,19.12,18.62,18.72,27942
11-Jan-13,18.64,18.66,18.62,18.63,12838
10-Jan-13,18.48,18.66,18.48,18.62,18127
9-Jan-13,18.67,18.67,18.60,18.60,8335
8-Jan-13,18.57,18.66,18.55,18.60,13787
7-Jan-13,18.70,18.70,18.51,18.59,19107
4-Jan-13,18.64,18.74,18.54,18.68,23975
3-Jan-13,18.78,18.78,18.57,18.60,12930
2-Jan-13,18.85,18.87,18.68,18.73,12708
31-Dec-12,18.88,18.88,18.78,18.79,14716
28-Dec-12,18.94,18.98,18.68,18.98,12729
27-Dec-12,18.69,18.74,18.57,18.74,8440
26-Dec-12,18.49,18.61,18.49,18.56,10481
24-Dec-12,18.81,18.81,18.52,18.54,10082
21-Dec-12,18.75,18.92,18.64,18.67,11542
20-Dec-12,18.69,18.75,18.62,18.70,16623
19-Dec-12,18.71,18.71,18.61,18.63,16123
