Date, Open, High, Low, Close, Volume
17-May-13,27.61,27.68,26.95,27.27,512666
16-May-13,26.42,27.98,25.89,27.67,1064748
15-May-13,25.60,25.88,25.35,25.56,491997
14-May-13,25.00,25.65,25.00,25.61,350599
13-May-13,25.51,25.80,24.76,24.93,564483
10-May-13,25.00,25.52,24.96,25.48,199208
9-May-13,26.10,26.10,24.92,25.04,226027
8-May-13,25.48,25.93,24.36,25.82,451646
7-May-13,25.98,25.98,25.40,25.51,282732
6-May-13,25.41,25.90,25.41,25.86,193340
3-May-13,25.21,25.52,24.96,25.41,293000
2-May-13,25.10,25.31,24.78,24.98,328297
1-May-13,25.08,25.28,24.89,25.08,313505
30-Apr-13,25.01,25.06,24.59,25.03,403315
29-Apr-13,24.39,25.07,24.39,24.97,281106
26-Apr-13,24.51,24.70,24.37,24.38,186002
25-Apr-13,23.50,24.60,23.50,24.49,543753
24-Apr-13,23.87,23.97,23.31,23.38,483537
23-Apr-13,23.50,23.93,23.42,23.90,291241
22-Apr-13,23.48,23.61,23.15,23.39,176212
19-Apr-13,23.40,23.60,23.32,23.47,151998
18-Apr-13,23.63,23.73,23.32,23.37,283756
17-Apr-13,23.89,23.93,23.56,23.66,553178
16-Apr-13,23.86,24.55,23.57,24.07,308692
15-Apr-13,24.15,24.23,23.64,23.64,274568
12-Apr-13,24.40,24.48,24.13,24.35,171463
11-Apr-13,24.15,24.70,24.15,24.50,425628
10-Apr-13,23.67,24.50,23.67,24.20,285311
9-Apr-13,23.71,23.90,23.39,23.65,205177
8-Apr-13,23.53,23.67,22.84,23.66,373773
5-Apr-13,23.16,23.26,22.60,22.73,644834
4-Apr-13,23.44,23.67,23.25,23.33,189197
3-Apr-13,24.11,24.17,23.21,23.39,302343
2-Apr-13,24.26,24.33,23.89,24.15,197653
1-Apr-13,24.22,24.43,24.01,24.17,180547
28-Mar-13,24.13,24.33,23.98,24.22,206942
27-Mar-13,24.44,24.46,24.00,24.07,309655
26-Mar-13,24.25,24.67,23.91,24.55,485974
25-Mar-13,24.78,24.95,24.16,24.20,380270
22-Mar-13,24.92,25.12,24.75,24.78,145246
21-Mar-13,25.05,25.11,24.74,24.76,146347
20-Mar-13,24.46,25.42,24.40,25.10,409554
19-Mar-13,25.02,25.14,24.24,24.30,524959
18-Mar-13,25.31,25.57,24.85,24.95,423315
15-Mar-13,25.74,26.00,25.50,25.61,239825
14-Mar-13,25.76,26.00,25.67,25.92,271881
13-Mar-13,25.81,25.89,25.61,25.67,374316
12-Mar-13,26.23,26.23,25.77,25.84,344303
11-Mar-13,26.01,26.63,26.01,26.28,558972
8-Mar-13,25.87,26.13,25.70,26.04,278196
7-Mar-13,25.93,26.02,25.65,25.86,299062
6-Mar-13,26.20,26.40,25.84,25.86,647447
5-Mar-13,25.30,26.40,25.05,26.19,959893
4-Mar-13,24.36,25.05,24.22,25.01,454522
1-Mar-13,24.53,24.64,23.92,24.38,657534
28-Feb-13,24.37,24.96,24.35,24.73,450748
27-Feb-13,22.66,24.24,22.57,24.04,824054
26-Feb-13,22.72,23.18,22.38,22.60,1084218
25-Feb-13,22.81,23.00,22.59,22.61,660570
22-Feb-13,23.00,23.00,22.40,22.81,412500
21-Feb-13,23.32,23.50,22.78,22.96,359435
20-Feb-13,24.20,24.20,23.32,23.41,376742
19-Feb-13,24.64,24.66,24.08,24.18,360877
15-Feb-13,23.85,24.66,23.85,24.62,501582
14-Feb-13,23.00,24.13,22.58,23.85,962810
13-Feb-13,22.86,23.33,22.70,22.99,584784
12-Feb-13,22.75,23.07,22.21,22.86,564912
11-Feb-13,22.77,22.80,22.44,22.56,322822
8-Feb-13,23.09,23.13,22.57,22.81,488721
7-Feb-13,23.62,23.62,22.69,22.98,330421
6-Feb-13,23.64,23.84,23.53,23.67,221803
5-Feb-13,23.61,23.71,23.30,23.61,241363
4-Feb-13,23.44,23.71,23.08,23.45,467760
1-Feb-13,23.14,23.56,22.92,23.47,438965
31-Jan-13,22.77,23.35,22.62,22.99,393008
30-Jan-13,22.72,22.77,22.17,22.72,654005
29-Jan-13,23.22,23.32,21.90,22.86,1422129
28-Jan-13,23.69,23.75,23.07,23.63,626262
25-Jan-13,23.84,24.05,23.58,23.64,311300
24-Jan-13,23.46,24.07,23.36,23.79,233735
23-Jan-13,23.86,23.86,23.17,23.45,388856
22-Jan-13,23.95,23.95,23.65,23.75,375497
18-Jan-13,23.58,24.11,23.53,23.87,440953
17-Jan-13,23.52,23.63,23.38,23.63,299680
16-Jan-13,23.37,23.67,23.20,23.41,177122
15-Jan-13,23.35,23.46,23.01,23.44,232700
14-Jan-13,23.39,23.52,22.94,23.39,380152
11-Jan-13,23.34,24.00,23.34,23.50,248651
10-Jan-13,23.88,23.94,23.11,23.44,576393
9-Jan-13,24.41,24.52,23.70,23.71,475441
8-Jan-13,24.99,25.02,23.73,24.03,1336452
7-Jan-13,24.42,24.99,24.33,24.97,420536
4-Jan-13,24.24,24.40,24.03,24.38,249783
3-Jan-13,24.21,24.39,23.92,24.18,346360
2-Jan-13,24.00,24.96,24.00,24.29,670316
31-Dec-12,23.51,23.78,23.46,23.76,279696
28-Dec-12,23.38,23.90,23.32,23.58,319466
27-Dec-12,23.50,23.60,23.22,23.51,262938
26-Dec-12,23.30,23.71,23.20,23.55,329633
24-Dec-12,23.08,23.59,23.08,23.20,106424
21-Dec-12,22.92,23.24,22.80,23.14,396884
20-Dec-12,23.00,23.25,22.84,23.13,316928
19-Dec-12,23.27,23.60,23.06,23.31,293791
18-Dec-12,22.52,23.29,22.37,23.23,690749
17-Dec-12,22.76,22.76,22.41,22.48,173796
14-Dec-12,21.99,22.75,21.94,22.73,746075
13-Dec-12,21.91,22.29,21.69,22.07,254838
12-Dec-12,22.18,22.77,22.03,22.60,326055
11-Dec-12,21.99,22.19,21.53,22.08,238415
10-Dec-12,21.86,22.03,21.59,21.89,132811
7-Dec-12,21.64,22.00,21.61,21.89,180114
6-Dec-12,21.24,21.77,20.90,21.72,270415
5-Dec-12,21.63,21.76,21.17,21.35,154374
4-Dec-12,21.59,21.68,21.39,21.57,104209
3-Dec-12,21.74,21.96,21.53,21.62,213444
30-Nov-12,21.65,21.73,21.46,21.71,196815
29-Nov-12,21.41,21.83,21.41,21.67,486506
28-Nov-12,21.11,21.38,20.99,21.28,181508
27-Nov-12,21.35,21.55,21.17,21.18,246370
26-Nov-12,20.83,21.35,20.83,21.32,363552
23-Nov-12,20.46,21.00,20.46,20.81,233756
21-Nov-12,20.56,20.73,20.36,20.39,621349
20-Nov-12,20.72,20.75,20.35,20.50,250220
19-Nov-12,21.00,21.09,20.68,20.68,406261
16-Nov-12,20.33,20.98,20.21,20.97,407738
15-Nov-12,20.24,20.35,19.61,20.26,399694
14-Nov-12,20.89,20.99,20.25,20.31,205539
13-Nov-12,20.91,21.13,20.76,20.79,526824
12-Nov-12,21.82,22.00,20.59,21.13,611968
9-Nov-12,22.32,22.32,21.75,21.86,569433
8-Nov-12,21.55,22.85,21.55,22.02,1097876
7-Nov-12,21.67,21.74,21.01,21.19,542143
6-Nov-12,21.92,21.99,21.52,21.82,726217
5-Nov-12,22.50,22.57,21.85,21.88,871346
2-Nov-12,21.79,22.72,21.76,22.49,1161881
1-Nov-12,21.44,22.02,21.06,21.62,1160844
31-Oct-12,21.15,21.40,20.75,21.37,300191
26-Oct-12,21.36,21.44,20.86,21.06,326472
25-Oct-12,22.03,22.49,21.09,21.37,747272
24-Oct-12,22.43,22.43,21.87,21.88,143501
23-Oct-12,21.98,22.46,21.50,22.26,385538
22-Oct-12,21.67,22.32,21.24,22.27,332399
19-Oct-12,22.25,22.42,21.60,21.90,362658
18-Oct-12,22.64,22.75,22.18,22.26,219881
17-Oct-12,22.89,23.18,22.50,22.69,371291
16-Oct-12,22.75,22.85,22.30,22.79,535947
15-Oct-12,22.65,22.88,22.40,22.66,184450
12-Oct-12,22.63,22.70,22.35,22.65,289703
11-Oct-12,22.69,22.97,22.54,22.67,343427
10-Oct-12,22.70,22.98,22.53,22.55,402727
9-Oct-12,22.59,22.76,22.10,22.71,456012
8-Oct-12,22.90,23.07,22.64,22.64,112465
5-Oct-12,23.13,23.22,22.92,23.08,217314
4-Oct-12,23.19,23.71,22.87,23.00,801622
3-Oct-12,22.70,23.05,22.59,22.96,390877
2-Oct-12,22.70,22.83,22.40,22.43,390785
1-Oct-12,22.80,22.95,22.37,22.64,463326
28-Sep-12,22.45,22.90,22.45,22.72,380411
27-Sep-12,22.42,22.95,22.42,22.61,570074
26-Sep-12,22.17,22.35,21.93,22.29,580968
25-Sep-12,22.21,23.06,22.21,22.37,2084004
24-Sep-12,22.16,22.41,21.86,22.12,563180
21-Sep-12,21.59,22.44,21.51,22.15,1285976
20-Sep-12,21.16,21.89,21.14,21.44,1217341
19-Sep-12,21.44,21.50,21.12,21.36,455844
18-Sep-12,20.33,21.50,20.25,21.41,823023
17-Sep-12,20.21,20.82,20.14,20.50,880247
14-Sep-12,20.09,20.25,19.91,20.17,1282965
13-Sep-12,19.46,20.25,19.30,19.99,970647
12-Sep-12,19.59,19.59,19.09,19.35,465723
11-Sep-12,19.64,19.64,18.92,19.27,691916
10-Sep-12,19.69,19.69,19.28,19.45,664326
7-Sep-12,19.80,20.00,19.74,19.94,234134
6-Sep-12,19.38,19.80,19.33,19.79,325490
5-Sep-12,19.37,19.40,19.19,19.30,163004
4-Sep-12,18.88,19.40,18.88,19.40,462796
31-Aug-12,19.23,19.29,19.08,19.09,400123
30-Aug-12,19.12,19.32,19.03,19.12,319309
29-Aug-12,19.21,19.40,18.85,19.15,526832
28-Aug-12,19.18,19.46,19.09,19.18,353856
27-Aug-12,19.16,19.35,19.05,19.17,385272
24-Aug-12,19.11,19.36,18.71,19.10,863874
23-Aug-12,19.20,19.26,18.92,19.11,483099
22-Aug-12,19.21,19.33,19.11,19.25,347593
21-Aug-12,19.27,19.44,19.13,19.29,260128
20-Aug-12,19.39,19.41,19.12,19.24,197150
17-Aug-12,20.00,20.19,19.39,19.45,261257
16-Aug-12,19.07,20.27,18.79,19.89,597113
15-Aug-12,19.50,19.50,19.12,19.17,233382
14-Aug-12,19.30,19.40,19.10,19.22,498355
13-Aug-12,18.85,19.16,18.52,19.15,206507
10-Aug-12,18.92,19.24,18.89,18.91,325734
9-Aug-12,19.05,19.52,18.72,19.00,340913
8-Aug-12,18.90,19.73,18.62,19.03,757256
7-Aug-12,19.44,19.48,19.19,19.39,228589
6-Aug-12,18.82,19.75,18.68,19.25,321463
3-Aug-12,18.81,19.01,18.55,18.70,122330
2-Aug-12,18.81,19.10,18.30,18.50,173784
1-Aug-12,19.30,19.39,18.79,18.99,137246
31-Jul-12,19.08,19.44,19.08,19.25,146296
30-Jul-12,19.34,19.47,18.78,19.06,122880
27-Jul-12,19.00,19.44,18.90,19.35,443353
26-Jul-12,18.00,19.04,17.91,18.88,498848
25-Jul-12,17.57,17.92,17.42,17.88,100627
24-Jul-12,17.99,18.00,17.41,17.56,118348
23-Jul-12,18.30,18.30,17.79,17.99,75103
20-Jul-12,18.74,18.75,18.41,18.56,155232
19-Jul-12,18.01,18.96,17.84,18.79,590279
18-Jul-12,18.20,18.56,17.76,17.84,248696
17-Jul-12,17.62,18.00,17.45,18.00,82792
16-Jul-12,17.64,17.72,17.49,17.49,112140
13-Jul-12,17.65,17.80,17.39,17.62,148833
12-Jul-12,17.50,17.68,17.34,17.57,153992
11-Jul-12,18.05,18.38,17.58,17.59,185259
10-Jul-12,18.30,18.76,17.71,17.78,87568
9-Jul-12,18.27,18.27,17.80,17.90,181745
6-Jul-12,18.69,18.78,18.10,18.32,103970
5-Jul-12,18.71,19.00,18.61,18.86,203530
3-Jul-12,18.32,18.75,18.30,18.75,81331
2-Jul-12,18.09,18.42,17.97,18.32,113171
29-Jun-12,17.93,18.35,17.93,18.11,227030
28-Jun-12,17.93,18.05,17.32,17.54,224211
27-Jun-12,17.29,18.02,17.29,18.01,464849
26-Jun-12,17.14,17.34,17.06,17.29,315670
25-Jun-12,17.11,17.38,17.11,17.14,215912
22-Jun-12,17.24,17.37,17.14,17.28,320339
21-Jun-12,17.35,17.35,17.01,17.20,516785
20-Jun-12,17.11,17.36,16.98,17.35,328516
19-Jun-12,17.32,17.65,17.11,17.18,411315
18-Jun-12,16.47,17.34,16.26,17.17,348415
15-Jun-12,15.86,16.68,15.70,16.58,339677
14-Jun-12,15.79,16.16,15.70,15.82,430161
13-Jun-12,16.00,16.10,15.66,15.91,265776
12-Jun-12,16.49,16.62,15.91,16.00,321613
11-Jun-12,16.60,16.76,16.24,16.47,262605
8-Jun-12,16.72,16.72,16.09,16.54,217322
7-Jun-12,16.06,16.90,16.02,16.79,368290
6-Jun-12,16.06,16.35,15.87,16.06,320552
5-Jun-12,15.90,16.18,15.79,15.89,287042
4-Jun-12,16.06,16.23,15.48,15.90,375288
