Date, Open, High, Low, Close, Volume
17-May-13,6.24,6.34,6.24,6.28,874301
16-May-13,6.25,6.30,6.18,6.18,784173
15-May-13,6.29,6.34,6.23,6.24,551493
14-May-13,6.28,6.40,6.27,6.34,544455
13-May-13,6.31,6.40,6.25,6.30,465831
10-May-13,6.29,6.37,6.27,6.35,449468
9-May-13,6.38,6.40,6.28,6.30,1111048
8-May-13,6.21,6.48,6.14,6.38,1215095
7-May-13,6.00,6.04,5.86,5.98,1395744
6-May-13,5.84,5.97,5.84,5.94,2270971
3-May-13,5.84,6.05,5.75,5.84,1148250
2-May-13,5.74,5.87,5.68,5.76,1549815
1-May-13,6.19,6.19,5.55,5.58,2147388
30-Apr-13,6.23,6.30,6.19,6.24,1875993
29-Apr-13,6.33,6.34,6.22,6.24,584121
26-Apr-13,6.29,6.32,6.12,6.28,470578
25-Apr-13,6.39,6.44,6.28,6.29,821759
24-Apr-13,6.28,6.45,6.28,6.36,579306
23-Apr-13,6.18,6.33,6.08,6.25,551198
22-Apr-13,6.10,6.15,5.94,6.13,498687
19-Apr-13,6.09,6.09,5.83,6.07,620473
18-Apr-13,6.06,6.14,5.98,6.05,646089
17-Apr-13,6.12,6.14,5.95,6.05,752240
16-Apr-13,6.23,6.31,6.04,6.19,793465
15-Apr-13,6.64,6.64,6.07,6.11,1136372
12-Apr-13,6.76,6.77,6.60,6.72,349011
11-Apr-13,6.85,6.88,6.74,6.80,329666
10-Apr-13,6.67,6.90,6.64,6.88,501976
9-Apr-13,6.66,6.74,6.56,6.63,656800
8-Apr-13,6.64,6.73,6.53,6.64,496962
5-Apr-13,6.36,6.66,6.31,6.65,770129
4-Apr-13,6.46,6.57,6.37,6.49,721094
3-Apr-13,6.56,6.62,6.33,6.44,881049
2-Apr-13,6.73,6.76,6.55,6.57,601033
1-Apr-13,6.80,6.82,6.53,6.68,772855
28-Mar-13,6.86,6.88,6.72,6.81,553061
27-Mar-13,6.82,6.88,6.71,6.83,381429
26-Mar-13,6.93,6.93,6.76,6.89,458610
25-Mar-13,7.00,7.00,6.85,6.89,463573
22-Mar-13,6.99,7.02,6.91,6.95,424148
21-Mar-13,6.92,7.10,6.92,6.98,528035
20-Mar-13,7.07,7.18,6.93,7.00,793198
19-Mar-13,7.10,7.16,6.97,7.00,1346540
18-Mar-13,7.05,7.19,6.91,7.09,1107447
15-Mar-13,7.14,7.25,7.14,7.20,1662560
14-Mar-13,7.05,7.17,7.03,7.11,1017521
13-Mar-13,7.03,7.05,6.97,7.01,537891
12-Mar-13,6.96,7.03,6.91,7.00,930336
11-Mar-13,6.91,6.98,6.85,6.95,523623
8-Mar-13,6.85,6.97,6.78,6.93,823002
7-Mar-13,6.79,6.85,6.77,6.79,640088
6-Mar-13,6.70,6.84,6.66,6.79,705853
5-Mar-13,6.65,6.75,6.60,6.65,950144
4-Mar-13,6.60,6.65,6.48,6.59,746846
1-Mar-13,6.58,6.68,6.45,6.65,1488840
28-Feb-13,6.62,6.68,6.55,6.64,847710
27-Feb-13,6.32,6.64,6.31,6.61,1116218
26-Feb-13,6.44,6.46,6.23,6.39,1249896
25-Feb-13,6.70,6.75,6.34,6.36,2025686
22-Feb-13,6.71,6.84,6.59,6.63,1511915
21-Feb-13,7.13,7.14,6.60,6.67,2275890
20-Feb-13,7.17,7.20,7.10,7.12,1103548
19-Feb-13,7.30,7.35,7.15,7.18,1980677
15-Feb-13,7.43,7.49,7.28,7.30,1210351
14-Feb-13,7.55,7.70,7.38,7.43,2592042
13-Feb-13,7.25,7.30,7.18,7.30,898061
12-Feb-13,7.21,7.31,7.17,7.21,901634
11-Feb-13,7.38,7.38,7.19,7.19,552821
8-Feb-13,7.30,7.39,7.28,7.36,592635
7-Feb-13,7.23,7.38,7.10,7.31,873453
6-Feb-13,7.09,7.24,7.08,7.23,434720
5-Feb-13,7.03,7.23,6.98,7.17,697766
4-Feb-13,7.01,7.09,6.87,7.00,666527
1-Feb-13,6.85,7.13,6.78,7.10,1002866
31-Jan-13,6.79,6.84,6.71,6.80,778434
30-Jan-13,6.84,6.89,6.75,6.79,785906
29-Jan-13,6.88,6.90,6.80,6.88,626597
28-Jan-13,6.85,6.92,6.78,6.87,563281
25-Jan-13,6.79,6.95,6.68,6.87,1489782
24-Jan-13,6.74,6.83,6.69,6.73,785921
23-Jan-13,6.74,6.81,6.69,6.73,631237
22-Jan-13,6.78,6.82,6.66,6.75,803365
18-Jan-13,6.73,6.79,6.69,6.76,555089
17-Jan-13,6.72,6.78,6.67,6.73,412337
16-Jan-13,6.64,6.77,6.62,6.67,465296
15-Jan-13,6.55,6.68,6.50,6.66,520334
14-Jan-13,6.70,6.72,6.56,6.59,385996
11-Jan-13,6.86,6.86,6.62,6.70,628039
10-Jan-13,6.86,6.86,6.76,6.84,309826
9-Jan-13,6.80,6.88,6.73,6.80,576279
8-Jan-13,6.74,7.03,6.72,6.80,884228
7-Jan-13,6.71,6.75,6.60,6.72,614585
4-Jan-13,6.83,6.83,6.66,6.78,621151
3-Jan-13,6.66,6.83,6.62,6.68,512620
2-Jan-13,6.67,6.75,6.53,6.64,1674722
31-Dec-12,6.29,6.53,6.20,6.51,983376
28-Dec-12,6.25,6.36,6.20,6.22,596065
27-Dec-12,6.31,6.36,6.15,6.31,596999
26-Dec-12,6.36,6.40,6.27,6.28,387504
24-Dec-12,6.45,6.45,6.30,6.36,246372
21-Dec-12,6.33,6.55,6.33,6.45,1646113
20-Dec-12,6.43,6.55,6.36,6.49,650977
19-Dec-12,6.46,6.50,6.36,6.41,786594
18-Dec-12,6.13,6.44,6.11,6.43,998809
17-Dec-12,6.01,6.15,5.93,6.14,617997
14-Dec-12,6.01,6.10,5.95,5.96,973549
13-Dec-12,6.27,6.29,5.93,6.04,1064847
12-Dec-12,6.11,6.63,6.11,6.26,2501227
11-Dec-12,5.96,6.10,5.94,6.03,572365
10-Dec-12,5.91,5.99,5.85,5.92,481221
7-Dec-12,5.97,5.98,5.82,5.90,485833
6-Dec-12,5.90,5.94,5.80,5.93,374705
5-Dec-12,6.02,6.13,5.87,5.88,833398
4-Dec-12,6.21,6.33,6.02,6.04,880264
3-Dec-12,6.05,6.26,6.00,6.22,1058482
30-Nov-12,5.94,5.97,5.85,5.96,875051
29-Nov-12,5.88,6.00,5.82,5.90,644463
28-Nov-12,5.80,5.84,5.70,5.82,654928
27-Nov-12,5.87,5.99,5.83,5.85,608687
26-Nov-12,5.85,5.90,5.76,5.90,1015615
23-Nov-12,5.88,5.97,5.83,5.90,268431
21-Nov-12,5.94,5.94,5.79,5.83,647217
20-Nov-12,6.09,6.09,5.81,5.89,1195411
19-Nov-12,5.91,6.22,5.83,6.21,1244774
16-Nov-12,5.73,5.99,5.68,5.94,1586538
15-Nov-12,5.75,5.86,5.60,5.72,1029725
14-Nov-12,5.85,5.90,5.74,5.74,694289
13-Nov-12,5.74,5.93,5.61,5.80,1124704
12-Nov-12,5.84,5.95,5.81,5.88,846678
9-Nov-12,6.00,6.00,5.52,5.79,2811226
8-Nov-12,6.38,6.54,6.08,6.09,1064887
7-Nov-12,6.62,6.62,6.32,6.39,949819
6-Nov-12,6.62,6.84,6.59,6.75,614356
5-Nov-12,6.52,6.58,6.44,6.54,671145
2-Nov-12,6.60,6.66,6.50,6.54,687234
1-Nov-12,6.59,6.70,6.37,6.51,1095326
31-Oct-12,6.66,6.82,6.43,6.46,1067992
26-Oct-12,6.95,7.00,6.75,6.82,488511
25-Oct-12,6.84,6.96,6.77,6.92,1051004
24-Oct-12,6.84,6.86,6.58,6.74,685815
23-Oct-12,6.65,6.83,6.57,6.81,697196
22-Oct-12,6.95,6.98,6.70,6.78,695339
19-Oct-12,7.12,7.15,6.90,7.00,974282
18-Oct-12,6.91,7.32,6.88,7.19,1270232
17-Oct-12,6.74,6.92,6.70,6.92,628598
16-Oct-12,6.69,6.73,6.59,6.69,586042
15-Oct-12,6.68,6.70,6.55,6.58,719972
12-Oct-12,6.71,6.78,6.61,6.68,469459
11-Oct-12,6.71,6.83,6.67,6.72,437960
10-Oct-12,6.75,6.78,6.55,6.59,540763
9-Oct-12,6.87,6.95,6.73,6.75,612341
8-Oct-12,6.88,6.99,6.79,6.89,454670
5-Oct-12,7.09,7.22,6.93,6.94,710982
4-Oct-12,6.96,7.05,6.91,7.04,586369
3-Oct-12,6.99,7.01,6.84,6.90,815816
2-Oct-12,6.97,7.01,6.83,7.00,960937
1-Oct-12,6.98,6.98,6.75,6.91,1207153
28-Sep-12,6.93,7.03,6.91,6.94,642322
27-Sep-12,6.78,7.02,6.65,6.95,1100982
26-Sep-12,6.90,6.92,6.69,6.69,1022639
25-Sep-12,7.11,7.27,6.93,6.95,941830
24-Sep-12,7.01,7.20,7.00,7.03,924542
21-Sep-12,7.27,7.30,7.03,7.05,2300037
20-Sep-12,7.18,7.35,7.08,7.27,698313
19-Sep-12,7.42,7.42,7.21,7.28,560180
18-Sep-12,7.46,7.65,7.31,7.42,820583
17-Sep-12,7.65,7.65,7.37,7.46,985923
14-Sep-12,7.53,7.87,7.53,7.71,986261
13-Sep-12,7.30,7.63,7.26,7.47,957156
12-Sep-12,7.16,7.28,7.11,7.27,542826
11-Sep-12,7.18,7.30,7.08,7.10,833818
10-Sep-12,7.14,7.30,7.11,7.19,694618
7-Sep-12,7.13,7.19,7.05,7.16,733016
6-Sep-12,6.89,7.15,6.83,7.08,1000658
5-Sep-12,6.76,7.04,6.75,6.80,2745486
4-Sep-12,6.58,6.84,6.58,6.78,1432798
31-Aug-12,6.46,6.56,6.29,6.53,824957
30-Aug-12,6.53,6.53,6.36,6.38,452132
29-Aug-12,6.64,6.67,6.54,6.58,358279
28-Aug-12,6.56,6.69,6.53,6.65,468702
27-Aug-12,6.63,6.70,6.52,6.59,594757
24-Aug-12,6.55,6.63,6.50,6.62,1052845
23-Aug-12,6.70,6.71,6.56,6.56,784209
22-Aug-12,6.75,6.78,6.64,6.70,962564
21-Aug-12,6.89,6.98,6.75,6.78,885128
20-Aug-12,6.87,6.95,6.74,6.83,1277620
17-Aug-12,6.63,6.98,6.54,6.89,4363471
16-Aug-12,7.60,7.81,7.50,7.77,684500
15-Aug-12,7.55,7.61,7.52,7.59,455370
14-Aug-12,7.60,7.70,7.50,7.54,715022
13-Aug-12,7.55,7.63,7.40,7.51,1866686
10-Aug-12,7.48,7.62,7.45,7.55,802175
9-Aug-12,7.68,7.68,7.45,7.55,1047181
8-Aug-12,7.01,7.87,6.92,7.67,3326727
7-Aug-12,7.07,7.14,6.97,6.99,950071
6-Aug-12,6.88,7.07,6.81,6.98,777579
3-Aug-12,6.67,6.96,6.59,6.86,888643
2-Aug-12,6.54,6.69,6.38,6.48,861301
1-Aug-12,6.72,6.82,6.53,6.53,997476
31-Jul-12,6.79,7.02,6.61,6.65,885297
30-Jul-12,7.00,7.01,6.72,6.85,514865
27-Jul-12,6.60,7.03,6.48,6.96,1275806
26-Jul-12,6.53,6.60,6.42,6.53,613671
25-Jul-12,6.40,6.47,6.29,6.35,592078
24-Jul-12,6.62,6.62,6.22,6.30,895862
23-Jul-12,6.61,6.66,6.45,6.57,586741
20-Jul-12,6.93,6.98,6.73,6.86,1121002
19-Jul-12,7.02,7.10,6.97,7.01,737504
18-Jul-12,6.86,7.09,6.80,7.03,767200
17-Jul-12,6.77,6.93,6.62,6.88,954134
16-Jul-12,6.57,6.85,6.51,6.74,1093348
13-Jul-12,6.54,6.65,6.50,6.63,802666
