Date, Open, High, Low, Close, Volume
17-May-13,-,-,-,27.23,0
16-May-13,27.19,27.23,27.19,27.23,1060
15-May-13,27.25,27.41,26.98,27.02,5230
14-May-13,27.36,27.96,27.23,27.23,3000
13-May-13,-,-,-,27.50,0
9-May-13,-,-,-,27.50,0
8-May-13,27.50,27.50,27.50,27.50,1200
7-May-13,27.65,27.65,27.60,27.60,600
6-May-13,28.14,28.14,28.07,28.07,2600
3-May-13,28.09,28.09,28.09,28.09,100
2-May-13,27.79,28.43,27.79,28.43,5710
1-May-13,27.79,27.79,27.60,27.61,644
30-Apr-13,27.50,27.77,27.50,27.77,500
29-Apr-13,27.50,27.50,27.50,27.50,100
26-Apr-13,-,-,-,27.34,0
25-Apr-13,-,-,-,27.34,0
24-Apr-13,27.20,27.36,27.20,27.34,700
23-Apr-13,27.22,27.22,27.20,27.20,630
22-Apr-13,-,-,-,27.11,0
19-Apr-13,27.12,27.18,27.01,27.11,1000
18-Apr-13,-,-,-,27.33,0
17-Apr-13,26.97,27.33,26.97,27.33,300
16-Apr-13,26.97,26.97,26.97,26.97,365
15-Apr-13,26.99,27.50,26.99,27.50,2388
11-Apr-13,27.25,27.25,26.91,26.91,1000
10-Apr-13,-,-,-,27.09,0
9-Apr-13,-,-,-,27.09,0
8-Apr-13,27.07,27.09,26.90,27.09,4122
5-Apr-13,27.10,27.11,27.10,27.11,5857
4-Apr-13,27.10,27.10,27.10,27.10,466
2-Apr-13,27.02,27.02,27.02,27.02,200
1-Apr-13,27.00,27.00,27.00,27.00,340
27-Mar-13,27.10,27.10,26.90,27.10,1503
26-Mar-13,27.00,27.00,27.00,27.00,399
25-Mar-13,27.01,27.01,27.00,27.00,300
21-Mar-13,26.89,26.89,26.89,26.89,100
20-Mar-13,27.00,27.10,27.00,27.10,500
19-Mar-13,26.82,26.82,26.82,26.82,1000
18-Mar-13,27.00,27.00,27.00,27.00,400
14-Mar-13,27.00,27.00,26.99,26.99,1335
13-Mar-13,27.00,27.00,27.00,27.00,948
12-Mar-13,27.00,27.00,26.76,27.00,1176
11-Mar-13,26.76,27.00,26.76,27.00,1128
8-Mar-13,27.00,27.00,26.71,27.00,2720
7-Mar-13,26.83,27.00,26.80,27.00,3584
6-Mar-13,26.99,27.00,26.98,27.00,4700
5-Mar-13,26.90,26.90,26.82,26.82,1898
4-Mar-13,27.00,27.00,27.00,27.00,3030
1-Mar-13,27.32,27.32,27.32,27.32,200
26-Feb-13,27.27,27.29,27.27,27.29,900
25-Feb-13,27.00,27.01,27.00,27.01,1200
22-Feb-13,27.05,27.07,27.05,27.05,1580
21-Feb-13,27.00,27.00,27.00,27.00,500
20-Feb-13,27.04,27.05,26.75,26.80,3590
19-Feb-13,27.00,27.00,27.00,27.00,617
15-Feb-13,27.12,27.12,27.00,27.00,771
14-Feb-13,-,-,-,27.13,0
13-Feb-13,26.85,27.13,26.85,27.13,1800
12-Feb-13,26.89,27.00,26.89,27.00,1200
8-Feb-13,27.00,27.00,26.99,26.99,4100
7-Feb-13,-,-,-,26.90,0
6-Feb-13,-,-,-,26.90,0
5-Feb-13,27.10,27.14,26.90,26.90,1989
4-Feb-13,27.10,27.10,26.87,26.88,1400
1-Feb-13,27.05,27.16,27.00,27.07,8512
31-Jan-13,27.06,27.06,27.06,27.06,0
30-Jan-13,27.06,27.06,27.06,27.06,0
29-Jan-13,27.33,27.33,27.00,27.00,15569
28-Jan-13,27.30,27.30,27.30,27.30,0
25-Jan-13,27.49,27.77,27.22,27.50,5540
24-Jan-13,27.52,27.52,27.52,27.52,200
23-Jan-13,27.74,27.80,27.74,27.80,200
22-Jan-13,27.30,28.04,27.30,27.77,1400
