Date, Open, High, Low, Close, Volume
17-May-13,14.73,14.80,14.59,14.78,3727432
16-May-13,14.89,14.98,14.64,14.70,2704611
15-May-13,14.90,14.93,14.78,14.90,4528937
14-May-13,14.89,14.99,14.83,14.94,2998357
13-May-13,14.86,14.91,14.74,14.86,2889333
10-May-13,14.76,14.90,14.74,14.88,4186720
9-May-13,14.49,14.76,14.46,14.75,4682395
8-May-13,14.43,14.54,14.39,14.49,4761729
7-May-13,14.18,14.47,14.17,14.47,5010405
6-May-13,14.03,14.16,13.97,14.12,2241229
3-May-13,14.00,14.14,13.99,14.05,3012124
2-May-13,13.63,14.00,13.58,13.94,5385076
1-May-13,13.75,13.82,13.57,13.58,3516992
30-Apr-13,13.75,13.84,13.60,13.84,3781310
29-Apr-13,13.93,13.99,13.76,13.76,3896968
26-Apr-13,14.19,14.20,13.91,13.97,5493289
25-Apr-13,14.03,14.35,13.93,14.19,7823485
24-Apr-13,13.88,14.07,13.88,13.99,7831867
23-Apr-13,13.63,14.01,13.60,13.89,9008467
22-Apr-13,13.45,13.64,13.41,13.56,6859912
19-Apr-13,13.40,13.59,13.15,13.47,10787338
18-Apr-13,13.13,13.30,12.85,12.92,5897947
17-Apr-13,13.10,13.13,12.94,13.05,4847597
16-Apr-13,13.07,13.24,12.97,13.20,7757275
15-Apr-13,13.58,13.60,12.88,12.97,7942306
12-Apr-13,13.55,13.70,13.47,13.65,2697074
11-Apr-13,13.66,13.70,13.51,13.64,3629794
10-Apr-13,13.38,13.65,13.35,13.65,4910466
9-Apr-13,13.34,13.40,13.22,13.33,4270218
8-Apr-13,13.17,13.41,13.08,13.35,4831683
5-Apr-13,12.88,13.19,12.82,13.18,5069711
4-Apr-13,12.95,13.06,12.92,13.01,6796496
3-Apr-13,13.04,13.10,12.86,12.93,3916284
2-Apr-13,12.99,13.15,12.91,13.00,6831221
1-Apr-13,13.03,13.03,12.76,12.91,4755505
28-Mar-13,13.01,13.14,12.98,13.03,6535765
27-Mar-13,12.97,13.10,12.85,13.04,5572082
26-Mar-13,13.03,13.07,12.78,13.07,6282454
25-Mar-13,13.10,13.14,12.83,12.98,5658874
22-Mar-13,12.99,13.06,12.91,13.04,4934475
21-Mar-13,13.01,13.11,12.87,12.95,4710398
20-Mar-13,13.03,13.14,13.01,13.09,5525350
19-Mar-13,13.19,13.20,12.84,12.95,6529975
18-Mar-13,13.11,13.27,13.01,13.12,4004487
15-Mar-13,13.40,13.46,13.23,13.31,8110075
14-Mar-13,13.41,13.43,13.23,13.38,3389897
13-Mar-13,13.08,13.48,13.05,13.38,7182001
12-Mar-13,13.08,13.10,12.97,13.03,3934121
11-Mar-13,13.06,13.13,12.98,13.09,3015614
8-Mar-13,13.05,13.12,12.88,13.10,4776036
7-Mar-13,12.75,13.04,12.74,13.01,4965081
6-Mar-13,12.97,12.98,12.72,12.84,2888337
5-Mar-13,12.89,13.03,12.85,12.94,3580962
4-Mar-13,12.72,12.84,12.65,12.83,2590149
1-Mar-13,12.70,12.82,12.61,12.79,6112565
28-Feb-13,12.70,12.89,12.66,12.78,8179108
27-Feb-13,12.45,12.72,12.44,12.70,6277337
26-Feb-13,12.39,12.49,12.20,12.42,6271873
25-Feb-13,12.68,12.74,12.33,12.34,5286497
22-Feb-13,12.27,12.75,12.00,12.58,12743359
21-Feb-13,12.44,12.51,12.13,12.25,6352840
20-Feb-13,12.57,12.62,12.46,12.48,6186554
19-Feb-13,12.55,12.65,12.49,12.58,3576751
15-Feb-13,12.45,12.68,12.44,12.57,3814901
14-Feb-13,12.35,12.51,12.35,12.49,3183446
13-Feb-13,12.31,12.46,12.26,12.40,5201382
12-Feb-13,12.19,12.55,12.16,12.24,8674054
11-Feb-13,12.16,12.21,12.13,12.15,2651122
8-Feb-13,12.13,12.20,12.10,12.16,5695789
7-Feb-13,12.19,12.22,11.91,12.08,4430881
6-Feb-13,12.10,12.25,12.10,12.22,3844255
5-Feb-13,12.10,12.18,12.06,12.16,2972679
4-Feb-13,12.16,12.23,12.03,12.03,3637103
1-Feb-13,12.19,12.25,12.16,12.25,3827822
31-Jan-13,12.03,12.19,11.99,12.11,3553107
30-Jan-13,12.08,12.17,12.02,12.04,7575868
29-Jan-13,12.14,12.18,12.06,12.12,4712842
28-Jan-13,12.15,12.19,12.07,12.13,2641346
25-Jan-13,12.23,12.24,12.13,12.17,3181930
24-Jan-13,12.02,12.20,12.00,12.16,4813411
23-Jan-13,11.83,12.02,11.79,12.01,4961306
22-Jan-13,11.91,11.96,11.78,11.86,5448110
18-Jan-13,11.99,12.04,11.88,11.94,4679463
17-Jan-13,11.77,12.00,11.68,11.94,4689231
16-Jan-13,11.70,11.74,11.54,11.68,3318237
15-Jan-13,11.66,11.86,11.66,11.74,3775815
14-Jan-13,11.68,11.74,11.60,11.74,2964268
11-Jan-13,11.54,11.71,11.48,11.68,5238689
