Date, Open, High, Low, Close, Volume
17-May-13,19.20,20.16,19.20,19.42,41975
16-May-13,18.57,19.26,18.57,19.14,63403
15-May-13,18.67,18.82,18.50,18.69,47273
14-May-13,18.34,18.99,18.20,18.77,113850
13-May-13,18.36,18.39,18.09,18.19,50180
10-May-13,17.98,18.45,17.86,18.41,142423
9-May-13,17.75,18.29,17.75,17.85,191236
8-May-13,17.28,17.98,16.47,17.74,283020
7-May-13,17.57,17.65,17.25,17.50,89215
6-May-13,17.77,17.77,17.41,17.54,59526
3-May-13,17.51,17.99,17.30,17.72,63714
2-May-13,17.37,17.48,17.25,17.34,32543
1-May-13,17.44,17.51,17.07,17.23,68673
30-Apr-13,17.63,17.63,17.20,17.44,139244
29-Apr-13,17.60,17.81,17.51,17.57,29035
26-Apr-13,17.42,17.96,17.25,17.49,38510
25-Apr-13,16.80,17.40,16.80,17.38,161148
24-Apr-13,17.00,17.00,16.56,16.82,59439
23-Apr-13,16.64,16.97,16.44,16.80,54468
22-Apr-13,16.33,16.54,16.22,16.45,16835
19-Apr-13,15.95,16.70,15.87,16.34,79934
18-Apr-13,15.75,15.96,15.61,15.93,30663
17-Apr-13,15.83,15.84,15.53,15.72,25678
16-Apr-13,15.85,16.08,15.70,15.87,29861
15-Apr-13,15.91,16.07,15.52,15.70,62423
12-Apr-13,15.84,15.93,15.68,15.90,13562
11-Apr-13,15.72,15.99,15.64,15.88,69849
10-Apr-13,15.21,15.95,14.91,15.82,58646
9-Apr-13,14.88,15.48,14.86,15.25,43868
8-Apr-13,14.97,15.10,14.50,14.91,58703
5-Apr-13,14.99,15.00,14.44,14.96,34934
4-Apr-13,14.81,15.71,14.60,15.12,55645
3-Apr-13,15.10,15.12,14.62,14.75,50538
2-Apr-13,15.02,15.26,14.92,15.03,84919
1-Apr-13,14.64,15.27,14.64,14.94,68032
28-Mar-13,15.15,15.72,14.62,14.68,84579
27-Mar-13,15.02,15.31,14.89,15.10,61581
26-Mar-13,15.06,15.18,14.83,15.18,44271
25-Mar-13,15.02,15.41,14.87,15.06,80776
22-Mar-13,15.30,15.77,14.90,14.99,126979
21-Mar-13,16.03,16.03,14.80,14.88,159079
20-Mar-13,16.13,16.48,15.97,16.23,84396
19-Mar-13,16.44,16.81,16.08,16.13,38215
18-Mar-13,16.22,16.53,16.07,16.35,37997
15-Mar-13,15.93,16.76,15.64,16.32,107381
14-Mar-13,15.61,16.01,15.61,15.89,49311
13-Mar-13,15.41,16.38,15.41,15.60,48438
12-Mar-13,15.32,15.55,15.20,15.30,25671
11-Mar-13,15.21,15.54,15.14,15.27,24725
8-Mar-13,15.12,15.36,14.91,15.33,36524
7-Mar-13,15.36,15.63,14.79,14.99,52185
6-Mar-13,14.44,15.61,14.44,15.44,70561
5-Mar-13,14.27,14.45,14.09,14.37,41830
4-Mar-13,14.78,14.78,14.05,14.30,33819
1-Mar-13,14.01,15.24,13.98,14.76,66425
