Date, Open, High, Low, Close, Volume
17-May-13,20.06,20.16,20.02,20.07,139466
16-May-13,19.91,20.08,19.91,20.00,75776
15-May-13,19.98,20.23,19.90,20.12,88226
14-May-13,19.79,20.04,19.75,20.03,94293
13-May-13,19.64,19.85,19.49,19.82,75512
10-May-13,19.71,19.73,19.55,19.62,57426
9-May-13,19.99,19.99,19.70,19.73,71552
8-May-13,19.96,20.07,19.86,19.96,135821
7-May-13,19.82,20.00,19.80,20.00,251975
6-May-13,19.75,19.95,19.72,19.81,123784
3-May-13,19.79,19.85,19.71,19.76,94806
2-May-13,19.23,19.61,19.19,19.54,113941
1-May-13,19.67,19.70,19.20,19.20,232696
30-Apr-13,19.40,19.90,19.18,19.80,201747
29-Apr-13,19.30,19.42,19.25,19.36,87323
26-Apr-13,19.51,19.51,19.23,19.30,93574
25-Apr-13,19.46,19.73,19.46,19.52,99623
24-Apr-13,19.46,19.57,19.40,19.48,102160
23-Apr-13,19.23,19.52,19.20,19.51,239110
22-Apr-13,19.27,19.36,18.97,19.16,128856
19-Apr-13,18.90,19.29,18.89,19.25,151379
18-Apr-13,18.89,18.94,18.68,18.90,199750
17-Apr-13,19.07,19.10,18.78,18.90,203876
16-Apr-13,19.13,19.29,18.88,19.25,163008
15-Apr-13,19.13,19.24,18.88,18.95,247357
12-Apr-13,19.17,19.28,19.14,19.27,100371
11-Apr-13,19.19,19.31,19.14,19.30,94609
10-Apr-13,18.75,19.21,18.75,19.19,172782
9-Apr-13,18.88,18.88,18.72,18.75,141299
8-Apr-13,18.60,18.82,18.58,18.82,176150
5-Apr-13,18.31,18.63,18.18,18.60,138440
4-Apr-13,18.39,18.60,18.35,18.60,186855
3-Apr-13,18.60,18.60,18.37,18.41,150347
2-Apr-13,18.79,18.80,18.49,18.54,163750
1-Apr-13,18.78,18.83,18.57,18.68,179287
28-Mar-13,18.83,18.84,18.68,18.78,145717
27-Mar-13,18.63,18.78,18.50,18.75,151111
26-Mar-13,18.75,18.75,18.58,18.69,91822
25-Mar-13,18.52,18.68,18.40,18.63,134741
22-Mar-13,18.43,18.48,18.30,18.43,143940
21-Mar-13,18.10,18.44,18.00,18.40,189764
20-Mar-13,18.26,18.27,18.14,18.24,98775
19-Mar-13,18.06,18.28,18.04,18.12,140388
18-Mar-13,17.93,18.18,17.93,18.06,114885
15-Mar-13,18.05,18.20,17.96,18.15,344977
14-Mar-13,17.93,18.08,17.88,18.07,79815
13-Mar-13,17.74,17.96,17.72,17.93,83353
12-Mar-13,17.80,17.80,17.71,17.77,102044
11-Mar-13,17.90,17.96,17.78,17.85,67682
8-Mar-13,18.08,18.09,17.87,17.97,98220
7-Mar-13,17.93,18.05,17.89,17.96,125361
6-Mar-13,18.02,18.05,17.87,17.95,93922
5-Mar-13,18.03,18.23,17.89,17.98,123723
4-Mar-13,17.72,17.93,17.66,17.93,173485
1-Mar-13,17.49,17.87,17.42,17.77,202848
28-Feb-13,17.61,17.78,17.51,17.67,146000
27-Feb-13,17.68,17.82,17.55,17.65,137017
26-Feb-13,17.67,17.80,17.48,17.70,155534
25-Feb-13,18.02,18.05,17.55,17.57,157663
22-Feb-13,17.98,17.99,17.84,17.99,113900
21-Feb-13,18.09,18.24,17.82,17.86,116712
20-Feb-13,18.37,18.48,18.09,18.09,176668
19-Feb-13,18.22,18.40,18.22,18.40,264618
15-Feb-13,18.35,18.43,18.04,18.13,169069
14-Feb-13,18.31,18.37,18.19,18.24,161590
13-Feb-13,18.31,18.40,18.13,18.39,201417
12-Feb-13,18.36,18.38,18.18,18.31,80003
11-Feb-13,18.32,18.38,18.21,18.31,68731
8-Feb-13,18.26,18.38,18.22,18.30,81656
7-Feb-13,18.19,18.30,18.05,18.23,90494
6-Feb-13,18.15,18.28,18.05,18.27,295945
5-Feb-13,18.14,18.30,18.01,18.26,174687
