Date, Open, High, Low, Close, Volume
17-May-13,4.57,4.62,4.20,4.32,101284
16-May-13,4.47,4.66,4.47,4.50,90177
15-May-13,4.30,4.49,4.30,4.44,52315
14-May-13,4.20,4.38,4.19,4.33,58060
13-May-13,4.20,4.22,4.19,4.19,86909
10-May-13,4.16,4.24,4.15,4.21,96272
9-May-13,4.17,4.23,4.15,4.15,106895
8-May-13,4.22,4.24,4.17,4.19,93444
7-May-13,4.21,4.24,4.18,4.18,41655
6-May-13,4.20,4.24,4.20,4.20,18213
3-May-13,4.20,4.25,4.20,4.20,40806
2-May-13,4.28,4.35,4.16,4.21,110984
1-May-13,4.35,4.47,4.23,4.26,83469
30-Apr-13,4.28,4.42,4.28,4.33,113945
29-Apr-13,4.35,4.37,4.26,4.32,35045
26-Apr-13,4.31,4.41,4.23,4.30,12940
25-Apr-13,4.25,4.40,4.20,4.32,45526
24-Apr-13,4.45,4.52,4.15,4.25,820888
23-Apr-13,4.44,4.52,4.43,4.46,23491
22-Apr-13,4.43,4.63,4.43,4.45,274067
19-Apr-13,4.48,4.55,4.40,4.45,18149
18-Apr-13,4.55,4.61,4.43,4.43,5987
17-Apr-13,4.54,4.60,4.54,4.55,61035
16-Apr-13,4.58,4.61,4.51,4.55,59054
15-Apr-13,4.50,4.60,4.47,4.55,95289
12-Apr-13,4.67,4.67,4.46,4.51,9261
11-Apr-13,4.61,4.70,4.61,4.66,10831
10-Apr-13,4.39,4.65,4.39,4.60,42522
9-Apr-13,4.47,4.51,4.32,4.42,49212
8-Apr-13,4.60,4.60,4.40,4.42,49261
5-Apr-13,4.66,4.75,4.60,4.63,19220
4-Apr-13,4.81,4.83,4.64,4.64,34404
3-Apr-13,4.85,4.92,4.80,4.85,33339
2-Apr-13,4.88,4.96,4.80,4.83,23616
1-Apr-13,4.92,4.97,4.80,4.89,18729
28-Mar-13,5.03,5.03,4.79,4.89,16180
27-Mar-13,4.98,5.03,4.87,5.03,24371
26-Mar-13,4.85,5.09,4.70,5.03,33418
25-Mar-13,4.95,5.00,4.83,4.88,17130
22-Mar-13,4.70,4.94,4.65,4.93,52557
21-Mar-13,4.86,4.91,4.70,4.75,29013
20-Mar-13,4.84,4.98,4.81,4.86,18490
19-Mar-13,5.03,5.03,4.85,4.90,5170
18-Mar-13,4.99,5.12,4.71,5.05,39390
15-Mar-13,4.70,5.20,4.65,4.99,164618
14-Mar-13,4.72,4.83,4.60,4.65,23598
13-Mar-13,5.04,5.05,4.69,4.70,39118
12-Mar-13,5.22,5.25,5.00,5.04,87307
11-Mar-13,5.46,5.50,5.20,5.32,92293
8-Mar-13,5.63,5.63,4.50,5.50,231742
7-Mar-13,5.28,5.75,5.26,5.62,80127
6-Mar-13,5.11,5.29,5.01,5.29,43223
5-Mar-13,4.97,5.22,4.91,5.08,127787
4-Mar-13,4.89,5.02,4.86,4.94,14044
1-Mar-13,4.94,5.00,4.85,4.91,33122
28-Feb-13,5.00,5.11,4.93,4.99,50087
27-Feb-13,4.98,5.04,4.96,4.98,119669
26-Feb-13,4.94,5.04,4.85,5.00,6460
25-Feb-13,4.99,5.06,4.92,5.00,97500
22-Feb-13,5.06,5.06,4.91,5.00,23123
21-Feb-13,5.15,5.15,5.00,5.00,28142
20-Feb-13,5.10,5.25,5.10,5.14,25658
19-Feb-13,5.19,5.19,5.04,5.10,41194
15-Feb-13,5.23,5.23,5.12,5.14,11376
14-Feb-13,5.24,5.25,5.14,5.24,8527
13-Feb-13,5.10,5.27,5.10,5.26,53617
12-Feb-13,5.19,5.22,5.07,5.10,34937
11-Feb-13,5.28,5.30,5.11,5.24,39456
8-Feb-13,5.25,5.30,5.04,5.20,32507
7-Feb-13,5.44,5.44,5.16,5.22,42872
6-Feb-13,5.32,5.40,5.22,5.40,33724
5-Feb-13,5.27,5.42,5.08,5.35,102636
4-Feb-13,5.39,5.42,5.26,5.30,79021
1-Feb-13,5.30,5.44,5.25,5.40,34852
31-Jan-13,5.18,5.29,5.02,5.24,61389
30-Jan-13,5.11,5.30,5.01,5.11,82301
29-Jan-13,5.35,5.35,5.07,5.17,186042
28-Jan-13,5.45,5.45,4.81,5.28,186442
25-Jan-13,5.53,5.53,4.83,5.41,347454
24-Jan-13,5.63,6.08,5.30,5.42,475312
23-Jan-13,5.14,5.59,5.13,5.55,233625
22-Jan-13,4.70,5.34,4.68,5.08,367687
18-Jan-13,4.10,4.82,4.08,4.67,262646
17-Jan-13,4.05,4.16,4.05,4.11,48297
16-Jan-13,4.05,4.29,4.02,4.09,50515
15-Jan-13,3.99,4.14,3.99,4.06,112227
14-Jan-13,4.00,4.16,3.99,4.08,43630
11-Jan-13,4.04,4.20,4.02,4.10,52261
10-Jan-13,4.20,4.29,4.12,4.15,38652
9-Jan-13,4.10,4.31,4.10,4.28,24122
8-Jan-13,4.23,4.32,4.10,4.20,52995
7-Jan-13,4.40,4.56,4.21,4.27,188742
4-Jan-13,4.50,4.52,4.46,4.49,13404
3-Jan-13,4.38,4.60,4.35,4.56,55344
2-Jan-13,4.16,4.60,4.16,4.53,93715
31-Dec-12,4.22,4.38,4.22,4.26,29694
28-Dec-12,4.40,4.43,4.27,4.36,37057
27-Dec-12,4.12,4.59,4.11,4.51,75030
26-Dec-12,4.10,4.29,4.10,4.23,31587
24-Dec-12,4.46,4.46,4.01,4.21,35758
21-Dec-12,4.41,4.68,4.26,4.55,73292
20-Dec-12,4.18,4.42,4.10,4.42,76769
19-Dec-12,4.10,4.25,4.01,4.23,110588
18-Dec-12,3.87,4.10,3.85,4.06,157069
17-Dec-12,3.81,3.95,3.81,3.89,21972
14-Dec-12,3.71,4.00,3.68,3.87,62352
13-Dec-12,3.81,3.84,3.71,3.76,35465
12-Dec-12,3.73,3.88,3.73,3.79,23261
11-Dec-12,4.00,4.00,3.70,3.76,23313
10-Dec-12,3.76,3.93,3.70,3.76,96797
7-Dec-12,3.86,3.87,3.77,3.80,23803
6-Dec-12,3.97,3.98,3.85,3.88,17321
5-Dec-12,4.00,4.06,3.93,3.98,8826
4-Dec-12,3.98,4.08,3.89,4.05,27383
3-Dec-12,4.21,4.28,3.88,3.93,131204
30-Nov-12,4.15,4.22,4.01,4.22,34916
29-Nov-12,4.17,4.26,3.92,4.21,39800
28-Nov-12,4.19,4.30,4.19,4.28,19914
27-Nov-12,4.04,4.25,4.01,4.24,59920
26-Nov-12,4.08,4.28,3.92,4.26,70327
23-Nov-12,4.20,4.22,4.00,4.04,23977
21-Nov-12,4.26,4.26,3.90,4.10,64953
20-Nov-12,4.30,4.33,4.23,4.30,19160
19-Nov-12,4.35,4.48,4.33,4.40,7428
16-Nov-12,4.66,4.84,3.71,4.35,70814
15-Nov-12,4.32,4.34,4.17,4.30,7866
14-Nov-12,4.49,4.54,4.01,4.12,99103
13-Nov-12,4.62,4.65,4.49,4.52,13144
12-Nov-12,4.66,4.75,4.57,4.65,6219
9-Nov-12,4.78,4.78,4.55,4.61,12204
8-Nov-12,4.91,4.98,4.73,4.73,6314
7-Nov-12,4.60,4.80,4.54,4.72,18277
6-Nov-12,4.81,4.82,4.62,4.62,20052
5-Nov-12,4.84,4.92,4.75,4.83,37091
2-Nov-12,4.85,4.90,4.79,4.81,25400
1-Nov-12,4.79,4.90,4.76,4.89,19040
31-Oct-12,4.89,4.92,4.76,4.79,49930
26-Oct-12,4.95,4.95,4.80,4.89,12006
25-Oct-12,4.91,5.00,4.89,4.91,58000
24-Oct-12,4.95,5.00,4.91,4.91,35366
23-Oct-12,4.90,5.05,4.90,5.00,60518
22-Oct-12,5.07,5.13,4.90,4.98,70141
19-Oct-12,4.89,4.94,4.80,4.86,37777
18-Oct-12,4.87,4.92,4.85,4.91,22150
17-Oct-12,4.89,4.91,4.72,4.85,8057
16-Oct-12,4.80,4.98,4.67,4.94,13484
15-Oct-12,4.67,4.81,4.67,4.81,2562
12-Oct-12,4.86,4.86,4.42,4.70,154455
11-Oct-12,4.83,4.94,4.83,4.93,1919
10-Oct-12,5.02,5.06,4.79,4.79,8899
9-Oct-12,5.28,5.33,5.01,5.01,30086
8-Oct-12,5.38,5.39,5.29,5.34,24972
5-Oct-12,5.46,5.46,5.31,5.40,20536
4-Oct-12,5.36,5.46,5.28,5.39,31724
3-Oct-12,5.45,5.50,5.37,5.40,49757
2-Oct-12,5.50,5.50,5.28,5.48,27178
1-Oct-12,5.35,5.50,5.35,5.46,143138
28-Sep-12,5.41,5.41,5.22,5.33,31751
27-Sep-12,5.45,5.50,5.31,5.42,61840
26-Sep-12,5.50,5.50,5.33,5.43,23325
25-Sep-12,5.41,5.50,5.34,5.46,27403
24-Sep-12,5.41,5.46,5.10,5.45,75998
21-Sep-12,5.30,5.50,5.24,5.47,129973
20-Sep-12,5.35,5.38,5.24,5.38,39813
19-Sep-12,5.41,5.41,5.22,5.35,81365
18-Sep-12,5.28,5.45,5.00,5.41,34274
17-Sep-12,5.35,5.38,5.15,5.38,32822
14-Sep-12,5.28,5.45,5.23,5.41,143030
13-Sep-12,5.10,5.40,5.09,5.38,32825
12-Sep-12,5.04,5.20,4.96,5.14,50969
11-Sep-12,4.97,5.39,4.88,5.10,40574
10-Sep-12,4.70,5.02,4.69,5.02,88017
7-Sep-12,4.46,4.85,4.43,4.64,142653
6-Sep-12,4.49,4.60,4.40,4.57,36539
5-Sep-12,4.67,4.67,4.40,4.40,19904
4-Sep-12,4.45,4.66,4.40,4.63,44018
31-Aug-12,4.49,4.51,4.40,4.41,43328
30-Aug-12,4.50,4.56,4.42,4.42,14010
29-Aug-12,4.40,4.59,4.40,4.47,107197
28-Aug-12,4.29,4.36,4.16,4.29,31878
27-Aug-12,4.40,4.40,4.28,4.31,29136
24-Aug-12,4.40,4.41,4.17,4.37,87807
23-Aug-12,4.40,4.41,4.22,4.38,93410
22-Aug-12,4.40,4.54,4.21,4.40,78990
21-Aug-12,4.70,4.78,4.41,4.44,83867
20-Aug-12,4.85,4.85,4.65,4.70,69071
17-Aug-12,5.41,5.41,4.70,4.92,10018
16-Aug-12,5.24,5.50,5.22,5.46,7342
15-Aug-12,5.23,5.30,5.15,5.30,5588
14-Aug-12,5.50,5.50,5.20,5.21,3254
13-Aug-12,5.06,5.52,5.06,5.52,7937
10-Aug-12,4.90,5.04,4.86,4.94,137390
9-Aug-12,4.61,4.94,4.60,4.83,7600
8-Aug-12,4.59,4.61,4.56,4.58,4400
7-Aug-12,4.60,4.65,4.49,4.61,96005
6-Aug-12,4.56,4.65,4.47,4.60,700
3-Aug-12,4.59,4.69,4.56,4.61,2000
2-Aug-12,4.73,4.76,4.44,4.68,40180
1-Aug-12,4.63,4.83,4.63,4.73,30096
31-Jul-12,4.86,4.98,4.41,4.67,169654
30-Jul-12,5.00,5.00,4.80,4.82,52945
27-Jul-12,4.80,5.00,4.75,5.00,64864
26-Jul-12,4.71,4.88,4.71,4.82,29072
25-Jul-12,4.87,5.00,4.51,4.70,108331
24-Jul-12,5.20,5.25,4.77,4.91,142166
23-Jul-12,5.45,5.46,5.20,5.23,14930
20-Jul-12,5.55,5.64,5.45,5.45,19418
19-Jul-12,5.75,5.89,5.64,5.69,102220
18-Jul-12,5.61,5.89,5.59,5.84,127467
17-Jul-12,5.75,5.80,5.63,5.67,7352
16-Jul-12,5.79,5.83,5.65,5.81,7716
13-Jul-12,6.08,6.08,5.63,5.70,17543
12-Jul-12,6.03,6.15,5.80,6.07,86904
11-Jul-12,6.09,6.86,6.09,6.29,47546
10-Jul-12,6.71,6.71,6.02,6.03,28858
9-Jul-12,6.75,6.75,6.45,6.62,20160
6-Jul-12,6.98,6.98,6.35,6.68,33658
5-Jul-12,6.13,7.09,6.13,7.09,140888
3-Jul-12,6.06,6.39,6.06,6.25,11772
2-Jul-12,5.64,6.02,5.64,5.99,38731
29-Jun-12,5.63,5.75,5.60,5.70,37650
28-Jun-12,5.61,5.67,5.49,5.55,51466
27-Jun-12,5.83,5.90,5.65,5.70,35734
26-Jun-12,5.92,5.92,5.75,5.75,22816
25-Jun-12,6.10,6.10,5.87,5.90,12364
22-Jun-12,6.43,6.48,6.22,6.23,64149
21-Jun-12,5.99,6.41,5.99,6.35,65659
20-Jun-12,6.15,6.30,6.03,6.03,23330
19-Jun-12,5.57,6.16,5.49,6.08,138806
18-Jun-12,5.78,5.87,5.52,5.57,126350
15-Jun-12,5.73,5.88,5.70,5.73,245367
14-Jun-12,5.92,5.92,5.70,5.73,31010
13-Jun-12,6.06,6.10,5.94,5.94,78004
12-Jun-12,5.81,6.22,5.81,6.09,41992
11-Jun-12,6.13,6.13,5.72,5.79,79466
8-Jun-12,6.14,6.22,5.97,6.00,55808
7-Jun-12,6.08,6.28,6.08,6.23,53668
6-Jun-12,5.73,6.11,5.60,6.00,57508
5-Jun-12,5.19,5.81,5.16,5.69,41073
4-Jun-12,5.70,5.70,5.11,5.20,153794
1-Jun-12,6.00,6.00,5.62,5.62,147293
31-May-12,6.25,6.25,5.95,6.12,94766
30-May-12,6.60,6.63,6.15,6.18,151380
29-May-12,6.76,6.83,6.62,6.74,86253
25-May-12,6.74,6.75,6.60,6.65,31391
24-May-12,6.70,6.83,6.65,6.79,54795
23-May-12,6.58,6.72,6.56,6.66,76610
22-May-12,6.88,6.90,6.60,6.72,83397
21-May-12,7.01,7.18,6.82,7.03,320830
18-May-12,7.35,7.58,7.09,7.09,238239
17-May-12,7.76,7.79,7.23,7.23,118715
16-May-12,7.86,7.95,7.80,7.80,76761
15-May-12,7.92,8.01,7.87,7.87,58300
14-May-12,7.91,8.03,7.88,7.92,37379
11-May-12,8.04,8.10,7.88,8.03,63190
10-May-12,8.02,8.20,7.95,8.04,24066
9-May-12,8.10,8.26,7.98,7.98,26947
8-May-12,8.35,8.36,8.21,8.25,59946
7-May-12,8.29,8.38,8.26,8.38,18788
4-May-12,8.21,8.36,8.20,8.26,97539
3-May-12,8.31,8.47,8.21,8.29,29996
2-May-12,8.20,8.42,8.20,8.38,51071
1-May-12,8.03,8.37,8.03,8.27,47856
30-Apr-12,7.89,8.02,7.88,7.98,314401
27-Apr-12,7.91,8.08,7.87,8.01,40480
26-Apr-12,7.86,8.01,7.86,7.95,43016
25-Apr-12,7.93,8.00,7.81,7.86,41577
24-Apr-12,7.97,7.99,7.83,7.89,37455
23-Apr-12,8.02,8.08,7.84,7.91,107913
20-Apr-12,8.05,8.20,8.05,8.13,25442
19-Apr-12,7.60,8.07,7.60,8.05,55472
18-Apr-12,7.74,7.78,7.58,7.60,37068
17-Apr-12,7.98,8.08,7.85,7.90,36801
16-Apr-12,8.00,8.08,7.80,7.85,96531
13-Apr-12,8.20,8.21,7.95,7.98,260770
12-Apr-12,8.56,8.79,8.05,8.20,171585
11-Apr-12,8.82,8.92,8.19,8.47,209258
10-Apr-12,8.87,8.87,8.70,8.80,48622
9-Apr-12,8.90,8.95,8.83,8.87,177889
5-Apr-12,8.84,9.14,8.81,9.13,38300
4-Apr-12,8.85,8.92,8.79,8.89,94644
3-Apr-12,8.88,8.93,8.72,8.89,43063
2-Apr-12,8.67,9.00,8.67,8.90,90800
30-Mar-12,8.87,8.95,8.40,8.83,451810
29-Mar-12,8.82,8.97,8.68,8.76,64394
28-Mar-12,9.51,9.51,8.96,8.96,23179
27-Mar-12,9.35,9.57,9.35,9.49,71007
26-Mar-12,9.00,9.35,9.00,9.35,55928
23-Mar-12,9.15,9.37,8.78,8.89,115819
22-Mar-12,9.05,9.29,9.05,9.22,39934
21-Mar-12,9.23,9.27,9.01,9.12,57483
20-Mar-12,9.27,9.42,9.15,9.25,38805
19-Mar-12,9.25,9.52,9.18,9.46,34588
16-Mar-12,9.64,9.65,9.15,9.21,109596
15-Mar-12,9.49,9.65,9.42,9.65,97193
14-Mar-12,9.48,9.52,9.38,9.52,107568
13-Mar-12,9.50,9.58,9.34,9.58,213683
12-Mar-12,9.44,9.53,9.05,9.49,88759
9-Mar-12,9.62,9.66,9.20,9.54,105936
8-Mar-12,9.50,9.67,9.22,9.65,65986
7-Mar-12,9.34,9.40,9.02,9.31,123190
6-Mar-12,10.08,10.17,9.00,9.21,152224
5-Mar-12,9.89,10.45,9.02,10.07,463721
2-Mar-12,9.93,10.59,9.93,10.59,218359
1-Mar-12,9.86,10.12,9.43,10.07,80326
29-Feb-12,10.10,10.11,9.80,9.88,59351
28-Feb-12,9.97,10.23,9.91,10.11,54437
27-Feb-12,9.94,10.02,9.78,9.89,79263
24-Feb-12,10.03,10.17,10.00,10.13,41950
23-Feb-12,10.00,10.13,10.00,10.12,39279
22-Feb-12,9.85,10.11,9.66,10.07,90689
21-Feb-12,10.22,10.28,9.99,10.21,61506
17-Feb-12,10.47,10.47,10.10,10.29,32013
16-Feb-12,10.10,10.48,10.01,10.48,31655
15-Feb-12,10.05,10.16,9.87,10.10,97215
14-Feb-12,10.42,10.49,9.82,9.96,165780
13-Feb-12,9.99,10.49,9.83,10.41,125259
10-Feb-12,9.96,10.19,9.80,9.80,144998
9-Feb-12,10.25,10.35,9.91,10.17,88732
8-Feb-12,10.06,10.47,9.76,10.33,123878
7-Feb-12,10.14,10.32,9.80,10.22,93359
6-Feb-12,10.38,10.50,10.14,10.34,237027
3-Feb-12,10.42,11.04,10.33,10.73,126807
2-Feb-12,10.49,10.50,10.12,10.37,83116
1-Feb-12,10.70,10.75,10.22,10.50,72821
31-Jan-12,10.69,10.80,10.20,10.63,59382
30-Jan-12,10.59,10.67,9.97,10.54,156067
27-Jan-12,9.84,11.00,9.82,11.00,94235
26-Jan-12,9.85,10.00,9.75,9.92,39723
25-Jan-12,9.56,9.79,9.43,9.79,41725
24-Jan-12,9.49,9.67,9.24,9.59,48536
23-Jan-12,9.37,9.65,9.37,9.54,38191
20-Jan-12,9.41,9.51,9.11,9.42,82646
19-Jan-12,9.81,9.84,9.45,9.53,51899
18-Jan-12,9.31,9.80,9.01,9.69,110260
17-Jan-12,9.15,9.31,9.06,9.25,41769
13-Jan-12,-,-,-,9.11,0
12-Jan-12,9.21,9.21,8.92,9.19,84920
11-Jan-12,8.80,9.30,8.76,9.19,140811
10-Jan-12,9.58,9.58,8.81,9.02,209707
9-Jan-12,8.69,9.10,8.64,9.07,58089
6-Jan-12,9.08,9.15,8.75,8.76,75353
5-Jan-12,8.68,9.21,8.53,9.21,88115
4-Jan-12,9.38,9.38,8.78,8.86,75603
3-Jan-12,8.83,9.61,8.64,9.56,201699
30-Dec-11,-,-,-,8.75,0
29-Dec-11,8.00,8.43,7.93,8.40,75971
28-Dec-11,7.77,8.21,7.62,8.00,23739
27-Dec-11,8.05,8.05,7.72,7.83,49926
23-Dec-11,-,-,-,8.13,0
22-Dec-11,8.18,8.45,8.18,8.43,81182
21-Dec-11,8.40,8.43,8.14,8.14,62274
20-Dec-11,7.93,8.41,7.83,8.41,76657
19-Dec-11,8.32,8.37,7.73,7.75,313650
16-Dec-11,8.28,8.42,8.05,8.33,120772
15-Dec-11,8.20,8.41,8.00,8.14,110336
14-Dec-11,8.40,8.48,8.22,8.22,212758
13-Dec-11,8.43,8.77,8.37,8.46,210807
12-Dec-11,8.38,8.56,8.31,8.42,197424
9-Dec-11,8.47,8.83,8.32,8.58,609811
8-Dec-11,8.66,8.86,8.40,8.50,247079
7-Dec-11,8.98,8.98,8.73,8.84,160181
6-Dec-11,9.45,9.45,9.00,9.04,83910
5-Dec-11,8.79,9.68,8.62,9.46,137804
2-Dec-11,8.84,8.84,8.54,8.58,46226
1-Dec-11,8.92,9.09,8.66,8.66,412638
30-Nov-11,8.85,9.01,8.61,8.87,210804
29-Nov-11,8.61,9.52,8.48,8.59,331760
28-Nov-11,8.67,8.94,8.13,8.53,265928
25-Nov-11,8.46,8.60,8.43,8.48,7064
23-Nov-11,-,-,-,8.45,0
22-Nov-11,9.58,9.58,8.75,8.93,565299
21-Nov-11,10.47,10.47,9.52,9.60,207398
18-Nov-11,10.40,10.46,10.08,10.32,496398
17-Nov-11,10.18,10.60,10.14,10.42,228780
16-Nov-11,10.45,10.49,10.08,10.27,146664
15-Nov-11,10.12,10.70,9.34,10.61,228980
14-Nov-11,10.50,11.00,9.58,10.21,383899
11-Nov-11,10.07,10.11,9.76,10.03,68238
10-Nov-11,9.87,10.28,9.00,9.96,185503
9-Nov-11,9.86,10.10,9.30,9.67,163383
8-Nov-11,10.02,10.17,9.91,10.03,61673
7-Nov-11,9.98,10.12,9.61,10.02,138020
4-Nov-11,10.00,10.01,9.62,10.00,29282
3-Nov-11,9.93,10.09,9.57,10.00,74166
2-Nov-11,10.00,10.31,9.32,9.91,171877
1-Nov-11,10.29,10.29,9.10,9.71,282970
31-Oct-11,10.41,11.14,10.37,10.72,136271
28-Oct-11,10.55,10.88,10.54,10.73,218062
27-Oct-11,10.70,11.00,10.35,10.73,356952
26-Oct-11,10.14,10.47,9.53,10.41,125616
25-Oct-11,9.69,10.04,9.41,9.85,100457
24-Oct-11,8.68,10.27,8.54,9.84,338892
21-Oct-11,8.60,8.68,8.50,8.63,30511
20-Oct-11,8.66,8.66,8.23,8.51,115319
19-Oct-11,8.63,8.76,8.49,8.54,49175
18-Oct-11,8.33,8.62,8.21,8.57,80276
17-Oct-11,8.60,8.63,8.24,8.33,94033
14-Oct-11,8.38,8.66,8.35,8.51,191972
13-Oct-11,8.31,8.62,8.17,8.34,174651
12-Oct-11,7.01,8.92,6.98,8.50,379653
