Date, Open, High, Low, Close, Volume
17-May-13,20.98,21.30,20.81,21.25,156057
16-May-13,20.81,20.98,20.81,20.91,133040
15-May-13,20.82,20.89,20.63,20.89,125983
14-May-13,20.76,20.77,20.55,20.77,135123
13-May-13,20.82,20.87,20.60,20.69,127179
10-May-13,20.84,20.90,20.63,20.78,152578
9-May-13,20.76,20.85,20.69,20.80,135677
8-May-13,20.91,20.91,20.64,20.75,173535
7-May-13,20.53,20.98,20.53,20.92,138700
6-May-13,20.35,20.68,20.35,20.60,131307
3-May-13,20.73,20.73,20.30,20.50,125808
2-May-13,20.62,20.73,20.43,20.59,129173
1-May-13,20.57,20.75,20.56,20.73,111879
30-Apr-13,20.66,20.75,20.50,20.73,146364
29-Apr-13,20.56,20.69,20.44,20.59,114135
26-Apr-13,20.52,20.52,20.29,20.49,96684
25-Apr-13,20.66,20.67,20.33,20.51,130728
24-Apr-13,20.44,20.72,20.39,20.60,152310
23-Apr-13,20.34,20.42,20.20,20.42,110633
22-Apr-13,20.22,20.35,20.06,20.25,146238
19-Apr-13,20.01,20.23,19.77,20.15,109526
18-Apr-13,20.20,20.20,19.93,20.08,98140
17-Apr-13,20.18,20.18,20.04,20.12,110876
16-Apr-13,20.10,20.20,19.95,20.20,116001
15-Apr-13,20.50,20.50,19.75,19.88,133735
12-Apr-13,20.69,20.70,20.29,20.40,123787
11-Apr-13,20.49,20.65,20.42,20.63,156190
10-Apr-13,20.65,20.75,20.51,20.75,150169
9-Apr-13,20.55,20.63,20.45,20.61,115557
8-Apr-13,20.24,20.51,20.15,20.42,147653
5-Apr-13,19.46,20.15,19.44,20.14,126398
4-Apr-13,20.06,20.07,19.50,19.69,168929
3-Apr-13,20.65,20.65,19.61,20.00,190319
2-Apr-13,20.65,20.74,20.51,20.65,151838
1-Apr-13,20.55,20.64,20.32,20.54,123389
28-Mar-13,20.35,20.46,20.19,20.46,145288
27-Mar-13,20.22,20.37,20.05,20.29,198956
26-Mar-13,20.27,20.29,20.10,20.25,152541
25-Mar-13,20.29,20.39,19.92,20.21,204830
22-Mar-13,20.03,20.20,20.01,20.18,197960
21-Mar-13,19.70,20.05,19.69,19.92,231662
20-Mar-13,19.51,19.75,19.43,19.75,144663
19-Mar-13,19.61,19.61,19.11,19.40,240095
18-Mar-13,19.59,19.64,19.34,19.45,143056
15-Mar-13,19.73,19.79,19.55,19.72,175731
14-Mar-13,19.72,19.78,19.45,19.70,134505
13-Mar-13,19.76,19.76,19.58,19.66,153383
12-Mar-13,19.68,19.85,19.55,19.65,134951
11-Mar-13,19.72,19.77,19.55,19.61,135254
8-Mar-13,19.78,19.90,19.73,19.88,159169
7-Mar-13,19.52,19.69,19.35,19.65,122506
6-Mar-13,19.75,19.80,19.35,19.50,156517
5-Mar-13,19.69,19.80,19.60,19.74,146898
4-Mar-13,19.53,19.68,19.38,19.54,147013
1-Mar-13,19.81,19.82,19.51,19.62,96542
28-Feb-13,19.71,19.92,19.64,19.70,158227
27-Feb-13,19.58,19.74,19.57,19.70,162009
26-Feb-13,19.46,19.56,19.34,19.56,125716
25-Feb-13,19.46,19.56,19.35,19.37,113410
22-Feb-13,19.44,19.44,19.21,19.34,89309
21-Feb-13,19.61,19.61,19.07,19.30,157649
20-Feb-13,19.75,19.91,19.48,19.60,152424
19-Feb-13,19.33,19.72,19.30,19.71,142994
15-Feb-13,19.67,19.67,19.28,19.36,165935
14-Feb-13,19.62,19.68,19.39,19.62,172980
13-Feb-13,19.56,19.64,19.49,19.60,169676
12-Feb-13,19.70,19.73,19.37,19.47,171783
11-Feb-13,19.69,19.76,19.49,19.66,128567
8-Feb-13,19.74,19.78,19.56,19.64,125350
7-Feb-13,19.74,19.80,19.50,19.71,172443
6-Feb-13,19.80,20.00,19.46,19.68,204270
5-Feb-13,19.68,19.80,19.47,19.80,149371
4-Feb-13,19.64,19.71,19.23,19.50,148689
1-Feb-13,19.50,20.07,19.39,19.60,161822
31-Jan-13,19.38,19.49,19.28,19.47,129734
30-Jan-13,19.22,19.34,19.12,19.32,155487
29-Jan-13,19.01,19.15,18.96,19.13,110882
28-Jan-13,19.20,19.28,18.88,19.01,161544
25-Jan-13,19.25,19.28,19.10,19.11,113965
24-Jan-13,19.32,19.41,19.04,19.11,162803
23-Jan-13,19.39,19.47,19.11,19.24,142482
22-Jan-13,19.06,19.43,19.02,19.33,145373
18-Jan-13,19.01,19.13,18.91,19.00,154129
17-Jan-13,18.85,19.04,18.74,19.01,142961
16-Jan-13,18.72,18.83,18.64,18.81,111804
15-Jan-13,18.67,18.69,18.54,18.65,109340
14-Jan-13,18.65,18.70,18.42,18.58,133380
11-Jan-13,18.90,18.96,18.54,18.67,134829
10-Jan-13,18.89,19.02,18.80,19.02,115224
9-Jan-13,18.87,18.91,18.62,18.80,131239
8-Jan-13,18.72,18.85,18.61,18.83,133536
7-Jan-13,18.75,18.88,18.55,18.67,193426
4-Jan-13,18.72,18.81,18.55,18.60,167653
3-Jan-13,18.72,18.72,18.46,18.62,116800
2-Jan-13,17.99,18.63,17.94,18.63,179016
31-Dec-12,17.58,17.75,17.31,17.70,115942
28-Dec-12,17.49,17.60,17.30,17.51,125470
27-Dec-12,17.55,17.76,17.15,17.56,137974
26-Dec-12,17.89,17.89,17.41,17.51,139253
24-Dec-12,17.95,18.20,17.75,17.95,97380
21-Dec-12,17.69,18.08,17.69,17.87,226913
20-Dec-12,17.91,18.02,17.79,17.92,159039
19-Dec-12,17.70,17.92,17.66,17.92,153449
18-Dec-12,17.55,17.78,17.50,17.65,209302
17-Dec-12,17.62,17.66,17.40,17.66,136344
14-Dec-12,17.60,17.77,17.48,17.59,137268
13-Dec-12,17.71,17.71,17.43,17.62,127329
12-Dec-12,17.64,17.90,17.47,17.67,240999
11-Dec-12,17.68,17.69,17.35,17.56,157643
10-Dec-12,17.41,17.68,17.41,17.57,112312
7-Dec-12,17.63,17.63,17.35,17.51,99757
6-Dec-12,17.70,18.16,17.40,17.50,141252
5-Dec-12,17.89,17.89,17.60,17.64,121304
4-Dec-12,17.88,17.98,17.72,17.80,157454
3-Dec-12,18.43,18.43,17.80,17.85,149914
30-Nov-12,18.32,18.38,18.07,18.28,113176
29-Nov-12,18.20,18.36,18.15,18.25,107732
28-Nov-12,17.94,18.12,17.88,18.07,162887
27-Nov-12,17.95,17.98,17.80,17.92,149857
26-Nov-12,17.98,18.11,17.80,17.88,138238
23-Nov-12,18.10,18.12,17.91,17.98,78651
21-Nov-12,17.94,18.03,17.86,17.94,160504
20-Nov-12,17.67,17.99,17.52,17.93,167088
19-Nov-12,17.40,17.75,17.38,17.63,176807
16-Nov-12,16.84,17.31,16.65,17.15,177814
15-Nov-12,16.89,17.13,16.40,16.72,204464
14-Nov-12,17.19,17.37,16.81,16.85,132077
13-Nov-12,17.19,17.38,17.13,17.20,147270
12-Nov-12,17.78,17.85,17.42,17.42,98295
9-Nov-12,17.87,17.91,17.73,17.79,93465
8-Nov-12,18.01,18.07,17.80,17.94,139436
7-Nov-12,18.16,18.16,17.91,18.03,93374
6-Nov-12,18.05,18.25,18.04,18.22,91759
5-Nov-12,18.13,18.16,17.97,18.06,82019
2-Nov-12,18.31,18.38,18.04,18.08,86314
1-Nov-12,18.11,18.39,18.08,18.30,94705
31-Oct-12,18.07,18.11,17.90,18.06,124311
26-Oct-12,18.30,18.30,18.07,18.17,79997
25-Oct-12,18.35,18.35,18.08,18.24,78775
24-Oct-12,18.29,18.34,18.10,18.19,60933
23-Oct-12,18.06,18.27,18.06,18.23,86993
22-Oct-12,18.30,18.30,18.00,18.12,101102
19-Oct-12,18.52,18.52,18.09,18.25,87810
18-Oct-12,18.53,18.60,18.40,18.50,58171
17-Oct-12,18.52,18.63,18.44,18.50,99711
16-Oct-12,18.43,18.55,18.37,18.47,100602
15-Oct-12,18.51,18.52,18.28,18.36,77086
12-Oct-12,18.54,18.54,18.34,18.41,63244
11-Oct-12,18.33,18.46,18.33,18.42,84008
10-Oct-12,18.88,18.90,18.60,18.60,129374
9-Oct-12,18.91,18.91,18.74,18.87,74616
8-Oct-12,18.85,18.93,18.81,18.93,62376
5-Oct-12,18.77,18.90,18.72,18.89,62833
4-Oct-12,18.70,18.76,18.61,18.68,108927
3-Oct-12,18.73,18.73,18.50,18.71,86314
2-Oct-12,18.91,18.92,18.54,18.65,132130
1-Oct-12,18.87,18.93,18.80,18.90,95302
28-Sep-12,18.80,18.87,18.68,18.85,108166
27-Sep-12,18.82,18.88,18.66,18.85,78247
26-Sep-12,18.62,18.73,18.58,18.72,94615
25-Sep-12,18.87,18.90,18.68,18.70,170440
24-Sep-12,18.70,18.81,18.65,18.78,157157
21-Sep-12,18.55,18.73,18.52,18.70,147433
20-Sep-12,18.65,18.65,18.45,18.65,114404
19-Sep-12,18.48,18.68,18.40,18.68,196227
18-Sep-12,18.38,18.49,18.35,18.49,105942
17-Sep-12,18.12,18.35,18.12,18.35,121337
14-Sep-12,18.12,18.21,18.07,18.21,153634
13-Sep-12,18.08,18.12,18.00,18.12,121532
12-Sep-12,18.11,18.11,18.00,18.07,103399
