Date, Open, High, Low, Close, Volume
17-May-13,9.25,9.30,9.23,9.30,95703
16-May-13,9.22,9.24,9.20,9.23,106031
15-May-13,9.29,9.29,9.18,9.25,147222
14-May-13,9.19,9.29,9.18,9.29,132132
13-May-13,9.27,9.31,9.19,9.21,120561
10-May-13,9.28,9.33,9.26,9.32,107450
9-May-13,9.34,9.35,9.29,9.34,118855
8-May-13,9.31,9.36,9.28,9.35,200176
7-May-13,9.29,9.39,9.28,9.35,184448
6-May-13,9.23,9.30,9.18,9.28,178296
3-May-13,9.21,9.22,9.16,9.16,80645
2-May-13,9.16,9.21,9.16,9.20,124768
1-May-13,9.22,9.25,9.15,9.15,114148
30-Apr-13,9.14,9.21,9.14,9.21,132339
29-Apr-13,9.13,9.16,9.12,9.15,141832
26-Apr-13,9.13,9.21,9.13,9.19,165521
25-Apr-13,9.11,9.18,9.07,9.13,155080
24-Apr-13,9.13,9.16,9.13,9.15,68128
23-Apr-13,9.04,9.16,9.04,9.15,177588
22-Apr-13,9.08,9.09,8.98,9.00,93294
19-Apr-13,9.04,9.10,9.00,9.10,98281
18-Apr-13,9.03,9.05,8.98,9.03,111599
17-Apr-13,9.00,9.05,8.97,9.04,137898
16-Apr-13,8.95,9.02,8.93,9.02,148220
15-Apr-13,8.96,8.96,8.92,8.92,99386
12-Apr-13,8.96,8.98,8.93,8.94,105486
11-Apr-13,8.98,9.02,8.96,9.01,132419
10-Apr-13,8.96,9.00,8.96,9.00,125392
9-Apr-13,8.96,8.98,8.92,8.96,99684
8-Apr-13,8.94,8.96,8.90,8.96,129480
5-Apr-13,8.86,8.95,8.85,8.94,68808
4-Apr-13,8.87,8.93,8.87,8.90,112947
3-Apr-13,8.88,8.89,8.83,8.89,140748
2-Apr-13,8.92,8.92,8.86,8.88,158996
1-Apr-13,9.01,9.02,8.85,8.85,225846
28-Mar-13,8.98,9.02,8.95,8.95,246497
27-Mar-13,8.99,9.02,8.96,8.98,80050
26-Mar-13,9.02,9.02,8.98,9.02,107312
25-Mar-13,9.01,9.03,8.95,9.00,98465
22-Mar-13,9.04,9.05,8.98,9.02,116889
21-Mar-13,9.00,9.03,8.97,9.00,73131
20-Mar-13,8.95,9.02,8.94,9.02,123554
19-Mar-13,8.90,8.95,8.85,8.93,160249
18-Mar-13,8.83,8.93,8.80,8.86,213420
15-Mar-13,9.01,9.02,8.83,8.86,208858
14-Mar-13,9.17,9.17,9.02,9.03,134621
13-Mar-13,9.17,9.17,9.05,9.09,86029
12-Mar-13,9.10,9.20,9.08,9.13,110841
11-Mar-13,9.27,9.27,9.10,9.13,145408
8-Mar-13,9.14,9.22,9.10,9.21,287152
7-Mar-13,9.09,9.11,9.04,9.04,110603
6-Mar-13,9.03,9.09,9.02,9.09,95881
5-Mar-13,9.08,9.11,9.01,9.02,195841
4-Mar-13,9.10,9.12,9.07,9.09,154228
1-Mar-13,9.13,9.14,9.02,9.07,133688
28-Feb-13,9.14,9.16,9.08,9.10,119000
27-Feb-13,9.03,9.15,9.03,9.15,199450
26-Feb-13,9.00,9.09,9.00,9.04,148031
25-Feb-13,9.06,9.10,8.97,9.01,157183
22-Feb-13,9.03,9.03,8.98,9.03,134747
21-Feb-13,9.02,9.05,8.99,9.00,214264
20-Feb-13,9.01,9.02,8.97,9.02,148395
19-Feb-13,9.01,9.03,8.98,9.02,177296
15-Feb-13,9.01,9.02,8.97,9.01,158775
14-Feb-13,8.98,9.01,8.94,9.01,123147
13-Feb-13,8.98,9.00,8.93,8.96,163127
12-Feb-13,9.03,9.03,8.97,9.00,128376
11-Feb-13,9.00,9.05,8.95,9.05,109664
8-Feb-13,8.96,8.98,8.93,8.98,126597
7-Feb-13,8.94,8.96,8.91,8.94,122167
6-Feb-13,8.90,8.97,8.90,8.95,125090
5-Feb-13,8.93,8.95,8.84,8.88,150249
4-Feb-13,9.01,9.01,8.85,8.89,154440
1-Feb-13,9.00,9.05,8.94,9.00,203400
31-Jan-13,8.96,8.96,8.90,8.95,134643
30-Jan-13,9.00,9.00,8.89,8.94,200182
29-Jan-13,9.02,9.04,8.96,8.98,178788
28-Jan-13,8.99,9.02,8.96,9.01,194493
25-Jan-13,9.02,9.05,8.98,9.01,155765
24-Jan-13,9.05,9.05,9.00,9.05,191322
23-Jan-13,9.03,9.08,9.02,9.03,146272
22-Jan-13,9.02,9.08,8.93,9.08,388414
18-Jan-13,8.90,9.04,8.88,9.01,344594
17-Jan-13,8.85,8.91,8.78,8.91,333618
16-Jan-13,8.77,8.79,8.73,8.79,137012
15-Jan-13,8.82,8.82,8.71,8.74,228823
14-Jan-13,8.82,8.83,8.73,8.76,119407
11-Jan-13,8.80,8.84,8.75,8.79,137628
10-Jan-13,8.84,8.89,8.83,8.89,127460
9-Jan-13,8.84,8.84,8.80,8.83,155075
8-Jan-13,8.85,8.85,8.79,8.83,117374
7-Jan-13,8.81,8.85,8.78,8.84,207041
4-Jan-13,8.79,8.84,8.77,8.82,198020
3-Jan-13,8.79,8.82,8.69,8.80,189521
2-Jan-13,8.72,8.80,8.69,8.80,175145
31-Dec-12,8.50,8.68,8.50,8.67,278331
28-Dec-12,8.49,8.50,8.44,8.46,154251
27-Dec-12,8.54,8.54,8.45,8.49,163405
26-Dec-12,8.48,8.53,8.47,8.53,142440
24-Dec-12,8.44,8.46,8.41,8.45,156244
21-Dec-12,8.46,8.52,8.44,8.45,186328
20-Dec-12,8.47,8.50,8.43,8.47,204532
19-Dec-12,8.53,8.53,8.42,8.50,151067
18-Dec-12,8.47,8.51,8.42,8.48,152109
17-Dec-12,8.56,8.57,8.48,8.48,135090
14-Dec-12,8.60,8.60,8.45,8.56,144017
13-Dec-12,8.67,8.67,8.56,8.56,139702
12-Dec-12,8.72,8.72,8.62,8.62,143287
