Date, Open, High, Low, Close, Volume
17-May-13,25.13,25.21,25.11,25.11,10583
16-May-13,25.12,25.18,25.08,25.13,11842
15-May-13,25.11,25.21,25.07,25.12,15250
14-May-13,25.10,25.26,25.07,25.20,12657
13-May-13,25.20,25.26,25.13,25.15,16067
10-May-13,25.15,25.29,25.08,25.14,13117
9-May-13,25.16,25.23,25.16,25.16,7676
8-May-13,25.06,25.29,25.06,25.20,4967
7-May-13,25.17,25.29,25.16,25.22,5577
6-May-13,25.13,25.14,25.07,25.09,7840
3-May-13,25.07,25.07,25.04,25.04,4000
2-May-13,25.00,25.05,25.00,25.05,1000
1-May-13,24.89,25.01,24.87,25.01,2904
30-Apr-13,24.97,25.04,24.93,25.03,6075
29-Apr-13,25.03,25.03,24.85,24.92,6625
26-Apr-13,25.04,25.14,24.98,24.98,1150
25-Apr-13,24.96,24.98,24.95,24.98,1200
24-Apr-13,25.00,25.10,24.94,25.06,2846
23-Apr-13,24.95,25.05,24.95,24.98,1493
22-Apr-13,25.01,25.12,25.00,25.00,7854
19-Apr-13,24.98,25.07,24.98,24.98,2500
18-Apr-13,24.98,24.98,24.98,24.98,1000
17-Apr-13,24.92,25.00,24.92,24.95,5600
16-Apr-13,24.96,25.00,24.92,24.98,4926
15-Apr-13,24.94,24.98,24.92,24.96,7143
12-Apr-13,24.93,24.93,24.89,24.93,1249
11-Apr-13,24.88,24.93,24.81,24.84,3900
10-Apr-13,24.88,24.92,24.82,24.92,1700
9-Apr-13,24.85,24.93,24.80,24.91,8576
8-Apr-13,24.81,24.93,24.79,24.80,3447
5-Apr-13,24.93,24.93,24.93,24.93,475
4-Apr-13,24.80,24.92,24.79,24.82,2959
3-Apr-13,24.87,24.90,24.82,24.82,2203
2-Apr-13,24.80,24.90,24.80,24.88,1553
1-Apr-13,24.75,24.91,24.68,24.91,16108
28-Mar-13,24.77,24.78,24.72,24.78,2430
27-Mar-13,24.60,24.75,24.60,24.75,12370
26-Mar-13,24.80,24.85,24.60,24.60,18633
25-Mar-13,24.73,24.78,24.73,24.78,5938
22-Mar-13,24.65,24.74,24.65,24.71,1795
21-Mar-13,24.59,24.70,24.59,24.69,3663
20-Mar-13,24.53,24.72,24.53,24.59,5763
19-Mar-13,24.68,24.71,24.50,24.71,7005
18-Mar-13,24.62,24.66,24.54,24.58,5240
15-Mar-13,24.65,24.72,24.61,24.62,2499
14-Mar-13,24.63,24.77,24.58,24.77,18160
13-Mar-13,24.67,24.72,24.64,24.65,2633
12-Mar-13,24.68,24.78,24.66,24.66,7820
11-Mar-13,24.68,24.78,24.66,24.77,11747
8-Mar-13,24.78,24.78,24.65,24.74,27517
7-Mar-13,24.76,24.86,24.76,24.77,1800
6-Mar-13,24.88,24.88,24.75,24.81,1632
5-Mar-13,24.88,24.88,24.71,24.71,6015
4-Mar-13,24.75,24.86,24.60,24.85,6450
1-Mar-13,24.84,24.84,24.84,24.84,1675
28-Feb-13,24.73,24.89,24.73,24.74,3683
27-Feb-13,24.73,24.83,24.69,24.69,3074
26-Feb-13,24.70,24.76,24.69,24.70,1300
25-Feb-13,24.82,24.88,24.73,24.74,6758
22-Feb-13,24.69,24.79,24.69,24.79,4792
21-Feb-13,24.70,24.79,24.67,24.70,8403
20-Feb-13,24.68,24.75,24.64,24.65,8156
19-Feb-13,24.72,24.72,24.60,24.71,1465
15-Feb-13,24.52,24.72,24.52,24.72,2474
14-Feb-13,24.53,24.64,24.47,24.64,11342
13-Feb-13,24.61,24.71,24.57,24.60,3873
12-Feb-13,24.75,24.77,24.54,24.64,11700
11-Feb-13,25.24,25.28,25.23,25.25,7060
8-Feb-13,25.19,25.19,25.19,25.19,1214
7-Feb-13,-,-,-,25.10,0
6-Feb-13,25.16,25.16,25.10,25.10,1000
5-Feb-13,25.17,25.17,25.11,25.11,2375
4-Feb-13,25.05,25.19,25.05,25.10,4887
1-Feb-13,25.07,25.09,25.00,25.00,2058
31-Jan-13,25.01,25.05,24.97,24.97,2787
30-Jan-13,25.00,25.00,25.00,25.00,100
29-Jan-13,24.86,24.94,24.86,24.91,520
28-Jan-13,25.00,25.00,24.86,24.88,2163
25-Jan-13,24.89,25.04,24.86,24.99,2920
24-Jan-13,25.02,25.02,24.99,25.02,2986
23-Jan-13,24.92,25.00,24.92,24.95,5805
22-Jan-13,24.90,25.05,24.87,24.98,3167
18-Jan-13,24.99,25.00,24.98,25.00,3546
17-Jan-13,24.88,24.99,24.88,24.99,3300
16-Jan-13,24.84,24.96,24.84,24.96,3500
15-Jan-13,24.96,24.99,24.94,24.99,2700
14-Jan-13,24.82,24.94,24.82,24.94,6143
11-Jan-13,24.84,24.94,24.84,24.90,4540
10-Jan-13,24.77,24.89,24.76,24.86,1400
9-Jan-13,24.73,24.86,24.73,24.85,1900
8-Jan-13,24.78,24.85,24.71,24.84,4657
7-Jan-13,24.77,24.90,24.66,24.90,9383
4-Jan-13,24.73,24.78,24.70,24.78,5198
3-Jan-13,24.65,24.70,24.60,24.62,10441
2-Jan-13,24.46,24.65,24.46,24.65,7368
31-Dec-12,24.40,24.43,24.33,24.43,3350
28-Dec-12,24.36,24.43,24.35,24.43,1100
27-Dec-12,24.35,24.50,24.35,24.38,1700
26-Dec-12,24.36,24.50,24.33,24.35,1905
24-Dec-12,24.31,24.38,24.31,24.35,3100
21-Dec-12,24.66,24.66,24.40,24.47,6110
20-Dec-12,24.59,24.60,24.56,24.60,2600
19-Dec-12,24.61,24.70,24.56,24.65,7842
18-Dec-12,24.56,24.63,24.53,24.61,5730
17-Dec-12,24.56,24.74,24.56,24.74,1715
14-Dec-12,24.60,24.69,24.60,24.62,4376
13-Dec-12,24.72,24.73,24.65,24.65,1300
12-Dec-12,24.58,24.77,24.58,24.77,3158
11-Dec-12,24.72,24.72,24.57,24.69,5290
10-Dec-12,24.60,24.74,24.60,24.61,2935
7-Dec-12,24.61,24.65,24.60,24.62,4000
6-Dec-12,24.68,24.75,24.65,24.75,3917
5-Dec-12,24.56,24.70,24.53,24.62,5786
4-Dec-12,24.68,24.72,24.63,24.72,2950
3-Dec-12,24.77,24.77,24.67,24.67,1975
30-Nov-12,24.67,24.79,24.67,24.74,2874
29-Nov-12,24.92,24.92,24.61,24.63,7398
28-Nov-12,24.70,24.80,24.70,24.80,984
27-Nov-12,24.70,24.70,24.53,24.70,3085
26-Nov-12,24.57,24.70,24.55,24.70,3920
23-Nov-12,24.56,24.56,24.55,24.55,200
21-Nov-12,24.52,24.70,24.42,24.70,6477
20-Nov-12,24.61,24.67,24.45,24.45,6195
19-Nov-12,24.43,24.69,24.40,24.65,7172
16-Nov-12,24.36,24.51,24.36,24.46,1684
15-Nov-12,24.58,24.63,24.31,24.34,8136
