Date, Open, High, Low, Close, Volume
17-May-13,0.14,0.14,0.12,0.14,18657
16-May-13,0.14,0.14,0.12,0.14,107540
15-May-13,0.14,0.14,0.13,0.13,126984
14-May-13,0.13,0.14,0.12,0.13,243606
13-May-13,0.14,0.14,0.14,0.14,99165
10-May-13,0.15,0.16,0.13,0.14,178203
9-May-13,0.15,0.16,0.15,0.16,22752
8-May-13,0.15,0.17,0.15,0.15,126725
7-May-13,0.17,0.17,0.15,0.15,186905
6-May-13,0.17,0.18,0.16,0.16,100000
3-May-13,0.17,0.18,0.16,0.17,56690
2-May-13,0.18,0.18,0.16,0.17,62860
1-May-13,0.20,0.20,0.16,0.18,55383
30-Apr-13,0.18,0.18,0.17,0.17,54114
29-Apr-13,0.18,0.19,0.18,0.18,32280
26-Apr-13,0.20,0.21,0.18,0.19,65680
25-Apr-13,0.21,0.21,0.19,0.20,123717
24-Apr-13,0.19,0.21,0.18,0.21,52198
23-Apr-13,0.25,0.25,0.19,0.19,176275
22-Apr-13,0.23,0.28,0.23,0.25,178601
19-Apr-13,0.20,0.22,0.20,0.22,91412
18-Apr-13,0.18,0.22,0.17,0.21,187928
17-Apr-13,0.17,0.18,0.15,0.17,106795
16-Apr-13,0.10,0.17,0.10,0.15,120111
15-Apr-13,0.16,0.16,0.13,0.13,304752
12-Apr-13,0.18,0.18,0.17,0.17,108268
11-Apr-13,0.18,0.19,0.18,0.18,69428
10-Apr-13,0.20,0.20,0.18,0.19,100288
9-Apr-13,0.17,0.21,0.17,0.19,28769
8-Apr-13,0.19,0.19,0.17,0.19,77946
5-Apr-13,0.18,0.19,0.18,0.18,8486
4-Apr-13,0.19,0.19,0.17,0.18,80337
3-Apr-13,0.19,0.19,0.16,0.17,133425
2-Apr-13,0.19,0.19,0.18,0.18,33021
1-Apr-13,0.19,0.20,0.18,0.18,162728
28-Mar-13,0.20,0.20,0.19,0.19,35871
27-Mar-13,0.20,0.20,0.19,0.20,94569
26-Mar-13,0.20,0.20,0.18,0.18,85110
25-Mar-13,0.21,0.21,0.18,0.18,177773
22-Mar-13,0.23,0.23,0.21,0.21,39750
21-Mar-13,0.20,0.23,0.19,0.23,537538
20-Mar-13,0.20,0.24,0.19,0.21,266324
19-Mar-13,0.21,0.21,0.19,0.20,161489
18-Mar-13,0.22,0.22,0.20,0.21,96281
15-Mar-13,0.20,0.22,0.19,0.21,481649
14-Mar-13,0.19,0.20,0.17,0.20,376594
13-Mar-13,0.20,0.20,0.17,0.18,300681
12-Mar-13,0.19,0.20,0.19,0.20,245355
11-Mar-13,0.20,0.21,0.18,0.18,200010
8-Mar-13,0.21,0.22,0.19,0.20,567744
7-Mar-13,0.23,0.24,0.20,0.21,175222
6-Mar-13,0.23,0.24,0.22,0.23,44511
5-Mar-13,0.25,0.25,0.22,0.23,261144
4-Mar-13,0.24,0.25,0.24,0.24,81707
1-Mar-13,0.25,0.25,0.24,0.25,22249
28-Feb-13,0.25,0.26,0.24,0.25,72170
27-Feb-13,0.25,0.26,0.24,0.25,39900
26-Feb-13,0.25,0.26,0.24,0.25,88953
25-Feb-13,0.26,0.27,0.24,0.25,99697
22-Feb-13,0.25,0.27,0.25,0.26,87026
21-Feb-13,0.28,0.28,0.24,0.24,341539
20-Feb-13,0.30,0.30,0.26,0.28,106570
19-Feb-13,0.35,0.35,0.29,0.30,90034
15-Feb-13,0.31,0.32,0.30,0.32,32710
14-Feb-13,0.32,0.34,0.30,0.31,68270
13-Feb-13,0.33,0.33,0.31,0.33,14765
12-Feb-13,0.33,0.33,0.31,0.33,50384
11-Feb-13,0.33,0.33,0.32,0.32,69167
8-Feb-13,0.34,0.34,0.32,0.32,45639
7-Feb-13,0.33,0.35,0.33,0.33,51375
6-Feb-13,0.33,0.35,0.33,0.33,35600
5-Feb-13,0.37,0.37,0.32,0.33,92900
4-Feb-13,0.37,0.38,0.36,0.38,20572
1-Feb-13,0.39,0.40,0.37,0.38,105788
31-Jan-13,0.37,0.39,0.37,0.38,66082
30-Jan-13,0.39,0.39,0.36,0.39,62050
29-Jan-13,0.36,0.38,0.33,0.38,204613
28-Jan-13,0.37,0.38,0.37,0.37,59500
25-Jan-13,0.36,0.38,0.36,0.38,65600
