Date, Open, High, Low, Close, Volume
17-May-13,26.37,26.47,26.07,26.45,237537
16-May-13,26.38,26.45,26.04,26.21,116939
15-May-13,26.08,26.51,26.00,26.44,151241
14-May-13,25.74,26.17,25.74,26.17,169643
13-May-13,25.80,25.83,25.52,25.74,109641
10-May-13,25.65,26.09,25.55,25.90,153595
9-May-13,24.31,26.30,24.31,25.57,619266
8-May-13,24.16,24.50,23.97,24.30,233393
7-May-13,24.09,24.28,23.87,24.17,183944
6-May-13,24.10,24.27,23.94,24.07,94769
3-May-13,23.82,24.46,23.82,24.16,133058
2-May-13,23.48,23.73,23.31,23.70,253568
1-May-13,23.79,23.84,23.05,23.40,383604
30-Apr-13,23.67,23.90,23.49,23.84,311829
29-Apr-13,23.37,23.68,23.26,23.66,357504
26-Apr-13,23.48,23.61,23.11,23.30,130394
25-Apr-13,23.67,23.85,23.54,23.69,154515
24-Apr-13,23.32,23.69,23.32,23.59,131194
23-Apr-13,23.27,23.37,23.10,23.31,212922
22-Apr-13,23.06,23.18,22.75,23.10,150852
19-Apr-13,23.10,23.30,22.87,23.01,350452
18-Apr-13,23.66,23.67,22.97,23.08,247834
17-Apr-13,24.22,24.22,23.58,23.62,562255
16-Apr-13,24.86,25.05,24.13,24.42,560033
15-Apr-13,25.79,25.94,24.63,24.67,302056
12-Apr-13,25.85,26.01,25.78,25.87,669029
11-Apr-13,25.97,26.08,25.91,25.95,100732
10-Apr-13,25.56,26.02,25.49,25.97,140122
9-Apr-13,25.49,25.58,25.37,25.49,145421
8-Apr-13,25.27,25.52,25.15,25.50,93060
5-Apr-13,24.90,25.30,24.90,25.26,149186
4-Apr-13,25.21,25.30,25.14,25.24,109803
3-Apr-13,25.20,25.30,25.08,25.16,202761
2-Apr-13,25.46,25.50,25.10,25.18,124443
1-Apr-13,25.54,25.62,25.14,25.33,142035
28-Mar-13,25.63,25.68,25.36,25.58,173711
27-Mar-13,25.58,25.63,25.39,25.56,128201
26-Mar-13,25.82,25.82,25.59,25.72,99515
25-Mar-13,25.92,25.92,25.64,25.72,139162
22-Mar-13,25.77,25.89,25.67,25.83,108944
21-Mar-13,25.64,25.86,25.62,25.73,105142
20-Mar-13,25.82,25.92,25.63,25.82,87921
19-Mar-13,25.74,25.83,25.43,25.72,100848
18-Mar-13,25.57,25.91,25.54,25.72,110383
15-Mar-13,25.97,26.11,25.85,25.85,319064
14-Mar-13,25.88,25.96,25.78,25.94,122231
13-Mar-13,25.55,25.95,25.55,25.79,373173
12-Mar-13,25.00,25.72,24.98,25.56,538966
11-Mar-13,24.81,25.07,24.73,25.04,168778
8-Mar-13,24.88,24.91,24.73,24.90,154942
7-Mar-13,24.52,24.74,24.49,24.72,123817
6-Mar-13,24.68,24.72,24.50,24.70,127554
5-Mar-13,24.53,24.71,24.50,24.56,260262
4-Mar-13,24.63,24.63,24.13,24.42,204779
1-Mar-13,24.84,24.87,24.51,24.72,194930
28-Feb-13,24.99,25.13,24.72,25.01,166337
27-Feb-13,24.64,25.20,24.59,25.02,143864
26-Feb-13,24.80,24.90,24.50,24.64,143261
25-Feb-13,25.36,25.52,24.67,24.70,541130
22-Feb-13,24.99,25.39,24.89,25.37,226918
21-Feb-13,24.54,25.36,24.50,24.85,375637
20-Feb-13,24.99,24.99,24.50,24.54,161172
19-Feb-13,24.93,25.06,24.87,25.01,157014
15-Feb-13,25.05,25.05,24.86,24.92,80782
14-Feb-13,24.74,25.17,24.74,24.97,49885
13-Feb-13,24.83,24.93,24.65,24.85,71542
12-Feb-13,24.74,24.83,24.72,24.80,39303
11-Feb-13,24.75,24.75,24.56,24.69,52708
8-Feb-13,24.63,24.90,24.63,24.76,58535
7-Feb-13,24.77,24.81,24.47,24.61,43774
6-Feb-13,24.73,24.83,24.50,24.80,100528
5-Feb-13,24.76,24.95,24.69,24.82,71064
4-Feb-13,24.94,25.03,24.54,24.64,110188
1-Feb-13,24.99,25.25,24.92,25.03,124744
31-Jan-13,24.86,25.10,24.75,24.80,168741
30-Jan-13,25.04,25.08,24.76,24.86,155139
29-Jan-13,24.79,25.06,24.77,25.06,183580
28-Jan-13,24.85,25.10,24.72,24.91,103764
25-Jan-13,24.77,24.88,24.67,24.78,92223
24-Jan-13,24.38,24.77,24.28,24.68,87641
23-Jan-13,24.52,24.64,24.40,24.41,71012
22-Jan-13,24.43,24.57,24.16,24.53,74033
18-Jan-13,24.35,24.51,24.22,24.48,71605
17-Jan-13,24.19,24.34,24.05,24.34,100904
16-Jan-13,23.86,24.18,23.80,24.10,144486
15-Jan-13,23.84,24.05,23.78,23.93,226371
14-Jan-13,24.09,24.16,23.85,23.95,106206
11-Jan-13,24.25,24.25,23.97,24.12,103258
10-Jan-13,24.23,24.24,23.87,24.24,94603
9-Jan-13,23.98,24.15,23.85,24.10,141457
8-Jan-13,24.22,24.23,23.84,23.89,154042
7-Jan-13,24.43,24.49,24.22,24.30,106157
4-Jan-13,24.84,24.88,24.52,24.60,118713
3-Jan-13,24.64,24.89,24.53,24.75,161564
2-Jan-13,24.43,24.83,24.39,24.69,395427
31-Dec-12,23.58,23.98,23.43,23.93,275176
28-Dec-12,23.60,23.77,23.44,23.58,142154
27-Dec-12,23.66,23.90,23.49,23.77,109964
26-Dec-12,23.76,23.77,23.56,23.61,164167
24-Dec-12,23.66,23.74,23.54,23.72,44784
21-Dec-12,23.70,23.78,23.52,23.63,564954
20-Dec-12,23.76,23.90,23.60,23.85,83552
19-Dec-12,23.53,23.82,23.47,23.70,133079
18-Dec-12,23.25,23.59,23.09,23.56,157115
17-Dec-12,23.00,23.31,22.92,23.28,71446
14-Dec-12,22.93,23.18,22.86,22.96,66365
13-Dec-12,23.41,23.53,22.85,23.00,106065
12-Dec-12,23.44,23.47,23.30,23.42,160285
11-Dec-12,23.39,23.53,23.20,23.33,126337
10-Dec-12,23.12,23.26,22.90,23.19,123138
7-Dec-12,23.25,23.25,23.03,23.10,138188
6-Dec-12,23.18,23.22,22.91,23.15,125357
5-Dec-12,23.26,23.42,23.10,23.40,125590
4-Dec-12,23.04,23.29,22.91,23.25,108775
3-Dec-12,23.15,23.15,22.86,23.04,137188
30-Nov-12,23.09,23.17,22.96,23.03,194855
29-Nov-12,22.83,23.14,22.78,23.05,149276
28-Nov-12,22.20,22.78,22.08,22.78,138779
27-Nov-12,22.26,22.56,22.19,22.35,93577
26-Nov-12,22.10,22.29,21.97,22.29,69987
