Date, Open, High, Low, Close, Volume
17-May-13,12.88,13.15,12.88,13.09,810976
16-May-13,13.23,13.30,12.74,12.84,1284651
15-May-13,13.28,13.35,13.06,13.27,1020963
14-May-13,13.03,13.30,13.03,13.28,605500
13-May-13,13.05,13.14,12.88,13.03,693950
10-May-13,13.15,13.27,13.11,13.15,362700
9-May-13,13.11,13.28,13.05,13.16,493554
8-May-13,13.11,13.25,13.01,13.10,503633
7-May-13,13.09,13.16,12.88,13.14,835666
6-May-13,12.60,13.30,12.55,13.00,1417322
3-May-13,12.73,12.89,12.62,12.63,2004533
2-May-13,12.71,12.87,12.32,12.52,4219015
1-May-13,13.55,13.64,12.46,12.63,4096442
30-Apr-13,14.03,14.08,13.64,13.66,1312783
29-Apr-13,14.42,14.50,14.00,14.02,849412
26-Apr-13,14.36,14.49,14.21,14.41,833856
25-Apr-13,14.42,14.73,14.33,14.35,2170492
24-Apr-13,14.25,14.57,14.15,14.38,1621577
23-Apr-13,14.08,14.27,13.95,14.24,893807
22-Apr-13,14.04,14.06,13.69,13.96,726105
19-Apr-13,13.55,14.32,13.53,14.02,1121455
18-Apr-13,14.07,14.14,13.27,13.60,1773365
17-Apr-13,14.43,14.50,14.06,14.43,600340
16-Apr-13,14.41,14.61,14.12,14.59,843970
15-Apr-13,14.88,14.97,14.15,14.25,838673
12-Apr-13,14.67,15.05,14.62,15.01,805259
11-Apr-13,14.89,15.29,14.72,14.78,863401
10-Apr-13,14.50,15.01,14.47,14.93,927327
9-Apr-13,14.64,14.73,14.40,14.47,902663
8-Apr-13,14.44,14.66,14.40,14.64,536550
5-Apr-13,14.19,14.48,13.99,14.43,554332
4-Apr-13,14.13,14.55,14.10,14.51,1025918
3-Apr-13,14.50,14.58,13.97,14.12,992580
2-Apr-13,14.29,14.72,14.13,14.51,833453
1-Apr-13,14.48,14.65,14.20,14.23,1036542
28-Mar-13,14.49,14.54,14.43,14.44,828820
27-Mar-13,14.45,14.49,14.23,14.42,607670
26-Mar-13,14.72,14.80,14.50,14.57,525074
25-Mar-13,14.87,15.05,14.58,14.63,715084
22-Mar-13,14.60,14.96,14.60,14.80,709755
21-Mar-13,15.00,15.11,14.46,14.58,1159959
20-Mar-13,14.35,15.16,14.35,15.06,1918293
19-Mar-13,14.45,14.49,13.96,14.21,1314394
18-Mar-13,14.38,14.61,14.16,14.44,2224013
15-Mar-13,14.16,14.72,13.40,14.54,6928128
14-Mar-13,15.08,15.33,14.76,14.95,2253927
13-Mar-13,14.65,15.00,14.59,14.96,1321002
12-Mar-13,14.78,14.88,14.52,14.63,1398819
11-Mar-13,14.75,14.92,14.59,14.73,1168394
8-Mar-13,14.95,14.97,14.63,14.69,1029366
7-Mar-13,14.72,14.90,14.58,14.78,1001899
6-Mar-13,14.66,15.09,14.43,14.67,2013846
5-Mar-13,14.25,14.56,14.20,14.56,1624289
4-Mar-13,13.33,14.40,13.31,14.05,2076184
1-Mar-13,13.06,13.34,12.91,13.32,1062787
28-Feb-13,13.26,13.50,13.18,13.20,609345
27-Feb-13,12.85,13.44,12.80,13.26,1039941
26-Feb-13,12.64,12.91,12.51,12.89,1298988
25-Feb-13,12.93,12.96,12.60,12.60,1076918
22-Feb-13,12.82,12.90,12.65,12.84,801039
21-Feb-13,12.79,12.88,12.54,12.72,1231690
20-Feb-13,13.28,13.30,12.77,12.79,1606666
19-Feb-13,13.13,13.40,13.09,13.30,957459
15-Feb-13,13.09,13.27,12.99,13.06,857811
14-Feb-13,12.94,13.15,12.90,13.10,538358
13-Feb-13,13.11,13.25,12.89,12.96,764340
12-Feb-13,12.86,13.39,12.82,13.12,1338056
11-Feb-13,12.81,12.94,12.76,12.88,543001
8-Feb-13,12.81,12.97,12.71,12.74,726440
7-Feb-13,12.84,12.96,12.72,12.81,521741
6-Feb-13,12.69,12.95,12.68,12.85,675196
5-Feb-13,12.91,12.91,12.67,12.73,934551
4-Feb-13,12.88,12.96,12.67,12.87,1308780
1-Feb-13,12.94,13.13,12.90,12.98,1048544
31-Jan-13,12.85,13.19,12.82,13.00,1052657
30-Jan-13,13.06,13.08,12.85,12.96,1341040
29-Jan-13,12.98,13.10,12.92,13.08,1176546
28-Jan-13,13.04,13.08,12.85,12.95,1108484
25-Jan-13,13.02,13.10,12.82,13.00,1330095
24-Jan-13,12.78,13.04,12.76,12.92,1579784
23-Jan-13,12.84,13.12,12.50,12.76,2872890
22-Jan-13,12.55,12.80,12.35,12.80,2837625
18-Jan-13,11.95,12.10,11.87,12.08,1400620
17-Jan-13,11.73,12.00,11.70,11.94,1321474
16-Jan-13,11.43,11.70,11.34,11.65,909660
15-Jan-13,11.67,11.70,11.27,11.44,1494276
14-Jan-13,11.48,11.98,11.48,11.82,2039955
11-Jan-13,11.25,11.39,11.17,11.36,758300
10-Jan-13,11.16,11.34,11.02,11.23,770964
9-Jan-13,11.38,11.46,10.97,11.10,1457141
8-Jan-13,10.95,11.41,10.89,11.41,1602142
7-Jan-13,11.32,11.32,10.68,10.92,2083457
4-Jan-13,10.49,11.18,10.45,11.15,4083193
3-Jan-13,9.74,10.12,9.74,10.09,1078555
2-Jan-13,9.60,9.85,9.52,9.75,1801525
31-Dec-12,9.18,9.39,9.05,9.38,742176
28-Dec-12,9.14,9.36,9.12,9.25,443676
27-Dec-12,9.33,9.34,9.10,9.22,566836
26-Dec-12,9.41,9.49,9.31,9.36,366784
24-Dec-12,9.41,9.51,9.41,9.42,238622
21-Dec-12,9.28,9.47,9.22,9.47,1240141
20-Dec-12,9.35,9.44,9.25,9.44,839794
19-Dec-12,9.46,9.57,9.32,9.37,699051
18-Dec-12,9.50,9.72,9.41,9.45,1006512
17-Dec-12,9.20,9.60,9.20,9.49,1634948
