Date, Open, High, Low, Close, Volume
17-May-13,39.92,40.48,39.92,40.48,3219691
16-May-13,40.24,40.27,39.85,39.92,2609384
15-May-13,39.94,40.42,39.91,40.20,2368968
14-May-13,39.59,39.98,39.49,39.98,3072990
13-May-13,39.45,39.60,39.18,39.49,1709698
10-May-13,39.41,39.54,39.31,39.45,2177664
9-May-13,39.45,39.60,39.27,39.46,2804247
8-May-13,39.10,39.45,39.01,39.42,2434549
7-May-13,39.07,39.26,38.82,39.26,2628886
6-May-13,38.96,39.23,38.77,39.07,2878330
3-May-13,38.93,38.94,38.56,38.85,3943347
2-May-13,38.54,38.80,38.42,38.72,2812302
1-May-13,39.07,39.09,38.46,38.53,3204337
30-Apr-13,39.00,39.11,38.58,39.10,3120181
29-Apr-13,39.07,39.08,38.80,38.90,2298953
26-Apr-13,39.16,39.36,38.60,38.78,2820444
25-Apr-13,39.60,39.87,39.02,39.11,4393798
24-Apr-13,39.66,40.09,39.50,39.98,3676465
23-Apr-13,39.24,39.67,39.05,39.53,3082529
22-Apr-13,38.94,39.10,38.78,39.00,3285953
19-Apr-13,38.12,39.02,38.07,38.87,4680904
18-Apr-13,37.77,38.24,37.60,37.92,3858215
17-Apr-13,38.24,38.26,37.60,37.80,4556359
16-Apr-13,38.14,38.47,38.00,38.37,3331905
15-Apr-13,38.55,38.57,37.94,37.95,3355461
12-Apr-13,38.52,38.90,38.41,38.78,2734196
11-Apr-13,39.00,39.07,38.71,38.77,2688250
10-Apr-13,38.75,39.05,38.64,38.94,2679441
9-Apr-13,38.10,38.80,38.04,38.64,3845379
8-Apr-13,37.55,38.13,37.50,38.12,3495041
5-Apr-13,37.55,37.80,37.24,37.52,4467419
4-Apr-13,37.84,38.15,37.66,37.86,2887621
3-Apr-13,38.78,38.84,37.59,37.84,5636439
2-Apr-13,39.30,39.35,38.74,38.84,3672826
1-Apr-13,38.67,39.39,38.67,39.11,4330515
28-Mar-13,38.36,38.80,38.08,38.68,5110776
27-Mar-13,37.87,38.43,37.77,38.37,3478849
26-Mar-13,37.72,38.00,37.57,37.99,3271739
25-Mar-13,37.71,37.76,37.35,37.60,3859783
22-Mar-13,37.17,37.86,37.16,37.62,2849983
21-Mar-13,36.93,37.70,36.86,37.20,4955736
20-Mar-13,36.65,37.03,36.64,36.97,3558085
19-Mar-13,36.27,36.60,36.17,36.55,2420823
18-Mar-13,36.21,36.48,36.11,36.24,2696394
15-Mar-13,36.81,36.88,36.39,36.40,6789323
