Date, Open, High, Low, Close, Volume
17-May-13,1.45,1.59,1.40,1.52,3431009
16-May-13,1.45,1.50,1.38,1.38,1096104
15-May-13,1.45,1.51,1.37,1.41,3386960
14-May-13,1.46,1.53,1.35,1.37,2396865
13-May-13,1.34,1.55,1.32,1.45,4461749
10-May-13,1.19,1.30,1.19,1.29,1620184
9-May-13,1.20,1.27,1.11,1.19,1124768
8-May-13,1.20,1.25,1.20,1.20,594955
7-May-13,1.21,1.30,1.21,1.23,919734
6-May-13,1.34,1.34,1.30,1.30,429288
3-May-13,1.36,1.42,1.30,1.31,1163096
2-May-13,1.27,1.38,1.25,1.35,1067206
1-May-13,1.32,1.32,1.23,1.25,491752
30-Apr-13,1.35,1.41,1.28,1.32,1216762
29-Apr-13,1.25,1.42,1.25,1.35,2177544
26-Apr-13,1.24,1.36,1.19,1.26,1485534
25-Apr-13,1.27,1.33,1.24,1.28,1531541
24-Apr-13,1.14,1.28,1.14,1.24,2008407
23-Apr-13,1.07,1.18,1.07,1.14,1095932
22-Apr-13,1.05,1.12,1.04,1.09,666678
19-Apr-13,1.06,1.10,1.05,1.08,744697
18-Apr-13,1.01,1.11,1.01,1.05,1319062
17-Apr-13,1.05,1.15,1.05,1.08,1171420
16-Apr-13,0.99,1.10,0.93,1.08,1725534
15-Apr-13,1.18,1.21,1.08,1.12,1085160
12-Apr-13,1.21,1.30,1.16,1.22,1247780
11-Apr-13,1.29,1.39,1.25,1.25,2031414
10-Apr-13,1.28,1.34,1.19,1.25,2613921
9-Apr-13,1.07,1.35,1.07,1.32,4914033
8-Apr-13,1.04,1.09,1.02,1.07,900513
5-Apr-13,1.01,1.07,1.01,1.04,403840
4-Apr-13,1.09,1.09,1.01,1.06,612694
3-Apr-13,1.07,1.07,1.02,1.05,514051
2-Apr-13,1.00,1.08,0.98,1.04,1249675
1-Apr-13,1.09,1.09,1.00,1.01,1503186
28-Mar-13,1.06,1.12,1.06,1.10,550568
27-Mar-13,1.13,1.15,1.08,1.10,844914
26-Mar-13,1.15,1.19,1.04,1.13,2189403
25-Mar-13,1.20,1.24,1.16,1.17,991450
22-Mar-13,1.25,1.29,1.21,1.22,945926
21-Mar-13,1.27,1.31,1.22,1.27,786478
20-Mar-13,1.30,1.33,1.21,1.27,1358022
19-Mar-13,1.24,1.35,1.24,1.30,1097296
18-Mar-13,1.39,1.39,1.25,1.27,1678190
15-Mar-13,1.29,1.43,1.25,1.42,2665923
14-Mar-13,1.34,1.39,1.05,1.25,6229006
13-Mar-13,1.58,1.60,1.32,1.39,2441440
12-Mar-13,1.51,1.59,1.51,1.58,1011472
11-Mar-13,1.58,1.59,1.50,1.51,1297598
8-Mar-13,1.62,1.64,1.57,1.59,562955
7-Mar-13,1.62,1.64,1.58,1.60,711693
6-Mar-13,1.61,1.63,1.56,1.62,1676917
5-Mar-13,1.61,1.62,1.56,1.58,1441664
4-Mar-13,1.65,1.65,1.55,1.60,928006
1-Mar-13,1.65,1.68,1.59,1.65,967137
28-Feb-13,1.70,1.77,1.66,1.68,1118716
27-Feb-13,1.76,1.77,1.57,1.71,2580828
26-Feb-13,1.83,1.83,1.71,1.79,750698
25-Feb-13,1.80,1.85,1.73,1.78,1419358
22-Feb-13,1.75,1.83,1.72,1.75,926954
21-Feb-13,1.84,1.85,1.70,1.74,1977738
20-Feb-13,1.95,2.00,1.84,1.85,2738766
19-Feb-13,1.89,2.06,1.88,1.93,3997830
15-Feb-13,1.95,2.00,1.86,1.88,2759430
14-Feb-13,1.84,2.02,1.77,1.96,5336521
13-Feb-13,1.92,2.00,1.73,1.84,4433557
12-Feb-13,1.61,1.88,1.61,1.82,5741013
11-Feb-13,1.59,1.64,1.54,1.61,2586740
8-Feb-13,1.64,1.64,1.55,1.56,1411313
7-Feb-13,1.69,1.69,1.58,1.60,1536130
6-Feb-13,1.66,1.69,1.60,1.64,1562927
5-Feb-13,1.68,1.71,1.58,1.62,3128508
4-Feb-13,1.64,1.77,1.60,1.64,4016909
1-Feb-13,1.74,1.75,1.62,1.63,2203100
31-Jan-13,1.52,1.70,1.46,1.68,3564671
30-Jan-13,1.68,1.72,1.53,1.54,3334074
29-Jan-13,1.77,1.78,1.67,1.68,1810149
28-Jan-13,1.83,1.87,1.72,1.72,2882782
25-Jan-13,1.89,1.93,1.81,1.81,1600406
24-Jan-13,1.87,1.96,1.83,1.87,2147359
23-Jan-13,2.07,2.10,1.85,1.87,4187228
22-Jan-13,1.80,1.99,1.79,1.97,4455315
18-Jan-13,1.97,1.98,1.81,1.83,2678232
17-Jan-13,2.05,2.11,1.95,1.98,2372818
16-Jan-13,1.96,2.08,1.95,2.06,2177007
15-Jan-13,2.22,2.22,1.95,2.00,1922060
14-Jan-13,2.12,2.15,1.96,2.04,2716366
11-Jan-13,2.22,2.25,2.13,2.15,1958333
10-Jan-13,2.28,2.28,2.12,2.18,2565127
9-Jan-13,2.16,2.32,2.12,2.21,6429262
8-Jan-13,1.88,2.18,1.72,2.06,7389738
7-Jan-13,2.15,2.16,1.85,1.90,5486043
4-Jan-13,2.00,2.17,1.94,2.14,8434884
3-Jan-13,1.64,2.00,1.60,1.92,9080684
2-Jan-13,1.54,1.64,1.52,1.58,4117316
31-Dec-12,1.35,1.45,1.32,1.44,3149371
28-Dec-12,1.21,1.40,1.21,1.35,3679249
27-Dec-12,1.21,1.25,1.19,1.22,1500190
26-Dec-12,1.17,1.25,1.16,1.20,2830050
24-Dec-12,1.16,1.18,1.12,1.16,1170252
21-Dec-12,1.23,1.30,1.15,1.15,3535073
20-Dec-12,1.40,1.45,1.27,1.27,3424524
19-Dec-12,1.28,1.50,1.27,1.43,4703115
18-Dec-12,1.21,1.26,1.21,1.26,953852
17-Dec-12,1.25,1.30,1.20,1.23,1599867
14-Dec-12,1.20,1.28,1.19,1.26,1551072
13-Dec-12,1.29,1.29,1.13,1.17,1758796
12-Dec-12,1.04,1.33,1.03,1.20,5974358
11-Dec-12,1.08,1.08,1.01,1.04,863237
10-Dec-12,1.00,1.09,0.97,1.05,1064287
7-Dec-12,0.89,1.01,0.89,1.00,1340486
6-Dec-12,0.95,0.95,0.88,0.90,592318
5-Dec-12,0.91,0.97,0.91,0.94,896797
4-Dec-12,1.05,1.08,0.95,0.99,921821
3-Dec-12,1.15,1.15,1.03,1.05,905519
30-Nov-12,1.20,1.21,1.15,1.17,1212841
29-Nov-12,1.13,1.21,1.10,1.18,2185784
28-Nov-12,0.97,1.12,0.93,1.07,1229427
27-Nov-12,0.92,0.99,0.90,0.97,399975
26-Nov-12,0.92,0.93,0.90,0.93,200470
23-Nov-12,0.88,0.93,0.87,0.92,98602
21-Nov-12,0.87,0.90,0.87,0.90,112722
20-Nov-12,0.93,0.94,0.87,0.87,225515
19-Nov-12,0.93,0.95,0.90,0.94,361626
16-Nov-12,0.96,0.96,0.81,0.91,680929
15-Nov-12,1.00,1.00,0.90,0.96,207322
14-Nov-12,1.04,1.08,0.93,0.98,631154
13-Nov-12,1.08,1.13,1.03,1.07,1238380
12-Nov-12,0.95,1.10,0.89,1.08,1515103
9-Nov-12,0.88,0.92,0.85,0.90,323099
8-Nov-12,0.97,1.00,0.88,0.89,616304
7-Nov-12,1.02,1.02,0.96,0.98,844943
6-Nov-12,0.88,0.98,0.88,0.98,1242592
5-Nov-12,0.87,0.95,0.86,0.87,812165
2-Nov-12,0.89,0.90,0.86,0.87,377198
1-Nov-12,0.84,0.89,0.84,0.89,385394
31-Oct-12,0.87,0.89,0.86,0.87,504431
26-Oct-12,0.84,0.87,0.84,0.85,280365
25-Oct-12,0.91,0.91,0.86,0.86,420697
24-Oct-12,0.94,0.94,0.85,0.89,1018919
23-Oct-12,0.86,0.95,0.83,0.88,1824475
22-Oct-12,0.80,0.86,0.76,0.86,2148477
19-Oct-12,0.82,0.85,0.71,0.71,1444516
18-Oct-12,0.85,0.87,0.81,0.81,672511
17-Oct-12,0.84,0.87,0.82,0.86,1021484
16-Oct-12,0.86,0.91,0.84,0.85,733838
15-Oct-12,0.92,0.94,0.86,0.87,879905
12-Oct-12,1.01,1.02,0.90,0.93,1172755
11-Oct-12,1.04,1.04,1.00,1.01,711000
10-Oct-12,1.05,1.06,1.03,1.04,272326
9-Oct-12,1.04,1.07,1.04,1.06,231367
8-Oct-12,1.03,1.08,1.03,1.05,163459
5-Oct-12,1.08,1.08,1.03,1.04,584126
4-Oct-12,0.99,1.11,0.99,1.09,749470
3-Oct-12,1.03,1.04,1.02,1.02,441847
2-Oct-12,1.06,1.10,1.02,1.04,632470
1-Oct-12,1.14,1.15,1.05,1.06,722525
28-Sep-12,1.23,1.25,1.09,1.09,2403508
27-Sep-12,1.20,1.25,1.18,1.25,766129
26-Sep-12,1.22,1.22,1.16,1.19,473264
25-Sep-12,1.28,1.33,1.24,1.25,916164
24-Sep-12,1.32,1.32,1.28,1.29,429715
21-Sep-12,1.30,1.33,1.28,1.31,1405261
20-Sep-12,1.31,1.32,1.27,1.29,864938
19-Sep-12,1.25,1.31,1.23,1.30,877638
18-Sep-12,1.20,1.27,1.17,1.25,1082015
17-Sep-12,1.18,1.26,1.16,1.20,1944800
14-Sep-12,1.26,1.31,1.24,1.24,644503
13-Sep-12,1.26,1.29,1.25,1.26,418376
12-Sep-12,1.26,1.31,1.26,1.28,554027
11-Sep-12,1.24,1.28,1.20,1.27,1645906
10-Sep-12,1.27,1.30,1.22,1.23,1112557
7-Sep-12,1.28,1.33,1.26,1.28,425953
6-Sep-12,1.32,1.32,1.22,1.28,703967
5-Sep-12,1.22,1.33,1.22,1.33,675613
4-Sep-12,1.30,1.31,1.21,1.25,794714
31-Aug-12,1.32,1.36,1.31,1.31,266552
30-Aug-12,1.40,1.40,1.32,1.32,439167
29-Aug-12,1.39,1.41,1.38,1.38,252002
28-Aug-12,1.38,1.42,1.38,1.40,225507
27-Aug-12,1.42,1.42,1.37,1.40,265435
24-Aug-12,1.42,1.45,1.38,1.40,389649
23-Aug-12,1.46,1.54,1.40,1.45,361587
22-Aug-12,1.53,1.55,1.42,1.49,444652
21-Aug-12,1.53,1.62,1.35,1.51,1789574
20-Aug-12,1.31,1.54,1.27,1.52,1581938
17-Aug-12,1.35,1.38,1.32,1.34,320052
16-Aug-12,1.37,1.43,1.35,1.37,322573
15-Aug-12,1.38,1.42,1.35,1.39,234316
14-Aug-12,1.41,1.45,1.37,1.40,461489
13-Aug-12,1.47,1.49,1.40,1.44,271717
10-Aug-12,1.46,1.48,1.43,1.44,366307
9-Aug-12,1.40,1.48,1.40,1.43,648983
8-Aug-12,1.45,1.55,1.37,1.38,980358
7-Aug-12,1.32,1.59,1.32,1.40,1606282
6-Aug-12,1.33,1.42,1.33,1.42,516234
3-Aug-12,1.30,1.36,1.30,1.32,328460
2-Aug-12,1.33,1.38,1.28,1.30,775095
1-Aug-12,1.42,1.44,1.26,1.28,949523
31-Jul-12,1.47,1.50,1.42,1.42,989072
30-Jul-12,1.54,1.54,1.47,1.47,618868
27-Jul-12,1.55,1.62,1.51,1.56,770961
26-Jul-12,1.54,1.70,1.52,1.58,1212168
25-Jul-12,1.53,1.55,1.48,1.51,728219
24-Jul-12,1.63,1.63,1.53,1.53,1027070
23-Jul-12,1.70,1.70,1.57,1.62,674335
20-Jul-12,1.75,1.78,1.72,1.73,382756
19-Jul-12,1.80,1.80,1.74,1.79,469960
18-Jul-12,1.76,1.80,1.74,1.80,320911
17-Jul-12,1.88,1.88,1.74,1.80,561510
16-Jul-12,1.76,1.90,1.76,1.82,642682
13-Jul-12,1.83,1.86,1.78,1.83,416606
12-Jul-12,1.76,1.84,1.74,1.84,525755
11-Jul-12,1.80,1.84,1.73,1.84,540656
