Date, Open, High, Low, Close, Volume
17-May-13,5.07,5.20,4.96,5.10,37882
16-May-13,5.04,5.06,4.99,5.05,8601
15-May-13,4.95,4.98,4.93,4.93,5498
14-May-13,4.93,5.06,4.92,4.93,21582
13-May-13,5.00,5.16,4.91,4.92,19423
10-May-13,5.06,5.06,4.98,4.98,3445
9-May-13,4.97,5.06,4.96,5.06,2070
8-May-13,4.99,4.99,4.96,4.96,660
7-May-13,4.99,5.02,4.95,5.02,11377
6-May-13,5.15,5.17,5.06,5.06,11300
3-May-13,5.01,5.16,5.01,5.15,6150
2-May-13,5.03,5.03,5.03,5.03,100
1-May-13,5.24,5.24,4.93,4.95,5882
30-Apr-13,5.01,5.23,5.01,5.20,2968
29-Apr-13,4.97,5.09,4.95,4.96,4484
26-Apr-13,4.95,5.00,4.91,4.95,4740
25-Apr-13,5.03,5.06,4.91,4.98,18710
24-Apr-13,5.05,5.14,5.03,5.10,6890
23-Apr-13,5.07,5.50,5.04,5.17,9898
22-Apr-13,5.10,5.10,5.05,5.10,1500
19-Apr-13,5.08,5.08,5.04,5.06,1306
18-Apr-13,5.03,5.03,5.02,5.02,200
17-Apr-13,5.05,5.25,5.05,5.25,2485
16-Apr-13,5.13,5.13,5.05,5.06,4985
15-Apr-13,5.17,5.17,5.08,5.13,1000
12-Apr-13,5.18,5.39,5.11,5.12,16279
11-Apr-13,5.17,5.17,5.17,5.17,100
10-Apr-13,5.17,5.21,5.14,5.21,11700
9-Apr-13,5.15,5.33,5.15,5.26,700
8-Apr-13,5.20,5.40,5.15,5.15,28380
5-Apr-13,5.21,5.22,5.12,5.12,14775
4-Apr-13,5.52,5.52,5.22,5.28,9128
3-Apr-13,5.55,5.55,5.33,5.50,1200
2-Apr-13,5.60,5.60,5.59,5.59,1800
1-Apr-13,5.61,5.71,5.60,5.60,1800
28-Mar-13,5.70,5.86,5.60,5.63,17496
27-Mar-13,5.70,5.71,5.60,5.60,2099
26-Mar-13,-,-,-,5.81,0
25-Mar-13,5.83,5.83,5.81,5.81,1400
21-Mar-13,5.81,5.83,5.74,5.81,3500
20-Mar-13,5.76,5.98,5.76,5.90,3507
19-Mar-13,5.76,5.76,5.61,5.61,1500
18-Mar-13,5.76,5.76,5.76,5.76,240
15-Mar-13,5.87,5.87,5.76,5.76,1500
14-Mar-13,5.90,5.90,5.90,5.90,2464
13-Mar-13,5.61,5.98,5.50,5.90,6257
12-Mar-13,5.60,5.70,5.40,5.58,3220
11-Mar-13,5.43,5.50,5.43,5.50,1050
8-Mar-13,5.65,5.65,5.53,5.57,1949
7-Mar-13,5.38,5.68,5.38,5.68,2064
6-Mar-13,5.52,5.60,5.52,5.59,3925
5-Mar-13,5.38,5.44,5.38,5.39,1923
1-Mar-13,5.44,5.46,5.43,5.46,1917
28-Feb-13,5.36,5.36,5.32,5.36,1299
27-Feb-13,5.30,5.36,5.30,5.36,3100
26-Feb-13,5.35,5.35,5.35,5.35,6100
25-Feb-13,5.31,5.31,5.31,5.31,200
22-Feb-13,-,-,-,5.29,0
21-Feb-13,5.29,5.35,5.27,5.29,5356
20-Feb-13,5.32,5.38,5.28,5.32,4000
19-Feb-13,5.31,5.31,5.29,5.31,970
15-Feb-13,5.35,5.35,5.30,5.30,500
14-Feb-13,5.30,5.40,5.27,5.38,5750
13-Feb-13,5.40,5.41,5.38,5.41,4300
12-Feb-13,5.34,5.34,5.29,5.33,700
11-Feb-13,5.41,5.41,5.32,5.40,2000
8-Feb-13,5.46,5.50,5.44,5.45,2037
7-Feb-13,5.48,5.50,5.48,5.50,6500
6-Feb-13,5.41,5.50,5.41,5.50,1652
5-Feb-13,5.48,5.48,5.48,5.48,450
4-Feb-13,5.41,5.50,5.32,5.48,4229
1-Feb-13,5.54,5.54,5.49,5.49,1000
31-Jan-13,5.28,5.28,5.24,5.26,15897
30-Jan-13,5.33,5.57,5.32,5.32,2821
29-Jan-13,5.56,5.56,5.25,5.25,5751
28-Jan-13,5.23,5.23,5.16,5.20,46935
25-Jan-13,5.21,5.21,5.21,5.21,0
24-Jan-13,5.18,5.27,5.18,5.24,14400
23-Jan-13,5.31,5.31,5.17,5.17,10727
22-Jan-13,5.28,5.60,5.26,5.27,4797
18-Jan-13,5.19,5.37,5.16,5.28,6322
17-Jan-13,5.23,5.23,5.16,5.20,4635
16-Jan-13,5.33,5.33,5.16,5.20,3253
15-Jan-13,5.20,5.45,5.16,5.35,1306
14-Jan-13,5.20,5.48,5.19,5.20,5451
11-Jan-13,5.26,5.48,5.11,5.20,4550
10-Jan-13,5.30,5.44,5.20,5.25,3907
9-Jan-13,5.41,5.41,5.26,5.26,549
8-Jan-13,5.26,5.44,5.26,5.44,1100
