Date, Open, High, Low, Close, Volume
17-May-13,30.49,30.88,30.25,30.60,4149200
16-May-13,30.63,30.95,30.24,30.33,3356685
15-May-13,30.55,30.88,29.97,30.28,3186170
14-May-13,30.19,30.41,29.89,30.41,2723663
13-May-13,29.79,30.37,29.52,29.89,3851340
10-May-13,29.00,29.89,28.80,29.89,3318166
9-May-13,29.04,29.49,28.74,29.07,3453787
8-May-13,29.62,29.62,28.82,29.36,3469660
7-May-13,29.99,29.99,29.08,29.29,2656328
6-May-13,29.27,29.94,29.15,29.54,4068172
3-May-13,27.55,29.30,27.55,28.55,4902105
2-May-13,28.36,28.57,27.60,28.40,2533616
1-May-13,28.71,28.73,27.81,27.89,2951419
30-Apr-13,28.30,28.61,27.85,28.48,3652179
29-Apr-13,27.59,28.79,27.33,28.03,3938276
26-Apr-13,27.54,27.66,26.70,27.28,2949877
25-Apr-13,28.17,28.64,27.56,27.66,3463449
24-Apr-13,27.50,28.14,27.50,27.88,3230552
23-Apr-13,27.04,27.60,26.85,27.46,3248228
22-Apr-13,26.76,26.91,26.30,26.82,2988503
19-Apr-13,26.29,26.51,25.62,26.40,3297340
18-Apr-13,26.47,26.48,25.69,25.92,3131597
17-Apr-13,26.23,26.43,25.42,26.31,3425647
16-Apr-13,25.95,26.50,25.77,26.21,4819789
15-Apr-13,26.13,26.55,25.16,25.33,5107451
12-Apr-13,26.60,27.02,26.00,26.75,3221173
11-Apr-13,27.40,27.64,26.91,27.00,2926781
10-Apr-13,28.00,28.13,27.30,27.40,3137713
9-Apr-13,27.34,28.16,27.05,27.68,4070286
8-Apr-13,26.68,27.11,26.62,27.08,3123673
5-Apr-13,24.68,26.70,24.27,26.38,5310541
4-Apr-13,25.24,26.49,25.08,25.48,6780612
3-Apr-13,26.49,26.85,25.14,25.61,12264725
2-Apr-13,27.69,28.19,27.05,27.09,4882425
1-Apr-13,28.21,28.22,27.53,27.94,4540885
28-Mar-13,27.57,28.73,27.48,28.00,10786930
27-Mar-13,26.55,27.37,26.17,27.23,6794919
26-Mar-13,26.20,26.54,25.86,26.37,2863809
25-Mar-13,26.27,26.60,25.53,25.92,3240381
22-Mar-13,25.86,26.26,25.66,25.79,4223895
21-Mar-13,25.38,26.00,25.20,25.80,4452178
20-Mar-13,25.36,25.36,24.83,25.32,2854339
19-Mar-13,24.96,25.08,24.55,24.84,3026240
18-Mar-13,24.36,25.10,24.00,24.75,3371290
15-Mar-13,25.25,25.45,24.73,24.98,5080782
14-Mar-13,23.90,25.34,23.86,25.20,7261122
13-Mar-13,23.56,23.93,23.21,23.84,2064606
12-Mar-13,23.85,24.35,23.35,23.57,3915663
11-Mar-13,22.82,23.63,22.50,23.58,4073496
8-Mar-13,22.90,22.91,22.32,22.69,2994471
7-Mar-13,22.29,22.53,22.17,22.23,2409559
6-Mar-13,21.84,22.32,21.60,22.13,4353348
5-Mar-13,21.74,21.90,21.59,21.60,3228654
4-Mar-13,21.00,21.56,21.00,21.50,2888081
1-Mar-13,21.02,21.37,20.77,21.16,3739534
28-Feb-13,21.47,21.70,21.25,21.30,3012348
27-Feb-13,21.02,21.71,20.95,21.57,3643440
26-Feb-13,20.77,21.45,20.72,21.15,5907370
25-Feb-13,21.00,21.58,20.36,20.44,4950005
22-Feb-13,20.51,21.34,20.25,20.99,6904674
21-Feb-13,20.55,20.60,19.64,20.21,4985476
20-Feb-13,21.36,21.58,20.36,20.55,5044108
19-Feb-13,21.75,21.82,21.48,21.63,1679233
15-Feb-13,22.06,22.06,21.42,21.74,2378400
14-Feb-13,21.49,21.95,21.42,21.82,1831405
13-Feb-13,21.71,21.76,21.42,21.67,2483942
12-Feb-13,21.92,22.12,21.50,21.68,2996373
11-Feb-13,22.10,22.32,21.99,22.00,1946680
8-Feb-13,22.06,22.23,21.73,22.14,2080909
7-Feb-13,22.03,22.13,21.59,21.77,1795150
6-Feb-13,21.82,21.95,21.65,21.95,1767879
5-Feb-13,21.50,21.97,21.36,21.89,2053241
4-Feb-13,21.44,21.60,21.28,21.31,2217325
1-Feb-13,21.50,21.76,21.35,21.57,2586312
31-Jan-13,21.16,21.55,21.09,21.23,2398312
30-Jan-13,20.93,21.56,20.73,21.21,5583431
29-Jan-13,20.63,21.44,20.61,20.97,2852107
28-Jan-13,21.00,21.08,20.56,20.80,2823748
25-Jan-13,20.94,21.12,20.83,20.93,2643024
24-Jan-13,20.78,21.05,20.74,20.83,3412966
23-Jan-13,21.03,21.15,20.51,20.87,3548216
22-Jan-13,20.43,21.20,20.22,21.01,3667278
18-Jan-13,20.21,20.45,20.12,20.41,3315965
17-Jan-13,20.40,20.50,20.21,20.32,1908559
16-Jan-13,20.17,20.29,20.05,20.23,1664913
15-Jan-13,20.09,20.35,19.97,20.26,2014332
14-Jan-13,20.27,20.29,20.06,20.18,2040401
11-Jan-13,20.39,20.60,19.87,20.24,4606667
10-Jan-13,20.52,20.57,20.09,20.54,3003319
9-Jan-13,20.28,20.40,20.16,20.35,4608616
8-Jan-13,20.24,20.24,19.85,20.18,2391476
7-Jan-13,20.42,20.42,19.80,20.21,3766261
4-Jan-13,20.41,20.46,19.88,20.14,7428866
3-Jan-13,19.53,20.09,19.25,19.81,5551568
2-Jan-13,19.00,19.67,18.97,19.50,7045321
31-Dec-12,18.39,18.88,18.21,18.78,3603187
28-Dec-12,18.69,18.92,18.10,18.25,3760926
27-Dec-12,18.51,18.75,18.02,18.57,4061409
26-Dec-12,17.89,18.62,17.86,18.32,5085778
24-Dec-12,17.88,18.23,17.72,17.88,1485836
21-Dec-12,17.77,18.13,17.65,18.01,4743868
20-Dec-12,18.24,18.31,18.01,18.20,6486409
19-Dec-12,18.12,18.25,17.80,18.02,4582019
18-Dec-12,18.08,18.21,17.87,17.96,4528798
