Date, Open, High, Low, Close, Volume
17-May-13,80.69,81.02,80.39,80.95,350200
16-May-13,82.96,82.98,80.06,80.61,249510
15-May-13,81.17,83.11,81.17,82.99,195748
14-May-13,80.39,81.96,80.14,81.88,128650
13-May-13,80.41,80.70,79.30,80.21,130633
10-May-13,81.00,81.17,80.24,80.56,109697
9-May-13,80.86,82.02,80.79,81.02,230429
8-May-13,78.33,81.16,78.10,80.95,214663
7-May-13,76.27,77.96,75.43,77.95,235654
6-May-13,77.62,78.24,75.83,76.38,363483
3-May-13,77.06,78.66,76.28,77.26,209529
2-May-13,74.71,76.56,73.79,75.83,176989
1-May-13,76.67,76.82,74.26,74.32,233229
30-Apr-13,77.24,77.47,76.70,76.82,219515
29-Apr-13,76.43,78.25,76.29,77.46,252210
26-Apr-13,76.06,76.45,74.56,76.26,266176
25-Apr-13,75.90,77.04,75.76,76.11,129929
24-Apr-13,75.43,75.86,74.66,75.62,133572
23-Apr-13,74.78,75.65,74.42,75.18,145295
22-Apr-13,74.88,75.48,73.43,74.61,171308
19-Apr-13,74.94,75.50,73.43,74.71,308785
18-Apr-13,75.61,76.00,74.26,74.49,169815
17-Apr-13,76.47,76.47,74.24,75.61,291488
16-Apr-13,77.12,78.15,76.60,77.22,304960
15-Apr-13,79.59,79.87,76.56,76.69,225236
12-Apr-13,81.81,81.98,78.67,80.28,260738
11-Apr-13,82.13,83.00,81.96,82.22,140881
10-Apr-13,82.40,82.99,81.64,82.29,163307
9-Apr-13,82.04,83.06,81.85,82.01,160152
8-Apr-13,81.14,82.24,80.91,81.98,250610
5-Apr-13,80.12,81.37,79.62,81.23,208218
4-Apr-13,82.74,82.74,80.61,81.49,286388
3-Apr-13,82.79,84.14,81.69,82.82,324882
2-Apr-13,87.16,87.16,81.44,82.35,464263
1-Apr-13,88.23,88.23,83.80,87.18,473077
28-Mar-13,90.42,90.84,86.40,88.18,382054
27-Mar-13,93.50,94.50,84.51,90.01,988385
26-Mar-13,91.69,92.79,90.74,92.37,212692
25-Mar-13,93.86,93.93,89.77,91.09,242408
22-Mar-13,92.18,94.20,91.80,93.50,249032
21-Mar-13,92.73,93.48,89.45,91.87,285828
20-Mar-13,91.34,93.93,91.34,93.00,170498
19-Mar-13,93.00,93.17,90.62,91.30,213085
18-Mar-13,90.89,94.03,90.71,92.99,244382
15-Mar-13,92.98,94.09,92.52,93.79,579418
14-Mar-13,89.21,92.79,88.58,92.73,290437
13-Mar-13,88.14,89.20,86.68,88.81,200626
12-Mar-13,88.91,88.91,86.82,88.16,157141
11-Mar-13,89.39,89.59,87.74,88.99,218535
8-Mar-13,88.93,89.36,87.56,89.35,202856
7-Mar-13,86.82,88.43,86.82,88.03,233897
6-Mar-13,86.95,87.47,86.19,86.88,166509
5-Mar-13,85.04,87.60,84.94,86.43,345629
4-Mar-13,84.45,85.69,83.60,84.15,276541
1-Mar-13,85.24,85.61,82.63,84.44,356917
28-Feb-13,85.00,85.86,84.63,85.45,205583
27-Feb-13,82.51,85.26,82.32,84.95,194774
26-Feb-13,81.78,82.86,81.18,82.32,208566
25-Feb-13,85.04,85.34,80.98,81.37,181715
22-Feb-13,84.76,85.31,83.83,84.39,229002
21-Feb-13,85.22,85.72,83.36,84.34,241999
20-Feb-13,88.21,89.27,85.29,85.33,263991
19-Feb-13,89.65,90.24,87.59,88.40,406752
15-Feb-13,91.82,91.82,89.04,89.55,247429
14-Feb-13,90.99,93.00,90.91,91.36,72423
13-Feb-13,90.65,91.76,90.39,91.49,120399
12-Feb-13,91.61,91.99,90.47,90.65,138014
11-Feb-13,91.63,91.92,90.50,91.49,86538
8-Feb-13,90.10,91.79,90.03,91.37,120449
7-Feb-13,93.26,93.26,89.71,90.08,201766
6-Feb-13,92.67,93.48,92.03,93.41,82467
5-Feb-13,92.42,93.70,92.02,92.90,100653
