Date, Open, High, Low, Close, Volume
17-May-13,1.93,1.97,1.90,1.97,120296
16-May-13,1.97,1.97,1.92,1.96,250645
15-May-13,1.98,1.98,1.95,1.97,157353
14-May-13,1.97,2.01,1.96,2.01,207274
13-May-13,1.93,1.97,1.93,1.95,130865
10-May-13,1.93,1.98,1.91,1.93,511693
9-May-13,1.98,1.98,1.89,1.93,128172
8-May-13,2.03,2.03,1.91,1.96,262956
7-May-13,2.00,2.03,1.97,2.01,78450
6-May-13,2.04,2.04,1.98,2.02,59868
3-May-13,1.99,2.04,1.97,2.02,143015
2-May-13,1.95,1.99,1.94,1.98,210725
1-May-13,1.93,1.98,1.86,1.93,309354
30-Apr-13,1.94,1.95,1.93,1.95,114259
29-Apr-13,1.97,1.97,1.93,1.97,47134
26-Apr-13,1.98,1.99,1.93,1.97,89428
25-Apr-13,1.99,2.02,1.96,1.98,246452
24-Apr-13,1.99,1.99,1.95,1.99,49685
23-Apr-13,1.92,1.99,1.91,1.99,175335
22-Apr-13,1.90,1.97,1.85,1.95,68185
19-Apr-13,1.86,1.90,1.79,1.86,259486
18-Apr-13,1.81,1.89,1.78,1.88,350937
17-Apr-13,1.88,1.94,1.80,1.85,286469
16-Apr-13,1.76,1.83,1.71,1.80,162265
15-Apr-13,1.85,1.90,1.67,1.71,583642
12-Apr-13,1.96,1.96,1.86,1.87,482920
11-Apr-13,2.00,2.00,1.96,1.96,108419
10-Apr-13,2.01,2.03,1.95,1.99,152509
9-Apr-13,2.03,2.04,2.00,2.03,125682
8-Apr-13,2.03,2.04,1.98,1.99,110324
5-Apr-13,1.95,2.05,1.93,2.05,153210
4-Apr-13,1.97,2.04,1.94,1.97,163798
3-Apr-13,2.00,2.00,1.91,2.00,412658
2-Apr-13,2.03,2.03,1.95,1.99,218151
1-Apr-13,2.09,2.12,1.95,1.99,279302
28-Mar-13,2.15,2.15,2.01,2.01,356366
27-Mar-13,2.14,2.16,2.08,2.16,116215
26-Mar-13,2.17,2.17,2.07,2.16,114526
25-Mar-13,2.15,2.17,2.06,2.14,208282
22-Mar-13,2.10,2.18,2.08,2.18,256516
21-Mar-13,2.04,2.06,2.02,2.04,147139
20-Mar-13,2.00,2.09,2.00,2.00,142462
19-Mar-13,1.93,2.00,1.93,2.00,141303
18-Mar-13,1.95,1.99,1.91,1.91,180365
15-Mar-13,2.00,2.00,1.93,1.99,184464
14-Mar-13,2.06,2.17,1.96,2.02,332929
13-Mar-13,2.19,2.20,2.02,2.12,433243
12-Mar-13,2.12,2.20,2.07,2.19,510454
11-Mar-13,1.98,2.07,1.95,2.06,207914
8-Mar-13,1.95,1.97,1.92,1.95,190916
7-Mar-13,1.99,1.99,1.90,1.97,370383
6-Mar-13,1.96,2.00,1.95,2.00,84273
5-Mar-13,1.92,1.97,1.92,1.97,105964
4-Mar-13,1.96,1.96,1.92,1.92,98502
1-Mar-13,1.98,1.98,1.90,1.98,218749
28-Feb-13,1.99,2.00,1.93,1.98,42115
27-Feb-13,1.93,2.00,1.93,1.99,230137
26-Feb-13,1.92,1.97,1.91,1.93,172832
25-Feb-13,1.92,1.95,1.85,1.92,178566
22-Feb-13,2.02,2.02,1.89,1.89,161358
21-Feb-13,1.90,2.00,1.82,1.91,282172
20-Feb-13,1.95,1.95,1.85,1.90,376125
19-Feb-13,1.95,1.96,1.87,1.93,131115
15-Feb-13,1.91,1.95,1.85,1.95,143635
14-Feb-13,1.94,1.97,1.91,1.91,175901
13-Feb-13,1.95,1.98,1.90,1.94,198360
12-Feb-13,1.98,1.98,1.91,1.94,266193
11-Feb-13,2.01,2.03,1.96,2.00,84999
8-Feb-13,2.04,2.06,1.98,2.02,173160
7-Feb-13,2.14,2.19,2.01,2.01,322418
6-Feb-13,2.12,2.19,2.10,2.14,93100
5-Feb-13,2.13,2.19,2.10,2.16,278865
4-Feb-13,2.11,2.14,2.08,2.10,174641
1-Feb-13,1.92,2.14,1.91,2.11,441626
31-Jan-13,1.81,1.97,1.80,1.92,359419
30-Jan-13,1.82,1.85,1.80,1.84,97805
29-Jan-13,1.76,1.84,1.76,1.81,102903
28-Jan-13,1.77,1.82,1.75,1.82,150088
25-Jan-13,1.85,1.89,1.75,1.78,179256
24-Jan-13,1.93,1.96,1.85,1.85,87586
23-Jan-13,1.90,1.96,1.84,1.95,133001
22-Jan-13,1.99,1.99,1.81,1.88,242823
18-Jan-13,1.89,1.91,1.85,1.91,137439
17-Jan-13,1.76,1.90,1.71,1.90,528580
16-Jan-13,1.94,1.94,1.75,1.80,609265
15-Jan-13,2.02,2.02,1.90,1.92,224910
14-Jan-13,2.05,2.06,1.90,1.95,277382
11-Jan-13,2.04,2.06,2.02,2.06,121300
10-Jan-13,2.08,2.08,2.02,2.05,140219
9-Jan-13,2.04,2.08,2.03,2.08,120089
8-Jan-13,2.08,2.10,2.06,2.07,77107
7-Jan-13,2.08,2.14,2.05,2.07,101588
4-Jan-13,2.03,2.15,2.01,2.10,248472
3-Jan-13,2.20,2.20,1.98,2.05,342265
2-Jan-13,2.30,2.32,2.16,2.20,299280
31-Dec-12,2.20,2.30,2.19,2.28,161561
28-Dec-12,2.22,2.25,2.20,2.23,144461
27-Dec-12,2.28,2.28,2.21,2.25,105010
26-Dec-12,2.29,2.30,2.23,2.30,104024
24-Dec-12,2.30,2.31,2.22,2.28,112331
21-Dec-12,2.26,2.31,2.22,2.31,145125
20-Dec-12,2.28,2.32,2.26,2.27,166930
19-Dec-12,2.30,2.32,2.28,2.28,146042
18-Dec-12,2.32,2.35,2.26,2.28,166865
17-Dec-12,2.27,2.35,2.27,2.30,170663
14-Dec-12,2.30,2.32,2.27,2.28,58018
13-Dec-12,2.40,2.43,2.31,2.32,134881
12-Dec-12,2.27,2.42,2.24,2.41,209451
11-Dec-12,2.26,2.28,2.22,2.27,91956
10-Dec-12,2.19,2.25,2.19,2.25,289425
7-Dec-12,2.22,2.29,2.19,2.20,198311
6-Dec-12,2.24,2.24,2.19,2.20,59808
5-Dec-12,2.23,2.23,2.19,2.22,171457
4-Dec-12,2.19,2.23,2.19,2.20,225778
3-Dec-12,2.28,2.28,2.19,2.19,171886
30-Nov-12,2.25,2.27,2.19,2.24,114136
29-Nov-12,2.17,2.24,2.17,2.23,163452
28-Nov-12,2.19,2.23,2.16,2.16,174715
27-Nov-12,2.20,2.23,2.17,2.22,114613
26-Nov-12,2.22,2.27,2.19,2.22,264413
23-Nov-12,2.22,2.25,2.19,2.20,87076
21-Nov-12,2.22,2.23,2.19,2.22,89018
20-Nov-12,2.20,2.23,2.19,2.19,82945
19-Nov-12,2.27,2.30,2.20,2.23,118748
16-Nov-12,2.20,2.25,2.18,2.24,250225
15-Nov-12,2.38,2.38,2.19,2.20,278450
14-Nov-12,2.23,2.42,2.19,2.25,782360
13-Nov-12,2.20,2.28,2.12,2.28,256053
12-Nov-12,2.46,2.51,2.10,2.18,581155
9-Nov-12,2.47,2.53,2.43,2.46,98771
8-Nov-12,2.54,2.59,2.42,2.47,185529
7-Nov-12,2.68,2.69,2.53,2.55,133514
6-Nov-12,2.64,2.74,2.52,2.65,201899
5-Nov-12,2.69,2.75,2.53,2.60,185908
2-Nov-12,2.78,2.79,2.60,2.65,173465
1-Nov-12,2.69,2.80,2.66,2.79,122603
31-Oct-12,2.55,2.75,2.55,2.72,139823
26-Oct-12,2.60,2.60,2.45,2.55,246328
25-Oct-12,2.67,2.67,2.55,2.57,149116
24-Oct-12,2.73,2.73,2.60,2.65,190015
23-Oct-12,2.79,2.79,2.69,2.70,122981
22-Oct-12,2.66,2.82,2.66,2.80,201683
19-Oct-12,2.91,2.91,2.70,2.70,259835
18-Oct-12,2.97,2.97,2.87,2.94,143909
17-Oct-12,2.75,2.94,2.75,2.94,243037
16-Oct-12,2.62,2.79,2.62,2.75,310423
15-Oct-12,2.72,2.72,2.52,2.54,233490
12-Oct-12,2.65,2.73,2.65,2.72,120814
11-Oct-12,2.81,2.82,2.60,2.68,433621
10-Oct-12,2.84,2.91,2.74,2.76,231261
9-Oct-12,2.87,2.95,2.83,2.85,487539
8-Oct-12,2.96,3.05,2.90,2.91,161958
5-Oct-12,3.07,3.08,2.99,3.00,235024
4-Oct-12,3.07,3.10,3.00,3.10,150450
3-Oct-12,3.02,3.05,2.90,3.05,432168
2-Oct-12,3.23,3.23,3.05,3.12,324992
1-Oct-12,3.35,3.37,3.17,3.23,483559
28-Sep-12,3.33,3.33,3.22,3.27,561434
27-Sep-12,3.22,3.38,3.22,3.29,171122
26-Sep-12,3.36,3.38,3.24,3.28,300297
25-Sep-12,3.39,3.39,3.30,3.36,341163
24-Sep-12,3.33,3.38,3.21,3.34,878617
21-Sep-12,3.00,3.20,2.99,3.18,703252
20-Sep-12,3.01,3.01,2.94,3.00,162609
19-Sep-12,2.94,3.03,2.92,2.96,211520
18-Sep-12,3.00,3.00,2.93,2.94,55360
17-Sep-12,3.00,3.00,2.93,3.00,95383
14-Sep-12,2.95,2.99,2.92,2.98,129992
13-Sep-12,2.90,2.93,2.82,2.91,192388
12-Sep-12,2.89,2.92,2.82,2.88,199227
11-Sep-12,3.00,3.00,2.88,2.90,95373
10-Sep-12,3.00,3.00,2.96,2.96,63109
7-Sep-12,3.00,3.00,2.94,2.99,183306
6-Sep-12,2.97,2.99,2.91,2.98,124846
5-Sep-12,3.05,3.05,2.93,2.95,92804
4-Sep-12,2.97,3.05,2.97,3.00,150650
31-Aug-12,2.95,2.99,2.89,2.96,164995
30-Aug-12,2.95,2.97,2.88,2.92,56253
29-Aug-12,3.02,3.02,2.92,2.95,95304
28-Aug-12,2.80,2.95,2.80,2.94,122588
27-Aug-12,2.94,3.04,2.85,2.87,170014
24-Aug-12,2.94,2.94,2.90,2.94,84062
23-Aug-12,2.90,2.93,2.86,2.91,135772
22-Aug-12,2.82,2.85,2.76,2.84,177866
21-Aug-12,2.89,2.89,2.82,2.87,173674
20-Aug-12,2.88,2.89,2.83,2.87,90062
17-Aug-12,2.87,2.92,2.86,2.91,29787
16-Aug-12,2.88,2.90,2.81,2.90,145504
15-Aug-12,2.91,2.91,2.81,2.83,145180
14-Aug-12,2.95,2.95,2.87,2.90,200456
13-Aug-12,3.05,3.05,2.94,2.96,182833
10-Aug-12,3.08,3.11,2.97,3.00,131318
9-Aug-12,3.02,3.11,3.01,3.09,238369
8-Aug-12,2.98,3.02,2.95,2.96,76052
7-Aug-12,2.94,3.04,2.94,3.02,131551
6-Aug-12,3.01,3.01,2.95,2.95,72565
3-Aug-12,3.05,3.05,2.79,2.97,159487
2-Aug-12,3.00,3.05,2.95,2.99,204245
1-Aug-12,2.84,3.42,2.74,2.99,1520869
31-Jul-12,2.80,2.91,2.80,2.85,213309
30-Jul-12,3.00,3.03,2.75,2.89,461423
27-Jul-12,3.08,3.10,2.96,3.00,257330
26-Jul-12,3.08,3.09,3.03,3.05,95963
25-Jul-12,3.01,3.07,2.97,3.04,211690
24-Jul-12,3.05,3.11,2.95,2.99,218746
23-Jul-12,3.05,3.10,3.02,3.09,194818
20-Jul-12,3.08,3.11,2.99,3.08,222326
19-Jul-12,3.14,3.15,3.08,3.08,107484
18-Jul-12,3.14,3.15,3.08,3.11,170459
17-Jul-12,3.15,3.16,3.09,3.14,131634
16-Jul-12,3.11,3.15,3.10,3.12,144350
13-Jul-12,3.11,3.16,3.06,3.10,259399
12-Jul-12,2.89,3.09,2.87,3.06,256176
11-Jul-12,3.07,3.17,2.90,2.93,461754
10-Jul-12,2.86,3.10,2.83,3.01,2824242
9-Jul-12,2.62,2.89,2.62,2.77,746744
6-Jul-12,2.58,2.69,2.54,2.64,308900
5-Jul-12,2.52,2.61,2.50,2.59,371418
3-Jul-12,2.59,2.59,2.48,2.49,118305
2-Jul-12,2.49,2.58,2.46,2.50,267844
29-Jun-12,2.29,2.60,2.29,2.47,385516
28-Jun-12,2.20,2.26,2.15,2.25,37266
27-Jun-12,2.30,2.39,2.20,2.21,90506
26-Jun-12,2.27,2.30,2.20,2.30,28749
25-Jun-12,2.30,2.33,2.22,2.25,53266
22-Jun-12,2.30,2.34,2.20,2.34,286276
21-Jun-12,2.35,2.40,2.31,2.31,95819
20-Jun-12,2.31,2.40,2.31,2.39,125444
19-Jun-12,2.36,2.48,2.30,2.31,124796
18-Jun-12,2.21,2.36,2.18,2.36,120620
15-Jun-12,2.07,2.24,2.05,2.17,144863
14-Jun-12,2.13,2.13,2.08,2.09,42450
13-Jun-12,2.04,2.12,2.04,2.10,146933
12-Jun-12,2.10,2.16,2.06,2.07,141474
11-Jun-12,2.12,2.19,2.10,2.12,124512
8-Jun-12,2.13,2.17,2.12,2.14,85204
7-Jun-12,2.17,2.26,2.14,2.17,181483
6-Jun-12,2.15,2.29,2.13,2.22,494798
5-Jun-12,2.19,2.20,2.02,2.15,422457
4-Jun-12,2.24,2.25,2.14,2.18,135471
1-Jun-12,2.00,2.21,1.98,2.18,560945
31-May-12,1.94,2.05,1.94,2.02,612003
30-May-12,1.89,1.94,1.80,1.92,288872
29-May-12,1.86,1.95,1.81,1.95,442551
25-May-12,1.74,1.88,1.67,1.82,207521
24-May-12,1.71,1.73,1.60,1.73,52181
23-May-12,1.72,1.72,1.59,1.72,174336
22-May-12,1.78,1.79,1.68,1.72,343206
21-May-12,1.80,1.84,1.78,1.78,235719
18-May-12,1.84,1.86,1.80,1.84,92126
17-May-12,1.78,1.87,1.78,1.84,77104
16-May-12,1.86,1.88,1.77,1.77,135109
15-May-12,1.94,1.94,1.86,1.86,65673
14-May-12,1.95,1.95,1.88,1.93,110710
11-May-12,1.92,1.95,1.92,1.95,100259
10-May-12,1.87,1.92,1.87,1.90,78566
9-May-12,1.80,1.88,1.78,1.86,50190
8-May-12,1.86,1.89,1.78,1.78,205067
7-May-12,1.90,1.91,1.86,1.86,84449
4-May-12,1.96,1.96,1.89,1.90,73316
3-May-12,1.97,1.98,1.92,1.95,97483
2-May-12,1.97,1.99,1.90,1.98,44556
