Date, Open, High, Low, Close, Volume
17-May-13,5.64,5.89,5.56,5.79,233389
16-May-13,5.77,5.88,5.55,5.59,56137
15-May-13,6.17,6.32,5.63,5.77,109125
14-May-13,6.31,6.46,6.12,6.20,35929
13-May-13,6.49,6.50,6.08,6.26,266895
10-May-13,8.08,8.08,6.05,6.50,373237
9-May-13,8.74,9.00,8.04,8.46,33629
8-May-13,8.51,8.84,8.51,8.81,13403
7-May-13,8.75,8.99,8.25,8.57,25092
6-May-13,8.75,9.26,8.71,8.86,20406
3-May-13,8.84,8.99,8.62,8.87,5933
2-May-13,8.53,8.86,8.45,8.71,23888
1-May-13,8.70,8.90,8.39,8.46,39583
30-Apr-13,8.30,8.71,8.25,8.64,61119
29-Apr-13,8.00,8.32,8.00,8.19,59809
26-Apr-13,8.17,8.20,7.83,7.93,54659
25-Apr-13,8.01,8.18,8.00,8.18,35776
24-Apr-13,8.24,8.35,8.21,8.31,11048
23-Apr-13,9.05,9.05,8.42,8.49,74522
22-Apr-13,9.01,9.05,8.75,9.00,26780
19-Apr-13,9.80,9.80,9.08,9.14,88399
18-Apr-13,9.80,9.85,9.59,9.79,10763
17-Apr-13,9.79,9.79,9.58,9.75,16288
16-Apr-13,9.84,9.95,9.73,9.82,15597
15-Apr-13,9.59,9.88,9.11,9.80,66867
12-Apr-13,9.54,9.65,9.51,9.58,18694
11-Apr-13,9.72,9.96,9.27,9.61,8113
10-Apr-13,9.62,9.83,9.60,9.69,28938
9-Apr-13,9.74,9.95,9.61,9.62,10419
8-Apr-13,9.64,9.75,9.64,9.75,18130
5-Apr-13,9.39,9.68,9.39,9.58,15836
4-Apr-13,9.55,9.87,9.46,9.54,40779
3-Apr-13,9.53,9.78,9.32,9.52,22511
2-Apr-13,9.80,10.33,9.36,9.51,106191
1-Apr-13,10.50,10.50,9.51,9.77,46858
28-Mar-13,10.38,10.88,10.13,10.51,634424
27-Mar-13,10.12,10.54,9.65,10.49,38624
26-Mar-13,9.73,10.35,9.65,10.29,55274
25-Mar-13,10.01,10.21,9.94,10.20,14170
22-Mar-13,10.10,10.54,9.90,10.11,43500
21-Mar-13,10.55,10.66,10.25,10.40,15908
20-Mar-13,9.52,10.47,9.50,10.31,53137
19-Mar-13,9.62,9.88,9.50,9.62,14557
18-Mar-13,9.50,10.14,9.42,9.86,47097
15-Mar-13,9.92,9.92,9.07,9.60,115307
14-Mar-13,10.40,10.40,9.77,9.92,24923
13-Mar-13,10.24,10.54,10.20,10.23,20695
12-Mar-13,10.30,10.80,9.99,10.66,10993
11-Mar-13,10.49,10.80,10.21,10.41,81067
8-Mar-13,10.07,10.62,10.07,10.23,45247
7-Mar-13,9.96,10.31,9.96,10.13,9366
6-Mar-13,10.01,10.20,9.60,10.00,74724
5-Mar-13,10.24,10.25,9.86,9.90,50300
4-Mar-13,9.52,10.25,9.48,10.15,37172
1-Mar-13,9.75,9.99,9.51,9.65,15915
28-Feb-13,9.70,10.19,9.68,9.75,18897
27-Feb-13,10.21,10.21,9.51,9.69,68673
26-Feb-13,9.71,10.46,9.51,10.24,29036
25-Feb-13,10.07,10.07,9.26,9.76,106983
22-Feb-13,10.26,10.28,9.77,10.10,46861
21-Feb-13,10.85,10.99,9.75,10.14,70743
20-Feb-13,11.25,11.25,10.80,10.91,72315
19-Feb-13,11.35,11.35,10.89,11.00,83521
15-Feb-13,10.86,11.18,10.80,11.00,119150
14-Feb-13,11.15,11.35,10.75,10.76,99370
13-Feb-13,11.47,11.60,11.11,11.25,27143
12-Feb-13,11.60,11.84,11.30,11.32,73218
11-Feb-13,11.28,11.33,11.20,11.33,21222
8-Feb-13,11.05,11.30,11.05,11.17,22711
7-Feb-13,10.80,11.25,10.75,11.05,12188
6-Feb-13,10.92,11.30,10.75,11.05,35908
5-Feb-13,11.25,11.30,10.83,10.83,172223
4-Feb-13,11.18,11.30,10.70,10.89,59333
1-Feb-13,10.70,10.97,10.35,10.68,50121
31-Jan-13,10.43,10.79,10.31,10.50,38725
30-Jan-13,11.10,11.30,10.42,10.64,99854
29-Jan-13,10.80,11.12,10.58,11.06,193195
28-Jan-13,10.64,11.35,10.50,10.80,249472
25-Jan-13,9.75,10.68,9.43,10.45,2819148
