Date, Open, High, Low, Close, Volume
17-May-13,21.47,21.50,21.47,21.50,500
16-May-13,21.00,21.00,21.00,21.00,500
15-May-13,20.99,21.60,20.99,21.60,2422
14-May-13,20.78,20.78,20.78,20.78,100
13-May-13,20.10,20.74,20.05,20.61,900
10-May-13,21.66,21.70,21.64,21.70,1300
9-May-13,20.44,20.44,20.44,20.44,100
1-May-13,20.98,21.00,20.50,20.50,1352
30-Apr-13,21.29,21.29,21.00,21.00,1700
29-Apr-13,22.00,22.00,21.00,21.00,1900
25-Apr-13,21.97,21.97,21.25,21.25,2100
24-Apr-13,21.25,21.25,21.25,21.25,400
23-Apr-13,21.25,21.50,21.24,21.25,3300
22-Apr-13,22.60,22.60,21.27,21.27,3301
18-Apr-13,22.74,22.74,22.53,22.54,500
15-Apr-13,21.25,21.25,21.25,21.25,200
12-Apr-13,21.23,21.25,21.23,21.25,881
11-Apr-13,20.53,21.00,20.50,21.00,3200
9-Apr-13,20.65,21.13,20.50,21.13,700
4-Apr-13,21.00,21.25,21.00,21.00,1692
27-Mar-13,21.42,21.42,21.42,21.42,100
25-Mar-13,22.05,22.05,22.00,22.00,524
21-Mar-13,22.00,22.00,22.00,22.00,500
20-Mar-13,21.80,22.00,21.80,22.00,1372
19-Mar-13,21.50,21.50,21.50,21.50,300
8-Mar-13,21.14,21.67,21.14,21.67,800
4-Mar-13,21.17,21.17,20.98,20.98,641
1-Mar-13,21.25,21.25,21.25,21.25,301
26-Feb-13,21.25,21.25,21.25,21.25,300
25-Feb-13,21.25,21.25,21.25,21.25,1286
21-Feb-13,21.25,21.25,21.25,21.25,112
20-Feb-13,21.49,21.49,21.25,21.25,500
12-Feb-13,21.25,21.25,21.25,21.25,1000
8-Feb-13,21.13,21.13,21.13,21.13,100
7-Feb-13,21.15,21.15,21.15,21.15,100
31-Jan-13,21.10,21.10,21.10,21.10,100
28-Jan-13,21.26,21.48,21.19,21.19,4630
25-Jan-13,21.38,21.38,21.38,21.38,100
24-Jan-13,21.57,21.57,21.50,21.50,1900
23-Jan-13,22.02,22.02,21.85,21.85,315
22-Jan-13,23.07,23.31,21.65,22.11,1345
16-Jan-13,23.31,23.31,22.96,22.96,400
15-Jan-13,23.31,23.31,23.31,23.31,300
14-Jan-13,23.37,23.37,23.37,23.37,100
11-Jan-13,23.38,23.38,23.38,23.38,100
10-Jan-13,23.28,23.28,22.75,22.75,235
4-Jan-13,20.00,20.99,19.80,20.99,3500
2-Jan-13,20.41,21.11,20.04,20.04,3502
31-Dec-12,19.50,20.30,19.00,19.70,3300
28-Dec-12,18.19,19.50,18.19,19.50,4402
27-Dec-12,18.08,18.08,18.08,18.08,300
26-Dec-12,18.96,18.96,17.95,17.95,1458
21-Dec-12,18.75,18.75,18.75,18.75,5000
20-Dec-12,19.75,19.75,19.70,19.75,3467
17-Dec-12,19.78,19.78,19.75,19.75,256
14-Dec-12,19.76,19.78,19.76,19.78,200
13-Dec-12,20.00,20.07,20.00,20.04,1644
12-Dec-12,19.95,19.99,19.95,19.99,600
11-Dec-12,19.30,19.53,19.30,19.53,374
10-Dec-12,18.90,19.21,18.90,19.15,3317
7-Dec-12,19.00,19.25,19.00,19.25,976
6-Dec-12,19.71,19.75,19.71,19.75,1000
5-Dec-12,19.89,19.89,19.89,19.89,300
4-Dec-12,20.00,20.04,19.71,20.00,8926
3-Dec-12,19.87,19.97,19.80,19.96,4250
30-Nov-12,19.75,19.75,19.70,19.70,2950
29-Nov-12,19.97,20.00,19.97,20.00,700
26-Nov-12,19.52,19.52,19.52,19.52,100
23-Nov-12,19.50,19.50,19.50,19.50,100
21-Nov-12,19.63,19.63,19.50,19.50,400
20-Nov-12,19.05,19.05,19.05,19.05,284
19-Nov-12,-,-,-,19.95,0
16-Nov-12,20.00,20.00,19.89,19.95,1430
15-Nov-12,19.54,19.54,19.50,19.50,800
14-Nov-12,19.79,19.79,19.71,19.75,3376
13-Nov-12,-,-,-,19.91,0
12-Nov-12,19.91,19.91,19.91,19.91,140
9-Nov-12,-,-,-,20.00,0
8-Nov-12,20.25,20.75,19.97,19.97,1700
7-Nov-12,21.19,21.19,20.09,20.19,739
6-Nov-12,21.13,21.19,21.13,21.19,400
5-Nov-12,-,-,-,19.82,0
2-Nov-12,-,-,-,19.82,0
1-Nov-12,19.82,19.82,19.82,19.82,100
31-Oct-12,19.75,-,-,19.75,0
26-Oct-12,19.80,19.80,19.80,19.80,300
25-Oct-12,19.79,19.79,19.79,19.79,200
24-Oct-12,19.90,19.90,19.75,19.75,758
23-Oct-12,19.98,19.98,19.98,19.98,200
22-Oct-12,19.84,20.65,19.75,20.00,3742
19-Oct-12,-,-,-,19.87,0
18-Oct-12,19.86,19.88,19.86,19.87,1200
17-Oct-12,19.95,20.54,19.90,19.90,450
16-Oct-12,20.40,20.40,20.40,20.40,500
15-Oct-12,18.80,21.20,18.80,20.70,4800
12-Oct-12,18.78,18.78,18.78,18.78,200
11-Oct-12,-,-,-,18.78,0
10-Oct-12,18.78,18.78,18.78,18.78,100
9-Oct-12,18.82,18.82,18.82,18.82,193
8-Oct-12,18.89,18.89,18.77,18.77,3900
5-Oct-12,18.81,18.81,18.81,18.81,121
4-Oct-12,18.58,18.99,18.53,18.99,8454
3-Oct-12,-,-,-,18.50,0
2-Oct-12,-,-,-,18.50,0
1-Oct-12,-,-,-,18.50,0
28-Sep-12,-,-,-,18.50,0
27-Sep-12,18.50,18.50,18.50,18.50,381
26-Sep-12,-,-,-,18.50,0
25-Sep-12,18.50,18.50,18.50,18.50,580
24-Sep-12,-,-,-,18.54,0
21-Sep-12,18.54,18.54,18.54,18.54,358
20-Sep-12,18.69,18.69,18.69,18.69,358
19-Sep-12,-,-,-,18.51,0
18-Sep-12,-,-,-,18.51,0
17-Sep-12,-,-,-,18.51,0
14-Sep-12,18.51,18.51,18.50,18.51,1963
13-Sep-12,-,-,-,18.52,0
12-Sep-12,18.51,18.75,18.51,18.75,3272
11-Sep-12,-,-,-,18.54,0
10-Sep-12,-,-,-,18.54,0
7-Sep-12,18.54,18.54,18.50,18.50,200
6-Sep-12,18.60,18.60,18.57,18.57,700
