Date, Open, High, Low, Close, Volume
17-May-13,7.40,7.72,7.37,7.57,858974
16-May-13,7.30,7.37,7.26,7.35,470342
15-May-13,7.17,7.33,7.10,7.33,587913
14-May-13,7.07,7.18,7.04,7.16,651994
13-May-13,7.12,7.14,6.99,7.12,496641
10-May-13,7.14,7.22,7.07,7.12,372110
9-May-13,7.10,7.14,7.04,7.11,716272
8-May-13,7.06,7.13,7.00,7.13,745193
7-May-13,6.97,7.10,6.91,7.09,628524
6-May-13,6.98,7.04,6.88,6.93,396196
3-May-13,7.05,7.08,6.91,6.96,454387
2-May-13,6.90,7.08,6.87,6.97,477678
1-May-13,7.00,7.09,6.84,6.89,994699
30-Apr-13,7.09,7.20,6.97,7.02,1833740
29-Apr-13,7.07,7.15,7.05,7.10,512582
26-Apr-13,6.91,7.16,6.90,7.07,754127
25-Apr-13,6.95,7.00,6.88,6.94,734992
24-Apr-13,6.96,7.03,6.85,6.90,922052
23-Apr-13,6.88,7.06,6.82,6.95,647720
22-Apr-13,6.80,6.84,6.68,6.81,513467
19-Apr-13,6.55,6.79,6.54,6.79,937583
18-Apr-13,6.66,6.68,6.54,6.59,758143
17-Apr-13,6.65,6.68,6.47,6.67,1276794
16-Apr-13,6.63,6.74,6.58,6.68,1167827
15-Apr-13,6.75,6.76,6.58,6.60,1098384
12-Apr-13,6.70,6.84,6.67,6.80,1762870
11-Apr-13,6.58,6.72,6.55,6.71,1550988
10-Apr-13,6.45,6.62,6.36,6.60,1304885
9-Apr-13,6.42,6.47,6.35,6.42,685306
8-Apr-13,6.39,6.44,6.28,6.43,1243495
5-Apr-13,6.13,6.41,6.11,6.36,1794036
4-Apr-13,6.03,6.19,5.97,6.19,5086701
3-Apr-13,6.22,6.27,6.12,6.15,406454
2-Apr-13,6.26,6.29,6.12,6.21,515525
1-Apr-13,6.37,6.38,6.27,6.33,604224
28-Mar-13,6.37,6.38,6.29,6.37,727754
27-Mar-13,6.27,6.38,6.23,6.34,841270
26-Mar-13,6.20,6.27,6.16,6.27,613658
25-Mar-13,6.12,6.20,6.08,6.18,485163
22-Mar-13,6.10,6.16,6.08,6.12,496434
21-Mar-13,6.11,6.13,6.05,6.10,568637
20-Mar-13,6.15,6.18,6.08,6.14,1021126
19-Mar-13,6.08,6.12,6.05,6.11,459826
18-Mar-13,6.07,6.14,6.05,6.09,354428
15-Mar-13,6.21,6.21,6.08,6.13,961384
14-Mar-13,6.16,6.25,6.13,6.17,776370
13-Mar-13,6.13,6.17,6.09,6.16,307208
12-Mar-13,6.17,6.19,6.10,6.15,281218
11-Mar-13,6.18,6.24,6.11,6.19,300106
8-Mar-13,6.20,6.20,6.13,6.17,409134
7-Mar-13,6.07,6.18,6.06,6.16,1156874
6-Mar-13,6.01,6.05,5.95,6.05,448614
5-Mar-13,6.03,6.04,5.97,6.01,286910
4-Mar-13,6.01,6.05,5.95,5.99,402700
1-Mar-13,6.00,6.14,5.96,6.03,561030
28-Feb-13,6.06,6.08,5.97,5.98,1926262
27-Feb-13,6.00,6.11,5.99,6.05,618600
26-Feb-13,5.97,6.04,5.94,6.00,853486
25-Feb-13,6.05,6.10,5.97,5.97,627094
22-Feb-13,6.04,6.06,5.96,6.01,564560
21-Feb-13,6.10,6.20,5.98,5.99,429768
20-Feb-13,6.21,6.21,6.11,6.12,469147
19-Feb-13,6.14,6.22,6.10,6.21,420595
15-Feb-13,6.19,6.19,6.01,6.10,424411
14-Feb-13,6.18,6.20,6.08,6.15,290287
13-Feb-13,6.19,6.23,6.14,6.19,351828
12-Feb-13,6.11,6.20,6.08,6.20,513204
11-Feb-13,6.03,6.11,6.00,6.11,395363
8-Feb-13,5.84,6.11,5.84,6.03,529433
7-Feb-13,5.96,5.96,5.80,5.84,249521
6-Feb-13,5.85,6.00,5.83,5.97,665187
5-Feb-13,5.86,5.86,5.75,5.86,558771
4-Feb-13,5.91,5.91,5.81,5.84,580511
1-Feb-13,5.80,5.94,5.75,5.92,738204
31-Jan-13,5.61,5.79,5.61,5.79,681573
30-Jan-13,5.60,5.62,5.51,5.60,435730
29-Jan-13,5.46,5.63,5.39,5.62,629844
28-Jan-13,5.26,5.48,5.20,5.45,659327
25-Jan-13,5.25,5.34,5.20,5.24,585856
24-Jan-13,5.32,5.42,5.21,5.22,908387
23-Jan-13,5.39,5.42,5.33,5.33,389574
22-Jan-13,5.38,5.43,5.38,5.40,319573
18-Jan-13,5.52,5.53,5.34,5.36,936533
17-Jan-13,5.60,5.66,5.54,5.55,471631
16-Jan-13,5.58,5.63,5.45,5.61,1101051
15-Jan-13,5.69,5.77,5.69,5.73,321490
14-Jan-13,5.70,5.76,5.70,5.71,326179
11-Jan-13,5.76,5.77,5.70,5.71,159833
10-Jan-13,5.79,5.79,5.72,5.73,223261
9-Jan-13,5.75,5.80,5.74,5.76,323352
8-Jan-13,5.66,5.75,5.66,5.73,622830
7-Jan-13,5.61,5.73,5.59,5.64,1044146
4-Jan-13,5.64,5.65,5.57,5.61,672226
3-Jan-13,5.67,5.67,5.57,5.59,395604
2-Jan-13,5.67,5.67,5.57,5.60,578934
31-Dec-12,5.50,5.62,5.47,5.57,726315
28-Dec-12,5.50,5.58,5.46,5.51,793581
27-Dec-12,5.46,5.52,5.43,5.50,606777
26-Dec-12,5.44,5.51,5.42,5.49,305149
24-Dec-12,5.43,5.45,5.40,5.43,149806
21-Dec-12,5.42,5.48,5.42,5.45,825601
20-Dec-12,5.41,5.47,5.40,5.47,514367
19-Dec-12,5.44,5.50,5.36,5.42,449594
18-Dec-12,5.35,5.45,5.34,5.40,510563
17-Dec-12,5.32,5.40,5.24,5.36,532347
14-Dec-12,5.20,5.33,5.17,5.29,572475
13-Dec-12,5.14,5.20,5.11,5.19,303704
12-Dec-12,5.13,5.15,5.05,5.12,571318
11-Dec-12,5.15,5.17,5.10,5.12,373769
10-Dec-12,5.07,5.14,5.06,5.11,350405
7-Dec-12,5.16,5.20,5.05,5.07,737947
6-Dec-12,5.20,5.22,5.07,5.13,288878
5-Dec-12,5.07,5.19,5.05,5.14,622974
4-Dec-12,4.82,5.08,4.81,5.06,851193
3-Dec-12,4.72,4.81,4.68,4.81,672041
30-Nov-12,4.67,4.72,4.65,4.68,1438801
29-Nov-12,4.94,4.98,4.65,4.65,6427267
28-Nov-12,4.89,4.89,4.81,4.88,190514
27-Nov-12,4.86,4.91,4.86,4.89,270105
26-Nov-12,4.91,4.92,4.88,4.92,130752
23-Nov-12,4.89,4.95,4.87,4.91,61483
21-Nov-12,4.91,4.91,4.78,4.88,155509
20-Nov-12,4.92,4.94,4.86,4.90,85967
19-Nov-12,4.86,4.96,4.82,4.92,145180
16-Nov-12,4.73,4.84,4.66,4.83,266826
15-Nov-12,4.77,4.84,4.73,4.75,213306
14-Nov-12,5.00,5.00,4.77,4.79,225727
13-Nov-12,5.07,5.12,5.00,5.00,110643
12-Nov-12,5.10,5.12,4.80,5.07,209801
9-Nov-12,5.01,5.15,5.00,5.06,190832
8-Nov-12,5.05,5.08,4.92,4.93,233224
7-Nov-12,5.10,5.11,5.01,5.04,215256
6-Nov-12,5.15,5.23,5.11,5.17,196869
5-Nov-12,5.04,5.17,5.00,5.15,245722
2-Nov-12,5.15,5.18,5.03,5.05,305069
1-Nov-12,5.13,5.23,5.05,5.12,211127
31-Oct-12,5.06,5.17,5.03,5.13,138161
26-Oct-12,5.16,5.18,5.03,5.07,255043
25-Oct-12,5.19,5.24,5.11,5.18,116140
24-Oct-12,5.21,5.23,5.11,5.14,250631
23-Oct-12,5.28,5.28,5.11,5.20,197075
22-Oct-12,5.31,5.36,5.26,5.29,126809
19-Oct-12,5.24,5.37,5.23,5.31,470195
18-Oct-12,5.27,5.35,5.25,5.26,401884
17-Oct-12,5.32,5.41,5.23,5.26,290835
16-Oct-12,5.42,5.44,5.32,5.33,223933
15-Oct-12,5.34,5.42,5.25,5.40,271851
12-Oct-12,5.37,5.43,5.27,5.29,246459
11-Oct-12,5.37,5.43,5.32,5.35,243095
10-Oct-12,5.28,5.40,5.25,5.34,173853
9-Oct-12,5.35,5.40,5.28,5.29,212357
8-Oct-12,5.36,5.44,5.32,5.36,139801
5-Oct-12,5.46,5.57,5.35,5.37,331183
4-Oct-12,5.25,5.36,5.21,5.35,237155
3-Oct-12,5.23,5.34,5.20,5.23,183913
2-Oct-12,5.19,5.24,5.18,5.21,149329
1-Oct-12,5.21,5.25,5.15,5.19,189280
28-Sep-12,5.18,5.29,5.16,5.17,245534
27-Sep-12,5.17,5.32,5.15,5.19,245176
26-Sep-12,5.14,5.23,5.09,5.14,237900
25-Sep-12,5.32,5.38,5.17,5.17,339804
24-Sep-12,5.29,5.35,5.26,5.28,508112
21-Sep-12,5.34,5.44,5.26,5.26,465563
20-Sep-12,5.41,5.45,4.99,5.27,555811
19-Sep-12,5.20,5.22,5.10,5.20,156447
18-Sep-12,5.20,5.23,5.14,5.18,201314
17-Sep-12,5.24,5.27,5.18,5.18,132557
14-Sep-12,5.23,5.26,5.18,5.23,318553
13-Sep-12,5.07,5.25,5.05,5.20,300665
12-Sep-12,5.15,5.15,5.04,5.08,135535
11-Sep-12,5.06,5.14,5.06,5.13,203951
10-Sep-12,5.08,5.10,5.03,5.03,167731
7-Sep-12,5.09,5.09,5.00,5.06,172340
6-Sep-12,4.98,5.10,4.97,5.06,342006
5-Sep-12,4.97,4.98,4.91,4.96,211852
4-Sep-12,4.90,4.98,4.89,4.94,175951
31-Aug-12,4.91,4.94,4.87,4.90,159804
30-Aug-12,4.88,4.91,4.82,4.88,133492
29-Aug-12,4.89,4.92,4.89,4.91,99808
28-Aug-12,4.90,4.92,4.88,4.91,204130
27-Aug-12,4.90,4.93,4.88,4.91,68113
24-Aug-12,4.84,4.91,4.82,4.89,184629
23-Aug-12,4.90,4.91,4.80,4.85,150363
22-Aug-12,4.88,4.92,4.87,4.90,206747
21-Aug-12,4.91,4.92,4.87,4.90,163397
20-Aug-12,4.90,4.95,4.87,4.89,117868
17-Aug-12,4.76,4.91,4.72,4.91,173950
16-Aug-12,4.76,4.78,4.71,4.77,124657
15-Aug-12,4.72,4.77,4.70,4.75,242430
14-Aug-12,4.75,4.78,4.71,4.74,178064
13-Aug-12,4.73,4.77,4.69,4.75,155706
10-Aug-12,4.71,4.75,4.69,4.72,167483
9-Aug-12,4.63,4.75,4.58,4.70,252119
8-Aug-12,4.66,4.71,4.50,4.62,140978
7-Aug-12,4.72,4.72,4.65,4.69,183158
6-Aug-12,4.71,4.72,4.67,4.70,259586
3-Aug-12,4.55,4.75,4.55,4.74,235158
2-Aug-12,4.51,4.54,4.46,4.52,211365
1-Aug-12,4.57,4.60,4.45,4.51,252330
31-Jul-12,4.55,4.58,4.54,4.55,136594
30-Jul-12,4.54,4.57,4.53,4.55,81870
27-Jul-12,4.52,4.58,4.44,4.54,135946
26-Jul-12,4.50,4.52,4.43,4.50,132044
25-Jul-12,4.48,4.49,4.42,4.47,101589
24-Jul-12,4.50,4.50,4.42,4.47,156067
23-Jul-12,4.46,4.51,4.41,4.48,125816
20-Jul-12,4.50,4.53,4.48,4.52,103696
19-Jul-12,4.66,4.68,4.53,4.53,110776
18-Jul-12,4.55,4.69,4.46,4.64,362846
17-Jul-12,4.51,4.59,4.45,4.56,163306
16-Jul-12,4.53,4.55,4.48,4.50,107858
13-Jul-12,4.46,4.53,4.40,4.53,454795
12-Jul-12,4.41,4.49,4.38,4.44,239985
11-Jul-12,4.44,4.47,4.37,4.44,279498
10-Jul-12,4.34,4.44,4.34,4.42,337063
9-Jul-12,4.30,4.34,4.27,4.30,250540
6-Jul-12,4.24,4.33,4.22,4.31,232417
5-Jul-12,4.26,4.30,4.22,4.29,209260
3-Jul-12,4.15,4.25,4.13,4.25,180163
2-Jul-12,4.15,4.17,4.09,4.16,340515
29-Jun-12,4.16,4.16,4.10,4.15,254100
28-Jun-12,4.07,4.11,3.99,4.09,153406
27-Jun-12,4.10,4.12,4.00,4.11,174807
26-Jun-12,4.12,4.14,3.97,4.13,251391
25-Jun-12,4.05,4.16,4.04,4.12,135387
22-Jun-12,4.18,4.22,4.10,4.10,476949
21-Jun-12,4.18,4.18,4.14,4.16,187547
20-Jun-12,4.22,4.26,4.15,4.16,309219
19-Jun-12,4.17,4.26,4.14,4.23,275986
18-Jun-12,4.14,4.19,4.14,4.14,290780
15-Jun-12,4.21,4.22,4.15,4.15,502164
14-Jun-12,4.16,4.24,4.13,4.22,162600
13-Jun-12,4.15,4.20,4.10,4.16,227814
12-Jun-12,4.16,4.17,4.06,4.14,288267
11-Jun-12,4.24,4.24,4.11,4.12,342845
8-Jun-12,4.09,4.19,4.09,4.19,320146
7-Jun-12,4.13,4.15,4.05,4.13,222773
6-Jun-12,3.97,4.12,3.96,4.12,362151
5-Jun-12,3.91,3.98,3.86,3.95,185757
4-Jun-12,3.89,3.95,3.88,3.95,187146
1-Jun-12,3.86,3.90,3.85,3.87,255556
31-May-12,3.95,3.95,3.87,3.93,406888
30-May-12,3.95,3.96,3.92,3.93,254729
29-May-12,4.00,4.01,3.96,3.99,195436
25-May-12,3.97,4.00,3.97,4.00,314054
24-May-12,3.96,3.98,3.89,3.96,294829
23-May-12,3.97,4.01,3.86,3.97,170697
22-May-12,4.07,4.07,4.00,4.00,334276
21-May-12,4.02,4.08,4.00,4.08,472846
18-May-12,4.03,4.08,4.02,4.02,320793
17-May-12,4.09,4.11,4.05,4.05,450983
16-May-12,4.11,4.13,4.07,4.10,222235
15-May-12,4.11,4.14,4.10,4.10,184312
14-May-12,4.11,4.14,4.10,4.11,155827
11-May-12,4.17,4.24,4.12,4.15,199958
10-May-12,4.13,4.25,4.13,4.20,249430
9-May-12,4.13,4.20,4.12,4.13,136046
8-May-12,4.11,4.22,4.11,4.17,193302
7-May-12,4.11,4.19,4.11,4.13,197207
4-May-12,4.08,4.15,4.07,4.11,266624
3-May-12,4.09,4.13,4.09,4.11,249452
2-May-12,4.13,4.16,4.08,4.11,121100
1-May-12,4.14,4.24,4.13,4.15,231935
30-Apr-12,4.17,4.20,4.13,4.15,183138
