Date, Open, High, Low, Close, Volume
17-May-13,14.35,14.45,14.30,14.38,11500922
16-May-13,14.37,14.49,14.03,14.14,9277100
15-May-13,13.98,14.47,13.98,14.34,16864701
14-May-13,13.98,14.11,13.96,13.98,9986784
13-May-13,14.15,14.16,13.94,13.95,6763516
10-May-13,14.11,14.27,14.10,14.16,4964316
9-May-13,14.37,14.42,14.06,14.09,5131502
8-May-13,14.27,14.49,14.23,14.33,4831112
7-May-13,14.27,14.35,14.21,14.23,6206008
6-May-13,14.08,14.32,14.03,14.25,4461967
3-May-13,13.89,14.11,13.83,14.07,7260103
2-May-13,13.49,13.83,13.48,13.76,5206781
1-May-13,13.71,13.82,13.40,13.48,5852691
30-Apr-13,13.55,13.77,13.48,13.70,6801986
29-Apr-13,13.45,13.60,13.40,13.54,4950895
26-Apr-13,13.49,13.53,13.30,13.39,5681165
25-Apr-13,13.52,13.61,13.33,13.42,8023811
24-Apr-13,13.38,13.45,13.19,13.42,7176142
23-Apr-13,13.19,13.45,13.14,13.34,7651622
22-Apr-13,13.46,13.48,13.11,13.17,7341187
19-Apr-13,13.02,13.40,12.96,13.34,4924952
18-Apr-13,13.16,13.16,12.92,12.98,3763479
17-Apr-13,13.12,13.20,12.90,13.15,6760793
16-Apr-13,12.86,13.18,12.81,13.18,8204223
15-Apr-13,13.11,13.20,12.61,12.67,9424535
12-Apr-13,13.06,13.22,13.03,13.15,4890449
11-Apr-13,13.06,13.25,13.00,13.09,6883500
10-Apr-13,12.90,13.14,12.90,13.04,6556748
9-Apr-13,12.93,13.04,12.79,12.90,6672962
8-Apr-13,12.81,12.95,12.64,12.93,7278731
5-Apr-13,12.60,12.83,12.44,12.81,6813443
4-Apr-13,12.54,12.85,12.54,12.80,7572524
3-Apr-13,12.68,12.86,12.48,12.54,11925790
2-Apr-13,13.19,13.22,12.62,12.68,13026095
1-Apr-13,13.47,13.51,13.18,13.23,6335593
28-Mar-13,13.25,13.58,13.21,13.48,11807453
27-Mar-13,12.86,13.25,12.84,13.19,8495010
26-Mar-13,12.87,13.06,12.82,12.95,9168058
25-Mar-13,12.95,12.99,12.75,12.86,7226630
22-Mar-13,12.79,12.93,12.61,12.87,7653396
