Date, Open, High, Low, Close, Volume
17-May-13,48.03,48.67,47.55,48.67,5840725
16-May-13,48.41,48.67,47.59,47.88,4558117
15-May-13,48.25,48.93,47.30,48.57,9460953
14-May-13,47.00,47.67,46.92,47.39,4495344
13-May-13,47.02,47.12,46.54,46.88,2687695
10-May-13,46.62,47.23,46.58,47.23,2999538
9-May-13,46.59,46.80,46.26,46.45,2677069
8-May-13,46.54,47.12,46.26,46.64,3440524
7-May-13,46.07,46.74,45.78,46.50,3191611
6-May-13,46.01,46.28,45.80,46.00,2573770
3-May-13,45.25,46.45,45.18,46.23,4076754
2-May-13,44.65,44.96,44.49,44.78,2517663
1-May-13,44.54,44.96,44.33,44.70,2781608
30-Apr-13,44.92,45.09,44.27,44.60,3654613
29-Apr-13,44.78,45.40,44.76,45.07,2574825
26-Apr-13,44.71,44.92,44.40,44.63,2584539
25-Apr-13,44.03,45.18,43.99,44.78,3948830
24-Apr-13,44.05,44.42,43.66,43.89,2540393
23-Apr-13,43.65,44.18,43.47,43.95,3290659
22-Apr-13,43.59,43.82,43.11,43.54,2385690
19-Apr-13,43.14,43.71,43.04,43.54,2643179
18-Apr-13,43.59,43.59,42.85,42.94,3046541
17-Apr-13,43.60,43.71,43.15,43.61,4381480
16-Apr-13,43.91,44.02,43.64,43.93,2931960
15-Apr-13,44.10,44.41,43.35,43.42,3497904
12-Apr-13,44.20,45.39,44.19,44.43,6256829
11-Apr-13,44.19,45.26,44.19,44.31,5699215
10-Apr-13,43.94,44.95,43.85,44.36,4473266
9-Apr-13,43.88,44.11,43.49,43.67,3460289
8-Apr-13,43.35,44.24,43.33,43.99,5087878
5-Apr-13,42.92,43.54,42.83,43.39,5080529
4-Apr-13,42.38,43.88,42.32,43.56,6727731
3-Apr-13,42.03,42.62,41.74,42.39,5805852
2-Apr-13,41.89,42.17,41.77,42.03,2721911
1-Apr-13,41.78,42.20,41.51,41.63,2696899
28-Mar-13,41.68,41.94,41.33,41.84,5143242
27-Mar-13,41.78,42.03,41.53,41.73,3145761
26-Mar-13,42.40,42.45,41.44,41.99,4981245
25-Mar-13,42.40,42.74,42.17,42.36,4181914
22-Mar-13,42.34,42.74,42.32,42.66,3956449
21-Mar-13,42.22,42.89,42.09,42.17,5904537
20-Mar-13,41.70,42.78,41.70,42.55,6413613
19-Mar-13,41.56,41.71,40.89,41.67,5775345
18-Mar-13,41.27,41.77,41.26,41.58,3276022
15-Mar-13,41.89,42.10,41.38,41.78,6108943
14-Mar-13,42.28,42.34,41.72,42.15,4636184
13-Mar-13,41.96,42.47,41.81,42.11,6586699
12-Mar-13,41.50,42.22,41.50,41.97,4044196
11-Mar-13,41.43,41.93,41.31,41.71,3091726
8-Mar-13,41.36,41.75,41.12,41.67,2882203
7-Mar-13,41.12,41.54,40.96,41.23,4119182
6-Mar-13,41.36,41.66,41.06,41.08,6828105
5-Mar-13,41.74,42.18,41.63,41.72,5802638
4-Mar-13,40.71,41.82,40.71,41.54,5735468
1-Mar-13,40.74,41.05,40.36,40.68,6094561
28-Feb-13,40.48,41.57,40.27,41.10,6187373
27-Feb-13,39.75,40.90,39.62,40.58,6176193
26-Feb-13,40.15,40.30,38.83,39.59,10565115
25-Feb-13,39.17,39.34,38.52,38.52,5917525
22-Feb-13,39.32,39.67,38.88,39.08,3569927
21-Feb-13,39.53,39.76,39.11,39.33,3749377
20-Feb-13,40.33,40.41,39.45,39.51,4458083
19-Feb-13,39.35,40.47,39.03,40.43,5813356
15-Feb-13,39.53,39.79,38.73,39.12,8499646
14-Feb-13,39.73,39.83,39.35,39.54,3923842
13-Feb-13,40.29,40.49,39.80,39.96,2696600
12-Feb-13,40.37,40.42,40.02,40.11,2498105
11-Feb-13,39.63,40.37,39.48,40.24,3761048
8-Feb-13,40.39,40.39,39.67,39.92,4123007
7-Feb-13,40.51,41.15,39.58,40.27,7051759
6-Feb-13,39.67,39.91,39.02,39.48,7777162
5-Feb-13,39.45,40.27,39.15,39.85,7065988
