Date, Open, High, Low, Close, Volume
17-May-13,0.46,0.46,0.42,0.45,202328
16-May-13,0.43,0.46,0.43,0.45,111682
15-May-13,0.46,0.46,0.42,0.45,173180
14-May-13,0.39,0.46,0.39,0.45,413226
13-May-13,0.42,0.44,0.42,0.43,69462
10-May-13,0.41,0.44,0.40,0.43,114925
9-May-13,0.43,0.43,0.42,0.42,137441
8-May-13,0.46,0.46,0.43,0.44,207391
7-May-13,0.46,0.46,0.40,0.44,273450
6-May-13,0.45,0.46,0.43,0.45,101770
3-May-13,0.49,0.49,0.43,0.44,234309
2-May-13,0.44,0.50,0.43,0.48,724361
1-May-13,0.40,0.44,0.40,0.44,531130
30-Apr-13,0.39,0.42,0.39,0.41,71458
29-Apr-13,0.41,0.42,0.39,0.40,81238
26-Apr-13,0.42,0.42,0.40,0.40,196296
25-Apr-13,0.41,0.42,0.40,0.42,141548
24-Apr-13,0.40,0.41,0.39,0.41,74930
23-Apr-13,0.39,0.40,0.38,0.40,125009
22-Apr-13,0.39,0.40,0.38,0.38,96104
19-Apr-13,0.39,0.39,0.38,0.39,47820
18-Apr-13,0.37,0.39,0.37,0.39,44118
17-Apr-13,0.39,0.39,0.37,0.38,171314
16-Apr-13,0.40,0.40,0.37,0.38,95716
15-Apr-13,0.36,0.40,0.36,0.38,43287
12-Apr-13,0.38,0.39,0.38,0.38,23006
11-Apr-13,0.37,0.40,0.37,0.39,226800
10-Apr-13,0.38,0.39,0.38,0.38,100629
9-Apr-13,0.39,0.40,0.38,0.38,232716
8-Apr-13,0.40,0.40,0.38,0.38,126226
5-Apr-13,0.37,0.38,0.37,0.38,99700
4-Apr-13,0.41,0.41,0.37,0.38,112381
3-Apr-13,0.39,0.39,0.38,0.38,326939
2-Apr-13,0.42,0.42,0.38,0.39,176852
1-Apr-13,0.38,0.40,0.37,0.40,222687
28-Mar-13,0.38,0.39,0.37,0.38,349199
27-Mar-13,0.39,0.40,0.39,0.39,153829
26-Mar-13,0.40,0.41,0.39,0.39,198614
25-Mar-13,0.40,0.41,0.39,0.40,95271
22-Mar-13,0.40,0.41,0.39,0.41,156678
21-Mar-13,0.42,0.42,0.40,0.41,82953
20-Mar-13,0.40,0.42,0.40,0.41,136519
19-Mar-13,0.42,0.42,0.40,0.40,153369
18-Mar-13,0.41,0.42,0.40,0.41,153385
15-Mar-13,0.40,0.41,0.40,0.41,137633
14-Mar-13,0.40,0.43,0.39,0.39,525467
13-Mar-13,0.40,0.41,0.40,0.40,290438
12-Mar-13,0.41,0.42,0.40,0.41,179668
11-Mar-13,0.42,0.42,0.41,0.42,280534
8-Mar-13,0.40,0.43,0.40,0.42,109661
7-Mar-13,0.42,0.42,0.40,0.41,141631
6-Mar-13,0.43,0.43,0.41,0.41,82192
5-Mar-13,0.42,0.42,0.41,0.41,342202
4-Mar-13,0.44,0.45,0.41,0.42,389131
1-Mar-13,0.45,0.45,0.43,0.44,372968
28-Feb-13,0.42,0.46,0.41,0.46,1125001
27-Feb-13,0.41,0.42,0.40,0.41,297504
26-Feb-13,0.41,0.42,0.40,0.40,236408
25-Feb-13,0.42,0.43,0.41,0.41,317871
22-Feb-13,0.43,0.44,0.42,0.42,93545
21-Feb-13,0.44,0.44,0.42,0.43,190451
20-Feb-13,0.45,0.46,0.44,0.44,148455
19-Feb-13,0.44,0.44,0.43,0.43,218250
15-Feb-13,0.43,0.44,0.43,0.44,180276
14-Feb-13,0.45,0.46,0.44,0.44,182291
13-Feb-13,0.44,0.45,0.44,0.45,171994
12-Feb-13,0.44,0.44,0.43,0.43,272748
11-Feb-13,0.45,0.46,0.43,0.43,691185
8-Feb-13,0.48,0.48,0.46,0.46,271281
7-Feb-13,0.48,0.50,0.47,0.48,431881
6-Feb-13,0.51,0.52,0.45,0.48,1725119
5-Feb-13,0.61,0.61,0.57,0.60,524028
4-Feb-13,0.57,0.60,0.57,0.59,344229
1-Feb-13,0.56,0.59,0.56,0.58,97747
31-Jan-13,0.58,0.58,0.57,0.57,123159
30-Jan-13,0.56,0.58,0.56,0.57,144250
29-Jan-13,0.56,0.58,0.56,0.58,138940
28-Jan-13,0.56,0.58,0.56,0.57,162217
25-Jan-13,0.54,0.58,0.54,0.57,216282
24-Jan-13,0.57,0.57,0.53,0.54,75578
23-Jan-13,0.50,0.56,0.50,0.56,148290
22-Jan-13,0.56,0.57,0.56,0.56,87440
18-Jan-13,0.56,0.58,0.56,0.57,82393
17-Jan-13,0.57,0.59,0.56,0.57,57982
16-Jan-13,0.57,0.59,0.56,0.58,348792
15-Jan-13,0.56,0.58,0.56,0.56,166482
14-Jan-13,0.57,0.58,0.56,0.57,142096
11-Jan-13,0.56,0.57,0.56,0.56,34978
10-Jan-13,0.55,0.58,0.54,0.56,56864
9-Jan-13,0.58,0.58,0.55,0.56,100262
8-Jan-13,0.56,0.57,0.55,0.57,123611
7-Jan-13,0.52,0.57,0.52,0.55,180099
4-Jan-13,0.53,0.54,0.52,0.54,127767
3-Jan-13,0.51,0.54,0.51,0.52,250941
2-Jan-13,0.50,0.53,0.49,0.52,170823
31-Dec-12,0.49,0.52,0.49,0.50,323068
28-Dec-12,0.51,0.53,0.50,0.51,141362
27-Dec-12,0.52,0.52,0.51,0.51,48810
26-Dec-12,0.51,0.53,0.51,0.52,123014
24-Dec-12,0.55,0.55,0.51,0.51,227384
21-Dec-12,0.54,0.55,0.54,0.54,114845
20-Dec-12,0.50,0.55,0.50,0.54,45261
19-Dec-12,0.55,0.56,0.54,0.54,60890
18-Dec-12,0.57,0.57,0.54,0.56,55700
17-Dec-12,0.56,0.58,0.55,0.55,96400
14-Dec-12,0.56,0.57,0.56,0.56,52085
13-Dec-12,0.57,0.57,0.56,0.56,71654
12-Dec-12,0.57,0.58,0.56,0.56,173216
11-Dec-12,0.58,0.58,0.56,0.56,84826
10-Dec-12,0.57,0.58,0.57,0.57,96048
7-Dec-12,0.58,0.58,0.56,0.57,116065
6-Dec-12,0.58,0.59,0.58,0.58,61889
5-Dec-12,0.58,0.59,0.58,0.58,92500
4-Dec-12,0.60,0.60,0.56,0.57,94192
3-Dec-12,0.62,0.62,0.58,0.61,92070
30-Nov-12,0.57,0.59,0.57,0.59,95289
