Date, Open, High, Low, Close, Volume
17-May-13,4.33,4.34,4.15,4.25,8000
16-May-13,4.32,4.45,4.28,4.32,16600
15-May-13,4.45,4.45,4.25,4.29,39510
14-May-13,4.14,4.37,4.10,4.31,44174
13-May-13,3.83,4.15,3.80,4.10,20802
10-May-13,3.93,3.93,3.85,3.89,18825
9-May-13,3.90,4.11,3.80,3.95,20840
8-May-13,3.92,3.92,3.80,3.88,18194
7-May-13,3.86,4.00,3.86,3.98,30573
6-May-13,4.04,4.04,3.96,3.96,12726
3-May-13,4.08,4.10,4.02,4.04,68316
2-May-13,4.05,4.10,3.95,4.04,22637
1-May-13,4.20,4.27,4.09,4.10,28619
30-Apr-13,4.07,4.20,3.97,4.19,12015
29-Apr-13,4.25,4.30,4.00,4.05,40013
26-Apr-13,4.27,4.31,4.10,4.10,24535
25-Apr-13,4.29,4.50,4.19,4.22,85591
24-Apr-13,4.14,4.20,4.01,4.19,24367
23-Apr-13,4.12,4.24,4.08,4.13,44103
22-Apr-13,4.07,4.23,4.00,4.13,36246
19-Apr-13,3.75,4.17,3.66,4.00,105467
18-Apr-13,3.95,3.95,3.70,3.75,116903
17-Apr-13,4.10,4.12,3.90,3.91,96109
16-Apr-13,4.22,4.22,4.05,4.14,27425
15-Apr-13,4.52,4.69,4.03,4.21,110902
12-Apr-13,4.25,4.39,4.21,4.38,34539
11-Apr-13,4.38,4.38,4.21,4.25,60413
10-Apr-13,4.32,4.39,4.28,4.37,58774
9-Apr-13,4.45,4.45,4.34,4.42,46543
8-Apr-13,4.65,4.69,4.40,4.43,32288
5-Apr-13,4.55,4.64,4.44,4.50,42673
4-Apr-13,4.63,4.70,4.50,4.55,27555
3-Apr-13,4.79,4.83,4.61,4.65,38052
2-Apr-13,4.92,4.92,4.72,4.85,24623
1-Apr-13,4.89,4.99,4.85,4.91,28972
28-Mar-13,5.01,5.04,4.82,4.85,34293
27-Mar-13,4.83,4.98,4.70,4.97,66535
26-Mar-13,4.93,4.93,4.76,4.82,20962
25-Mar-13,5.00,5.03,4.86,4.93,24480
22-Mar-13,4.90,5.08,4.86,5.08,20311
21-Mar-13,4.99,4.99,4.90,4.90,10525
20-Mar-13,5.02,5.05,4.91,5.05,24253
19-Mar-13,5.15,5.16,4.91,5.00,37273
18-Mar-13,5.09,5.15,4.99,5.15,73682
15-Mar-13,5.00,5.10,4.90,5.10,118231
14-Mar-13,4.96,5.07,4.90,4.98,101996
13-Mar-13,5.06,5.09,4.90,4.96,90353
12-Mar-13,5.08,5.08,4.95,5.02,142723
11-Mar-13,5.05,5.08,5.02,5.08,50565
8-Mar-13,5.02,5.05,4.94,5.04,65317
7-Mar-13,5.00,5.03,4.93,4.99,25072
6-Mar-13,4.98,5.03,4.95,4.99,23673
5-Mar-13,5.00,5.03,4.92,4.99,45317
4-Mar-13,5.03,5.11,4.91,5.03,86587
1-Mar-13,5.02,5.03,4.95,5.00,30724
28-Feb-13,4.96,5.08,4.88,5.00,60274
27-Feb-13,5.01,5.06,4.90,4.90,24704
26-Feb-13,4.93,5.03,4.89,4.97,63460
25-Feb-13,5.11,5.11,4.93,4.93,53831
22-Feb-13,5.10,5.16,5.05,5.10,59161
21-Feb-13,4.95,5.09,4.90,5.08,69373
20-Feb-13,5.15,5.20,4.89,4.89,182609
19-Feb-13,5.08,5.17,5.00,5.15,41243
15-Feb-13,4.90,5.13,4.90,5.11,138323
14-Feb-13,4.90,5.01,4.86,4.90,213186
13-Feb-13,5.04,5.12,4.86,4.91,175282
12-Feb-13,5.08,5.10,4.91,5.07,190179
11-Feb-13,5.20,5.23,5.00,5.14,226908
8-Feb-13,5.10,5.30,5.05,5.19,1155640
7-Feb-13,6.05,6.05,5.65,5.65,230303
6-Feb-13,6.39,6.39,5.88,6.09,141618
5-Feb-13,6.81,6.81,6.33,6.50,61987
4-Feb-13,7.08,7.14,6.60,6.70,63109
1-Feb-13,6.59,6.99,6.56,6.99,61032
31-Jan-13,6.30,6.76,6.30,6.47,43348
30-Jan-13,6.53,6.85,6.25,6.25,27173
29-Jan-13,6.98,6.98,6.39,6.45,56608
28-Jan-13,6.72,6.99,6.50,6.99,26883
25-Jan-13,6.83,6.98,6.51,6.74,24250
24-Jan-13,7.20,7.20,6.82,6.89,17725
23-Jan-13,6.80,7.10,6.57,7.10,37410
22-Jan-13,6.40,6.75,6.38,6.75,64786
18-Jan-13,6.71,7.00,6.02,6.26,163815
17-Jan-13,7.20,7.20,6.42,6.71,136017
16-Jan-13,7.20,7.25,7.05,7.23,35718
15-Jan-13,7.05,7.40,7.05,7.25,40069
14-Jan-13,7.52,7.60,7.01,7.11,69846
11-Jan-13,7.27,7.61,7.20,7.58,66274
10-Jan-13,7.24,7.27,7.02,7.07,16821
9-Jan-13,7.33,7.33,6.97,7.10,35650
8-Jan-13,7.10,7.85,7.05,7.42,32695
7-Jan-13,7.20,7.20,6.96,7.11,26208
4-Jan-13,7.35,7.54,6.94,7.09,84064
3-Jan-13,7.25,7.74,7.25,7.50,14921
2-Jan-13,7.73,8.19,6.95,7.25,61570
31-Dec-12,7.00,7.80,6.96,7.44,72035
28-Dec-12,7.65,7.65,7.25,7.40,39200
27-Dec-12,7.96,7.96,7.58,7.74,28934
26-Dec-12,8.69,8.69,7.87,7.99,19801
24-Dec-12,8.30,8.40,8.16,8.29,6204
21-Dec-12,8.41,8.92,8.13,8.33,28782
20-Dec-12,9.08,9.08,8.12,8.47,26421
19-Dec-12,8.95,9.06,7.68,9.02,54634
18-Dec-12,8.16,8.94,8.13,8.77,30867
17-Dec-12,8.00,8.75,8.00,8.03,72925
