Date, Open, High, Low, Close, Volume
17-May-13,75.03,75.22,70.53,71.98,297860
16-May-13,74.40,74.84,73.75,74.70,356636
15-May-13,73.29,74.97,73.01,74.32,154345
14-May-13,71.12,73.72,71.12,73.24,242600
13-May-13,71.17,72.19,70.65,71.24,132214
10-May-13,69.70,72.00,69.57,71.05,247528
9-May-13,69.44,69.82,68.80,69.52,81700
8-May-13,67.98,69.32,67.72,69.32,151736
7-May-13,66.54,68.17,66.21,67.97,172248
6-May-13,67.73,68.73,66.38,66.54,157201
3-May-13,67.73,68.18,67.21,67.54,178182
2-May-13,65.70,68.47,65.70,66.85,220306
1-May-13,66.18,66.72,65.21,66.25,256469
30-Apr-13,65.73,66.43,64.04,66.36,431201
29-Apr-13,58.05,66.59,58.05,65.29,1207087
26-Apr-13,53.54,55.18,53.54,54.06,142841
25-Apr-13,53.84,54.06,53.14,53.57,119030
24-Apr-13,53.42,54.29,53.01,53.67,85290
23-Apr-13,54.44,54.54,53.31,53.62,145442
22-Apr-13,54.34,54.72,53.34,54.10,59864
19-Apr-13,53.88,55.25,53.88,54.35,63517
18-Apr-13,54.84,54.84,53.56,53.91,180067
17-Apr-13,54.26,54.78,53.11,54.60,125329
16-Apr-13,53.89,54.82,53.80,54.66,139724
15-Apr-13,55.43,55.43,53.55,53.70,133489
12-Apr-13,54.81,55.64,54.15,55.57,141455
11-Apr-13,55.49,55.54,54.75,55.10,122076
10-Apr-13,54.12,55.88,53.90,55.61,194532
9-Apr-13,54.20,55.03,53.86,54.09,134845
8-Apr-13,53.74,54.70,53.74,54.07,223182
5-Apr-13,53.83,54.64,53.52,53.98,235400
4-Apr-13,54.98,55.32,54.46,54.74,144267
3-Apr-13,56.99,56.99,54.93,55.00,289579
2-Apr-13,56.61,57.44,56.60,56.83,127545
1-Apr-13,57.74,57.98,55.21,56.46,248351
28-Mar-13,56.33,58.02,56.10,57.98,250667
27-Mar-13,55.86,56.75,55.48,56.53,46514
26-Mar-13,56.07,56.54,55.15,56.04,74337
25-Mar-13,55.76,56.63,55.31,55.97,140630
22-Mar-13,55.47,55.98,55.30,55.74,72327
21-Mar-13,54.62,55.49,54.34,55.16,150576
20-Mar-13,54.62,55.40,54.62,55.00,69784
19-Mar-13,55.00,55.46,54.16,54.46,147447
18-Mar-13,54.18,55.29,54.13,54.98,229944
15-Mar-13,55.27,55.69,54.30,54.49,231408
14-Mar-13,53.41,55.40,53.22,55.20,200820
13-Mar-13,53.44,53.44,52.33,52.92,239498
12-Mar-13,54.79,55.03,53.15,53.44,233516
11-Mar-13,55.00,55.44,54.63,54.95,153292
8-Mar-13,54.55,55.29,54.16,55.19,147623
7-Mar-13,54.19,54.20,53.45,53.95,123557
6-Mar-13,54.07,54.51,53.74,54.03,110789
5-Mar-13,54.53,54.99,53.34,53.85,218469
4-Mar-13,52.67,54.72,52.48,54.21,286693
1-Mar-13,51.37,52.83,51.13,52.63,248730
28-Feb-13,51.57,52.35,51.57,52.12,277120
27-Feb-13,51.53,52.16,51.20,51.72,140188
26-Feb-13,50.00,51.92,49.98,51.73,233271
25-Feb-13,50.38,50.98,49.96,50.07,252325
22-Feb-13,51.81,51.81,49.63,50.31,245672
21-Feb-13,47.38,52.17,47.38,50.79,1044732
20-Feb-13,49.10,49.34,47.20,47.29,318027
19-Feb-13,49.07,50.09,49.02,49.10,175505
15-Feb-13,49.98,50.02,49.13,49.21,148988
14-Feb-13,49.36,50.24,49.09,49.63,145198
13-Feb-13,48.59,49.72,48.53,49.32,217603
12-Feb-13,48.63,48.96,48.32,48.55,107143
11-Feb-13,48.43,48.57,47.73,48.52,44577
8-Feb-13,47.75,48.58,47.75,48.34,74230
7-Feb-13,47.40,47.85,47.12,47.78,115837
6-Feb-13,47.10,47.37,46.80,47.28,113813
5-Feb-13,46.74,47.42,46.59,47.18,110430
