Date, Open, High, Low, Close, Volume
17-May-13,4.07,4.07,4.04,4.07,396798
16-May-13,4.07,4.07,4.05,4.07,89744
15-May-13,4.07,4.07,4.05,4.07,132812
14-May-13,4.06,4.07,4.04,4.07,210364
13-May-13,4.06,4.07,4.03,4.05,1007633
10-May-13,4.06,4.07,4.05,4.07,219211
9-May-13,4.06,4.07,4.05,4.07,260474
8-May-13,4.06,4.07,4.06,4.07,161002
7-May-13,4.06,4.07,4.05,4.07,269836
6-May-13,4.06,4.07,4.06,4.07,381199
3-May-13,4.06,4.07,4.05,4.07,269411
2-May-13,4.07,4.08,4.05,4.05,312279
1-May-13,4.08,4.09,4.06,4.07,475284
30-Apr-13,4.07,4.09,4.06,4.07,356557
29-Apr-13,4.06,4.09,4.06,4.07,153979
26-Apr-13,4.08,4.08,4.05,4.06,359163
25-Apr-13,4.07,4.10,4.06,4.07,255366
24-Apr-13,4.05,4.10,4.05,4.10,927264
23-Apr-13,4.05,4.12,4.02,4.07,1489744
22-Apr-13,2.73,2.73,2.65,2.71,28198
19-Apr-13,2.70,2.76,2.70,2.74,28601
18-Apr-13,2.74,2.87,2.69,2.73,28683
17-Apr-13,2.83,2.88,2.69,2.74,44438
16-Apr-13,2.85,2.88,2.82,2.84,50679
15-Apr-13,2.85,2.90,2.81,2.82,36266
12-Apr-13,2.84,2.86,2.82,2.85,21922
11-Apr-13,2.90,2.92,2.82,2.88,24063
10-Apr-13,2.86,2.90,2.86,2.87,20110
9-Apr-13,2.94,2.95,2.86,2.88,30781
8-Apr-13,2.88,2.97,2.85,2.91,25111
5-Apr-13,2.80,2.92,2.71,2.91,12438
4-Apr-13,2.80,2.91,2.80,2.86,6024
3-Apr-13,2.79,2.80,2.77,2.79,27310
2-Apr-13,2.70,2.86,2.70,2.81,43326
1-Apr-13,2.72,2.72,2.64,2.68,15687
28-Mar-13,2.62,2.84,2.50,2.72,32258
27-Mar-13,2.62,2.75,2.61,2.64,34423
