Date, Open, High, Low, Close, Volume
17-May-13,21.10,21.22,20.91,20.95,85757
16-May-13,20.76,21.29,20.71,20.97,118473
15-May-13,20.67,20.88,20.61,20.75,168213
14-May-13,20.40,20.68,20.34,20.65,71421
13-May-13,20.26,20.48,20.17,20.39,82127
10-May-13,20.27,20.41,20.20,20.32,119509
9-May-13,20.01,20.38,20.00,20.28,120026
8-May-13,19.60,20.10,19.48,20.02,289013
7-May-13,19.38,19.70,19.33,19.68,199451
6-May-13,19.26,19.54,19.13,19.35,112240
3-May-13,19.05,19.38,19.05,19.20,72475
2-May-13,18.96,19.10,18.83,18.92,113988
1-May-13,18.95,19.22,18.75,18.94,129912
30-Apr-13,18.90,19.03,18.77,18.95,64937
29-Apr-13,18.81,18.96,18.79,18.94,30518
26-Apr-13,18.81,18.99,18.74,18.79,60961
25-Apr-13,18.91,19.14,18.69,18.81,109517
24-Apr-13,18.80,18.95,18.63,18.80,85378
23-Apr-13,18.72,18.86,18.54,18.80,117424
22-Apr-13,18.68,18.76,18.15,18.53,107116
19-Apr-13,18.78,18.88,18.59,18.69,107330
18-Apr-13,19.07,19.30,18.76,18.80,80437
17-Apr-13,19.84,19.84,19.19,19.19,141994
16-Apr-13,20.17,20.17,19.96,20.06,143632
15-Apr-13,20.44,20.44,19.94,20.00,212683
12-Apr-13,20.49,20.72,20.30,20.49,188095
11-Apr-13,20.92,20.93,20.50,20.66,224413
10-Apr-13,21.02,21.25,20.35,20.90,579568
9-Apr-13,23.00,23.03,21.15,21.28,954058
8-Apr-13,23.89,23.97,23.50,23.89,99253
5-Apr-13,23.41,23.89,23.36,23.87,47544
4-Apr-13,23.39,23.71,23.25,23.60,75765
3-Apr-13,23.42,23.63,23.07,23.31,118861
2-Apr-13,23.62,23.79,23.42,23.50,89250
1-Apr-13,24.10,24.21,23.10,23.46,77188
28-Mar-13,24.10,24.50,23.85,24.21,58677
27-Mar-13,23.45,24.04,23.45,24.00,81355
26-Mar-13,23.51,23.66,23.37,23.65,70099
25-Mar-13,23.28,23.62,23.20,23.41,85053
22-Mar-13,23.24,23.33,22.96,23.27,48938
21-Mar-13,22.62,23.21,22.57,23.11,133653
20-Mar-13,22.55,23.02,22.55,22.82,46441
19-Mar-13,22.61,22.67,22.38,22.64,67852
18-Mar-13,22.57,22.94,22.40,22.51,70711
15-Mar-13,23.16,23.27,22.72,22.86,108637
14-Mar-13,23.09,23.17,22.94,23.12,46534
13-Mar-13,22.48,23.09,22.43,23.04,57504
12-Mar-13,22.77,22.79,22.29,22.40,82145
11-Mar-13,22.31,22.83,22.17,22.68,72626
8-Mar-13,21.89,22.35,21.85,22.32,78352
7-Mar-13,21.40,21.69,21.16,21.63,49193
6-Mar-13,20.69,21.45,20.62,21.34,111829
5-Mar-13,20.70,20.72,20.49,20.64,179739
4-Mar-13,20.74,20.76,20.42,20.66,96178
1-Mar-13,20.46,21.11,20.46,20.72,157611
28-Feb-13,20.53,20.70,20.34,20.45,146517
27-Feb-13,20.58,20.84,20.49,20.53,56483
26-Feb-13,20.35,20.74,20.13,20.53,80994
25-Feb-13,20.71,20.86,20.25,20.27,90318
22-Feb-13,20.96,20.96,20.34,20.60,69758
21-Feb-13,21.17,21.23,20.57,20.82,28629
20-Feb-13,21.53,21.60,21.10,21.20,56569
19-Feb-13,21.39,21.58,21.32,21.49,50628
15-Feb-13,21.16,21.49,20.66,21.42,104869
14-Feb-13,21.52,21.59,21.00,21.06,45684
13-Feb-13,21.31,21.60,21.11,21.52,51655
12-Feb-13,21.42,21.48,21.25,21.25,32326
11-Feb-13,21.72,21.72,21.40,21.40,33901
8-Feb-13,21.63,21.94,21.63,21.76,63449
7-Feb-13,21.61,21.70,21.39,21.60,132910
6-Feb-13,21.49,21.72,21.28,21.56,51716
5-Feb-13,21.82,21.99,21.57,21.61,71905
4-Feb-13,22.03,22.21,21.72,21.75,50947
1-Feb-13,22.17,22.27,22.03,22.18,71029
31-Jan-13,22.02,22.16,21.64,22.02,165839
30-Jan-13,22.84,22.86,22.00,22.06,155456
29-Jan-13,22.72,22.95,22.66,22.93,72347
28-Jan-13,22.33,22.75,22.30,22.75,152296
25-Jan-13,22.48,22.59,22.11,22.32,127526
24-Jan-13,22.30,22.75,22.27,22.50,46540
23-Jan-13,22.32,22.32,22.05,22.20,59773
22-Jan-13,22.13,22.27,22.10,22.27,108154
18-Jan-13,21.75,22.20,21.73,22.19,120443
17-Jan-13,21.62,21.88,21.51,21.76,63736
16-Jan-13,22.04,22.04,21.50,21.60,89496
15-Jan-13,21.64,22.05,21.63,22.04,128918
14-Jan-13,21.14,21.81,21.14,21.73,219420
11-Jan-13,21.08,21.26,20.82,21.16,137715
10-Jan-13,21.30,21.55,20.81,21.19,655537
9-Jan-13,23.23,23.23,19.97,21.11,1013624
8-Jan-13,24.09,24.10,23.60,23.72,92937
7-Jan-13,24.21,24.50,23.99,24.02,100665
4-Jan-13,24.55,24.65,24.31,24.41,32624
3-Jan-13,25.13,25.13,24.32,24.40,59567
2-Jan-13,24.81,25.35,24.53,25.04,168344
31-Dec-12,23.55,24.73,23.50,24.69,75758
28-Dec-12,23.38,23.98,23.38,23.55,41315
27-Dec-12,23.09,23.67,23.04,23.55,46905
26-Dec-12,23.22,23.45,23.11,23.35,41250
24-Dec-12,23.07,23.24,22.90,23.21,31335
21-Dec-12,23.00,23.44,22.70,23.28,155867
20-Dec-12,22.64,23.33,22.58,23.31,44564
19-Dec-12,22.48,22.88,22.37,22.71,94989
18-Dec-12,22.48,22.84,22.48,22.53,50714
17-Dec-12,22.07,22.51,22.07,22.50,38472
14-Dec-12,22.40,22.72,22.02,22.05,49564
13-Dec-12,22.81,22.99,22.47,22.52,32382
12-Dec-12,22.21,22.93,22.21,22.85,108763
11-Dec-12,22.07,22.21,21.91,22.10,55056
10-Dec-12,21.99,22.10,21.76,22.02,95370
7-Dec-12,22.14,22.14,21.70,21.94,25226
