Date, Open, High, Low, Close, Volume
17-May-13,57.25,57.45,56.43,56.60,509962
16-May-13,58.17,58.59,57.14,57.15,265697
15-May-13,58.47,58.94,57.85,58.00,188826
14-May-13,59.42,59.74,58.70,58.74,235156
13-May-13,59.13,59.49,58.77,59.28,395767
10-May-13,58.18,58.96,58.18,58.78,245419
9-May-13,58.20,58.71,57.60,58.19,469849
8-May-13,59.26,59.62,58.84,58.98,255295
7-May-13,59.03,59.72,58.81,59.41,623690
6-May-13,58.75,59.20,58.51,58.80,386917
3-May-13,59.70,59.90,58.50,58.85,3165659
2-May-13,58.00,59.56,57.51,59.55,556741
1-May-13,58.32,59.86,57.81,58.22,638795
30-Apr-13,53.45,58.59,53.04,58.28,953761
29-Apr-13,54.72,54.88,53.84,54.12,210113
26-Apr-13,54.34,54.44,53.91,54.29,174245
25-Apr-13,54.01,54.30,53.90,54.26,132150
24-Apr-13,54.00,54.27,53.76,53.87,126449
23-Apr-13,54.41,54.41,53.70,54.24,153609
22-Apr-13,53.99,54.13,53.53,54.11,145125
19-Apr-13,52.98,53.92,52.98,53.91,92515
18-Apr-13,53.50,53.95,52.49,53.01,307434
17-Apr-13,54.27,54.45,53.48,53.86,243587
16-Apr-13,53.71,54.53,53.56,54.26,154109
15-Apr-13,54.20,54.20,53.21,53.44,311534
12-Apr-13,54.11,54.54,53.93,54.31,114763
11-Apr-13,53.80,54.45,53.79,54.39,145501
10-Apr-13,53.53,53.94,53.00,53.84,145176
9-Apr-13,53.40,53.40,52.77,53.07,91961
8-Apr-13,53.31,53.35,52.96,53.28,87631
5-Apr-13,51.99,53.57,51.60,53.13,220442
4-Apr-13,52.90,53.14,52.03,52.47,197652
3-Apr-13,53.93,54.50,52.54,53.13,304264
2-Apr-13,54.10,54.10,53.43,53.65,159517
1-Apr-13,54.15,54.93,53.59,54.00,235091
28-Mar-13,53.65,54.33,53.61,54.04,218304
27-Mar-13,53.00,53.74,52.77,53.49,203424
26-Mar-13,52.58,53.20,51.97,53.05,216921
25-Mar-13,52.79,53.18,51.67,52.39,226859
22-Mar-13,51.39,53.16,51.36,52.70,212721
21-Mar-13,50.45,51.49,50.45,51.28,234644
20-Mar-13,49.86,50.98,49.86,50.63,225059
19-Mar-13,50.25,50.46,49.41,49.87,261009
18-Mar-13,50.00,50.75,49.53,50.27,243620
15-Mar-13,50.05,50.77,50.05,50.46,448274
14-Mar-13,50.13,50.43,50.04,50.21,242976
13-Mar-13,50.35,50.46,50.01,50.14,240198
12-Mar-13,50.88,51.05,50.22,50.41,135760
11-Mar-13,51.16,51.25,50.72,50.92,164154
8-Mar-13,51.64,51.84,51.04,51.18,227564
7-Mar-13,51.77,52.05,51.15,51.42,229053
6-Mar-13,52.00,52.07,51.31,51.78,358260
5-Mar-13,52.10,52.33,51.48,51.70,231305
4-Mar-13,52.09,52.23,51.61,51.85,289214
1-Mar-13,51.09,52.24,51.00,52.00,346800
28-Feb-13,51.57,52.00,51.07,51.38,297997
27-Feb-13,51.13,51.83,51.00,51.59,327237
26-Feb-13,51.44,51.50,50.52,51.14,291839
25-Feb-13,51.59,51.94,51.15,51.19,297504
22-Feb-13,51.00,51.64,50.98,51.63,265355
21-Feb-13,49.59,51.50,49.51,50.75,543266
20-Feb-13,51.85,52.17,51.42,51.55,356029
19-Feb-13,51.83,52.08,51.59,52.02,542545
15-Feb-13,51.29,51.95,51.15,51.74,228319
14-Feb-13,50.64,51.30,50.41,51.23,274950
13-Feb-13,50.21,50.74,50.03,50.66,299888
12-Feb-13,49.10,50.24,49.10,50.11,177760
11-Feb-13,49.59,49.64,48.98,49.11,412913
