Date, Open, High, Low, Close, Volume
17-May-13,25.59,25.75,25.48,25.65,297222
16-May-13,25.06,25.54,25.00,25.48,379003
15-May-13,25.06,25.07,24.69,24.99,291402
14-May-13,24.80,25.24,24.69,24.98,399801
13-May-13,25.09,25.23,24.45,24.72,525932
10-May-13,25.38,25.48,25.06,25.14,319096
9-May-13,25.60,25.60,25.32,25.37,214089
8-May-13,25.67,25.72,25.39,25.55,282807
7-May-13,25.52,25.66,25.27,25.57,298863
6-May-13,25.12,25.49,25.10,25.41,406556
3-May-13,25.70,25.83,25.15,25.27,443104
2-May-13,25.59,25.88,25.50,25.80,292371
1-May-13,25.88,25.89,25.41,25.49,345193
30-Apr-13,25.78,25.87,25.66,25.87,259317
29-Apr-13,25.63,25.79,25.57,25.75,375376
26-Apr-13,25.53,25.53,25.31,25.49,155033
25-Apr-13,25.42,25.54,25.31,25.52,250664
24-Apr-13,25.37,25.39,25.10,25.36,206658
23-Apr-13,25.12,25.40,25.06,25.32,310897
22-Apr-13,25.03,25.16,24.56,25.08,375493
19-Apr-13,25.13,25.18,24.81,25.00,404171
18-Apr-13,25.10,25.15,24.95,25.11,265669
17-Apr-13,25.39,25.39,24.83,25.02,350476
16-Apr-13,25.20,25.44,25.09,25.43,326663
15-Apr-13,25.42,25.42,24.78,25.00,495971
12-Apr-13,25.38,25.46,25.14,25.43,215060
11-Apr-13,25.22,25.69,25.22,25.41,288335
10-Apr-13,25.16,25.27,25.00,25.24,342503
9-Apr-13,25.35,25.36,25.12,25.15,248220
8-Apr-13,24.98,25.23,24.74,25.23,344416
5-Apr-13,24.43,24.90,24.32,24.82,331723
4-Apr-13,24.64,24.70,24.37,24.68,430015
3-Apr-13,24.96,24.99,24.33,24.57,629302
2-Apr-13,25.28,25.36,24.90,25.00,335731
1-Apr-13,25.47,25.60,25.04,25.17,452694
28-Mar-13,25.45,25.55,25.28,25.47,318057
27-Mar-13,25.16,25.35,25.15,25.30,200078
26-Mar-13,25.43,25.55,25.15,25.21,213060
25-Mar-13,25.45,25.58,25.16,25.31,241418
22-Mar-13,24.93,25.33,24.90,25.33,339176
21-Mar-13,24.96,25.14,24.74,24.85,382320
20-Mar-13,25.16,25.31,25.00,25.09,327555
19-Mar-13,25.52,25.64,25.15,25.17,354295
18-Mar-13,25.50,25.60,25.16,25.52,620604
15-Mar-13,25.62,25.84,25.62,25.68,673678
14-Mar-13,25.79,25.88,25.65,25.67,615283
13-Mar-13,26.50,26.57,26.31,26.55,597978
12-Mar-13,26.26,26.50,26.18,26.50,403035
11-Mar-13,25.98,26.25,25.85,26.17,433490
8-Mar-13,26.35,26.35,25.87,25.94,354607
7-Mar-13,26.25,26.28,25.97,26.21,415837
6-Mar-13,26.68,26.75,25.62,25.86,850615
5-Mar-13,26.94,26.94,26.39,26.54,596387
4-Mar-13,26.21,26.72,26.12,26.72,396844
1-Mar-13,26.18,26.21,25.89,26.18,287596
28-Feb-13,25.41,26.29,25.41,26.23,648518
27-Feb-13,25.38,25.59,25.23,25.51,315224
26-Feb-13,25.20,25.42,24.91,25.36,250630
25-Feb-13,25.47,25.57,25.19,25.19,187724
22-Feb-13,24.99,25.32,24.90,25.31,326695
21-Feb-13,25.41,25.58,24.73,24.82,659091
20-Feb-13,25.75,25.84,25.42,25.42,270325
19-Feb-13,25.74,25.77,25.56,25.65,531118
15-Feb-13,25.49,25.56,25.30,25.56,327453
14-Feb-13,25.47,25.52,25.25,25.37,247864
13-Feb-13,25.58,25.58,25.30,25.48,273249
12-Feb-13,25.79,25.79,25.40,25.48,361645
11-Feb-13,25.59,25.72,25.55,25.67,372754
8-Feb-13,25.35,25.56,25.30,25.50,274738
7-Feb-13,25.65,25.65,25.28,25.37,398474
6-Feb-13,25.63,25.72,25.57,25.63,276430
5-Feb-13,25.70,25.76,25.57,25.58,282295
4-Feb-13,25.80,25.83,25.50,25.55,270858
1-Feb-13,25.65,25.80,25.49,25.70,348266
31-Jan-13,25.28,25.59,25.21,25.40,685665
30-Jan-13,25.28,25.46,25.21,25.40,267269
29-Jan-13,25.09,25.27,25.00,25.26,343079
28-Jan-13,25.05,25.18,24.89,25.06,363955
25-Jan-13,24.96,24.99,24.70,24.98,272982
24-Jan-13,25.03,25.04,24.88,24.92,179347
23-Jan-13,25.05,25.06,24.93,24.99,310080
22-Jan-13,24.99,25.06,24.87,25.01,435924
18-Jan-13,24.82,24.94,24.68,24.94,373391
17-Jan-13,24.81,24.93,24.75,24.79,317881
16-Jan-13,24.67,24.73,24.52,24.71,228451
15-Jan-13,24.56,24.61,24.47,24.59,403853
14-Jan-13,24.68,24.72,24.47,24.51,316551
11-Jan-13,24.86,24.86,24.61,24.70,250740
10-Jan-13,24.78,24.86,24.66,24.71,208960
9-Jan-13,24.67,24.83,24.60,24.65,271290
8-Jan-13,24.30,24.66,24.21,24.66,483263
7-Jan-13,24.53,24.53,24.22,24.26,316635
4-Jan-13,24.15,24.32,24.05,24.26,418771
3-Jan-13,23.88,24.17,23.88,24.00,539997
2-Jan-13,23.76,23.86,23.63,23.85,792023
31-Dec-12,23.24,23.55,23.11,23.48,328420
28-Dec-12,23.22,23.35,23.10,23.18,211472
27-Dec-12,23.35,23.50,23.09,23.35,229691
26-Dec-12,23.52,23.58,23.30,23.39,205834
24-Dec-12,23.40,23.60,23.32,23.52,233844
21-Dec-12,23.45,23.45,23.11,23.35,703478
20-Dec-12,23.50,23.62,23.42,23.48,1682301
19-Dec-12,24.50,24.58,24.20,24.33,329824
18-Dec-12,24.15,24.53,24.03,24.46,301543
17-Dec-12,23.98,24.08,23.78,24.03,554614
14-Dec-12,24.05,24.43,23.53,23.60,404443
13-Dec-12,24.98,24.98,24.46,24.71,962078
12-Dec-12,25.22,25.22,24.71,24.84,440659
11-Dec-12,25.19,25.24,24.95,25.01,304502
10-Dec-12,24.94,25.12,24.82,25.04,352758
7-Dec-12,24.93,25.00,24.65,24.84,246080
6-Dec-12,24.71,24.80,24.51,24.80,148715
5-Dec-12,24.86,24.94,24.66,24.71,281791
4-Dec-12,24.71,24.84,24.63,24.78,328432
3-Dec-12,24.84,25.07,24.51,24.60,368290
30-Nov-12,24.49,24.66,24.38,24.63,287788
29-Nov-12,24.25,24.44,24.14,24.41,249498
28-Nov-12,24.00,24.37,23.79,24.17,185750
27-Nov-12,23.98,24.09,23.76,23.99,181805
26-Nov-12,23.29,23.98,23.23,23.96,553352
23-Nov-12,23.02,23.18,22.97,23.15,134008
21-Nov-12,23.00,23.13,22.92,23.00,292551
20-Nov-12,23.25,23.25,22.88,23.00,265187
19-Nov-12,23.44,23.49,23.09,23.17,389428
16-Nov-12,22.62,23.38,22.20,23.24,606692
15-Nov-12,21.68,22.47,21.00,22.16,445831
14-Nov-12,22.95,22.99,21.48,21.70,647313
13-Nov-12,23.60,23.62,22.40,22.92,479826
12-Nov-12,23.63,23.83,23.53,23.63,287151
9-Nov-12,23.42,23.64,23.31,23.51,803235
8-Nov-12,23.41,23.50,23.12,23.32,503898
7-Nov-12,23.08,23.30,22.30,22.78,562858
6-Nov-12,24.08,24.16,23.39,23.50,296723
5-Nov-12,23.93,24.03,23.75,23.96,134592
2-Nov-12,24.28,24.28,23.92,23.93,206003
1-Nov-12,24.00,24.26,23.90,24.26,316222
31-Oct-12,23.63,23.96,23.58,23.95,173037
26-Oct-12,23.69,23.70,23.45,23.55,130825
25-Oct-12,23.85,23.94,23.57,23.69,163837
24-Oct-12,23.62,23.88,23.44,23.80,273907
23-Oct-12,23.50,23.67,23.32,23.62,228107
22-Oct-12,23.74,23.75,23.46,23.67,190663
19-Oct-12,24.02,24.06,23.66,23.75,282008
18-Oct-12,23.93,24.12,23.86,24.12,327239
17-Oct-12,23.77,23.96,23.73,23.81,491660
16-Oct-12,23.61,23.73,23.38,23.73,403715
15-Oct-12,23.38,23.50,22.20,23.48,929490
12-Oct-12,23.99,23.99,23.36,23.40,338588
11-Oct-12,23.63,23.96,23.60,23.90,282600
10-Oct-12,24.02,24.05,23.26,23.51,659182
9-Oct-12,24.45,24.55,23.98,24.06,277428
8-Oct-12,24.55,24.59,24.23,24.46,201507
5-Oct-12,24.53,24.80,24.43,24.53,295363
4-Oct-12,24.35,24.50,24.25,24.42,368295
3-Oct-12,24.34,24.36,24.24,24.26,153778
2-Oct-12,24.23,24.30,24.12,24.29,197263
1-Oct-12,24.27,24.27,24.02,24.11,193804
28-Sep-12,24.15,24.26,23.85,24.13,319586
27-Sep-12,23.79,24.17,23.71,24.17,413515
26-Sep-12,24.03,24.09,23.59,23.67,314209
25-Sep-12,23.99,24.19,23.91,23.92,454460
24-Sep-12,24.31,24.35,23.86,23.89,452734
21-Sep-12,23.90,24.28,23.78,24.28,682835
20-Sep-12,23.56,23.76,23.53,23.71,304782
19-Sep-12,23.07,23.76,23.00,23.59,667135
18-Sep-12,23.29,23.30,22.99,22.99,756140
17-Sep-12,23.85,23.86,23.26,23.31,588839
14-Sep-12,23.60,24.08,23.57,23.85,876547
13-Sep-12,24.14,24.41,24.02,24.24,917054
12-Sep-12,24.38,24.84,24.05,24.07,844111
11-Sep-12,24.11,24.36,24.03,24.31,492314
10-Sep-12,24.19,24.20,23.96,24.00,652194
7-Sep-12,23.80,24.28,23.75,24.00,926659
6-Sep-12,23.79,23.84,23.56,23.62,295179
5-Sep-12,23.64,23.76,23.46,23.66,423551
4-Sep-12,23.67,23.84,23.54,23.60,523491
31-Aug-12,23.74,23.79,23.54,23.60,1029427
30-Aug-12,23.63,23.64,23.52,23.60,146130
29-Aug-12,23.65,23.78,23.59,23.60,492067
28-Aug-12,23.63,23.71,23.55,23.59,482232
27-Aug-12,23.56,23.65,23.50,23.53,243730
24-Aug-12,23.41,23.54,23.41,23.51,274823
23-Aug-12,23.40,23.57,23.32,23.44,165013
22-Aug-12,23.50,23.52,23.26,23.37,215611
21-Aug-12,23.27,23.53,23.24,23.48,279364
20-Aug-12,23.36,23.37,23.20,23.27,398549
17-Aug-12,23.33,23.37,23.16,23.30,309845
16-Aug-12,23.55,23.69,23.18,23.35,359483
15-Aug-12,23.50,23.68,23.27,23.49,378775
14-Aug-12,23.13,23.86,23.13,23.42,847604
13-Aug-12,22.90,23.28,22.81,23.15,657658
10-Aug-12,22.73,22.84,22.65,22.82,2352112
9-Aug-12,23.24,23.42,22.94,23.29,358816
8-Aug-12,22.64,23.09,22.36,22.93,217486
7-Aug-12,23.09,23.18,22.35,22.41,260110
6-Aug-12,23.01,23.19,22.59,22.93,216238
3-Aug-12,22.70,23.12,22.65,22.93,194735
2-Aug-12,22.70,22.88,22.40,22.55,346874
1-Aug-12,22.60,22.97,22.50,22.50,265555
31-Jul-12,22.40,22.60,22.40,22.57,181044
30-Jul-12,22.64,22.64,22.33,22.40,104666
27-Jul-12,22.13,22.92,22.13,22.50,268536
26-Jul-12,21.53,22.15,21.26,21.92,331997
25-Jul-12,21.46,21.58,21.38,21.50,213879
24-Jul-12,21.45,21.53,21.23,21.38,177954
23-Jul-12,21.55,21.65,21.23,21.47,219264
20-Jul-12,21.30,21.66,21.30,21.65,112227
19-Jul-12,21.49,21.59,21.32,21.34,98336
18-Jul-12,21.43,21.50,21.27,21.45,103343
17-Jul-12,21.52,21.79,21.45,21.47,130724
16-Jul-12,21.28,21.54,21.10,21.45,112518
13-Jul-12,21.26,21.49,21.25,21.34,104208
12-Jul-12,21.09,21.33,21.01,21.26,95322
11-Jul-12,21.56,21.56,21.16,21.17,120224
10-Jul-12,21.81,21.81,21.40,21.46,122189
9-Jul-12,21.80,21.95,21.72,21.76,107369
6-Jul-12,21.49,21.95,21.49,21.82,86135
5-Jul-12,21.62,21.80,21.51,21.62,113364
3-Jul-12,21.55,21.68,21.46,21.61,72704
2-Jul-12,21.42,21.54,21.20,21.53,137907
29-Jun-12,21.66,21.73,21.33,21.49,204200
28-Jun-12,20.72,21.48,20.63,21.45,292619
27-Jun-12,20.55,20.85,20.20,20.80,391605
26-Jun-12,21.07,21.13,20.62,20.93,202582
25-Jun-12,20.89,21.18,20.88,21.01,152798
22-Jun-12,21.14,21.35,20.77,21.06,883255
21-Jun-12,21.16,21.24,21.01,21.14,225564
20-Jun-12,21.21,21.27,21.05,21.22,113701
19-Jun-12,21.20,21.26,21.10,21.21,199760
18-Jun-12,21.22,21.34,21.10,21.11,108930
15-Jun-12,21.39,21.40,21.01,21.24,177485
14-Jun-12,21.09,21.40,21.00,21.32,217300
13-Jun-12,20.89,21.15,20.78,20.97,144881
12-Jun-12,20.91,21.19,20.76,20.92,203667
11-Jun-12,20.79,21.34,20.69,20.84,294505
8-Jun-12,20.62,20.74,20.38,20.68,182212
7-Jun-12,20.48,20.74,20.41,20.58,137297
6-Jun-12,20.33,20.48,20.11,20.39,149379
5-Jun-12,19.67,20.21,19.67,20.20,93973
4-Jun-12,19.75,19.84,19.55,19.70,79640
1-Jun-12,19.82,19.96,19.64,19.78,197502
31-May-12,19.99,20.15,19.88,20.01,208650
30-May-12,20.13,20.13,19.90,19.96,102973
29-May-12,20.05,20.19,19.99,20.13,110524
25-May-12,19.96,20.13,19.83,19.95,83344
24-May-12,19.70,19.99,19.59,19.94,116994
23-May-12,19.73,19.75,19.44,19.68,141733
22-May-12,19.92,20.00,19.72,19.87,106155
21-May-12,19.55,19.89,19.47,19.84,64859
18-May-12,19.44,19.74,19.26,19.54,217267
17-May-12,20.07,20.18,19.43,19.47,177237
16-May-12,20.02,20.20,19.96,20.11,98724
15-May-12,19.84,20.09,19.84,19.97,84507
14-May-12,20.02,20.35,19.85,19.89,107114
11-May-12,20.33,20.38,20.10,20.19,98594
10-May-12,20.28,20.51,20.07,20.36,166848
9-May-12,19.68,20.19,19.66,20.08,141906
8-May-12,19.64,19.78,19.57,19.72,180571
7-May-12,19.62,19.81,19.51,19.66,94512
4-May-12,19.82,19.82,19.50,19.67,68968
3-May-12,19.76,20.07,19.71,19.78,89937
2-May-12,19.70,19.88,19.70,19.78,60788
1-May-12,19.84,19.93,19.76,19.79,69569
30-Apr-12,19.85,19.93,19.71,19.80,81227
27-Apr-12,19.89,19.92,19.75,19.89,31664
26-Apr-12,19.78,19.89,19.52,19.82,43724
25-Apr-12,19.77,19.91,19.62,19.78,65403
24-Apr-12,19.39,19.65,19.33,19.58,71283
23-Apr-12,19.27,19.48,19.15,19.36,84730
20-Apr-12,19.30,19.44,19.26,19.33,64411
19-Apr-12,19.41,19.50,19.09,19.22,73410
18-Apr-12,19.55,19.55,19.37,19.37,80076
17-Apr-12,19.78,19.80,19.50,19.54,95128
16-Apr-12,19.73,19.90,19.67,19.75,113453
13-Apr-12,19.73,19.74,19.55,19.73,60417
12-Apr-12,19.56,19.81,19.49,19.74,66242
11-Apr-12,19.38,19.53,19.24,19.52,95728
10-Apr-12,19.54,19.54,19.16,19.21,126086
9-Apr-12,19.56,19.62,19.37,19.49,75287
5-Apr-12,19.50,19.68,19.45,19.65,64372
4-Apr-12,19.61,19.61,19.35,19.50,95818
3-Apr-12,19.77,19.77,19.61,19.62,49073
2-Apr-12,19.70,19.80,19.52,19.68,182207
30-Mar-12,19.35,19.79,19.31,19.74,168933
29-Mar-12,19.20,19.37,19.20,19.33,86511
28-Mar-12,19.19,19.46,19.19,19.25,176354
27-Mar-12,20.35,20.35,20.03,20.04,312961
26-Mar-12,20.12,20.34,20.12,20.27,231873
23-Mar-12,20.06,20.15,19.99,20.12,99624
22-Mar-12,20.00,20.10,19.90,20.04,138874
21-Mar-12,20.12,20.22,19.96,20.07,195673
20-Mar-12,19.85,20.02,19.85,19.96,82907
19-Mar-12,19.78,19.99,19.76,19.95,119003
16-Mar-12,20.00,20.07,19.80,19.80,213393
15-Mar-12,19.95,20.00,19.81,19.95,208701
14-Mar-12,20.20,20.25,19.80,19.87,184922
13-Mar-12,20.16,20.20,20.05,20.20,140585
12-Mar-12,20.08,20.17,20.01,20.09,117676
9-Mar-12,20.06,20.25,19.96,20.03,99305
8-Mar-12,20.04,20.15,19.95,20.06,183244
7-Mar-12,19.92,20.00,19.85,20.00,102698
6-Mar-12,19.70,19.88,19.70,19.80,131220
5-Mar-12,19.85,19.90,19.66,19.70,153076
2-Mar-12,20.08,20.12,19.83,19.83,144665
1-Mar-12,20.12,20.19,20.05,20.12,247929
29-Feb-12,19.74,19.93,19.70,19.92,314491
28-Feb-12,19.74,19.80,19.61,19.67,212326
27-Feb-12,19.73,19.80,19.52,19.74,79730
24-Feb-12,19.98,20.01,19.80,19.81,75280
23-Feb-12,19.91,20.15,19.89,20.00,126288
22-Feb-12,20.00,20.00,19.82,19.90,125351
21-Feb-12,19.94,20.01,19.81,20.01,175461
17-Feb-12,19.86,19.99,19.81,19.94,218083
16-Feb-12,19.63,19.85,19.53,19.70,271656
15-Feb-12,19.33,19.65,19.32,19.65,372076
14-Feb-12,19.27,19.48,19.24,19.36,317433
13-Feb-12,19.25,19.28,19.18,19.28,276751
10-Feb-12,19.16,19.22,19.03,19.22,126099
9-Feb-12,19.13,19.23,19.10,19.18,250896
8-Feb-12,19.10,19.14,19.03,19.13,95988
7-Feb-12,19.00,19.14,18.99,19.10,155315
6-Feb-12,19.05,19.15,19.01,19.05,109054
3-Feb-12,19.14,19.14,18.99,19.13,502108
2-Feb-12,19.07,19.13,19.03,19.13,149746
1-Feb-12,19.09,19.10,18.99,19.07,203275
31-Jan-12,19.11,19.11,18.91,19.05,387029
30-Jan-12,19.01,19.10,18.98,18.98,113052
27-Jan-12,19.08,19.10,18.97,19.07,221598
26-Jan-12,19.01,19.08,18.97,19.08,286222
25-Jan-12,19.00,19.01,18.91,18.99,287072
24-Jan-12,18.95,19.01,18.91,19.01,279281
23-Jan-12,18.85,19.00,18.85,18.98,301711
20-Jan-12,18.80,18.89,18.74,18.86,471590
19-Jan-12,18.85,19.00,18.77,18.79,3658075
18-Jan-12,19.61,19.74,19.57,19.73,86586
17-Jan-12,19.60,19.75,19.48,19.60,32834
13-Jan-12,19.46,19.74,19.46,19.58,101781
12-Jan-12,19.59,19.75,19.50,19.67,30364
11-Jan-12,19.72,19.75,19.60,19.69,24615
10-Jan-12,19.75,19.80,19.54,19.69,41499
9-Jan-12,19.66,19.75,19.56,19.67,25908
6-Jan-12,19.66,19.72,19.51,19.55,26771
5-Jan-12,19.72,19.74,19.61,19.65,12086
4-Jan-12,19.96,20.12,19.58,19.72,79434
3-Jan-12,20.15,20.15,19.75,19.90,40778
30-Dec-11,20.30,20.69,19.74,20.13,60739
29-Dec-11,19.89,20.45,19.40,20.45,63298
28-Dec-11,20.07,20.22,19.73,19.88,36335
27-Dec-11,20.50,20.70,20.44,20.55,103751
23-Dec-11,20.19,20.64,20.04,20.52,27639
22-Dec-11,20.49,20.74,19.97,20.07,89194
21-Dec-11,20.19,20.80,20.11,20.34,55088
20-Dec-11,20.30,20.30,19.92,20.07,83445
19-Dec-11,20.53,20.56,20.06,20.23,68061
16-Dec-11,19.70,21.17,19.36,20.95,281029
15-Dec-11,19.50,19.60,19.26,19.60,16295
14-Dec-11,18.87,19.50,18.87,19.50,64179
13-Dec-11,18.94,19.14,18.75,19.10,43906
12-Dec-11,18.75,18.86,18.50,18.77,14791
9-Dec-11,18.69,19.03,18.65,19.02,23593
8-Dec-11,18.45,18.78,18.15,18.69,23757
7-Dec-11,18.15,18.64,18.15,18.61,13296
6-Dec-11,18.35,18.35,18.10,18.27,37021
5-Dec-11,18.38,18.69,18.30,18.40,18943
2-Dec-11,18.05,18.28,18.05,18.24,16828
1-Dec-11,18.07,18.31,18.03,18.03,32875
30-Nov-11,18.94,19.20,17.95,17.95,118911
29-Nov-11,18.69,18.78,18.49,18.55,17843
28-Nov-11,18.58,18.79,18.48,18.69,21576
25-Nov-11,18.28,18.65,18.18,18.18,10117
23-Nov-11,18.74,18.79,18.20,18.30,26415
22-Nov-11,18.80,18.95,18.65,18.94,18773
21-Nov-11,18.87,19.10,18.75,18.76,22248
18-Nov-11,18.84,19.18,18.02,19.17,37953
17-Nov-11,19.15,19.19,18.76,18.91,46222
16-Nov-11,19.05,19.20,18.77,19.15,21736
15-Nov-11,18.84,19.25,18.84,19.20,37119
14-Nov-11,17.60,19.20,17.52,18.87,54416
11-Nov-11,17.67,17.77,16.48,17.22,56478
10-Nov-11,17.51,17.98,17.30,17.52,16116
9-Nov-11,17.70,17.75,17.25,17.26,34893
8-Nov-11,17.87,18.08,17.72,17.81,18372
7-Nov-11,17.85,18.14,17.75,17.77,15614
4-Nov-11,18.00,18.28,17.88,17.88,8373
3-Nov-11,18.42,18.42,17.98,18.14,32437
2-Nov-11,18.14,18.32,17.91,18.26,10852
1-Nov-11,18.00,18.24,17.80,17.87,26408
31-Oct-11,18.08,18.31,17.89,18.14,34869
28-Oct-11,18.70,18.84,17.52,18.29,22132
27-Oct-11,18.78,19.22,18.22,18.75,35947
26-Oct-11,18.20,18.33,17.73,18.29,15911
25-Oct-11,18.41,18.62,17.94,17.94,9664
24-Oct-11,18.32,18.67,18.32,18.58,19700
21-Oct-11,18.32,18.35,17.71,18.32,26012
20-Oct-11,18.02,18.15,17.56,18.05,41614
19-Oct-11,18.05,18.10,17.90,18.01,14057
18-Oct-11,18.22,18.48,17.98,18.20,43035
17-Oct-11,18.11,18.37,17.70,18.09,22190
14-Oct-11,18.24,18.70,18.00,18.25,11478
13-Oct-11,18.04,18.11,17.94,18.08,26618
12-Oct-11,18.19,18.20,17.92,18.16,35582
11-Oct-11,18.24,18.68,17.95,18.11,36501
10-Oct-11,18.15,18.47,17.80,18.35,45650
7-Oct-11,18.39,18.39,17.61,18.02,74608
6-Oct-11,18.29,18.40,18.10,18.36,21312
5-Oct-11,18.74,18.74,17.74,18.31,18465
4-Oct-11,18.00,18.77,17.76,18.70,73357
3-Oct-11,18.48,19.00,17.76,18.00,44580
30-Sep-11,18.30,18.85,18.01,18.70,526234
29-Sep-11,18.10,18.60,17.82,18.45,19790
28-Sep-11,18.15,18.19,17.69,17.81,29977
27-Sep-11,18.93,18.93,17.86,18.49,15939
26-Sep-11,18.70,18.70,18.25,18.50,17000
23-Sep-11,18.58,18.91,18.51,18.57,31894
22-Sep-11,18.05,19.33,17.99,18.69,12976
21-Sep-11,18.75,18.75,18.45,18.45,27224
20-Sep-11,18.79,18.96,18.52,18.95,16229
19-Sep-11,18.95,18.95,18.01,18.70,30259
16-Sep-11,18.25,18.99,18.25,18.96,14371
15-Sep-11,18.10,18.23,17.92,18.16,12090
14-Sep-11,18.25,18.25,17.90,17.92,9348
