Date, Open, High, Low, Close, Volume
17-May-13,15.63,15.72,15.58,15.67,17618
16-May-13,15.67,15.67,15.55,15.56,5288
15-May-13,15.80,15.81,15.60,15.61,23670
14-May-13,15.71,15.82,15.68,15.78,11959
13-May-13,15.90,15.95,15.73,15.77,11015
10-May-13,15.95,15.98,15.90,15.98,6897
9-May-13,15.86,15.91,15.86,15.89,10912
8-May-13,15.90,15.91,15.81,15.90,19267
7-May-13,15.75,15.88,15.75,15.87,13232
6-May-13,15.79,15.85,15.79,15.84,9756
3-May-13,15.98,15.98,15.60,15.74,42327
2-May-13,15.94,15.94,15.83,15.89,10326
1-May-13,15.82,15.90,15.76,15.85,17451
30-Apr-13,15.83,15.85,15.62,15.73,25412
29-Apr-13,15.84,15.84,15.74,15.74,4739
26-Apr-13,15.72,15.76,15.70,15.74,8397
25-Apr-13,15.75,15.75,15.63,15.63,12748
24-Apr-13,15.74,15.74,15.65,15.71,13098
23-Apr-13,15.79,15.82,15.65,15.72,13493
22-Apr-13,15.71,15.74,15.70,15.71,7297
19-Apr-13,15.76,15.76,15.63,15.71,9944
18-Apr-13,15.60,15.73,15.60,15.68,11594
17-Apr-13,15.63,15.73,15.49,15.62,23703
16-Apr-13,15.63,15.68,15.54,15.55,10298
15-Apr-13,15.71,15.80,15.63,15.63,25038
12-Apr-13,15.95,15.95,15.69,15.73,55136
11-Apr-13,15.88,15.90,15.87,15.89,5580
10-Apr-13,15.90,15.90,15.85,15.85,5129
9-Apr-13,15.86,15.89,15.84,15.88,10848
8-Apr-13,15.89,15.89,15.80,15.83,4856
5-Apr-13,15.66,15.93,15.66,15.89,11580
4-Apr-13,15.67,15.70,15.62,15.70,6903
3-Apr-13,15.70,15.70,15.59,15.59,6417
2-Apr-13,15.60,15.72,15.57,15.70,18153
1-Apr-13,15.72,15.77,15.62,15.62,7085
28-Mar-13,15.71,15.76,15.57,15.60,20771
27-Mar-13,15.74,15.77,15.66,15.67,14088
26-Mar-13,15.73,15.78,15.64,15.70,8918
25-Mar-13,15.82,15.85,15.67,15.80,9924
22-Mar-13,15.82,15.82,15.70,15.80,7605
21-Mar-13,15.75,15.80,15.65,15.73,7165
20-Mar-13,15.69,15.74,15.63,15.71,13267
19-Mar-13,15.53,15.62,15.42,15.60,18159
18-Mar-13,15.28,15.47,15.25,15.45,7096
15-Mar-13,15.24,15.30,15.12,15.24,38168
14-Mar-13,15.38,15.38,15.10,15.24,33850
13-Mar-13,15.51,15.51,15.36,15.38,36051
12-Mar-13,15.60,15.61,15.54,15.54,18493
11-Mar-13,15.79,15.79,15.60,15.64,33066
8-Mar-13,15.84,15.87,15.75,15.77,42125
7-Mar-13,16.04,16.13,15.91,15.91,24693
