Date, Open, High, Low, Close, Volume
17-May-13,8.36,8.40,7.95,8.01,1296795
16-May-13,8.29,8.54,8.07,8.12,1154074
15-May-13,8.00,8.64,8.00,8.29,2704142
14-May-13,7.53,8.35,7.50,7.96,2732005
13-May-13,7.11,7.49,6.98,7.44,1424889
10-May-13,7.44,7.44,7.02,7.15,1589717
9-May-13,7.48,7.95,7.21,7.41,3017129
8-May-13,7.32,7.54,7.13,7.50,2614509
7-May-13,6.95,7.40,6.95,7.30,1884081
6-May-13,7.13,7.23,6.86,6.90,1020951
3-May-13,7.05,7.32,7.00,7.10,1022226
2-May-13,6.72,7.07,6.61,6.96,1243190
1-May-13,6.80,6.99,6.68,6.69,1001657
30-Apr-13,6.96,7.09,6.72,6.93,1218982
29-Apr-13,7.13,7.33,6.90,6.94,1148401
26-Apr-13,7.04,7.31,6.99,7.11,1083174
25-Apr-13,6.88,7.25,6.81,7.11,1884533
24-Apr-13,6.37,7.09,6.34,6.85,1547057
23-Apr-13,6.31,6.55,6.28,6.39,1083131
22-Apr-13,6.36,6.36,6.07,6.30,953274
19-Apr-13,6.11,6.45,6.02,6.40,1214680
18-Apr-13,6.44,6.47,6.10,6.14,1158448
17-Apr-13,6.19,6.24,6.01,6.09,1094083
16-Apr-13,6.30,6.35,6.18,6.26,530680
15-Apr-13,6.45,6.71,6.19,6.24,1351161
12-Apr-13,6.38,6.66,6.28,6.51,1089335
11-Apr-13,6.32,6.60,6.24,6.40,1185031
10-Apr-13,6.30,6.57,6.16,6.34,1720617
9-Apr-13,6.26,6.40,6.21,6.26,675009
8-Apr-13,6.45,6.57,6.17,6.26,1157921
5-Apr-13,5.98,6.55,5.91,6.43,1589095
4-Apr-13,6.19,6.29,5.97,6.06,1094988
3-Apr-13,6.12,6.31,5.87,6.19,1768530
2-Apr-13,6.06,6.41,5.96,6.10,1917989
1-Apr-13,6.37,6.48,6.01,6.05,2017987
28-Mar-13,6.60,6.62,6.26,6.35,1795168
27-Mar-13,6.83,6.85,6.40,6.63,1512508
26-Mar-13,6.62,6.92,6.62,6.84,1010968
25-Mar-13,7.00,7.07,6.56,6.61,1484222
22-Mar-13,7.22,7.31,6.84,6.86,2071144
21-Mar-13,7.00,7.37,6.86,7.19,2314415
20-Mar-13,6.91,7.10,6.27,7.00,4185184
19-Mar-13,7.46,7.47,6.67,6.81,3571092
18-Mar-13,7.90,7.92,7.36,7.41,2534958
15-Mar-13,8.10,8.12,7.89,7.99,818320
14-Mar-13,8.19,8.20,8.07,8.15,668719
13-Mar-13,8.20,8.26,8.08,8.13,1198597
12-Mar-13,8.42,8.51,8.15,8.22,1126812
11-Mar-13,8.33,8.55,8.17,8.45,889847
8-Mar-13,8.73,8.73,8.30,8.34,1574758
7-Mar-13,8.65,8.80,8.53,8.65,1520614
6-Mar-13,8.45,8.65,7.99,8.65,2602993
5-Mar-13,8.99,9.04,8.31,8.40,2430918
4-Mar-13,9.10,9.22,8.90,8.96,1229264
1-Mar-13,9.30,9.32,9.05,9.08,988309
28-Feb-13,9.15,9.41,9.12,9.37,1306559
27-Feb-13,9.08,9.26,9.02,9.15,1109834
26-Feb-13,9.05,9.18,9.02,9.11,920567
25-Feb-13,9.67,9.67,8.99,9.08,2237635
22-Feb-13,9.47,9.78,9.31,9.55,4340819
21-Feb-13,9.10,9.40,8.95,9.32,4903662
20-Feb-13,9.81,9.95,8.78,8.95,16681024
19-Feb-13,14.50,14.66,14.25,14.33,3890872
15-Feb-13,12.93,14.37,12.77,14.20,3034051
14-Feb-13,12.55,12.80,12.34,12.46,934864
13-Feb-13,11.96,12.84,11.96,12.52,1787499
12-Feb-13,11.63,11.92,11.57,11.78,586448
11-Feb-13,11.61,11.66,11.40,11.59,510097
8-Feb-13,11.64,11.81,11.55,11.65,455697
7-Feb-13,11.57,11.82,11.47,11.64,587684
6-Feb-13,11.06,11.65,11.00,11.61,684236
5-Feb-13,11.06,11.16,10.79,11.10,628284
4-Feb-13,11.38,11.40,10.92,10.94,1000728
1-Feb-13,11.61,11.69,11.39,11.43,594299
31-Jan-13,11.66,11.72,11.33,11.54,1126403
30-Jan-13,11.87,12.01,11.72,11.77,589226
29-Jan-13,12.32,12.32,11.82,11.87,717102
28-Jan-13,12.25,12.25,12.03,12.16,628493
25-Jan-13,11.93,12.40,11.86,12.25,1108093
24-Jan-13,12.01,12.06,11.78,11.91,731692
23-Jan-13,12.04,12.18,12.00,12.01,528885
22-Jan-13,12.30,12.44,12.00,12.02,773330
18-Jan-13,12.25,12.40,12.06,12.37,460650
17-Jan-13,12.03,12.41,11.83,12.27,791736
16-Jan-13,12.15,12.42,11.86,11.97,777796
15-Jan-13,11.75,12.07,11.58,12.00,916488
14-Jan-13,12.02,12.37,11.81,11.84,630701
11-Jan-13,12.48,12.57,11.85,11.94,885513
10-Jan-13,12.44,12.77,12.38,12.39,694267
9-Jan-13,12.30,12.75,12.29,12.34,498425
8-Jan-13,11.78,12.41,11.77,12.30,583538
7-Jan-13,11.99,12.13,11.65,11.75,799872
4-Jan-13,12.56,12.80,12.00,12.03,1108867
3-Jan-13,12.99,13.06,12.31,12.55,747409
2-Jan-13,12.88,13.16,12.64,13.04,802990
31-Dec-12,11.95,12.75,11.88,12.53,725800
28-Dec-12,11.97,12.11,11.91,11.99,364941
27-Dec-12,12.09,12.20,11.95,12.08,500017
26-Dec-12,12.46,12.46,12.04,12.12,335643
24-Dec-12,12.64,12.69,12.13,12.48,357658
21-Dec-12,13.15,13.15,12.63,12.98,595071
20-Dec-12,13.23,13.29,12.67,13.26,615470
19-Dec-12,12.96,13.40,12.62,13.32,1034516
18-Dec-12,12.11,12.98,12.05,12.82,943709
17-Dec-12,12.21,12.42,11.95,12.05,394454
14-Dec-12,12.33,12.46,12.14,12.21,495063
13-Dec-12,12.08,12.32,11.88,12.29,593798
12-Dec-12,12.39,12.39,11.51,12.05,724648
11-Dec-12,12.66,12.69,12.27,12.30,505289
10-Dec-12,12.52,12.76,12.50,12.61,443613
7-Dec-12,12.72,13.03,12.36,12.52,623370
6-Dec-12,12.44,13.04,12.17,12.66,824947
5-Dec-12,13.17,13.25,12.00,12.44,1584393
4-Dec-12,13.53,13.53,12.85,13.23,445772
3-Dec-12,13.30,13.81,13.05,13.22,547020
30-Nov-12,13.63,14.23,13.46,13.75,2830067
29-Nov-12,13.77,13.99,13.51,13.63,377600
28-Nov-12,13.14,14.10,13.02,13.71,1062350
27-Nov-12,13.31,13.46,13.02,13.21,692686
26-Nov-12,13.70,13.80,13.13,13.38,1110173
23-Nov-12,13.89,13.91,13.59,13.89,172865
21-Nov-12,13.85,13.98,13.54,13.80,594736
20-Nov-12,14.00,14.00,13.54,13.72,555558
19-Nov-12,13.38,13.73,13.32,13.65,742776
16-Nov-12,13.11,13.49,12.73,13.25,1150341
15-Nov-12,12.31,13.49,11.80,13.15,2174840
14-Nov-12,14.23,14.49,12.34,12.62,1952996
13-Nov-12,15.12,15.25,13.92,14.21,880048
12-Nov-12,14.79,15.41,14.78,15.23,685291
9-Nov-12,14.66,15.00,14.66,14.76,566998
8-Nov-12,15.05,15.40,14.66,14.87,870293
7-Nov-12,16.00,16.00,14.87,15.41,1498774
6-Nov-12,15.68,16.86,15.36,15.86,3071380
5-Nov-12,15.47,15.48,14.80,14.98,805979
2-Nov-12,15.51,15.92,15.27,15.28,444192
1-Nov-12,16.00,16.00,15.10,15.42,646934
31-Oct-12,16.57,16.57,15.63,16.03,846911
26-Oct-12,16.26,16.66,16.11,16.42,1342405
25-Oct-12,16.18,16.28,15.56,16.26,1849574
24-Oct-12,15.45,16.14,15.10,16.11,8037586
23-Oct-12,14.68,14.80,14.18,14.25,697950
22-Oct-12,15.12,15.50,14.65,15.13,741664
19-Oct-12,15.50,15.50,14.50,14.73,1058039
18-Oct-12,15.65,15.80,15.34,15.55,337348
17-Oct-12,15.67,15.80,15.38,15.68,238736
16-Oct-12,15.93,16.03,15.36,15.70,258407
15-Oct-12,15.06,16.07,14.90,15.91,977404
12-Oct-12,15.85,16.07,15.75,16.02,389031
11-Oct-12,15.36,15.89,15.30,15.81,307800
10-Oct-12,16.03,16.17,15.10,15.28,654807
9-Oct-12,16.07,16.58,15.88,16.20,563378
8-Oct-12,15.15,16.33,14.80,16.06,1075396
5-Oct-12,14.75,15.13,14.58,15.06,775088
4-Oct-12,14.55,14.86,14.42,14.65,423056
3-Oct-12,14.46,14.61,14.31,14.55,391345
2-Oct-12,14.44,14.65,14.20,14.40,283819
1-Oct-12,14.36,14.52,14.04,14.43,726859
28-Sep-12,14.26,14.60,14.23,14.35,571909
27-Sep-12,14.37,14.57,14.00,14.40,1128658
26-Sep-12,14.29,14.85,14.02,14.37,466552
25-Sep-12,15.25,15.25,14.09,14.28,1840478
24-Sep-12,14.83,16.49,14.65,15.04,1314666
21-Sep-12,15.22,15.33,14.27,14.99,1604941
20-Sep-12,14.17,15.79,14.00,15.25,1682512
19-Sep-12,14.00,14.72,13.90,14.25,440170
18-Sep-12,14.86,14.87,13.80,13.93,555345
17-Sep-12,14.93,15.24,14.35,14.81,526288
14-Sep-12,14.52,15.21,14.36,14.76,678463
13-Sep-12,13.76,14.70,13.70,14.24,1571190
12-Sep-12,12.30,13.77,12.20,13.68,1446325
11-Sep-12,12.08,12.49,11.83,12.24,487925
10-Sep-12,11.95,12.34,11.80,12.08,390023
7-Sep-12,11.50,11.96,11.16,11.80,450653
6-Sep-12,11.65,11.75,11.19,11.50,246566
5-Sep-12,11.79,11.99,11.10,11.51,425822
4-Sep-12,11.49,11.83,10.68,11.74,682164
31-Aug-12,11.51,11.75,11.40,11.53,371090
30-Aug-12,10.67,11.43,10.65,11.39,526412
29-Aug-12,10.57,10.71,10.30,10.69,520602
28-Aug-12,10.67,10.77,10.42,10.56,453835
27-Aug-12,10.82,10.92,10.49,10.55,446969
24-Aug-12,10.77,10.90,10.25,10.86,574967
23-Aug-12,10.95,10.98,10.68,10.69,263652
22-Aug-12,11.23,11.27,10.80,10.94,429909
21-Aug-12,11.20,11.78,11.19,11.30,834701
20-Aug-12,10.89,11.40,10.60,10.96,462904
17-Aug-12,10.97,11.07,10.78,10.89,234548
16-Aug-12,11.33,11.36,10.89,11.00,424058
15-Aug-12,12.44,12.44,11.21,11.42,1093041
14-Aug-12,13.58,13.58,12.28,12.42,533425
13-Aug-12,13.54,14.20,13.30,13.39,901179
10-Aug-12,12.74,13.79,12.74,13.72,919178
9-Aug-12,12.05,13.24,11.20,13.05,2968256
8-Aug-12,10.31,10.37,10.06,10.19,309880
7-Aug-12,9.63,10.49,9.58,10.39,307148
6-Aug-12,9.12,9.61,9.05,9.51,267966
3-Aug-12,9.81,9.81,9.00,9.05,235449
2-Aug-12,9.27,9.77,9.20,9.65,225290
1-Aug-12,9.98,9.98,9.30,9.30,340155
31-Jul-12,10.36,10.42,9.91,9.93,113210
30-Jul-12,10.50,10.58,9.94,10.29,474115
27-Jul-12,10.65,10.70,10.27,10.58,165418
26-Jul-12,10.45,10.91,10.16,10.61,365954
25-Jul-12,10.86,10.86,10.17,10.27,296916
24-Jul-12,11.16,11.16,10.55,10.89,264359
23-Jul-12,11.18,11.26,10.78,11.17,173412
20-Jul-12,11.47,11.48,10.97,11.35,457061
19-Jul-12,11.00,11.63,11.00,11.36,389735
18-Jul-12,10.73,11.04,10.28,10.95,419547
17-Jul-12,11.50,11.51,10.56,10.75,484937
16-Jul-12,11.79,11.79,11.40,11.47,237507
13-Jul-12,12.33,12.37,11.75,11.82,145151
12-Jul-12,12.39,12.52,11.89,12.33,250464
11-Jul-12,12.82,12.82,12.31,12.45,93906
10-Jul-12,13.30,13.55,12.75,12.81,272199
9-Jul-12,14.23,14.30,12.80,12.85,354856
6-Jul-12,14.07,14.30,13.89,14.21,107534
5-Jul-12,13.80,14.26,13.60,14.13,159352
3-Jul-12,13.11,14.03,13.10,13.77,182548
2-Jul-12,13.18,13.32,12.79,13.13,180428
29-Jun-12,13.06,13.33,12.93,13.19,284908
28-Jun-12,13.25,13.25,12.56,12.75,238512
27-Jun-12,13.27,13.39,13.15,13.29,244482
26-Jun-12,12.85,13.45,12.58,13.09,435187
25-Jun-12,12.63,12.63,12.19,12.48,132767
22-Jun-12,12.64,12.94,12.46,12.79,1472969
21-Jun-12,13.00,13.25,12.46,12.59,170940
20-Jun-12,12.28,13.15,12.19,13.04,198100
19-Jun-12,12.60,12.71,12.30,12.41,349470
18-Jun-12,12.79,12.91,12.33,12.56,323993
15-Jun-12,12.94,13.02,12.78,12.98,256213
14-Jun-12,12.91,13.32,12.66,12.99,328363
13-Jun-12,12.79,13.15,12.79,13.03,130362
12-Jun-12,12.68,12.92,12.47,12.75,260456
11-Jun-12,13.49,13.49,12.59,12.63,381672
8-Jun-12,13.09,13.46,12.98,13.19,405547
7-Jun-12,13.11,13.35,12.72,13.04,250026
6-Jun-12,12.54,13.10,12.48,12.83,160198
5-Jun-12,12.44,12.76,11.80,12.48,383435
4-Jun-12,12.75,13.06,12.25,12.45,268338
1-Jun-12,13.22,13.45,12.76,12.90,432516
31-May-12,13.01,13.98,12.75,13.78,259497
30-May-12,13.69,13.85,12.71,13.06,316283
29-May-12,14.74,15.50,13.41,13.80,481573
25-May-12,14.60,14.97,14.23,14.56,225622
24-May-12,15.31,16.08,14.29,14.45,721232
23-May-12,14.57,15.10,13.70,15.03,314657
22-May-12,13.62,15.25,13.46,14.65,969411
21-May-12,13.63,13.84,13.21,13.39,307258
18-May-12,13.58,13.95,12.89,13.63,1123762
17-May-12,12.43,13.06,11.97,12.44,1676901
16-May-12,13.13,13.62,10.98,11.44,1531200
15-May-12,14.90,14.90,13.18,13.40,1494302
14-May-12,15.11,15.49,14.64,15.45,1063323
11-May-12,15.15,15.36,14.94,15.27,260209
10-May-12,14.95,15.61,14.80,15.25,250244
9-May-12,16.00,16.00,14.38,14.90,1029712
8-May-12,18.01,18.09,15.37,16.22,1395348
7-May-12,17.79,19.00,17.79,19.00,263440
4-May-12,18.14,18.90,17.98,18.74,544537
3-May-12,18.34,18.45,18.00,18.20,365215
2-May-12,18.50,18.57,18.15,18.40,315582
1-May-12,18.95,19.10,18.57,18.77,364126
30-Apr-12,19.25,19.27,18.92,18.97,259043
27-Apr-12,19.40,19.40,18.50,19.35,151655
26-Apr-12,18.00,19.30,18.00,19.20,214819
25-Apr-12,17.05,17.98,16.97,17.88,527881
24-Apr-12,17.93,17.93,16.62,17.08,550115
23-Apr-12,18.45,18.45,17.30,17.92,462280
20-Apr-12,18.75,19.11,18.54,18.57,259051
19-Apr-12,19.20,19.44,18.50,18.80,188059
18-Apr-12,19.10,19.94,18.99,19.13,336353
17-Apr-12,19.36,19.65,19.00,19.17,467718
16-Apr-12,19.17,19.34,18.55,18.66,231140
13-Apr-12,19.12,19.54,18.90,19.16,297715
12-Apr-12,19.19,19.46,18.92,19.10,468551
11-Apr-12,19.28,19.28,18.51,18.94,483724
10-Apr-12,19.33,19.98,18.77,18.93,650889
9-Apr-12,18.05,19.10,16.71,19.00,1644826
5-Apr-12,19.77,20.04,18.42,18.42,1301043
4-Apr-12,20.37,20.40,19.17,19.96,2351110
3-Apr-12,23.10,23.10,20.81,21.08,1052952
2-Apr-12,22.63,23.64,22.05,22.60,820344
30-Mar-12,25.58,25.58,22.61,23.50,2302204
29-Mar-12,25.00,27.90,24.00,25.00,16839373
