Date, Open, High, Low, Close, Volume
17-May-13,1.30,1.30,1.10,1.19,42856
16-May-13,1.37,1.37,1.30,1.30,30208
15-May-13,1.50,1.50,1.32,1.37,21183
14-May-13,1.46,1.50,1.36,1.49,32020
13-May-13,1.37,1.38,1.34,1.34,33979
10-May-13,1.64,1.64,0.97,1.37,109824
9-May-13,1.51,1.65,1.51,1.60,47337
8-May-13,1.69,1.69,1.51,1.60,82953
7-May-13,1.67,1.75,1.67,1.67,104460
6-May-13,1.47,1.75,1.34,1.65,295465
3-May-13,1.15,1.35,1.10,1.28,61332
2-May-13,1.04,1.15,1.00,1.06,33001
1-May-13,1.10,1.13,1.02,1.04,36108
30-Apr-13,0.85,1.10,0.85,1.04,77917
29-Apr-13,0.83,0.85,0.82,0.82,22150
26-Apr-13,0.83,0.83,0.82,0.83,2784
25-Apr-13,0.82,0.83,0.82,0.83,1380
24-Apr-13,0.89,0.90,0.81,0.82,26076
23-Apr-13,0.85,0.89,0.85,0.89,2400
22-Apr-13,0.90,0.90,0.85,0.85,4375
19-Apr-13,0.90,0.90,0.88,0.88,3600
18-Apr-13,0.84,0.89,0.83,0.85,8700
17-Apr-13,0.93,0.96,0.76,0.95,28349
16-Apr-13,0.90,0.97,0.90,0.95,20128
15-Apr-13,0.95,0.96,0.91,0.91,13599
12-Apr-13,0.95,1.07,0.95,0.97,14300
11-Apr-13,0.91,1.10,0.90,0.95,75722
10-Apr-13,0.94,0.95,0.89,0.90,15609
9-Apr-13,0.92,0.99,0.88,0.94,68332
8-Apr-13,1.04,1.09,0.81,0.93,95897
5-Apr-13,1.17,1.17,1.03,1.03,18700
4-Apr-13,1.16,1.16,1.11,1.11,1637
3-Apr-13,1.12,1.15,1.12,1.14,3700
2-Apr-13,1.08,1.24,1.08,1.10,49065
1-Apr-13,1.13,1.16,1.09,1.13,12605
28-Mar-13,1.19,1.19,1.10,1.12,15287
27-Mar-13,1.12,1.22,1.10,1.13,52325
26-Mar-13,1.16,1.18,1.12,1.14,6700
