Date, Open, High, Low, Close, Volume
16-Apr-13,10.10,10.10,10.10,10.10,100
10-Apr-13,10.15,10.15,10.15,10.15,200
2-Apr-13,10.11,10.11,10.11,10.11,200
27-Mar-13,10.13,10.15,10.13,10.15,356
26-Feb-13,10.11,10.11,10.11,10.11,100
20-Feb-13,10.15,10.15,10.15,10.15,100
12-Feb-13,10.10,10.10,10.10,10.10,100
21-Dec-12,10.42,10.42,10.39,10.39,200
17-Dec-12,10.41,10.41,10.41,10.41,100
3-Dec-12,10.34,10.34,10.34,10.34,100
28-Nov-12,10.11,10.11,10.01,10.01,5000
26-Nov-12,10.40,10.40,10.20,10.20,400
21-Nov-12,-,-,-,10.30,0
20-Nov-12,-,-,-,10.30,0
19-Nov-12,10.20,10.20,10.20,10.20,200
16-Nov-12,-,-,-,10.30,0
15-Nov-12,-,-,-,10.30,0
14-Nov-12,-,-,-,10.30,0
13-Nov-12,-,-,-,10.30,0
12-Nov-12,-,-,-,10.30,0
9-Nov-12,-,-,-,10.30,0
8-Nov-12,-,-,-,10.30,0
7-Nov-12,-,-,-,10.30,0
6-Nov-12,-,-,-,10.30,0
5-Nov-12,-,-,-,10.30,0
2-Nov-12,-,-,-,10.30,0
1-Nov-12,-,-,-,10.30,0
31-Oct-12,-,-,-,10.30,0
26-Oct-12,-,-,-,10.30,0
25-Oct-12,-,-,-,10.30,0
24-Oct-12,-,-,-,10.30,0
23-Oct-12,10.10,10.25,10.10,10.25,700
22-Oct-12,-,-,-,10.30,0
19-Oct-12,-,-,-,10.30,0
18-Oct-12,-,-,-,10.30,0
17-Oct-12,10.10,10.10,10.10,10.10,200
16-Oct-12,-,-,-,10.30,0
15-Oct-12,10.10,10.10,10.10,10.10,29484
12-Oct-12,-,-,-,10.30,0
11-Oct-12,-,-,-,10.30,0
10-Oct-12,-,-,-,10.30,0
9-Oct-12,-,-,-,10.30,0
8-Oct-12,-,-,-,10.30,0
5-Oct-12,-,-,-,10.30,0
4-Oct-12,-,-,-,10.30,0
3-Oct-12,-,-,-,10.30,0
2-Oct-12,-,-,-,10.30,0
1-Oct-12,-,-,-,10.30,0
28-Sep-12,-,-,-,10.30,0
27-Sep-12,-,-,-,10.30,0
26-Sep-12,-,-,-,10.30,0
25-Sep-12,-,-,-,10.30,0
24-Sep-12,-,-,-,10.30,0
21-Sep-12,-,-,-,10.30,0
20-Sep-12,-,-,-,10.30,0
19-Sep-12,-,-,-,10.30,0
18-Sep-12,-,-,-,10.30,0
17-Sep-12,-,-,-,10.30,0
14-Sep-12,-,-,-,10.30,0
13-Sep-12,-,-,-,10.30,0
12-Sep-12,-,-,-,10.30,0
11-Sep-12,-,-,-,10.30,0
10-Sep-12,-,-,-,10.30,0
7-Sep-12,-,-,-,10.30,0
6-Sep-12,-,-,-,10.30,0
5-Sep-12,-,-,-,10.30,0
4-Sep-12,-,-,-,10.30,0
31-Aug-12,-,-,-,10.30,0
30-Aug-12,-,-,-,10.30,0
29-Aug-12,-,-,-,10.30,0
28-Aug-12,-,-,-,10.30,0
27-Aug-12,-,-,-,10.30,0
24-Aug-12,-,-,-,10.30,0
23-Aug-12,-,-,-,10.30,0
22-Aug-12,-,-,-,10.30,0
21-Aug-12,-,-,-,10.30,0
20-Aug-12,-,-,-,10.30,0
17-Aug-12,-,-,-,10.30,0
16-Aug-12,-,-,-,10.30,0
15-Aug-12,10.10,10.10,10.10,10.10,200
14-Aug-12,-,-,-,10.30,0
13-Aug-12,10.11,10.14,10.11,10.13,800
10-Aug-12,-,-,-,10.30,0
9-Aug-12,-,-,-,10.30,0
8-Aug-12,-,-,-,10.30,0
7-Aug-12,-,-,-,10.30,0
6-Aug-12,-,-,-,10.30,0
3-Aug-12,-,-,-,10.30,0
2-Aug-12,-,-,-,10.30,0
1-Aug-12,10.30,10.30,10.30,10.30,100
31-Jul-12,10.10,10.10,10.10,10.10,550
30-Jul-12,10.15,10.15,10.15,10.15,10000
27-Jul-12,-,-,-,10.94,0
26-Jul-12,-,-,-,10.94,0
25-Jul-12,-,-,-,10.94,0
24-Jul-12,-,-,-,10.94,0
23-Jul-12,-,-,-,10.94,0
20-Jul-12,-,-,-,10.94,0
19-Jul-12,-,-,-,10.94,0
18-Jul-12,-,-,-,10.94,0
17-Jul-12,-,-,-,10.94,0
16-Jul-12,-,-,-,10.94,0
13-Jul-12,-,-,-,10.94,0
12-Jul-12,-,-,-,10.94,0
11-Jul-12,10.15,10.15,10.15,10.15,200
10-Jul-12,-,-,-,10.94,0
9-Jul-12,-,-,-,10.94,0
6-Jul-12,-,-,-,10.94,0
5-Jul-12,-,-,-,10.94,0
3-Jul-12,-,-,-,10.94,0
2-Jul-12,-,-,-,10.94,0
29-Jun-12,10.19,10.19,10.19,10.19,100
28-Jun-12,-,-,-,10.94,0
27-Jun-12,-,-,-,10.94,0
26-Jun-12,-,-,-,10.94,0
25-Jun-12,-,-,-,10.94,0
22-Jun-12,-,-,-,10.94,0
21-Jun-12,10.94,10.94,10.94,10.94,100
20-Jun-12,-,-,-,10.12,0
19-Jun-12,-,-,-,10.12,0
18-Jun-12,-,-,-,10.12,0
15-Jun-12,-,-,-,10.12,0
14-Jun-12,-,-,-,10.12,0
13-Jun-12,-,-,-,10.12,0
12-Jun-12,-,-,-,10.12,0
11-Jun-12,-,-,-,10.12,0
8-Jun-12,-,-,-,10.12,0
7-Jun-12,10.12,10.23,10.10,10.23,300
6-Jun-12,-,-,-,10.12,0
5-Jun-12,-,-,-,10.12,0
4-Jun-12,-,-,-,10.12,0
1-Jun-12,-,-,-,10.12,0
31-May-12,-,-,-,10.12,0
30-May-12,10.28,10.29,10.28,10.29,375
29-May-12,10.11,10.12,10.05,10.12,236600
25-May-12,-,-,-,10.16,0
24-May-12,10.22,10.22,10.11,10.11,9400
23-May-12,10.13,10.16,10.13,10.16,51400
22-May-12,-,-,-,10.28,0
21-May-12,-,-,-,10.28,0
18-May-12,-,-,-,10.28,0
17-May-12,-,-,-,10.28,0
16-May-12,-,-,-,10.28,0
15-May-12,10.21,10.28,10.21,10.28,300
14-May-12,10.22,10.22,10.22,10.22,4000
11-May-12,-,-,-,10.16,0
10-May-12,-,-,-,10.16,0
9-May-12,-,-,-,10.16,0
8-May-12,-,-,-,10.16,0
7-May-12,10.22,10.22,10.22,10.22,77800
4-May-12,-,-,-,10.16,0
3-May-12,10.16,10.16,10.16,10.16,200
2-May-12,10.16,10.16,10.16,10.16,500
1-May-12,10.16,10.16,10.16,10.16,300
30-Apr-12,10.16,10.16,10.16,10.16,1100
27-Apr-12,-,-,-,10.31,0
26-Apr-12,-,-,-,10.31,0
25-Apr-12,-,-,-,10.31,0
24-Apr-12,-,-,-,10.31,0
23-Apr-12,-,-,-,10.31,0
20-Apr-12,-,-,-,10.31,0
19-Apr-12,-,-,-,10.31,0
18-Apr-12,-,-,-,10.31,0
17-Apr-12,-,-,-,10.31,0
16-Apr-12,-,-,-,10.31,0
13-Apr-12,-,-,-,10.31,0
12-Apr-12,-,-,-,10.31,0
11-Apr-12,-,-,-,10.31,0
10-Apr-12,-,-,-,10.31,0
9-Apr-12,10.16,10.16,10.16,10.16,700
5-Apr-12,-,-,-,10.31,0
4-Apr-12,-,-,-,10.31,0
3-Apr-12,-,-,-,10.31,0
2-Apr-12,-,-,-,10.31,0
30-Mar-12,-,-,-,10.31,0
29-Mar-12,10.37,10.37,10.37,10.37,160
28-Mar-12,-,-,-,10.31,0
27-Mar-12,-,-,-,10.31,0
26-Mar-12,-,-,-,10.31,0
23-Mar-12,-,-,-,10.31,0
22-Mar-12,-,-,-,10.31,0
21-Mar-12,10.33,10.33,10.33,10.33,7700
20-Mar-12,10.11,10.31,10.11,10.31,200
19-Mar-12,10.10,10.33,10.10,10.33,200
16-Mar-12,-,-,-,10.23,0
15-Mar-12,-,-,-,10.23,0
14-Mar-12,10.23,10.33,10.23,10.33,200
13-Mar-12,-,-,-,10.33,0
12-Mar-12,-,-,-,10.33,0
9-Mar-12,-,-,-,10.33,0
8-Mar-12,-,-,-,10.33,0
7-Mar-12,-,-,-,10.33,0
6-Mar-12,-,-,-,10.33,0
5-Mar-12,-,-,-,10.33,0
2-Mar-12,-,-,-,10.33,0
1-Mar-12,10.33,10.33,10.33,10.33,100
29-Feb-12,-,-,-,10.08,0
28-Feb-12,-,-,-,10.08,0
27-Feb-12,-,-,-,10.08,0
24-Feb-12,-,-,-,10.08,0
23-Feb-12,-,-,-,10.08,0
22-Feb-12,-,-,-,10.08,0
21-Feb-12,-,-,-,10.08,0
17-Feb-12,-,-,-,10.08,0
16-Feb-12,-,-,-,10.08,0
15-Feb-12,-,-,-,10.08,0
14-Feb-12,-,-,-,10.08,0
13-Feb-12,-,-,-,10.08,0
10-Feb-12,10.28,10.28,10.28,10.28,100
6-Feb-12,10.08,10.32,10.08,10.32,800
19-Jan-12,10.31,10.31,10.31,10.31,100
17-Jan-12,10.20,10.20,10.20,10.20,100
12-Jan-12,10.12,10.12,10.12,10.12,100
28-Dec-11,10.00,10.05,10.00,10.05,700
20-Dec-11,10.26,10.26,10.05,10.05,200
14-Dec-11,10.01,10.10,10.01,10.10,1400
12-Dec-11,10.15,10.15,10.15,10.15,1000
2-Dec-11,10.15,10.28,10.15,10.28,600
29-Nov-11,10.07,10.28,10.07,10.28,600
28-Nov-11,-,-,-,10.28,0
21-Nov-11,10.15,10.15,10.15,10.15,100
16-Nov-11,10.28,10.28,10.28,10.28,200
11-Nov-11,10.15,10.15,10.15,10.15,100
3-Nov-11,-,-,-,10.27,0
2-Nov-11,10.15,10.15,10.15,10.15,1000
31-Oct-11,-,-,-,10.15,0
27-Oct-11,-,-,-,10.20,0
26-Oct-11,10.15,10.15,10.15,10.15,50400
