Date, Open, High, Low, Close, Volume
17-May-13,61.06,61.16,59.94,60.75,4238736
16-May-13,61.26,61.77,60.49,61.11,2674180
15-May-13,61.64,61.79,61.08,61.48,2965749
14-May-13,61.30,62.23,61.25,61.64,3739431
13-May-13,62.79,62.79,60.71,61.30,5502243
10-May-13,63.96,63.96,62.70,63.28,2805298
9-May-13,64.34,64.64,63.64,63.84,2645292
8-May-13,62.32,64.65,62.25,64.30,4387677
7-May-13,61.39,62.70,61.33,62.22,2677197
6-May-13,60.88,61.16,60.31,61.13,1471974
3-May-13,60.94,61.27,60.50,60.83,1943660
2-May-13,60.58,60.79,59.69,60.50,1710963
1-May-13,61.29,61.29,60.24,60.29,2111537
30-Apr-13,61.62,61.94,61.06,61.59,2132166
29-Apr-13,60.16,61.88,59.81,61.84,2994186
26-Apr-13,60.83,61.12,59.77,59.86,2660572
25-Apr-13,60.44,61.55,60.44,60.83,2258411
24-Apr-13,58.50,60.18,58.37,59.98,2181584
23-Apr-13,58.45,58.73,57.82,58.30,2906713
22-Apr-13,57.66,58.44,57.33,58.31,1973501
19-Apr-13,57.70,57.82,56.90,57.53,2009165
18-Apr-13,58.35,58.35,57.01,57.39,2829770
17-Apr-13,57.33,58.24,57.08,57.98,4018882
16-Apr-13,57.70,58.12,57.60,57.90,2182101
15-Apr-13,58.62,58.64,57.01,57.21,3892608
12-Apr-13,60.42,60.48,58.80,59.20,2521893
11-Apr-13,60.08,60.73,59.97,60.61,1869768
10-Apr-13,60.06,60.59,59.66,60.08,2732549
9-Apr-13,59.14,60.37,59.14,59.95,2341204
8-Apr-13,59.11,59.32,58.60,58.92,1478147
5-Apr-13,58.69,59.28,58.59,59.14,1845094
4-Apr-13,58.43,59.49,58.42,59.35,2304251
3-Apr-13,58.28,58.64,57.77,58.52,3917357
2-Apr-13,59.53,59.53,57.51,58.04,4665691
1-Apr-13,59.47,59.65,59.08,59.26,2914683
28-Mar-13,59.49,60.21,58.29,59.61,6381491
27-Mar-13,58.21,58.78,57.55,58.68,2867987
26-Mar-13,59.51,59.79,58.50,58.73,3507928
25-Mar-13,60.15,60.27,59.00,59.32,2280438
22-Mar-13,60.17,60.34,59.45,59.71,2477101
21-Mar-13,60.87,61.04,59.99,60.04,2817371
20-Mar-13,61.74,61.94,61.33,61.47,2793440
19-Mar-13,61.94,62.17,61.00,61.34,3362418
18-Mar-13,61.82,62.18,61.24,61.93,2866946
15-Mar-13,62.05,62.74,61.93,62.69,5866089
14-Mar-13,61.81,62.34,61.50,62.34,3030364
13-Mar-13,61.84,62.20,61.50,61.76,2211126
12-Mar-13,61.95,62.38,61.54,61.90,3271270
11-Mar-13,60.58,61.87,60.28,61.50,4171037
8-Mar-13,59.49,60.30,59.30,60.22,3130699
7-Mar-13,58.38,59.48,58.34,59.29,2637607
6-Mar-13,58.73,58.75,57.86,58.20,2709028
5-Mar-13,58.80,59.25,58.20,58.36,2447959
4-Mar-13,58.33,58.39,57.60,58.35,2917993
1-Mar-13,58.11,58.91,57.54,58.47,3673768
28-Feb-13,58.26,59.08,58.07,58.54,3360448
27-Feb-13,56.30,58.48,56.22,58.14,4065993
26-Feb-13,56.43,56.62,55.62,56.34,3744078
25-Feb-13,58.00,58.32,56.05,56.14,3030000
22-Feb-13,57.08,57.48,56.40,57.47,4443441
21-Feb-13,58.34,58.34,56.66,57.73,4887972
20-Feb-13,61.17,61.18,58.40,58.51,4872546
19-Feb-13,62.20,62.42,61.35,61.46,2021061
15-Feb-13,61.70,62.32,61.59,62.18,3085399
14-Feb-13,61.88,62.10,61.30,61.98,2678722
13-Feb-13,61.49,62.26,61.39,62.20,2269021
12-Feb-13,61.06,61.64,60.89,61.49,1880899
11-Feb-13,61.39,61.40,60.84,61.14,1249907
8-Feb-13,61.23,61.70,60.85,61.40,1178863
7-Feb-13,61.01,61.75,60.90,61.16,1626156
6-Feb-13,60.83,61.78,60.79,61.26,2050028
5-Feb-13,61.26,61.93,61.00,61.10,2388307
4-Feb-13,61.55,61.80,60.75,60.99,2117820
1-Feb-13,61.92,62.43,61.08,62.11,3160493
31-Jan-13,60.68,61.89,60.40,61.25,2665346
30-Jan-13,62.00,62.18,61.19,61.26,2612483
29-Jan-13,62.36,62.36,61.41,62.01,2416224
28-Jan-13,63.14,63.31,61.83,62.36,3073083
25-Jan-13,61.17,63.46,61.13,63.22,7006538
24-Jan-13,59.64,61.20,59.64,60.92,3559043
23-Jan-13,59.80,59.91,59.39,59.46,1909444
22-Jan-13,59.17,60.03,59.02,59.78,2172398
18-Jan-13,59.20,59.38,58.59,59.38,2860947
17-Jan-13,59.18,59.64,58.87,59.17,2640440
16-Jan-13,59.23,59.26,58.80,58.99,2359943
15-Jan-13,59.30,59.93,59.16,59.51,2487348
14-Jan-13,59.78,59.87,59.09,59.53,2008145
11-Jan-13,59.56,60.06,59.08,59.74,4163912
10-Jan-13,59.61,59.88,59.23,59.73,3137662
9-Jan-13,58.69,59.80,58.62,59.35,3851792
8-Jan-13,59.01,59.07,58.18,58.47,3042928
7-Jan-13,58.24,58.88,58.19,58.71,2753136
4-Jan-13,57.50,59.15,57.20,58.62,8467004
3-Jan-13,57.61,58.06,56.32,56.77,4556560
2-Jan-13,58.06,59.19,57.14,57.51,5909777
31-Dec-12,55.05,56.80,54.80,56.63,4026615
28-Dec-12,55.65,55.75,55.09,55.21,1666784
27-Dec-12,56.10,56.44,55.36,56.15,1899203
26-Dec-12,55.89,56.50,55.83,56.02,1501158
24-Dec-12,55.57,55.84,54.96,55.61,979781
21-Dec-12,55.20,55.70,54.85,55.63,3501139
20-Dec-12,55.29,55.84,54.68,55.83,2381592
19-Dec-12,55.96,56.10,55.28,55.45,2199815
18-Dec-12,56.08,56.26,55.58,55.96,1876483
17-Dec-12,55.85,56.04,55.51,56.03,1631257
14-Dec-12,55.56,56.18,55.36,55.56,1420320
13-Dec-12,56.45,56.53,55.12,55.63,2612430
