Date, Open, High, Low, Close, Volume
13-May-13,7.01,7.01,7.01,7.01,400
10-May-13,7.01,7.01,7.00,7.00,300
8-May-13,7.02,7.02,7.02,7.02,100
2-May-13,7.07,7.07,7.07,7.07,100
26-Apr-13,7.01,7.01,7.01,7.01,2000
11-Apr-13,7.21,7.25,7.20,7.25,1723
10-Apr-13,7.18,7.18,7.18,7.18,100
9-Apr-13,6.99,7.01,6.06,7.01,2300
8-Apr-13,7.02,7.02,7.02,7.02,100
4-Apr-13,7.03,7.03,7.03,7.03,135
2-Apr-13,7.08,7.08,7.08,7.08,100
28-Mar-13,7.02,7.02,7.02,7.02,606
27-Mar-13,7.09,7.09,7.09,7.09,200
26-Mar-13,7.01,7.01,7.01,7.01,100
18-Mar-13,7.22,7.22,7.21,7.21,800
12-Mar-13,7.08,7.08,7.00,7.00,728
11-Mar-13,7.01,7.01,7.00,7.00,600
8-Mar-13,6.99,7.47,6.99,7.19,7428
7-Mar-13,6.88,6.91,6.88,6.91,1100
5-Mar-13,7.00,7.00,7.00,7.00,1189
4-Mar-13,7.11,7.11,7.00,7.00,1689
1-Mar-13,6.76,7.23,6.67,7.22,2673
28-Feb-13,6.90,6.90,6.88,6.88,1058
27-Feb-13,7.00,7.00,6.90,6.90,1000
20-Feb-13,7.25,7.25,7.00,7.04,2382
15-Feb-13,7.22,7.22,7.22,7.22,100
11-Feb-13,7.00,7.00,7.00,7.00,700
8-Feb-13,7.60,7.72,7.00,7.72,2000
7-Feb-13,6.84,7.53,6.73,7.53,9515
6-Feb-13,6.89,6.89,6.89,6.89,100
4-Feb-13,6.86,6.86,6.86,6.86,300
29-Jan-13,7.02,7.02,7.00,7.00,622
24-Jan-13,7.02,7.02,6.90,6.90,1231
23-Jan-13,6.61,7.08,6.61,6.95,3424
22-Jan-13,6.50,6.50,6.50,6.50,600
18-Jan-13,7.00,7.01,6.93,6.93,3439
17-Jan-13,6.72,6.75,6.72,6.73,3262
16-Jan-13,6.53,6.53,6.50,6.50,490
11-Jan-13,6.55,6.55,6.55,6.55,100
10-Jan-13,6.62,6.62,6.50,6.55,5444
9-Jan-13,6.50,6.50,6.50,6.50,1800
4-Jan-13,6.50,6.50,6.50,6.50,608
3-Jan-13,6.50,6.50,6.50,6.50,300
2-Jan-13,6.78,6.78,6.50,6.50,300
31-Dec-12,6.90,6.90,6.66,6.70,1877
28-Dec-12,6.99,6.99,6.90,6.90,1823
27-Dec-12,6.75,7.05,6.73,6.99,700
24-Dec-12,6.97,7.00,6.97,6.98,1265
20-Dec-12,6.52,6.52,6.52,6.52,100
19-Dec-12,6.96,7.00,6.54,6.58,3900
18-Dec-12,6.80,6.80,6.80,6.80,24618
14-Dec-12,6.54,6.85,6.54,6.85,300
13-Dec-12,6.81,6.90,6.70,6.75,2600
12-Dec-12,6.11,6.90,6.06,6.90,3500
10-Dec-12,6.02,6.15,6.02,6.15,534
7-Dec-12,6.00,6.55,6.00,6.54,589
6-Dec-12,4.80,7.34,4.26,6.35,2268
5-Dec-12,6.52,6.99,6.52,6.80,2841
3-Dec-12,6.00,6.00,6.00,6.00,2000
29-Nov-12,6.06,6.06,6.00,6.00,1340
28-Nov-12,6.00,6.00,6.00,6.00,659
27-Nov-12,6.03,6.03,6.03,6.03,100
21-Nov-12,-,-,-,6.00,0
20-Nov-12,6.02,6.02,6.00,6.00,2687
19-Nov-12,-,-,-,6.05,0
16-Nov-12,-,-,-,6.05,0
15-Nov-12,6.05,6.05,6.05,6.05,252
14-Nov-12,6.00,6.00,6.00,6.00,5100
13-Nov-12,-,-,-,6.03,0
12-Nov-12,-,-,-,6.03,0
9-Nov-12,6.03,6.03,6.03,6.03,100
8-Nov-12,6.20,6.20,6.20,6.20,300
7-Nov-12,-,-,-,6.50,0
6-Nov-12,-,-,-,6.50,0
5-Nov-12,-,-,-,6.50,0
2-Nov-12,-,-,-,6.50,0
1-Nov-12,-,-,-,6.50,0
31-Oct-12,-,-,-,6.47,0
26-Oct-12,6.47,6.47,6.47,6.47,218
25-Oct-12,-,-,-,6.47,0
24-Oct-12,-,-,-,6.47,0
23-Oct-12,6.47,6.47,6.47,6.47,525
22-Oct-12,6.75,6.81,6.49,6.49,1200
19-Oct-12,-,-,-,6.05,0
18-Oct-12,-,-,-,6.05,0
17-Oct-12,-,-,-,6.05,0
16-Oct-12,-,-,-,6.05,0
15-Oct-12,-,-,-,6.05,0
12-Oct-12,-,-,-,6.05,0
11-Oct-12,-,-,-,6.05,0
10-Oct-12,6.05,6.05,6.05,6.05,100
9-Oct-12,6.03,6.03,6.03,6.03,300
8-Oct-12,-,-,-,6.10,0
5-Oct-12,-,-,-,6.10,0
4-Oct-12,5.50,6.50,5.50,6.50,3600
3-Oct-12,-,-,-,6.10,0
2-Oct-12,-,-,-,6.10,0
1-Oct-12,5.99,6.25,5.99,6.10,1800
28-Sep-12,6.00,6.00,5.53,5.53,200
27-Sep-12,5.99,5.99,5.99,5.99,100
26-Sep-12,5.96,5.96,5.96,5.96,100
25-Sep-12,5.91,6.00,5.55,6.00,3334
24-Sep-12,5.98,5.98,5.98,5.98,7517
21-Sep-12,5.98,5.98,5.98,5.98,100
20-Sep-12,5.50,5.50,5.50,5.50,1600
19-Sep-12,5.51,5.51,5.50,5.50,879
18-Sep-12,-,-,-,5.64,0
17-Sep-12,-,-,-,5.64,0
14-Sep-12,-,-,-,5.64,0
13-Sep-12,5.64,5.64,5.64,5.64,758
12-Sep-12,5.51,5.65,5.36,5.65,1256
11-Sep-12,5.50,5.50,5.50,5.50,302
10-Sep-12,5.55,5.55,5.50,5.50,1500
7-Sep-12,6.09,6.09,6.09,6.09,100
6-Sep-12,-,-,-,5.93,0
5-Sep-12,-,-,-,5.93,0
4-Sep-12,5.93,5.93,5.93,5.93,100
31-Aug-12,5.76,6.00,5.76,5.99,3600
30-Aug-12,-,-,-,5.75,0
29-Aug-12,5.79,5.79,5.75,5.75,1000
28-Aug-12,-,-,-,5.90,0
27-Aug-12,-,-,-,5.90,0
24-Aug-12,-,-,-,5.90,0
23-Aug-12,-,-,-,5.90,0
22-Aug-12,-,-,-,5.90,0
21-Aug-12,5.90,5.90,5.85,5.88,50472
20-Aug-12,5.75,5.75,5.75,5.75,300
17-Aug-12,-,-,-,5.77,0
16-Aug-12,-,-,-,5.77,0
15-Aug-12,5.77,5.77,5.77,5.77,100
14-Aug-12,5.77,5.77,5.77,5.77,100
13-Aug-12,-,-,-,5.80,0
