Date, Open, High, Low, Close, Volume
17-May-13,6.66,6.71,6.33,6.53,96560
16-May-13,6.33,6.82,6.18,6.73,127659
15-May-13,6.27,6.88,6.27,6.45,78394
14-May-13,7.08,7.08,6.86,7.08,96847
13-May-13,7.46,7.46,7.16,7.16,19975
10-May-13,7.49,7.61,7.19,7.47,34164
9-May-13,7.66,7.97,7.45,7.57,21894
8-May-13,7.65,7.79,7.36,7.77,29295
7-May-13,7.62,7.70,7.50,7.52,36627
6-May-13,7.69,7.82,7.64,7.74,20401
3-May-13,7.78,8.00,7.59,7.65,53709
2-May-13,7.67,8.04,7.44,7.74,66994
1-May-13,7.43,7.73,7.20,7.62,51392
30-Apr-13,7.91,7.97,7.48,7.56,76912
29-Apr-13,7.90,8.24,7.85,7.96,90775
26-Apr-13,7.98,8.08,7.65,7.75,55543
25-Apr-13,7.52,8.22,7.50,7.97,119563
24-Apr-13,6.90,7.38,6.84,7.32,87790
23-Apr-13,6.74,6.96,6.74,6.83,63218
22-Apr-13,7.04,7.09,6.57,6.84,74419
19-Apr-13,6.81,6.93,6.56,6.92,65706
18-Apr-13,6.58,6.96,6.58,6.71,82312
17-Apr-13,6.99,7.06,6.39,6.55,118928
16-Apr-13,7.37,7.37,6.88,7.00,62598
15-Apr-13,7.11,7.21,6.78,7.10,188906
12-Apr-13,8.18,8.18,7.44,7.76,69745
11-Apr-13,8.76,8.86,8.34,8.35,40095
10-Apr-13,8.80,8.97,8.61,8.79,57297
9-Apr-13,8.56,9.20,8.56,9.03,37326
8-Apr-13,8.66,8.66,8.37,8.56,51789
5-Apr-13,8.27,8.77,8.19,8.65,53532
4-Apr-13,8.12,8.29,7.79,8.16,58316
3-Apr-13,8.37,8.57,7.66,8.12,85659
2-Apr-13,9.10,9.10,8.36,8.38,82709
1-Apr-13,9.40,9.41,9.02,9.18,39798
28-Mar-13,9.47,9.67,9.40,9.49,48072
27-Mar-13,9.50,9.64,9.29,9.54,59075
26-Mar-13,9.34,9.57,9.33,9.52,31510
25-Mar-13,9.41,9.52,9.21,9.39,23631
22-Mar-13,9.51,9.64,9.40,9.48,19022
21-Mar-13,9.32,9.66,9.32,9.59,27424
20-Mar-13,9.42,9.46,9.23,9.38,24563
19-Mar-13,9.62,9.66,9.36,9.44,33021
18-Mar-13,9.66,9.70,9.57,9.67,23473
15-Mar-13,9.70,9.80,9.54,9.63,375493
14-Mar-13,9.62,9.80,9.60,9.73,18319
13-Mar-13,9.79,9.80,9.59,9.59,34008
12-Mar-13,9.62,10.09,9.62,9.80,55784
11-Mar-13,9.43,9.63,9.38,9.47,18199
8-Mar-13,9.46,9.92,9.35,9.50,38315
7-Mar-13,9.52,9.61,9.28,9.51,25954
6-Mar-13,8.94,9.51,8.86,9.50,30249
5-Mar-13,9.03,9.13,8.86,8.97,19180
4-Mar-13,9.26,9.26,8.93,8.98,36908
1-Mar-13,9.65,9.65,9.30,9.36,28139
28-Feb-13,9.74,9.75,9.28,9.50,74195
27-Feb-13,9.87,9.87,9.57,9.75,33576
26-Feb-13,9.92,10.05,9.75,9.89,36377
25-Feb-13,9.82,10.00,9.81,9.91,26030
22-Feb-13,9.70,9.78,9.60,9.73,37723
21-Feb-13,9.71,9.89,9.62,9.71,54056
20-Feb-13,10.19,10.29,9.62,9.70,141937
