Date, Open, High, Low, Close, Volume
17-May-13,16.21,16.21,15.97,16.04,463349
16-May-13,16.06,16.26,16.00,16.09,255752
15-May-13,15.95,16.18,15.87,16.06,458724
14-May-13,15.89,16.16,15.74,15.91,424971
13-May-13,15.87,16.09,15.70,15.88,362173
10-May-13,16.17,16.19,15.70,15.84,472229
9-May-13,16.04,16.40,15.80,16.18,1061952
8-May-13,16.39,16.47,15.85,16.04,342503
7-May-13,16.82,16.85,16.03,16.42,308117
6-May-13,15.90,16.77,15.81,16.73,430018
3-May-13,16.01,16.20,15.81,15.96,293966
2-May-13,15.99,16.13,15.64,15.87,493605
1-May-13,16.40,16.95,15.89,15.97,869966
30-Apr-13,15.91,16.21,15.79,16.04,383497
29-Apr-13,15.21,16.01,15.21,15.84,411664
26-Apr-13,15.53,15.53,15.10,15.29,122593
25-Apr-13,15.54,15.74,15.51,15.55,277127
24-Apr-13,15.25,15.61,15.15,15.52,227255
23-Apr-13,15.09,15.41,14.96,15.31,245593
22-Apr-13,14.69,15.70,14.54,14.95,929761
19-Apr-13,14.68,14.92,14.51,14.75,251822
18-Apr-13,14.88,14.92,14.42,14.63,473180
17-Apr-13,15.39,15.60,14.72,14.76,863965
16-Apr-13,15.58,15.71,15.17,15.50,449885
15-Apr-13,15.83,15.83,15.17,15.43,428581
12-Apr-13,16.40,16.60,15.80,15.99,278847
11-Apr-13,16.05,16.49,15.89,16.46,487155
10-Apr-13,15.69,16.15,15.69,16.10,262706
9-Apr-13,15.59,15.88,15.25,15.68,300413
8-Apr-13,15.41,15.74,15.16,15.53,365539
5-Apr-13,15.44,15.48,14.56,15.39,679590
4-Apr-13,15.41,15.91,15.35,15.85,497275
3-Apr-13,16.30,16.40,15.18,15.46,1141760
2-Apr-13,17.02,17.02,16.22,16.30,492867
1-Apr-13,17.54,17.80,16.62,16.82,585164
28-Mar-13,17.02,17.35,16.75,17.31,424693
27-Mar-13,17.44,17.48,17.00,17.15,497214
26-Mar-13,16.96,17.50,16.85,17.43,589118
25-Mar-13,16.96,17.10,16.81,16.85,421774
22-Mar-13,17.09,17.15,16.58,16.96,411761
21-Mar-13,17.32,17.34,16.81,16.85,598389
20-Mar-13,17.25,17.55,16.80,17.32,873157
19-Mar-13,16.34,16.90,16.22,16.53,531105
18-Mar-13,16.80,17.01,15.21,16.04,715281
15-Mar-13,17.00,17.13,16.55,16.85,529310
14-Mar-13,16.84,17.50,16.83,17.01,912648
13-Mar-13,16.61,16.87,16.50,16.72,535810
12-Mar-13,16.72,17.24,16.40,16.54,779427
11-Mar-13,15.77,16.76,15.52,16.65,790648
8-Mar-13,15.30,15.90,15.24,15.77,561172
7-Mar-13,15.40,15.51,15.10,15.20,614552
6-Mar-13,14.86,15.88,14.60,15.43,758904
5-Mar-13,14.91,15.01,14.41,14.80,654680
4-Mar-13,15.42,15.48,14.75,14.92,609239
1-Mar-13,15.57,15.70,15.23,15.49,487624
28-Feb-13,15.22,16.07,15.22,15.75,765121
27-Feb-13,15.13,15.45,14.08,15.17,1248048
26-Feb-13,15.12,15.49,14.80,15.15,671589
25-Feb-13,16.25,16.48,15.08,15.12,733304
22-Feb-13,16.11,16.39,15.39,16.17,736546
21-Feb-13,17.31,17.32,14.70,16.05,3852967
20-Feb-13,17.97,18.25,17.38,17.43,1933083
19-Feb-13,16.17,17.72,16.16,17.50,2644875
15-Feb-13,16.03,16.29,15.95,16.04,317973
14-Feb-13,16.05,16.16,15.90,16.09,351934
13-Feb-13,15.75,16.27,15.75,15.97,594966
12-Feb-13,16.17,16.25,15.59,15.59,674280
