Date, Open, High, Low, Close, Volume
17-May-13,6.60,6.88,6.55,6.79,102805
16-May-13,6.86,6.90,6.46,6.57,84213
15-May-13,6.86,7.25,6.79,6.94,253668
14-May-13,6.28,6.99,6.25,6.93,230150
13-May-13,6.30,6.33,6.13,6.32,78519
10-May-13,6.21,6.37,6.21,6.33,125339
9-May-13,6.18,6.21,6.10,6.13,138183
8-May-13,6.23,6.23,6.12,6.18,209127
7-May-13,6.18,6.26,6.11,6.19,71015
6-May-13,6.34,6.34,6.17,6.20,53359
3-May-13,6.20,6.39,6.04,6.36,73627
2-May-13,6.24,6.46,6.04,6.08,67966
1-May-13,6.40,6.49,6.07,6.22,130126
30-Apr-13,6.16,6.26,6.09,6.23,68822
29-Apr-13,6.01,6.23,6.00,6.22,51218
26-Apr-13,5.95,6.06,5.71,6.01,45055
25-Apr-13,6.04,6.05,5.79,5.98,37362
24-Apr-13,5.94,6.10,5.93,6.03,17686
23-Apr-13,5.82,6.08,5.75,5.96,93002
22-Apr-13,5.68,5.77,5.56,5.75,16985
19-Apr-13,5.65,5.77,5.50,5.71,37333
18-Apr-13,5.66,5.85,5.59,5.65,43592
17-Apr-13,5.63,5.86,5.36,5.65,57528
16-Apr-13,5.95,5.95,5.61,5.70,35048
15-Apr-13,6.00,6.01,5.71,5.72,64512
12-Apr-13,5.99,6.03,5.90,5.99,42753
11-Apr-13,6.01,6.06,6.00,6.01,27581
10-Apr-13,5.78,6.08,5.74,6.04,47826
9-Apr-13,5.77,5.84,5.72,5.73,17664
8-Apr-13,5.72,5.76,5.66,5.75,31289
5-Apr-13,5.57,5.66,5.05,5.62,94573
4-Apr-13,5.65,5.76,5.59,5.69,26918
3-Apr-13,6.05,6.07,5.69,5.72,58547
2-Apr-13,6.01,6.08,5.96,6.01,32678
1-Apr-13,6.12,6.12,5.80,5.95,60779
28-Mar-13,6.13,6.21,5.99,6.20,55185
27-Mar-13,5.91,6.10,5.73,6.07,49881
26-Mar-13,6.20,6.20,5.95,6.01,26690
25-Mar-13,6.20,6.28,5.95,6.12,26850
22-Mar-13,6.13,6.26,6.05,6.18,64971
21-Mar-13,6.01,6.14,5.99,6.11,37466
20-Mar-13,6.00,6.10,5.93,6.09,29108
19-Mar-13,5.88,6.02,5.76,5.96,168182
18-Mar-13,5.88,5.94,5.80,5.83,29734
15-Mar-13,5.79,5.96,5.70,5.95,218959
14-Mar-13,5.73,5.84,5.70,5.77,27862
13-Mar-13,5.76,5.78,5.70,5.73,7999
12-Mar-13,5.73,5.85,5.59,5.74,49838
11-Mar-13,5.99,6.03,5.52,5.72,104323
8-Mar-13,6.35,6.35,6.00,6.04,30624
7-Mar-13,6.39,6.40,6.14,6.27,20517
6-Mar-13,6.34,6.40,6.16,6.40,36052
5-Mar-13,6.39,6.39,6.24,6.38,56372
4-Mar-13,6.08,6.35,5.98,6.35,56727
1-Mar-13,5.86,6.15,5.68,6.14,104165
28-Feb-13,5.94,5.94,5.71,5.88,34615
27-Feb-13,5.80,6.04,5.77,5.94,40658
26-Feb-13,5.57,5.84,5.57,5.80,29682
25-Feb-13,5.63,5.71,5.51,5.53,50590
22-Feb-13,5.81,5.88,5.40,5.62,123211
21-Feb-13,5.95,6.01,5.67,5.76,78632
20-Feb-13,6.01,6.10,5.99,6.00,55437
19-Feb-13,6.00,6.05,5.92,6.02,59630
15-Feb-13,5.99,6.00,5.96,5.98,66373
