Date, Open, High, Low, Close, Volume
17-May-13,16.49,16.62,16.42,16.47,1000
16-May-13,16.61,16.62,16.41,16.46,3105
15-May-13,16.55,16.60,16.55,16.60,1331
14-May-13,16.22,16.45,16.22,16.45,1978
13-May-13,16.30,16.30,16.22,16.28,1200
10-May-13,16.28,16.28,16.27,16.27,500
9-May-13,-,-,-,16.40,0
8-May-13,-,-,-,16.40,0
7-May-13,16.40,16.40,16.40,16.40,200
6-May-13,16.22,16.34,16.21,16.34,1500
3-May-13,16.51,16.52,16.20,16.21,4223
2-May-13,16.72,16.72,16.44,16.50,5200
1-May-13,16.80,16.90,16.80,16.90,668
30-Apr-13,16.83,16.83,16.83,16.83,100
29-Apr-13,-,-,-,16.90,0
26-Apr-13,16.90,16.90,16.90,16.90,200
25-Apr-13,16.77,16.94,16.72,16.90,2780
24-Apr-13,16.70,16.70,16.70,16.70,100
23-Apr-13,16.65,16.79,16.58,16.76,1100
22-Apr-13,16.58,16.58,16.55,16.55,200
19-Apr-13,16.43,16.55,16.43,16.55,2314
18-Apr-13,16.55,16.55,16.55,16.55,400
17-Apr-13,16.62,16.62,16.55,16.59,2960
16-Apr-13,16.62,16.62,16.57,16.62,2398
15-Apr-13,16.55,16.59,16.50,16.59,1000
12-Apr-13,16.37,16.59,16.37,16.59,900
11-Apr-13,16.32,16.62,16.32,16.52,8313
10-Apr-13,16.24,16.32,16.20,16.32,1690
9-Apr-13,16.22,16.30,16.22,16.29,2385
8-Apr-13,16.17,16.27,16.17,16.27,779
5-Apr-13,16.20,16.30,16.20,16.29,1977
4-Apr-13,16.23,16.23,16.15,16.20,709
3-Apr-13,16.20,16.20,16.20,16.20,136
2-Apr-13,16.12,16.21,16.12,16.20,592
1-Apr-13,16.14,16.24,16.14,16.16,1000
28-Mar-13,16.20,16.30,16.12,16.15,1400
27-Mar-13,16.02,16.12,16.02,16.12,361
26-Mar-13,16.08,16.12,16.08,16.12,400
25-Mar-13,16.23,16.23,16.13,16.17,625
22-Mar-13,16.30,16.30,16.15,16.30,3700
21-Mar-13,16.30,16.35,16.30,16.35,1840
20-Mar-13,15.90,16.25,15.90,16.20,12433
19-Mar-13,16.05,16.12,16.04,16.11,4515
18-Mar-13,16.09,16.09,15.95,16.08,7506
15-Mar-13,16.24,16.24,15.94,16.09,2945
14-Mar-13,16.58,16.58,16.10,16.20,8864
13-Mar-13,16.71,16.71,16.58,16.58,1696
12-Mar-13,16.76,16.76,16.74,16.74,600
11-Mar-13,16.96,16.96,16.81,16.81,1300
8-Mar-13,17.01,17.05,17.01,17.05,211
7-Mar-13,16.87,16.96,16.78,16.96,2538
6-Mar-13,16.88,16.88,16.83,16.83,300
5-Mar-13,16.98,17.00,16.93,16.93,1000
4-Mar-13,17.07,17.07,17.00,17.00,800
1-Mar-13,17.04,17.25,16.95,17.24,2743
28-Feb-13,17.15,17.15,17.06,17.06,4500
27-Feb-13,17.08,17.17,17.08,17.13,2120
26-Feb-13,17.85,17.85,17.14,17.14,4400
25-Feb-13,17.75,17.85,17.74,17.85,2900
22-Feb-13,17.60,17.67,17.60,17.67,1200
21-Feb-13,17.52,17.64,17.50,17.60,2800
20-Feb-13,18.39,18.39,17.61,17.68,10622
19-Feb-13,18.24,18.39,18.24,18.39,900
15-Feb-13,18.00,18.23,17.94,18.23,5140
14-Feb-13,17.91,18.07,17.91,18.01,5581
13-Feb-13,18.04,18.07,17.99,18.05,7540
12-Feb-13,17.89,17.94,17.89,17.94,200
11-Feb-13,-,-,-,17.84,0
8-Feb-13,18.00,18.00,17.80,17.84,4813
7-Feb-13,18.06,18.07,18.01,18.06,1879
6-Feb-13,17.90,18.07,17.90,18.00,965
5-Feb-13,18.01,18.02,18.01,18.02,200
4-Feb-13,18.02,18.06,17.96,18.01,1600
1-Feb-13,17.95,18.09,17.95,18.06,2200
31-Jan-13,17.89,17.89,17.89,17.89,300
30-Jan-13,18.07,18.11,17.97,18.02,3121
29-Jan-13,18.25,18.25,18.20,18.20,1100
28-Jan-13,18.22,18.39,18.17,18.23,3756
25-Jan-13,18.04,18.09,17.96,18.09,1012
24-Jan-13,18.17,18.17,17.80,17.94,4148
23-Jan-13,18.24,18.42,18.22,18.25,5045
22-Jan-13,18.17,18.17,18.08,18.16,2443
18-Jan-13,17.82,18.23,17.72,18.22,5376
17-Jan-13,17.87,17.87,17.87,17.87,150
16-Jan-13,16.94,17.87,16.94,17.87,10398
15-Jan-13,17.10,17.14,17.10,17.10,600
14-Jan-13,16.99,17.05,16.62,17.05,9129
11-Jan-13,17.16,17.16,17.11,17.11,200
10-Jan-13,17.04,17.24,17.04,17.24,1232
9-Jan-13,17.19,17.19,16.94,16.94,4770
8-Jan-13,17.17,17.20,17.09,17.19,6134
7-Jan-13,16.94,17.19,16.94,17.18,1300
4-Jan-13,16.87,16.99,16.87,16.99,1949
3-Jan-13,16.37,16.82,16.37,16.82,2804
2-Jan-13,16.40,16.52,16.32,16.52,1500
31-Dec-12,16.24,16.34,16.09,16.15,10531
28-Dec-12,16.44,16.60,16.43,16.43,4922
27-Dec-12,16.50,16.59,16.50,16.56,2744
26-Dec-12,17.20,17.20,16.41,16.63,8851
24-Dec-12,16.95,17.20,16.95,17.20,2408
21-Dec-12,17.09,17.10,17.09,17.10,800
20-Dec-12,17.05,17.05,17.05,17.05,400
