Date, Open, High, Low, Close, Volume
17-May-13,40.75,41.49,40.40,40.66,6578296
16-May-13,39.96,40.34,39.62,39.90,3462688
15-May-13,39.45,40.14,39.04,39.97,2809723
14-May-13,40.03,40.43,39.46,39.64,3453824
13-May-13,39.78,40.10,39.58,39.96,1638941
10-May-13,39.93,40.31,39.69,40.03,3825723
9-May-13,39.42,40.43,39.41,40.15,3854677
8-May-13,39.09,39.93,38.82,39.90,3551182
7-May-13,39.08,39.44,38.80,39.21,2611240
6-May-13,38.70,39.10,38.54,38.92,2302217
3-May-13,37.72,39.10,37.63,38.86,4287660
2-May-13,37.01,37.54,36.71,37.36,2818734
1-May-13,37.17,37.28,36.46,36.88,3780911
30-Apr-13,37.26,37.52,36.57,37.50,2324552
29-Apr-13,37.45,37.55,37.04,37.37,1450489
26-Apr-13,37.22,37.53,36.61,37.11,1856869
25-Apr-13,37.73,38.11,37.16,37.52,2192597
24-Apr-13,36.69,37.79,36.69,37.47,3242745
23-Apr-13,36.78,36.92,36.24,36.62,3470542
22-Apr-13,36.31,36.95,36.03,36.62,2453801
19-Apr-13,36.85,36.99,35.62,36.02,3941921
18-Apr-13,36.13,36.77,35.06,36.53,7002584
17-Apr-13,35.76,35.76,34.77,34.95,5074227
16-Apr-13,35.03,36.34,35.01,36.22,6308199
15-Apr-13,36.23,36.38,34.64,34.67,5690054
12-Apr-13,37.08,37.24,36.49,36.70,4967517
11-Apr-13,38.06,38.21,37.07,37.45,8033085
10-Apr-13,37.70,38.50,37.58,37.93,4592000
9-Apr-13,37.81,37.91,37.31,37.66,3200743
8-Apr-13,37.77,37.98,37.21,37.77,3741102
5-Apr-13,35.85,37.74,35.70,37.70,5673730
4-Apr-13,36.16,36.43,35.74,36.40,4098355
3-Apr-13,36.63,36.82,35.94,36.17,4182850
2-Apr-13,37.75,38.05,36.52,36.65,4216178
1-Apr-13,38.25,38.56,37.53,37.86,3569486
28-Mar-13,38.03,38.41,37.59,38.15,3661230
27-Mar-13,36.54,37.98,36.50,37.93,3910373
26-Mar-13,36.45,36.92,36.42,36.90,1603882
25-Mar-13,36.77,37.05,36.16,36.37,2050328
22-Mar-13,36.69,36.86,36.43,36.63,1793058
21-Mar-13,36.36,37.12,36.36,36.59,3580200
20-Mar-13,36.41,36.84,35.91,36.66,4748604
19-Mar-13,37.31,37.35,35.95,36.19,4275460
18-Mar-13,37.24,37.52,36.94,37.25,3227380
15-Mar-13,37.40,38.09,37.24,37.82,5411977
14-Mar-13,35.87,37.52,35.81,37.37,8508512
13-Mar-13,35.40,36.05,35.33,35.72,3193218
12-Mar-13,35.58,35.85,35.18,35.33,4711820
11-Mar-13,35.72,35.83,35.09,35.69,3801572
8-Mar-13,34.99,35.85,34.61,35.85,5774479
7-Mar-13,35.55,35.55,34.72,34.84,3804913
6-Mar-13,35.60,35.85,35.18,35.50,2950252
5-Mar-13,35.10,35.61,34.86,35.51,3366817
4-Mar-13,35.38,35.47,34.38,34.84,3762443
1-Mar-13,35.70,35.83,35.03,35.37,8740081
28-Feb-13,36.30,36.35,35.78,35.82,3765036
27-Feb-13,35.95,36.44,35.65,36.34,4003829
26-Feb-13,35.75,36.49,35.05,36.12,4423825
25-Feb-13,37.38,37.58,35.60,35.62,6073217
22-Feb-13,37.47,37.67,36.53,37.23,5296199
21-Feb-13,37.68,37.69,36.77,37.19,4600107
20-Feb-13,39.56,39.69,37.83,37.84,5740118
19-Feb-13,39.26,39.78,39.15,39.68,2340704
15-Feb-13,40.18,40.20,38.88,39.11,3231193
14-Feb-13,39.02,40.18,38.81,40.09,4244652
13-Feb-13,39.12,39.48,38.92,39.40,2624772
12-Feb-13,39.17,39.18,38.51,39.11,4595080
11-Feb-13,39.63,39.73,38.86,38.88,4279919
8-Feb-13,39.26,39.76,39.16,39.76,2673946
7-Feb-13,39.25,39.68,38.84,39.09,4594941
6-Feb-13,39.80,39.97,38.58,39.27,7822925
5-Feb-13,41.09,41.15,39.98,39.99,5416748
4-Feb-13,40.95,41.27,40.64,40.74,4133425
1-Feb-13,40.74,41.49,40.32,41.42,3838051
31-Jan-13,39.80,40.71,39.79,40.50,6127539
30-Jan-13,39.76,40.09,39.56,39.78,3547102
29-Jan-13,39.18,39.81,38.84,39.78,3472427
28-Jan-13,38.41,39.20,38.06,39.14,5552246
25-Jan-13,37.41,38.23,36.57,38.23,9764660
24-Jan-13,38.67,39.45,37.44,37.46,11222158
23-Jan-13,39.35,40.11,39.35,39.85,3896011
22-Jan-13,39.87,40.15,38.87,39.58,5067938
18-Jan-13,39.94,39.96,39.32,39.87,3834310
