Date, Open, High, Low, Close, Volume
17-May-13,23.22,23.66,23.13,23.24,40483
16-May-13,23.20,23.49,22.82,23.08,40455
15-May-13,22.47,23.29,22.46,23.20,47556
14-May-13,22.35,22.96,22.03,22.43,98903
13-May-13,22.90,23.20,21.89,22.34,95751
10-May-13,22.43,23.53,22.25,22.89,80693
9-May-13,21.50,22.25,20.85,22.01,161221
8-May-13,21.00,21.20,20.83,21.03,74644
7-May-13,23.02,23.02,20.90,21.05,184967
6-May-13,22.10,22.80,22.01,22.78,49551
3-May-13,21.75,22.25,21.72,22.00,50291
2-May-13,20.31,21.53,20.20,21.35,40608
1-May-13,20.11,20.52,19.86,20.09,53036
30-Apr-13,19.68,20.19,19.59,20.19,24436
29-Apr-13,19.40,19.74,19.22,19.59,25732
26-Apr-13,19.73,19.73,18.92,19.21,60028
25-Apr-13,19.94,19.95,19.68,19.76,17214
24-Apr-13,19.80,19.99,19.66,19.89,15003
23-Apr-13,19.35,19.78,19.13,19.74,17724
22-Apr-13,19.17,19.97,18.55,19.23,39560
19-Apr-13,19.36,19.36,18.88,19.02,43112
18-Apr-13,18.98,19.58,18.57,19.37,61460
17-Apr-13,19.60,19.60,18.55,18.89,50951
16-Apr-13,19.12,19.79,19.04,19.73,52466
15-Apr-13,19.48,19.48,18.80,18.90,81091
12-Apr-13,19.24,19.60,19.14,19.51,16427
11-Apr-13,19.53,19.79,19.33,19.56,27284
10-Apr-13,19.19,19.82,19.04,19.60,43864
9-Apr-13,19.18,19.45,19.00,19.00,12965
8-Apr-13,18.79,19.23,18.62,19.17,24519
5-Apr-13,18.77,18.92,18.36,18.82,55042
4-Apr-13,18.81,19.06,18.73,18.98,19052
3-Apr-13,18.95,19.04,18.79,18.86,25757
2-Apr-13,19.07,19.17,18.83,19.00,27053
1-Apr-13,19.22,19.22,18.80,18.88,25037
28-Mar-13,19.37,19.45,19.23,19.26,21536
27-Mar-13,19.22,19.25,18.91,19.24,20906
26-Mar-13,19.00,19.25,18.79,19.25,24821
25-Mar-13,19.05,19.15,18.94,19.08,28276
22-Mar-13,18.92,19.04,18.83,19.01,27582
21-Mar-13,18.81,18.88,18.50,18.75,28909
20-Mar-13,18.99,18.99,18.52,18.86,16249
19-Mar-13,18.80,18.99,18.46,18.70,30389
18-Mar-13,18.82,19.00,18.80,18.86,21941
15-Mar-13,18.05,19.00,18.05,18.93,95530
14-Mar-13,18.25,18.99,18.21,18.86,28336
13-Mar-13,18.28,18.44,18.15,18.30,10422
12-Mar-13,17.32,18.35,17.32,18.19,19345
11-Mar-13,17.33,17.47,17.15,17.42,19462
8-Mar-13,17.42,17.54,17.16,17.46,24414
7-Mar-13,17.07,17.24,16.73,17.19,30537
6-Mar-13,17.40,17.50,16.79,17.05,37663
5-Mar-13,17.70,17.81,17.27,17.44,17300
4-Mar-13,17.35,17.54,17.28,17.53,6533
1-Mar-13,17.15,17.43,17.02,17.37,12844
28-Feb-13,17.72,17.73,17.26,17.46,13702
27-Feb-13,17.32,17.87,17.32,17.69,13881
26-Feb-13,17.38,17.55,17.27,17.30,11442
25-Feb-13,18.16,18.42,17.21,17.27,40475
22-Feb-13,17.91,18.08,17.77,18.07,25440
21-Feb-13,18.37,18.37,17.34,17.75,40318
20-Feb-13,18.94,18.99,18.45,18.47,35029
19-Feb-13,18.81,18.99,18.66,18.97,12292
15-Feb-13,19.00,19.00,18.42,18.71,19192
14-Feb-13,18.50,19.00,18.50,18.91,10070
13-Feb-13,18.94,18.94,18.42,18.50,13878
12-Feb-13,18.50,18.93,18.44,18.83,20387
11-Feb-13,18.64,18.64,18.33,18.45,6458
8-Feb-13,18.42,18.72,18.42,18.62,15466
7-Feb-13,18.75,18.75,18.23,18.42,15367
6-Feb-13,18.60,18.75,18.42,18.73,10630
5-Feb-13,18.75,18.92,18.64,18.78,13253
4-Feb-13,18.83,18.93,18.61,18.64,17356
1-Feb-13,18.13,19.00,18.09,18.93,33340
31-Jan-13,18.12,18.32,17.99,18.19,12952
30-Jan-13,18.85,18.85,18.00,18.19,23443
29-Jan-13,18.00,18.95,17.87,18.93,22806
28-Jan-13,18.00,18.09,17.68,18.02,16010
25-Jan-13,17.97,17.98,17.76,17.95,10996
24-Jan-13,17.68,17.95,17.68,17.88,12351
23-Jan-13,17.87,17.87,17.55,17.68,22509
22-Jan-13,17.67,17.86,17.45,17.84,30300
18-Jan-13,17.39,17.76,17.29,17.73,28762
17-Jan-13,17.32,17.47,17.15,17.40,7908
16-Jan-13,17.19,17.33,17.09,17.19,15654
15-Jan-13,16.91,17.50,16.91,17.48,14865
14-Jan-13,16.91,17.16,16.91,17.09,13167
11-Jan-13,17.22,17.22,16.98,17.01,8828
10-Jan-13,17.17,17.23,16.80,17.23,35619
9-Jan-13,17.38,17.38,17.00,17.13,17796
8-Jan-13,17.00,17.37,17.00,17.17,16428
7-Jan-13,17.04,17.28,17.04,17.12,12623
4-Jan-13,16.95,17.46,16.86,17.26,38682
3-Jan-13,16.94,17.18,16.61,16.76,53780
2-Jan-13,16.85,16.99,16.51,16.90,63426
31-Dec-12,15.39,16.51,15.39,16.42,56842
28-Dec-12,15.84,15.95,15.40,15.53,39048
27-Dec-12,15.94,16.05,15.30,15.98,27860
26-Dec-12,16.46,16.46,15.92,15.97,21255
24-Dec-12,16.59,16.59,16.30,16.49,7161
21-Dec-12,16.82,16.88,16.42,16.68,89216
20-Dec-12,17.03,17.03,16.65,16.91,41863
19-Dec-12,16.87,17.09,16.57,17.07,16001
18-Dec-12,16.44,16.99,16.44,16.90,52420
17-Dec-12,16.55,16.57,16.26,16.50,32990
14-Dec-12,16.29,16.44,16.01,16.42,29343
13-Dec-12,16.55,16.55,16.24,16.42,7117
12-Dec-12,16.79,16.79,16.27,16.48,31556
11-Dec-12,19.29,19.43,16.38,16.75,89353
10-Dec-12,16.55,16.56,16.32,16.47,14736
7-Dec-12,16.60,16.60,16.16,16.49,14995
6-Dec-12,16.50,16.68,16.34,16.60,43156
5-Dec-12,16.49,16.49,16.19,16.42,58974
4-Dec-12,16.42,16.42,16.11,16.36,33598
3-Dec-12,16.60,16.60,16.04,16.45,53256
30-Nov-12,16.26,17.00,16.26,16.46,59082
29-Nov-12,15.57,16.25,15.55,16.25,55256
28-Nov-12,15.55,15.56,15.21,15.37,22026
27-Nov-12,15.15,15.77,15.15,15.76,28327
26-Nov-12,14.95,15.11,14.95,15.11,16108
23-Nov-12,14.96,15.06,14.85,15.06,8644
21-Nov-12,14.56,14.94,14.47,14.87,33991
20-Nov-12,14.38,14.48,14.28,14.48,16797
19-Nov-12,14.27,14.47,14.20,14.36,18423
16-Nov-12,14.08,14.19,13.66,14.12,36373
15-Nov-12,14.20,14.71,13.81,14.13,82492
14-Nov-12,14.91,14.93,14.07,14.16,45093
13-Nov-12,15.46,15.54,14.80,14.83,31027
12-Nov-12,15.61,15.73,15.30,15.39,12840
9-Nov-12,15.50,15.65,14.98,15.59,28692
8-Nov-12,15.82,15.82,15.29,15.50,52295
7-Nov-12,16.16,16.16,15.51,15.86,47559
6-Nov-12,16.31,16.68,16.28,16.39,21941
5-Nov-12,15.86,16.27,15.83,16.21,28350
2-Nov-12,16.06,16.20,15.88,15.92,30474
1-Nov-12,15.92,16.21,15.70,16.04,29358
31-Oct-12,15.59,15.99,15.11,15.86,39364
26-Oct-12,15.28,15.55,15.17,15.46,26750
25-Oct-12,15.18,15.23,15.06,15.23,18036
24-Oct-12,15.17,15.28,14.94,15.08,39040
23-Oct-12,15.33,15.33,14.92,15.07,25987
22-Oct-12,15.15,15.36,15.11,15.36,23251
19-Oct-12,15.14,15.28,15.06,15.24,29380
18-Oct-12,15.52,15.53,15.07,15.29,42217
17-Oct-12,15.33,15.55,15.27,15.51,24887
16-Oct-12,15.16,15.43,15.16,15.34,34060
15-Oct-12,14.95,15.04,14.77,15.02,25513
12-Oct-12,14.93,15.05,14.80,14.95,12241
11-Oct-12,15.00,15.11,14.85,14.91,20176
10-Oct-12,15.02,15.03,14.80,14.85,15624
9-Oct-12,14.97,15.10,14.90,14.96,20635
8-Oct-12,14.99,15.06,14.91,15.00,13560
5-Oct-12,15.07,15.16,14.90,15.02,34687
4-Oct-12,14.86,15.01,14.80,14.95,23116
3-Oct-12,14.82,15.02,14.78,14.85,46210
2-Oct-12,14.94,14.94,14.75,14.87,113358
1-Oct-12,15.06,15.13,14.80,14.94,22814
28-Sep-12,14.85,15.06,14.85,14.95,56523
