Date, Open, High, Low, Close, Volume
17-May-13,1.52,1.64,1.51,1.64,5381
16-May-13,1.56,1.71,1.54,1.64,10500
15-May-13,1.66,1.70,1.66,1.70,1800
14-May-13,1.55,1.70,1.55,1.70,3900
13-May-13,1.42,1.59,1.42,1.59,3343
10-May-13,1.47,1.54,1.47,1.54,3000
8-May-13,1.49,1.54,1.46,1.53,9548
7-May-13,1.46,1.46,1.46,1.46,11733
6-May-13,1.46,1.47,1.44,1.46,6200
2-May-13,1.40,1.49,1.40,1.47,16900
1-May-13,1.35,1.42,1.33,1.42,6662
29-Apr-13,1.42,1.49,1.32,1.40,9250
26-Apr-13,1.33,1.49,1.33,1.40,19700
25-Apr-13,1.29,1.49,1.29,1.49,27349
24-Apr-13,1.35,1.43,1.30,1.43,10100
23-Apr-13,1.30,1.45,1.30,1.36,8935
22-Apr-13,1.36,1.44,1.30,1.42,8599
19-Apr-13,1.40,1.48,1.31,1.45,13250
18-Apr-13,1.35,1.47,1.35,1.47,8650
17-Apr-13,1.41,1.49,1.39,1.48,8400
16-Apr-13,1.44,1.53,1.40,1.43,9826
15-Apr-13,1.46,1.46,1.39,1.39,6000
12-Apr-13,1.49,1.54,1.45,1.54,13190
11-Apr-13,1.51,1.53,1.45,1.53,21100
10-Apr-13,1.55,1.55,1.49,1.49,6300
9-Apr-13,1.47,1.58,1.46,1.55,19530
8-Apr-13,1.49,1.56,1.45,1.53,7470
5-Apr-13,1.48,1.63,1.45,1.56,8207
4-Apr-13,1.53,1.65,1.51,1.65,6100
3-Apr-13,1.52,1.65,1.52,1.65,8100
2-Apr-13,1.42,1.58,1.42,1.58,5100
1-Apr-13,1.46,1.59,1.46,1.58,8200
28-Mar-13,1.55,1.61,1.17,1.61,14909
27-Mar-13,1.56,1.62,1.51,1.62,7600
26-Mar-13,1.60,1.65,1.60,1.63,6850
25-Mar-13,1.57,1.65,1.56,1.65,5100
22-Mar-13,1.56,1.66,1.54,1.66,6900
21-Mar-13,1.58,1.67,1.55,1.67,6100
20-Mar-13,1.57,1.67,1.56,1.66,6400
19-Mar-13,1.59,1.67,1.57,1.57,5877
