Date, Open, High, Low, Close, Volume
17-May-13,35.00,35.49,34.84,35.28,2779317
16-May-13,35.10,35.12,34.79,35.00,3417007
15-May-13,34.92,35.10,34.75,34.99,6436435
14-May-13,34.66,35.13,34.60,34.65,23289777
13-May-13,35.56,36.25,35.00,35.01,4522195
10-May-13,36.86,37.09,36.83,36.91,1287439
9-May-13,36.49,36.88,36.44,36.80,1093929
8-May-13,36.31,36.54,36.22,36.54,1697785
7-May-13,36.07,36.41,35.97,36.27,1056598
6-May-13,36.05,36.31,35.81,36.02,2092582
3-May-13,35.44,35.76,35.44,35.64,875260
2-May-13,35.47,35.52,35.11,35.33,2011649
1-May-13,34.63,35.74,34.06,35.32,2145285
30-Apr-13,34.20,34.71,34.03,34.62,2495711
29-Apr-13,34.47,34.64,33.92,34.23,2384117
26-Apr-13,34.75,34.99,34.41,34.74,1389881
25-Apr-13,35.50,36.74,34.47,34.63,3047796
24-Apr-13,34.37,34.59,33.37,34.37,1744198
23-Apr-13,34.52,34.58,33.95,34.42,1132976
22-Apr-13,34.90,34.92,34.27,34.43,1711541
19-Apr-13,35.00,35.00,34.46,34.95,1072002
18-Apr-13,35.00,35.00,34.60,34.72,1336165
17-Apr-13,35.02,35.06,34.66,34.95,1228969
16-Apr-13,34.95,35.12,34.86,35.07,559799
15-Apr-13,35.25,35.44,34.62,34.68,844540
12-Apr-13,35.81,35.84,35.34,35.49,643152
11-Apr-13,35.58,35.94,35.41,35.84,1264002
10-Apr-13,35.02,35.56,34.94,35.50,759523
9-Apr-13,34.91,35.05,34.79,34.91,782365
8-Apr-13,34.83,34.93,34.54,34.85,742715
5-Apr-13,34.59,34.85,34.50,34.61,905966
4-Apr-13,35.09,35.14,34.84,34.95,433571
3-Apr-13,35.23,35.45,34.70,35.03,1186451
2-Apr-13,35.55,35.55,35.17,35.35,1119318
1-Apr-13,35.52,35.70,35.05,35.38,1207197
28-Mar-13,35.13,35.84,35.07,35.82,1402588
27-Mar-13,34.76,35.18,34.64,35.16,704173
26-Mar-13,34.77,34.99,34.70,34.97,589350
25-Mar-13,34.75,34.87,34.32,34.57,613057
22-Mar-13,34.61,34.64,34.21,34.63,671569
21-Mar-13,34.56,34.64,34.21,34.45,771115
20-Mar-13,34.61,34.70,34.42,34.66,717036
19-Mar-13,34.85,35.00,34.21,34.49,788446
18-Mar-13,34.42,34.61,34.15,34.60,763800
15-Mar-13,34.83,34.83,34.18,34.66,1885016
14-Mar-13,34.81,34.83,34.48,34.63,845046
13-Mar-13,34.79,34.79,34.46,34.73,713762
12-Mar-13,34.96,35.00,34.26,34.69,1209524
11-Mar-13,34.84,34.84,34.50,34.83,752079
8-Mar-13,34.48,35.18,34.06,34.89,2684031
7-Mar-13,34.55,34.62,34.19,34.30,1281210
6-Mar-13,34.44,34.61,34.35,34.61,1183078
5-Mar-13,34.10,34.32,33.90,34.18,1091227
4-Mar-13,33.68,33.92,33.41,33.91,1213149
1-Mar-13,33.49,34.10,33.29,34.05,1790831
