Date, Open, High, Low, Close, Volume
17-May-13,15.89,15.91,15.72,15.72,4442
16-May-13,15.74,15.90,15.74,15.90,1200
15-May-13,15.74,15.74,15.66,15.66,881
14-May-13,15.82,15.86,15.78,15.82,2219
13-May-13,16.07,16.08,15.80,15.86,13655
10-May-13,16.07,16.11,16.03,16.08,950
9-May-13,15.92,16.04,15.92,16.04,3345
8-May-13,15.90,15.97,15.90,15.96,2086
7-May-13,15.83,15.87,15.69,15.86,9903
6-May-13,15.90,15.90,15.75,15.75,4580
3-May-13,15.75,15.87,15.75,15.85,7101
2-May-13,15.75,15.79,15.72,15.72,3202
1-May-13,15.87,15.90,15.63,15.69,20289
30-Apr-13,15.93,16.04,15.86,15.86,5592
29-Apr-13,15.92,15.96,15.88,15.88,1891
26-Apr-13,16.14,16.14,15.94,15.95,2366
25-Apr-13,15.85,16.03,15.85,16.03,2272
24-Apr-13,15.90,15.90,15.90,15.90,100
23-Apr-13,16.06,16.06,15.82,15.89,5996
22-Apr-13,16.03,16.04,15.99,16.03,1600
19-Apr-13,15.84,16.11,15.83,16.11,6300
18-Apr-13,15.82,15.85,15.80,15.84,4691
17-Apr-13,15.82,15.82,15.82,15.82,286
16-Apr-13,-,-,-,15.78,0
15-Apr-13,15.90,15.94,15.78,15.78,4832
12-Apr-13,15.91,15.95,15.91,15.94,5083
11-Apr-13,15.83,15.91,15.83,15.86,2368
10-Apr-13,16.12,16.12,15.37,15.96,4836
9-Apr-13,16.37,16.38,16.11,16.12,7374
8-Apr-13,16.36,16.42,16.00,16.42,16548
5-Apr-13,16.34,16.34,16.26,16.26,900
4-Apr-13,16.24,16.33,16.23,16.30,3687
3-Apr-13,16.25,16.25,16.25,16.25,174
2-Apr-13,16.34,16.34,16.15,16.23,15888
1-Apr-13,16.17,16.24,15.98,16.24,13539
28-Mar-13,16.00,16.08,16.00,16.08,5021
27-Mar-13,15.83,15.92,15.83,15.92,5807
26-Mar-13,15.74,15.78,15.74,15.78,2654
25-Mar-13,15.60,15.70,15.60,15.70,4781
22-Mar-13,15.74,15.90,15.66,15.66,14654
21-Mar-13,15.99,15.99,15.52,15.64,9377
20-Mar-13,15.88,16.05,15.88,16.00,4237
19-Mar-13,16.00,16.23,15.96,15.96,8022
18-Mar-13,15.68,16.00,15.64,16.00,15428
15-Mar-13,15.74,15.98,15.68,15.70,14738
14-Mar-13,15.74,15.83,15.74,15.79,5303
