Date, Open, High, Low, Close, Volume
17-May-13,14.06,14.06,13.90,13.90,98457
16-May-13,13.98,14.05,13.95,14.00,45464
15-May-13,14.03,14.07,13.95,13.95,102576
14-May-13,14.10,14.12,14.02,14.08,45516
13-May-13,14.21,14.21,14.06,14.12,108859
10-May-13,14.34,14.36,14.25,14.25,107991
9-May-13,14.28,14.34,14.24,14.32,56426
8-May-13,14.41,14.41,14.24,14.33,158498
7-May-13,14.33,14.42,14.31,14.41,55677
6-May-13,14.35,14.42,14.32,14.37,91305
3-May-13,14.37,14.41,14.33,14.40,81821
2-May-13,14.46,14.46,14.33,14.46,114281
1-May-13,14.32,14.43,14.24,14.43,116922
30-Apr-13,14.36,14.39,14.23,14.30,149201
29-Apr-13,14.39,14.39,14.30,14.38,64162
26-Apr-13,14.30,14.44,14.29,14.44,49972
25-Apr-13,14.35,14.43,14.33,14.35,67919
24-Apr-13,14.47,14.47,14.33,14.37,88637
23-Apr-13,14.52,14.52,14.39,14.40,65329
22-Apr-13,14.50,14.51,14.43,14.44,58155
19-Apr-13,14.35,14.48,14.28,14.48,94602
18-Apr-13,14.30,14.39,14.25,14.39,74064
17-Apr-13,14.14,14.30,14.14,14.30,70203
16-Apr-13,14.15,14.22,14.10,14.16,48794
15-Apr-13,14.24,14.24,14.15,14.16,83078
12-Apr-13,14.15,14.20,14.11,14.18,57152
11-Apr-13,14.29,14.29,14.10,14.15,85196
10-Apr-13,14.24,14.31,14.19,14.27,57216
9-Apr-13,14.35,14.36,14.20,14.20,69595
8-Apr-13,14.42,14.42,14.25,14.31,36670
5-Apr-13,14.26,14.38,14.20,14.33,99911
4-Apr-13,14.16,14.16,14.05,14.15,47372
3-Apr-13,14.06,14.14,13.99,14.11,130274
2-Apr-13,14.29,14.32,14.14,14.16,141151
1-Apr-13,14.36,14.43,14.28,14.35,60785
28-Mar-13,14.37,14.49,14.30,14.30,99683
27-Mar-13,14.32,14.46,14.25,14.40,106994
26-Mar-13,14.23,14.29,14.13,14.25,59533
25-Mar-13,14.32,14.33,14.12,14.23,76384
22-Mar-13,14.17,14.32,14.14,14.30,110614
21-Mar-13,14.35,14.37,14.17,14.21,80093
20-Mar-13,14.17,14.38,14.11,14.35,150048
19-Mar-13,14.10,14.21,13.97,14.09,96955
18-Mar-13,13.58,14.16,13.58,14.15,230098
15-Mar-13,13.85,13.88,13.61,13.70,263355
14-Mar-13,14.06,14.08,13.79,13.86,261187
13-Mar-13,14.15,14.15,14.02,14.11,92300
12-Mar-13,14.27,14.29,14.07,14.23,213348
11-Mar-13,14.60,14.60,14.25,14.34,217875
8-Mar-13,14.71,14.77,14.55,14.61,114906
7-Mar-13,14.79,14.79,14.66,14.73,71282
6-Mar-13,14.73,14.76,14.64,14.76,53797
5-Mar-13,14.71,14.71,14.60,14.70,115227
4-Mar-13,14.73,14.74,14.65,14.74,25783
1-Mar-13,14.79,14.79,14.66,14.73,59436
28-Feb-13,14.76,14.81,14.64,14.70,74392
27-Feb-13,14.86,14.87,14.74,14.81,91092
26-Feb-13,14.79,14.91,14.70,14.88,131745
25-Feb-13,14.82,14.89,14.69,14.82,78601
22-Feb-13,14.82,14.87,14.72,14.84,112135
21-Feb-13,14.77,14.92,14.71,14.92,137931
20-Feb-13,14.70,14.79,14.62,14.79,81496
19-Feb-13,14.65,14.72,14.60,14.67,123765
15-Feb-13,14.67,14.72,14.55,14.63,126323
14-Feb-13,14.84,14.84,14.66,14.71,142032
13-Feb-13,14.83,14.93,14.69,14.91,313301
12-Feb-13,14.71,14.78,14.63,14.77,57662
11-Feb-13,14.74,14.75,14.62,14.70,43417
8-Feb-13,14.73,14.75,14.68,14.68,34788
7-Feb-13,14.73,14.74,14.64,14.70,43147
6-Feb-13,14.65,14.70,14.62,14.68,53445
5-Feb-13,14.76,14.76,14.61,14.64,45818
4-Feb-13,14.73,14.75,14.59,14.71,89637
1-Feb-13,14.83,14.85,14.64,14.68,113056
31-Jan-13,14.74,14.76,14.62,14.70,62870
30-Jan-13,14.69,14.75,14.63,14.70,73319
29-Jan-13,14.68,14.85,14.55,14.66,93345
28-Jan-13,14.93,14.93,14.63,14.70,113737
25-Jan-13,15.05,15.05,14.86,14.94,80182
24-Jan-13,14.99,15.01,14.95,15.00,104554
23-Jan-13,14.93,15.00,14.89,14.99,127894
22-Jan-13,14.79,14.88,14.77,14.88,99604
18-Jan-13,14.78,14.82,14.69,14.78,85755
17-Jan-13,14.75,14.81,14.65,14.72,114694
16-Jan-13,14.56,14.74,14.44,14.74,121885
15-Jan-13,14.79,14.84,14.50,14.54,124030
14-Jan-13,14.87,14.91,14.72,14.77,94189
11-Jan-13,14.84,14.88,14.77,14.87,60341
10-Jan-13,14.92,14.92,14.80,14.90,46705
9-Jan-13,14.91,14.93,14.77,14.87,121728
8-Jan-13,14.77,14.89,14.72,14.88,102592
7-Jan-13,14.72,14.75,14.63,14.75,60350
4-Jan-13,14.66,14.71,14.58,14.70,78415
3-Jan-13,14.57,14.65,14.54,14.63,79780
2-Jan-13,14.22,14.50,14.18,14.50,124881
31-Dec-12,13.96,14.11,13.95,14.11,195122
28-Dec-12,14.10,14.18,13.99,14.18,136288
27-Dec-12,14.30,14.30,13.95,14.05,241182
26-Dec-12,14.43,14.43,14.23,14.30,71758
24-Dec-12,14.50,14.50,14.34,14.38,86269
21-Dec-12,14.18,14.49,14.18,14.49,146016
20-Dec-12,14.25,14.35,14.18,14.33,173865
19-Dec-12,14.03,14.26,13.95,14.18,251215
18-Dec-12,14.02,14.14,13.84,13.97,242592
17-Dec-12,14.17,14.17,13.98,14.10,243349
14-Dec-12,14.49,14.49,14.12,14.20,198081
13-Dec-12,14.57,14.57,14.38,14.49,121040
12-Dec-12,14.59,14.66,14.52,14.55,130947
11-Dec-12,14.67,14.74,14.59,14.70,109810
10-Dec-12,14.72,14.72,14.58,14.63,103836
7-Dec-12,14.78,14.78,14.60,14.71,111834
6-Dec-12,14.74,14.78,14.65,14.77,104892
5-Dec-12,14.80,14.85,14.73,14.79,113218
4-Dec-12,14.87,14.88,14.72,14.79,168811
3-Dec-12,14.92,14.94,14.84,14.89,102471
30-Nov-12,14.97,14.97,14.86,14.94,95711
29-Nov-12,14.92,14.94,14.83,14.90,107615
28-Nov-12,14.87,14.97,14.79,14.85,78801
27-Nov-12,14.85,14.87,14.75,14.86,92666
26-Nov-12,14.88,14.95,14.70,14.75,114365
23-Nov-12,15.00,15.02,14.90,14.92,40857
21-Nov-12,14.99,14.99,14.86,14.89,116178
20-Nov-12,14.81,14.91,14.67,14.91,123784
19-Nov-12,14.74,14.90,14.72,14.75,132821
16-Nov-12,14.35,14.68,14.31,14.67,87567
15-Nov-12,14.44,14.51,14.15,14.30,224667
14-Nov-12,14.73,14.73,14.45,14.57,75036
13-Nov-12,14.70,14.75,14.56,14.75,84543
12-Nov-12,14.83,14.83,14.65,14.78,100068
9-Nov-12,14.62,14.80,14.62,14.78,120404
8-Nov-12,14.53,14.70,14.53,14.65,87941
7-Nov-12,14.38,14.60,14.26,14.59,158337
6-Nov-12,14.32,14.41,14.28,14.39,87106
5-Nov-12,14.36,14.38,14.30,14.34,112096
2-Nov-12,14.54,14.54,14.38,14.45,120126
1-Nov-12,14.60,14.65,14.49,14.50,91836
