Date, Open, High, Low, Close, Volume
17-May-13,6.40,6.67,6.40,6.58,108254
16-May-13,6.61,6.61,6.30,6.40,118230
15-May-13,6.32,6.69,6.31,6.67,84652
14-May-13,6.09,6.36,6.09,6.35,718132
13-May-13,6.08,6.20,5.94,6.14,373312
10-May-13,6.05,6.20,5.89,6.09,290736
9-May-13,5.93,6.01,5.78,5.84,38345
8-May-13,5.88,6.00,5.83,6.00,27434
7-May-13,5.99,5.99,5.85,5.91,22622
6-May-13,5.93,6.08,5.90,6.00,71123
3-May-13,5.72,6.00,5.72,5.99,151565
2-May-13,5.43,5.75,5.43,5.63,122541
1-May-13,5.50,5.55,5.40,5.40,129357
30-Apr-13,5.38,5.55,5.36,5.51,117837
29-Apr-13,5.40,5.44,5.28,5.42,25187
26-Apr-13,5.44,5.47,5.35,5.39,25568
25-Apr-13,5.49,5.49,5.29,5.44,11821
24-Apr-13,5.50,5.50,5.40,5.46,21168
23-Apr-13,5.38,5.50,5.37,5.49,29963
22-Apr-13,5.38,5.39,5.10,5.31,22961
19-Apr-13,5.08,5.43,5.08,5.33,74246
18-Apr-13,5.03,5.08,4.98,5.00,31480
17-Apr-13,5.09,5.10,4.92,5.03,45212
16-Apr-13,4.86,5.20,4.86,5.15,35525
15-Apr-13,5.11,5.11,4.75,4.79,40635
12-Apr-13,5.24,5.28,5.18,5.19,19964
11-Apr-13,5.17,5.31,5.13,5.24,14947
10-Apr-13,5.08,5.26,4.98,5.19,20494
9-Apr-13,5.24,5.24,5.08,5.08,12041
8-Apr-13,5.04,5.31,4.90,5.25,34184
5-Apr-13,4.79,5.02,4.79,4.91,16007
4-Apr-13,4.82,4.96,4.82,4.86,30262
3-Apr-13,4.85,4.95,4.80,4.80,50598
2-Apr-13,5.00,5.03,4.80,4.86,71806
1-Apr-13,5.11,5.11,4.90,4.99,44585
28-Mar-13,5.18,5.18,5.03,5.11,24651
27-Mar-13,5.28,5.32,5.07,5.16,39456
26-Mar-13,5.49,5.49,5.21,5.34,29249
25-Mar-13,5.60,5.60,5.41,5.47,26756
22-Mar-13,5.44,5.58,5.44,5.51,62719
21-Mar-13,5.44,5.50,5.37,5.45,61602
20-Mar-13,5.45,5.53,5.41,5.50,27639
19-Mar-13,5.26,5.78,5.25,5.40,119220
18-Mar-13,5.26,5.32,5.22,5.25,35237
15-Mar-13,5.35,5.37,5.23,5.31,158708
14-Mar-13,5.14,5.30,5.09,5.30,147164
13-Mar-13,5.17,5.17,5.04,5.12,50446
12-Mar-13,5.19,5.30,5.07,5.11,69903
11-Mar-13,5.28,5.34,5.17,5.21,27719
8-Mar-13,5.19,5.44,5.19,5.31,27947
7-Mar-13,5.09,5.18,5.09,5.16,13626
6-Mar-13,4.99,5.11,4.90,5.10,13936
5-Mar-13,4.84,5.00,4.84,4.99,17129
4-Mar-13,5.09,5.09,4.79,4.82,31004
1-Mar-13,4.98,5.12,4.98,5.06,15020
28-Feb-13,5.04,5.10,4.98,5.02,36732
27-Feb-13,4.98,5.08,4.98,5.06,22664
26-Feb-13,5.00,5.09,4.98,5.00,21450
25-Feb-13,5.38,5.38,4.97,4.99,55937
22-Feb-13,5.68,5.74,5.13,5.35,58815
21-Feb-13,5.55,5.72,5.55,5.62,26451
20-Feb-13,5.89,5.97,5.45,5.51,48404
19-Feb-13,5.97,5.97,5.83,5.91,10132
15-Feb-13,5.72,5.99,5.72,5.87,43274
14-Feb-13,5.74,5.76,5.62,5.65,63662
13-Feb-13,5.80,5.91,5.68,5.82,20298
12-Feb-13,5.77,5.81,5.71,5.80,7413
11-Feb-13,5.88,5.88,5.70,5.78,7342
8-Feb-13,5.88,5.90,5.82,5.85,9479
7-Feb-13,5.95,5.95,5.75,5.86,11665
6-Feb-13,5.80,5.95,5.75,5.95,11293
5-Feb-13,5.83,5.89,5.75,5.84,45258
4-Feb-13,6.00,6.00,5.84,5.85,25311
1-Feb-13,5.79,6.09,5.79,5.98,74299
31-Jan-13,5.64,5.90,5.64,5.79,73160
30-Jan-13,5.74,5.74,5.59,5.63,17512
29-Jan-13,5.65,5.73,5.59,5.73,27384
28-Jan-13,5.59,5.69,5.57,5.67,36801
25-Jan-13,5.64,5.67,5.34,5.57,52547
24-Jan-13,5.56,5.61,5.50,5.61,22801
23-Jan-13,5.52,5.58,5.21,5.54,34122
22-Jan-13,5.66,5.66,5.42,5.51,30369
18-Jan-13,5.74,5.77,5.66,5.74,33803
17-Jan-13,5.65,5.84,5.61,5.76,37427
16-Jan-13,5.70,5.80,5.40,5.62,20377
15-Jan-13,5.68,5.78,5.60,5.76,15655
14-Jan-13,5.65,5.76,5.55,5.72,18251
11-Jan-13,5.43,5.65,5.43,5.65,13488
10-Jan-13,5.66,5.66,5.38,5.45,48746
9-Jan-13,5.75,5.79,5.38,5.66,53543
8-Jan-13,5.58,5.75,5.58,5.70,17054
7-Jan-13,5.60,5.66,5.58,5.60,41728
4-Jan-13,5.64,5.68,5.46,5.63,38112
3-Jan-13,5.79,5.79,5.48,5.61,48311
2-Jan-13,5.86,5.90,5.51,5.79,88208
31-Dec-12,5.50,5.75,5.50,5.74,38435
28-Dec-12,5.42,5.58,5.41,5.46,20953
27-Dec-12,5.44,5.51,5.26,5.43,13098
26-Dec-12,5.52,5.52,5.32,5.44,12659
24-Dec-12,5.45,5.59,5.43,5.50,5003
21-Dec-12,5.56,5.68,5.32,5.47,94686
20-Dec-12,5.71,5.71,5.49,5.52,50847
19-Dec-12,5.70,5.72,5.60,5.72,9220
18-Dec-12,5.40,5.70,5.37,5.70,67813
17-Dec-12,5.25,5.38,5.18,5.38,59675
14-Dec-12,5.18,5.24,5.15,5.17,50296
13-Dec-12,5.12,5.21,5.12,5.17,16436
12-Dec-12,5.27,5.30,5.07,5.11,51639
11-Dec-12,5.22,5.26,5.16,5.21,47907
10-Dec-12,5.35,5.35,5.13,5.16,43295
7-Dec-12,5.34,5.36,5.25,5.30,21493
6-Dec-12,5.26,5.43,5.24,5.31,45795
5-Dec-12,5.50,5.53,5.25,5.27,64082
4-Dec-12,5.35,5.60,5.20,5.55,59333
3-Dec-12,5.41,5.45,5.25,5.36,24542
30-Nov-12,5.43,5.45,5.21,5.37,39391
29-Nov-12,5.48,5.52,5.31,5.41,36794
28-Nov-12,5.36,5.52,5.14,5.43,31243
27-Nov-12,5.53,5.60,5.37,5.39,45056
26-Nov-12,5.45,5.59,5.40,5.55,45852
23-Nov-12,5.37,5.60,5.35,5.45,39597
21-Nov-12,5.32,5.39,5.15,5.38,80222
20-Nov-12,5.30,5.33,5.11,5.20,68268
19-Nov-12,5.22,5.35,5.13,5.33,85808
16-Nov-12,5.25,5.28,5.05,5.20,83340
15-Nov-12,5.33,5.45,5.26,5.31,29044
14-Nov-12,5.38,5.48,5.27,5.35,30330
13-Nov-12,5.39,5.48,5.26,5.38,20305
12-Nov-12,5.26,5.50,5.26,5.38,32683
9-Nov-12,5.11,5.50,5.01,5.23,62058
8-Nov-12,5.09,5.34,5.09,5.14,34948
7-Nov-12,5.33,5.33,4.97,5.11,55889
6-Nov-12,5.19,5.40,5.18,5.38,59099
5-Nov-12,5.25,5.34,5.07,5.16,37218
2-Nov-12,5.10,5.72,5.10,5.23,66673
1-Nov-12,5.24,5.26,4.93,5.22,94958
31-Oct-12,5.14,5.25,5.05,5.25,33168
26-Oct-12,5.26,5.26,4.90,5.15,58994
25-Oct-12,5.19,5.39,5.11,5.25,41295
24-Oct-12,5.57,5.63,5.06,5.13,98534
23-Oct-12,5.51,5.72,5.40,5.63,22038
22-Oct-12,5.31,5.54,5.31,5.54,18365
19-Oct-12,5.49,5.57,5.12,5.30,61826
18-Oct-12,5.75,5.81,5.48,5.55,18543
17-Oct-12,5.82,5.87,5.62,5.74,19837
16-Oct-12,5.84,5.86,5.73,5.80,32899
15-Oct-12,5.83,5.85,5.61,5.80,24994
12-Oct-12,5.48,5.90,5.48,5.82,31532
11-Oct-12,5.49,5.56,5.30,5.46,31996
10-Oct-12,5.49,5.56,5.32,5.45,25929
9-Oct-12,5.79,5.79,5.48,5.50,47764
8-Oct-12,5.88,5.88,5.72,5.77,29245
5-Oct-12,5.88,5.94,5.79,5.89,44062
4-Oct-12,5.87,5.97,5.83,5.91,63257
3-Oct-12,5.75,5.88,5.70,5.81,35090
2-Oct-12,5.89,5.89,5.71,5.74,36411
1-Oct-12,5.86,5.98,5.79,5.85,62489
28-Sep-12,5.93,6.00,5.84,5.84,25778
27-Sep-12,5.79,6.00,5.79,5.98,35264
26-Sep-12,5.90,5.94,5.72,5.76,46198
25-Sep-12,5.99,6.03,5.85,5.91,74981
24-Sep-12,5.85,6.00,5.74,5.98,57764
21-Sep-12,6.00,6.08,5.81,5.82,102855
