Date, Open, High, Low, Close, Volume
17-May-13,14.18,14.23,14.18,14.21,36804
16-May-13,14.28,14.29,14.20,14.20,38089
15-May-13,14.35,14.40,14.20,14.22,70300
14-May-13,14.36,14.43,14.33,14.35,17848
13-May-13,14.54,14.59,14.41,14.41,26849
10-May-13,14.59,14.59,14.53,14.55,19883
9-May-13,14.50,14.60,14.49,14.60,20870
8-May-13,14.55,14.60,14.49,14.56,23843
7-May-13,14.52,14.60,14.52,14.55,12244
6-May-13,14.63,14.66,14.52,14.52,30698
3-May-13,14.72,14.72,14.63,14.63,11076
2-May-13,14.75,14.76,14.66,14.67,21925
1-May-13,14.72,14.72,14.66,14.67,19410
30-Apr-13,14.63,14.65,14.60,14.64,7482
29-Apr-13,14.57,14.65,14.55,14.61,11231
26-Apr-13,14.55,14.62,14.53,14.62,32512
25-Apr-13,14.46,14.55,14.46,14.50,18426
24-Apr-13,14.45,14.51,14.45,14.50,14809
23-Apr-13,14.48,14.50,14.47,14.50,23875
22-Apr-13,14.32,14.49,14.32,14.44,27937
19-Apr-13,14.33,14.41,14.33,14.36,19058
18-Apr-13,14.33,14.38,14.25,14.34,65296
17-Apr-13,14.34,14.39,14.28,14.36,13850
16-Apr-13,14.35,14.35,14.30,14.34,12548
15-Apr-13,14.41,14.41,14.33,14.35,15964
12-Apr-13,14.38,14.42,14.38,14.41,8125
11-Apr-13,14.51,14.51,14.37,14.39,16568
10-Apr-13,14.57,14.57,14.50,14.51,22765
9-Apr-13,14.43,14.58,14.40,14.58,31955
8-Apr-13,14.52,14.55,14.45,14.45,12720
5-Apr-13,14.50,14.58,14.50,14.51,23366
4-Apr-13,14.34,14.50,14.34,14.48,27066
3-Apr-13,14.39,14.44,14.39,14.44,16808
2-Apr-13,14.45,14.49,14.40,14.45,29714
1-Apr-13,14.45,14.53,14.37,14.37,51037
28-Mar-13,14.54,14.54,14.44,14.44,28289
27-Mar-13,14.37,14.50,14.37,14.46,35317
26-Mar-13,14.53,14.53,14.40,14.41,36931
25-Mar-13,14.43,14.52,14.38,14.51,44128
22-Mar-13,14.40,14.50,14.40,14.48,20296
21-Mar-13,14.37,14.58,14.37,14.47,24872
20-Mar-13,14.25,14.52,14.25,14.51,34001
19-Mar-13,14.30,14.34,14.17,14.30,50348
18-Mar-13,14.07,14.49,14.07,14.29,71323
15-Mar-13,14.17,14.27,13.81,14.18,134503
14-Mar-13,14.39,14.39,14.15,14.22,58974
13-Mar-13,14.55,14.60,14.34,14.47,46383
12-Mar-13,14.66,14.68,14.58,14.64,32446
11-Mar-13,15.00,15.00,14.68,14.74,26879
8-Mar-13,15.00,15.00,14.89,14.92,13341
7-Mar-13,15.03,15.10,15.01,15.04,14465
6-Mar-13,15.12,15.12,15.02,15.04,16041
5-Mar-13,15.10,15.10,15.01,15.03,15172
4-Mar-13,15.20,15.21,15.05,15.09,16539
1-Mar-13,15.18,15.18,15.10,15.13,10523
28-Feb-13,15.09,15.19,14.99,15.09,44824
27-Feb-13,15.03,15.15,14.98,15.06,33376
26-Feb-13,15.07,15.15,15.02,15.06,18501
25-Feb-13,15.07,15.09,14.98,14.98,19206
22-Feb-13,15.06,15.11,15.05,15.05,18307
21-Feb-13,15.03,15.18,15.03,15.07,29689
20-Feb-13,14.99,15.15,14.98,15.12,32984
19-Feb-13,15.09,15.11,14.98,15.04,23555
15-Feb-13,15.15,15.15,15.04,15.14,13228
14-Feb-13,15.32,15.32,15.12,15.12,34170
