Date, Open, High, Low, Close, Volume
17-May-13,14.65,14.65,14.62,14.62,70675
16-May-13,14.62,14.68,14.61,14.65,83795
15-May-13,14.62,14.68,14.61,14.62,105812
14-May-13,14.65,14.70,14.60,14.67,108886
13-May-13,14.71,14.72,14.62,14.66,68428
10-May-13,14.85,14.85,14.76,14.80,88946
9-May-13,14.84,14.84,14.79,14.80,75328
8-May-13,14.85,14.86,14.80,14.81,108197
7-May-13,14.81,14.89,14.81,14.88,37662
6-May-13,14.81,14.87,14.80,14.81,61117
3-May-13,14.86,14.88,14.84,14.85,68921
2-May-13,14.90,14.95,14.89,14.92,73046
1-May-13,14.93,14.97,14.85,14.94,77679
30-Apr-13,14.91,14.93,14.88,14.89,46023
29-Apr-13,14.84,14.92,14.83,14.91,63969
26-Apr-13,14.80,14.88,14.80,14.87,45580
25-Apr-13,14.82,14.84,14.80,14.82,73161
24-Apr-13,14.89,14.92,14.81,14.84,37032
23-Apr-13,14.89,14.92,14.85,14.91,29395
22-Apr-13,14.83,14.87,14.81,14.85,68229
19-Apr-13,14.76,14.85,14.76,14.84,59935
18-Apr-13,14.82,14.84,14.73,14.75,70874
17-Apr-13,14.82,14.91,14.72,14.78,125441
16-Apr-13,14.86,14.89,14.80,14.87,58732
15-Apr-13,14.95,14.96,14.82,14.86,70991
12-Apr-13,14.84,14.97,14.84,14.97,52814
11-Apr-13,14.90,14.93,14.87,14.87,54178
10-Apr-13,15.00,15.00,14.92,14.97,66317
9-Apr-13,14.96,15.02,14.94,14.97,50874
8-Apr-13,15.00,15.05,14.97,15.02,70274
5-Apr-13,14.89,15.09,14.89,15.03,70805
4-Apr-13,14.84,14.92,14.84,14.88,46267
3-Apr-13,14.93,14.93,14.82,14.87,69296
2-Apr-13,14.92,14.98,14.92,14.94,93584
1-Apr-13,15.08,15.08,14.95,14.98,59456
28-Mar-13,14.95,15.03,14.94,15.03,78591
27-Mar-13,14.77,14.93,14.77,14.91,49070
26-Mar-13,14.76,14.86,14.76,14.83,66200
25-Mar-13,14.92,14.92,14.73,14.81,79090
