Date, Open, High, Low, Close, Volume
17-May-13,22.98,23.25,22.51,23.12,174953
16-May-13,23.47,23.48,22.68,22.77,194828
15-May-13,23.40,23.50,23.02,23.36,204634
14-May-13,23.58,23.72,23.33,23.51,201730
13-May-13,23.50,23.55,23.03,23.39,144497
10-May-13,23.04,23.62,22.96,23.43,242368
9-May-13,22.82,23.25,22.58,23.08,273106
8-May-13,22.11,22.91,21.85,22.79,280297
7-May-13,22.47,22.50,21.90,21.92,410813
6-May-13,22.34,22.54,22.22,22.44,356335
3-May-13,22.68,23.10,22.00,22.25,424979
2-May-13,23.29,23.47,22.36,22.47,439012
1-May-13,24.00,24.00,23.65,23.65,298090
30-Apr-13,23.95,24.05,23.64,23.88,274284
29-Apr-13,23.89,24.10,23.62,23.80,202658
26-Apr-13,24.03,24.25,23.50,23.70,198728
25-Apr-13,23.70,24.36,23.58,23.94,293096
24-Apr-13,23.42,23.94,23.36,23.59,221730
23-Apr-13,23.27,23.37,23.05,23.33,131954
22-Apr-13,23.08,23.28,22.85,23.15,146270
19-Apr-13,23.40,23.40,23.01,23.08,172958
18-Apr-13,23.31,23.43,22.96,23.23,151109
17-Apr-13,23.38,23.45,22.96,23.17,154152
16-Apr-13,23.35,23.75,23.29,23.46,175721
15-Apr-13,23.69,23.69,22.90,23.24,284706
12-Apr-13,24.15,24.15,23.41,23.89,216963
11-Apr-13,23.95,24.00,23.64,23.99,216782
10-Apr-13,24.06,24.08,23.86,23.95,192233
9-Apr-13,23.92,24.29,23.75,24.06,324747
8-Apr-13,23.50,23.98,23.50,23.90,224186
5-Apr-13,22.79,23.53,22.78,23.48,216213
4-Apr-13,23.43,23.44,22.80,22.91,215206
3-Apr-13,23.62,23.62,22.71,23.37,282946
2-Apr-13,23.50,23.75,23.32,23.51,199289
1-Apr-13,23.40,23.61,23.21,23.31,196905
28-Mar-13,23.75,23.80,23.34,23.40,172610
27-Mar-13,23.80,23.80,23.55,23.75,202672
26-Mar-13,23.84,23.95,23.53,23.88,206498
25-Mar-13,23.57,23.92,23.51,23.64,278832
22-Mar-13,23.69,23.75,23.39,23.57,354378
21-Mar-13,23.00,23.50,22.88,23.44,415613
20-Mar-13,22.91,23.19,22.54,23.07,220935
19-Mar-13,23.02,23.02,22.53,22.73,170585
18-Mar-13,22.85,23.00,22.35,22.88,225444
15-Mar-13,22.50,23.28,22.46,23.05,851743
14-Mar-13,22.33,22.48,22.11,22.48,133724
