Date, Open, High, Low, Close, Volume
17-May-13,3.70,3.80,3.65,3.71,134404
16-May-13,3.59,3.75,3.59,3.64,207224
15-May-13,3.55,3.60,3.52,3.53,86765
14-May-13,3.60,3.62,3.52,3.55,122473
13-May-13,3.59,3.62,3.55,3.62,124200
10-May-13,3.52,3.59,3.52,3.57,49984
9-May-13,3.55,3.55,3.52,3.53,45118
8-May-13,3.56,3.59,3.52,3.56,114633
7-May-13,3.60,3.65,3.47,3.54,101034
6-May-13,3.50,3.63,3.46,3.61,225714
3-May-13,3.63,3.68,3.50,3.50,251466
2-May-13,3.67,3.67,3.58,3.63,154636
1-May-13,3.64,3.68,3.60,3.66,127578
30-Apr-13,3.67,3.70,3.61,3.61,53938
29-Apr-13,3.68,3.69,3.60,3.69,81340
26-Apr-13,3.70,3.78,3.56,3.68,113855
25-Apr-13,3.86,3.86,3.70,3.70,213983
24-Apr-13,3.86,3.86,3.78,3.80,51894
23-Apr-13,3.85,3.92,3.78,3.84,128417
22-Apr-13,3.89,3.89,3.78,3.87,134449
19-Apr-13,3.78,3.95,3.75,3.84,167448
18-Apr-13,3.75,3.80,3.68,3.77,389791
17-Apr-13,4.18,4.18,3.78,3.90,253279
16-Apr-13,4.28,4.64,3.91,4.09,578421
15-Apr-13,4.02,4.05,3.89,4.01,116201
12-Apr-13,3.87,4.02,3.87,4.02,134259
11-Apr-13,3.93,4.00,3.70,3.91,218169
10-Apr-13,3.90,4.03,3.85,4.00,96251
9-Apr-13,3.93,4.03,3.84,3.86,182846
8-Apr-13,3.80,3.96,3.70,3.94,254995
5-Apr-13,3.53,3.79,3.50,3.75,118209
4-Apr-13,3.64,3.66,3.43,3.53,114282
3-Apr-13,3.53,3.60,3.40,3.60,173487
2-Apr-13,3.65,3.65,3.47,3.56,103752
1-Apr-13,3.71,3.71,3.50,3.52,136034
28-Mar-13,3.59,3.74,3.52,3.63,123632
27-Mar-13,3.51,3.59,3.46,3.57,61971
26-Mar-13,3.59,3.63,3.45,3.54,84737
25-Mar-13,3.61,3.68,3.45,3.54,113415
22-Mar-13,3.60,3.66,3.52,3.64,62892
21-Mar-13,3.70,3.70,3.52,3.56,87355
20-Mar-13,3.62,3.74,3.26,3.62,296661
19-Mar-13,3.75,3.83,3.57,3.66,177451
18-Mar-13,3.86,3.95,3.60,3.72,346746
15-Mar-13,3.60,3.70,3.52,3.60,134774
14-Mar-13,3.67,3.67,3.46,3.51,91018
13-Mar-13,3.70,3.80,3.52,3.62,197412
12-Mar-13,3.85,3.91,3.60,3.68,187679
11-Mar-13,4.05,4.14,3.71,3.78,356056
8-Mar-13,4.10,4.30,3.66,4.00,515253
7-Mar-13,3.68,4.10,3.55,4.02,425894
6-Mar-13,3.52,3.68,3.46,3.58,132211
5-Mar-13,3.55,3.58,3.35,3.51,256434
4-Mar-13,3.24,3.50,3.24,3.48,202129
1-Mar-13,3.25,3.28,3.23,3.24,12528
28-Feb-13,3.23,3.28,3.22,3.25,43410
27-Feb-13,3.25,3.34,3.22,3.25,72194
26-Feb-13,3.31,3.35,3.25,3.28,30156
25-Feb-13,3.31,3.35,3.20,3.25,91364
6-Dec-12,5.50,5.90,5.12,5.50,129862
5-Dec-12,5.80,5.99,5.16,5.45,93274
4-Dec-12,5.81,6.04,5.76,5.97,45805
3-Dec-12,6.20,6.40,5.79,5.81,39972
30-Nov-12,6.41,6.55,5.90,6.13,30445
29-Nov-12,6.10,6.49,6.00,6.40,73105
28-Nov-12,5.77,6.05,5.77,6.00,30003
27-Nov-12,5.90,6.00,5.80,5.90,30049
26-Nov-12,5.56,5.98,5.50,5.75,32650
23-Nov-12,5.75,5.99,5.62,5.63,2113
21-Nov-12,5.11,5.99,5.11,5.79,75365
20-Nov-12,5.78,6.10,5.52,5.65,75100
19-Nov-12,5.65,6.40,5.65,5.77,6381
16-Nov-12,6.15,6.20,5.00,5.54,157689
15-Nov-12,6.84,6.84,5.70,6.15,57889
14-Nov-12,6.10,6.10,5.50,5.90,62199
13-Nov-12,6.49,7.00,5.61,5.61,105475
12-Nov-12,5.70,6.40,5.70,6.16,59352
9-Nov-12,5.10,5.60,5.10,5.60,20545
8-Nov-12,5.25,5.50,5.10,5.20,23870
7-Nov-12,5.25,5.45,5.25,5.45,11925
6-Nov-12,5.49,5.53,5.20,5.25,32162
5-Nov-12,5.28,5.49,5.27,5.33,18564
2-Nov-12,5.50,5.50,5.10,5.28,44709
1-Nov-12,5.62,5.62,5.20,5.40,27875
31-Oct-12,5.62,5.75,5.58,5.70,15526
26-Oct-12,5.70,5.75,5.69,5.75,11994
25-Oct-12,5.91,5.93,5.65,5.75,9992
24-Oct-12,6.00,6.39,5.62,5.66,27860
26-Sep-12,4.75,6.00,4.75,5.50,10107
25-Sep-12,0.30,0.30,0.29,0.29,283301
24-Sep-12,0.31,0.31,0.30,0.30,393541
21-Sep-12,0.29,0.31,0.29,0.30,570122
20-Sep-12,0.28,0.32,0.28,0.28,1471848
19-Sep-12,0.28,0.28,0.26,0.27,201623
18-Sep-12,0.26,0.28,0.26,0.27,246959
17-Sep-12,0.26,0.29,0.26,0.28,341390
14-Sep-12,0.28,0.29,0.26,0.29,641626
13-Sep-12,0.29,0.29,0.28,0.28,285370
12-Sep-12,0.30,0.30,0.28,0.29,233369
11-Sep-12,0.30,0.30,0.29,0.30,281706
10-Sep-12,0.30,0.30,0.28,0.29,255745
7-Sep-12,0.30,0.30,0.27,0.29,348171
6-Sep-12,0.30,0.30,0.28,0.29,490143
