Date, Open, High, Low, Close, Volume
17-May-13,14.88,14.92,14.80,14.86,112470
16-May-13,14.86,14.91,14.80,14.88,75666
15-May-13,14.93,14.94,14.80,14.84,81804
14-May-13,14.94,14.96,14.87,14.88,62320
13-May-13,15.06,15.06,14.90,14.91,87560
10-May-13,15.14,15.14,15.07,15.09,58727
9-May-13,15.13,15.17,15.09,15.11,55182
8-May-13,15.23,15.23,15.08,15.09,93530
7-May-13,15.23,15.24,15.18,15.24,59777
6-May-13,15.26,15.26,15.19,15.20,37286
3-May-13,15.32,15.32,15.22,15.26,47686
2-May-13,15.29,15.31,15.26,15.30,65894
1-May-13,15.31,15.31,15.22,15.31,69130
30-Apr-13,15.32,15.32,15.23,15.27,64808
29-Apr-13,15.27,15.28,15.26,15.26,35726
26-Apr-13,15.25,15.28,15.24,15.27,29021
25-Apr-13,15.29,15.29,15.24,15.27,23853
24-Apr-13,15.30,15.32,15.25,15.25,52939
23-Apr-13,15.33,15.39,15.29,15.29,38926
22-Apr-13,15.25,15.30,15.25,15.28,25469
19-Apr-13,15.28,15.31,15.23,15.25,25113
18-Apr-13,15.28,15.33,15.20,15.24,44477
17-Apr-13,15.33,15.40,15.24,15.25,32252
16-Apr-13,15.34,15.34,15.22,15.24,41229
15-Apr-13,15.43,15.43,15.25,15.32,48802
12-Apr-13,15.38,15.41,15.29,15.41,39756
11-Apr-13,15.44,15.44,15.31,15.34,49138
10-Apr-13,15.44,15.49,15.36,15.48,103627
9-Apr-13,15.44,15.44,15.32,15.41,28736
8-Apr-13,15.42,15.43,15.32,15.38,46995
5-Apr-13,15.18,15.45,15.18,15.36,80475
4-Apr-13,15.18,15.19,15.08,15.18,41126
3-Apr-13,15.19,15.19,15.05,15.14,44708
2-Apr-13,15.20,15.22,15.18,15.19,35977
1-Apr-13,15.25,15.26,15.17,15.25,51508
28-Mar-13,15.25,15.25,15.17,15.17,51677
27-Mar-13,15.05,15.19,15.01,15.19,88611
26-Mar-13,15.03,15.03,14.92,14.99,36233
25-Mar-13,15.06,15.08,14.90,15.01,74284
22-Mar-13,15.10,15.10,14.96,15.04,56076
21-Mar-13,15.13,15.17,14.95,15.06,62811
20-Mar-13,14.94,15.11,14.94,15.09,53566
19-Mar-13,15.03,15.03,14.86,14.93,42010
18-Mar-13,14.73,15.02,14.70,14.97,106443
15-Mar-13,14.80,14.84,14.67,14.75,210246
14-Mar-13,15.00,15.00,14.78,14.83,216897
13-Mar-13,15.12,15.19,14.96,15.05,82903
12-Mar-13,15.12,15.19,15.04,15.15,88706
11-Mar-13,15.26,15.34,15.12,15.19,121448
8-Mar-13,15.34,15.34,15.28,15.28,129315
7-Mar-13,15.40,15.40,15.32,15.37,51816
6-Mar-13,15.35,15.40,15.31,15.40,37119
5-Mar-13,15.32,15.42,15.30,15.30,89140
4-Mar-13,15.37,15.38,15.31,15.34,77291
1-Mar-13,15.40,15.41,15.37,15.37,34978
28-Feb-13,15.36,15.40,15.33,15.40,74140
27-Feb-13,15.36,15.39,15.34,15.38,74365
26-Feb-13,15.19,15.36,15.19,15.33,68265
25-Feb-13,15.35,15.35,15.22,15.23,63744
22-Feb-13,15.33,15.37,15.27,15.30,74274
21-Feb-13,15.37,15.40,15.31,15.34,93640
20-Feb-13,15.36,15.37,15.32,15.37,60735
19-Feb-13,15.40,15.40,15.28,15.28,107495
15-Feb-13,15.39,15.42,15.36,15.36,91044
14-Feb-13,15.45,15.45,15.34,15.39,113561
13-Feb-13,15.50,15.54,15.43,15.43,65554
12-Feb-13,15.58,15.58,15.54,15.54,61592
11-Feb-13,15.64,15.67,15.54,15.57,62208
8-Feb-13,15.73,15.75,15.64,15.64,42347
7-Feb-13,15.67,15.74,15.64,15.69,40717
6-Feb-13,15.63,15.69,15.63,15.68,39073
5-Feb-13,15.65,15.69,15.58,15.62,53982
4-Feb-13,15.55,15.68,15.55,15.59,71942
1-Feb-13,15.67,15.69,15.57,15.59,72702
31-Jan-13,15.60,15.62,15.52,15.62,35531
30-Jan-13,15.60,15.64,15.51,15.58,85016
29-Jan-13,15.55,15.67,15.52,15.57,59784
28-Jan-13,15.80,15.80,15.57,15.58,109641
25-Jan-13,15.89,15.89,15.74,15.81,77656
24-Jan-13,15.89,15.90,15.81,15.85,68637
23-Jan-13,15.87,15.87,15.82,15.85,65935
22-Jan-13,15.80,15.85,15.78,15.80,49459
18-Jan-13,15.72,15.79,15.68,15.76,37688
17-Jan-13,15.73,15.73,15.67,15.67,35716
16-Jan-13,15.66,15.68,15.51,15.68,68758
15-Jan-13,15.69,15.74,15.57,15.66,69320
14-Jan-13,15.66,15.68,15.60,15.67,143388
11-Jan-13,15.73,15.73,15.67,15.69,42257
