Date, Open, High, Low, Close, Volume
17-May-13,13.19,13.28,13.13,13.26,4841
16-May-13,13.21,13.29,13.21,13.22,4163
15-May-13,13.35,13.40,13.33,13.34,3535
14-May-13,13.33,13.45,13.22,13.45,6406
13-May-13,13.23,13.25,13.23,13.23,9663
10-May-13,13.23,13.23,13.23,13.23,149
9-May-13,13.45,13.45,13.26,13.26,8000
8-May-13,13.25,13.51,13.25,13.47,15024
7-May-13,13.34,13.34,13.25,13.28,1964
6-May-13,13.34,13.34,13.30,13.30,300
3-May-13,13.25,13.38,13.25,13.38,3260
2-May-13,-,-,-,13.37,0
1-May-13,13.20,13.37,13.19,13.37,1890
30-Apr-13,13.26,13.36,13.26,13.30,867
29-Apr-13,13.45,13.45,13.14,13.29,6890
26-Apr-13,13.36,13.38,13.35,13.37,955
25-Apr-13,13.45,13.45,13.30,13.38,1002
24-Apr-13,13.48,13.48,13.35,13.47,4549
23-Apr-13,13.50,13.52,13.31,13.49,6335
22-Apr-13,13.32,13.50,13.32,13.50,1706
19-Apr-13,13.33,13.43,13.33,13.34,4027
18-Apr-13,13.39,13.39,13.38,13.39,526
17-Apr-13,13.28,13.39,13.28,13.39,1306
16-Apr-13,13.28,13.39,13.28,13.39,2127
15-Apr-13,13.38,13.38,13.16,13.28,4376
12-Apr-13,13.21,13.37,13.21,13.37,6657
11-Apr-13,13.47,13.48,13.25,13.41,13194
10-Apr-13,13.65,13.66,13.52,13.55,4853
9-Apr-13,13.81,13.81,13.55,13.72,3623
8-Apr-13,13.64,13.66,13.64,13.66,300
5-Apr-13,13.51,13.66,13.51,13.66,393
4-Apr-13,13.50,13.55,13.50,13.50,1743
3-Apr-13,13.66,13.66,13.66,13.66,192
2-Apr-13,13.66,13.66,13.60,13.63,1967
1-Apr-13,13.56,13.69,13.56,13.57,502
28-Mar-13,13.64,13.66,13.53,13.66,824
27-Mar-13,13.65,13.65,13.61,13.63,6366
26-Mar-13,13.47,13.47,13.47,13.47,305
25-Mar-13,13.59,13.59,13.47,13.51,2703
22-Mar-13,13.47,13.51,13.47,13.51,1827
21-Mar-13,13.65,13.65,13.47,13.49,7254
20-Mar-13,13.59,13.65,13.47,13.65,1631
19-Mar-13,13.40,13.65,13.34,13.65,2929
18-Mar-13,13.38,13.53,13.37,13.52,4084
15-Mar-13,13.06,13.30,13.06,13.21,6415
14-Mar-13,13.50,13.50,13.36,13.36,2224
13-Mar-13,13.53,13.53,13.52,13.53,2202
12-Mar-13,13.54,13.69,13.48,13.60,2534
11-Mar-13,13.69,13.74,13.44,13.64,8752
8-Mar-13,13.69,13.91,13.64,13.64,2048
7-Mar-13,13.89,13.89,13.76,13.77,3534
6-Mar-13,13.84,13.84,13.76,13.79,3609
5-Mar-13,13.81,13.81,13.77,13.77,2217
4-Mar-13,13.96,13.96,13.84,13.84,2953
1-Mar-13,13.96,13.96,13.88,13.94,2815
28-Feb-13,13.96,13.96,13.95,13.95,1842
27-Feb-13,13.93,14.01,13.74,13.95,6397
26-Feb-13,13.90,13.90,13.83,13.86,2701
25-Feb-13,14.08,14.08,13.97,14.00,1164
22-Feb-13,14.06,14.10,13.81,13.95,10245
21-Feb-13,13.94,13.97,13.90,13.97,953
20-Feb-13,13.74,13.91,13.71,13.90,4280
19-Feb-13,13.65,13.88,13.65,13.67,8166
15-Feb-13,13.84,13.86,13.72,13.81,7554
14-Feb-13,13.83,13.83,13.74,13.74,2403
13-Feb-13,13.92,13.93,13.84,13.93,2799
12-Feb-13,14.04,14.04,13.91,13.91,1540
11-Feb-13,13.96,13.96,13.84,13.93,3612
8-Feb-13,13.95,13.98,13.94,13.98,2097
7-Feb-13,14.02,14.02,13.93,13.99,2850
6-Feb-13,14.06,14.06,13.83,13.86,6537
5-Feb-13,13.96,14.16,13.96,14.06,2999
4-Feb-13,14.21,14.21,14.04,14.04,1376
1-Feb-13,14.15,14.16,14.04,14.04,2040
31-Jan-13,14.08,14.08,14.06,14.06,3668
30-Jan-13,14.03,14.08,14.02,14.08,1875
29-Jan-13,14.03,14.05,13.92,13.95,2651
28-Jan-13,14.10,14.10,13.99,13.99,818
25-Jan-13,14.10,14.10,14.09,14.09,2235
24-Jan-13,14.07,14.10,14.07,14.10,1881
23-Jan-13,14.25,14.25,14.06,14.06,2994
22-Jan-13,14.14,14.15,14.14,14.15,430
18-Jan-13,14.14,14.14,14.12,14.12,5078
17-Jan-13,14.13,14.32,14.11,14.13,7902
16-Jan-13,14.11,14.26,14.11,14.14,7762
15-Jan-13,14.45,14.45,14.33,14.33,1920
14-Jan-13,14.39,14.42,14.32,14.35,8810
11-Jan-13,14.19,14.28,14.19,14.27,7679
10-Jan-13,14.15,14.19,14.15,14.19,2905
9-Jan-13,13.95,14.15,13.95,14.15,1911
8-Jan-13,14.12,14.12,13.96,13.97,2409
7-Jan-13,14.00,14.12,13.92,14.08,7204
4-Jan-13,13.90,14.00,13.83,14.00,4281
3-Jan-13,13.82,13.88,13.82,13.87,5951
2-Jan-13,13.53,13.79,13.42,13.75,7827
31-Dec-12,13.59,13.59,13.27,13.37,10316
28-Dec-12,13.50,13.55,13.42,13.53,2797
27-Dec-12,13.36,13.55,13.36,13.50,10343
26-Dec-12,13.55,13.66,13.51,13.55,4452
24-Dec-12,13.52,13.53,13.51,13.51,1317
21-Dec-12,13.54,13.70,13.54,13.55,6146
20-Dec-12,13.54,13.68,13.54,13.68,8612
19-Dec-12,13.60,13.72,13.52,13.65,5625
18-Dec-12,14.09,14.09,13.49,13.60,29112
17-Dec-12,13.80,13.99,13.80,13.88,6368
14-Dec-12,14.12,14.12,13.84,13.85,641
13-Dec-12,14.25,14.25,14.09,14.18,4063
12-Dec-12,14.29,14.29,14.25,14.25,344
11-Dec-12,14.33,14.33,14.08,14.23,10678
10-Dec-12,14.24,14.24,14.21,14.23,1136
7-Dec-12,14.40,14.40,14.25,14.33,3077
6-Dec-12,14.39,14.40,14.30,14.37,7736
5-Dec-12,14.10,14.40,14.10,14.40,22141
4-Dec-12,14.18,14.19,14.10,14.13,3244
3-Dec-12,14.12,14.28,14.12,14.28,2657
30-Nov-12,14.21,14.23,14.19,14.22,1760
29-Nov-12,14.16,14.24,14.11,14.12,4907
28-Nov-12,14.18,14.40,14.17,14.18,13358
27-Nov-12,14.08,14.37,14.00,14.04,13423
26-Nov-12,14.13,14.21,13.99,14.19,4971
23-Nov-12,14.07,14.29,14.07,14.20,3000
21-Nov-12,14.26,14.26,14.18,14.18,1344
20-Nov-12,13.91,14.27,13.91,14.27,3578
19-Nov-12,13.92,14.04,13.92,14.04,5158
16-Nov-12,13.74,13.83,13.74,13.83,700
15-Nov-12,13.81,13.82,13.61,13.61,5669
14-Nov-12,14.08,14.28,13.89,13.98,5194
13-Nov-12,14.04,14.04,13.99,14.02,3222
12-Nov-12,14.05,14.05,13.91,14.00,4857
9-Nov-12,14.10,14.10,14.05,14.05,400
8-Nov-12,13.99,14.15,13.99,14.15,8635
7-Nov-12,13.87,13.99,13.87,13.99,1471
6-Nov-12,13.84,13.85,13.84,13.84,2545
5-Nov-12,13.95,13.95,13.85,13.85,835
2-Nov-12,13.74,13.74,13.74,13.74,0
1-Nov-12,14.14,14.15,14.01,14.07,2400
31-Oct-12,14.09,14.09,13.94,14.02,9463
26-Oct-12,13.95,13.95,13.84,13.84,820
25-Oct-12,13.84,13.89,13.84,13.86,3200
24-Oct-12,13.78,13.85,13.78,13.85,2464
23-Oct-12,13.73,13.89,13.73,13.88,1626
22-Oct-12,13.92,13.92,13.78,13.80,3813
19-Oct-12,13.93,14.08,13.92,14.08,1107
18-Oct-12,13.99,14.03,13.93,13.93,2012
17-Oct-12,13.86,13.97,13.86,13.97,780
16-Oct-12,13.88,13.88,13.88,13.88,302
15-Oct-12,13.96,13.96,13.95,13.96,400
12-Oct-12,13.97,13.97,13.90,13.90,915
11-Oct-12,13.92,13.97,13.92,13.97,900
10-Oct-12,14.09,14.10,13.88,13.88,5525
9-Oct-12,14.10,14.10,14.10,14.10,700
8-Oct-12,14.26,14.28,13.98,14.05,14900
5-Oct-12,14.34,14.34,14.08,14.23,4267
4-Oct-12,-,-,-,14.20,0
3-Oct-12,14.20,14.20,14.18,14.20,866
2-Oct-12,14.05,14.15,14.05,14.15,5978
1-Oct-12,14.00,14.02,13.98,14.02,8314
28-Sep-12,14.00,14.00,13.97,13.97,9153
27-Sep-12,13.92,14.05,13.92,14.04,2137
26-Sep-12,13.99,14.00,13.99,14.00,3000
25-Sep-12,13.87,14.04,13.84,14.04,3020
24-Sep-12,13.85,14.13,13.85,13.87,3692
21-Sep-12,13.85,13.85,13.80,13.85,5899
20-Sep-12,13.86,13.93,13.85,13.85,9146
19-Sep-12,14.06,14.06,13.85,13.86,6131
18-Sep-12,14.35,14.35,14.01,14.12,2911
17-Sep-12,14.02,14.21,13.91,14.21,1704
14-Sep-12,14.05,14.06,14.00,14.00,2283
13-Sep-12,14.03,14.03,14.03,14.03,472
12-Sep-12,14.05,14.07,14.05,14.05,2803
11-Sep-12,13.94,14.29,13.94,14.05,4214
10-Sep-12,13.88,13.89,13.88,13.89,631
7-Sep-12,13.91,13.94,13.91,13.93,754
6-Sep-12,13.95,14.10,13.90,13.91,2263
5-Sep-12,14.03,14.03,13.99,13.99,300
4-Sep-12,14.13,14.13,14.06,14.06,823
31-Aug-12,14.16,14.23,14.10,14.11,1641
30-Aug-12,13.99,14.40,13.99,14.01,8838
29-Aug-12,13.91,13.96,13.90,13.96,770
28-Aug-12,13.91,14.00,13.81,13.90,6362
27-Aug-12,13.98,14.05,13.91,14.04,4312
