Date, Open, High, Low, Close, Volume
17-May-13,4.96,4.96,4.95,4.96,185740
16-May-13,4.95,4.96,4.95,4.96,640226
15-May-13,4.95,5.00,4.91,4.96,2616331
14-May-13,4.32,4.45,4.32,4.36,50139
13-May-13,4.28,4.36,4.28,4.30,22680
10-May-13,3.90,4.35,3.90,4.26,46245
9-May-13,3.93,3.99,3.87,3.88,28852
8-May-13,3.87,3.89,3.82,3.89,4168
7-May-13,3.84,3.89,3.83,3.85,10933
6-May-13,3.83,3.89,3.83,3.83,9442
3-May-13,3.85,3.86,3.80,3.80,6592
2-May-13,3.87,3.90,3.85,3.85,7971
1-May-13,3.99,3.99,3.90,3.93,17379
30-Apr-13,3.96,4.00,3.90,4.00,22238
29-Apr-13,3.99,3.99,3.93,3.93,7919
26-Apr-13,4.00,4.03,3.90,3.98,44730
25-Apr-13,4.02,4.04,4.00,4.02,2275
24-Apr-13,3.95,4.05,3.95,4.05,13130
23-Apr-13,3.98,4.01,3.95,4.00,6250
22-Apr-13,4.06,4.06,3.98,4.02,16446
19-Apr-13,4.08,4.12,4.06,4.12,7719
18-Apr-13,4.10,4.10,4.06,4.07,13326
17-Apr-13,4.05,4.13,4.05,4.13,25118
16-Apr-13,3.99,4.06,3.99,4.05,45755
15-Apr-13,4.00,4.04,3.99,4.01,63334
12-Apr-13,4.00,4.02,4.00,4.02,33393
11-Apr-13,3.95,4.06,3.95,4.02,50150
10-Apr-13,3.93,3.96,3.88,3.95,15572
9-Apr-13,3.96,3.96,3.91,3.93,6578
8-Apr-13,3.94,3.96,3.93,3.94,14792
5-Apr-13,4.00,4.00,3.93,3.99,10181
4-Apr-13,4.04,4.06,4.00,4.02,15046
3-Apr-13,4.00,4.05,3.99,4.03,2720
2-Apr-13,3.95,4.02,3.93,4.02,14764
1-Apr-13,3.93,3.94,3.93,3.94,3170
28-Mar-13,3.97,3.97,3.88,3.95,14768
27-Mar-13,3.99,4.00,3.95,4.00,2303
26-Mar-13,4.06,4.07,3.87,3.98,4629
25-Mar-13,4.08,4.10,4.08,4.10,3100
22-Mar-13,4.02,4.05,4.01,4.05,3775
21-Mar-13,3.99,4.00,3.97,3.99,7549
20-Mar-13,3.95,4.01,3.94,4.01,3300
19-Mar-13,3.98,3.98,3.92,3.92,4538
18-Mar-13,4.06,4.07,3.93,3.93,24874
15-Mar-13,4.03,4.06,3.90,3.90,31346
14-Mar-13,4.02,4.08,4.02,4.07,6921
13-Mar-13,4.02,4.05,3.99,4.05,7446
12-Mar-13,4.00,4.04,4.00,4.01,16282
11-Mar-13,4.06,4.10,4.04,4.10,23620
8-Mar-13,4.07,4.10,3.93,4.06,18799
7-Mar-13,4.13,4.15,4.08,4.10,5551
6-Mar-13,3.86,4.10,3.86,4.10,22919
5-Mar-13,3.87,3.90,3.74,3.88,34805
4-Mar-13,4.12,4.12,3.89,3.90,68839
1-Mar-13,4.13,4.18,4.13,4.18,489
28-Feb-13,4.15,4.15,4.05,4.10,4800
27-Feb-13,4.05,4.13,4.05,4.13,39362
26-Feb-13,4.17,4.18,4.02,4.05,64252
25-Feb-13,4.17,4.18,4.16,4.18,6475
22-Feb-13,4.15,4.18,4.14,4.18,37579
21-Feb-13,4.17,4.19,4.15,4.15,31390
20-Feb-13,4.20,4.22,4.19,4.20,3080
19-Feb-13,4.17,4.20,4.15,4.20,14073
15-Feb-13,4.15,4.20,4.06,4.19,34041
14-Feb-13,4.49,4.49,4.02,4.18,441611
13-Feb-13,4.51,4.54,4.50,4.53,2590
12-Feb-13,4.50,4.57,4.49,4.51,13529
11-Feb-13,4.60,4.60,4.51,4.51,7677
8-Feb-13,4.59,4.63,4.57,4.63,4171
7-Feb-13,4.61,4.61,4.54,4.61,120317
6-Feb-13,4.58,4.63,4.58,4.63,18037
5-Feb-13,4.61,4.61,4.55,4.55,3077
4-Feb-13,4.60,4.62,4.59,4.60,2731
1-Feb-13,4.55,4.60,4.54,4.56,4043
31-Jan-13,4.57,4.60,4.52,4.53,29323
