Date, Open, High, Low, Close, Volume
17-May-13,71.14,71.90,71.01,71.79,223975
16-May-13,71.67,71.79,70.83,70.89,223062
15-May-13,71.31,72.19,71.07,71.92,310586
14-May-13,70.01,71.65,70.01,71.29,377880
13-May-13,70.53,70.62,69.90,70.08,406975
10-May-13,70.57,70.85,70.22,70.77,252945
9-May-13,72.00,72.24,70.28,70.48,866489
8-May-13,72.11,72.47,71.64,72.00,412133
7-May-13,71.87,72.65,71.87,72.54,647174
6-May-13,72.02,72.42,70.98,71.99,511814
3-May-13,72.42,73.18,72.20,72.33,659162
2-May-13,71.04,72.88,70.40,71.94,609468
1-May-13,72.42,72.42,70.83,71.00,818617
30-Apr-13,72.00,72.44,71.41,72.43,578733
29-Apr-13,71.47,72.30,70.75,71.83,493897
26-Apr-13,71.54,72.16,71.11,71.15,353249
25-Apr-13,71.68,72.17,71.43,71.79,268849
24-Apr-13,71.49,71.84,71.07,71.37,225542
23-Apr-13,71.15,71.41,70.39,71.40,410685
22-Apr-13,70.97,71.45,70.41,70.86,446824
19-Apr-13,70.12,71.07,69.50,70.99,348685
18-Apr-13,69.43,70.14,69.03,69.92,519701
17-Apr-13,69.47,69.70,68.65,69.38,417801
16-Apr-13,69.30,69.97,68.73,69.96,315820
15-Apr-13,69.93,70.26,68.90,68.93,777199
12-Apr-13,70.18,70.49,70.01,70.29,416224
11-Apr-13,70.41,70.67,70.09,70.34,345215
10-Apr-13,69.89,70.55,69.73,70.30,466354
9-Apr-13,70.20,70.39,69.67,69.68,376627
8-Apr-13,70.11,70.40,69.71,70.39,400233
5-Apr-13,69.93,70.53,69.75,70.40,354803
4-Apr-13,69.92,70.58,69.87,70.40,671891
3-Apr-13,70.74,70.92,69.77,69.82,912770
2-Apr-13,70.27,70.77,70.14,70.60,449437
1-Apr-13,69.96,70.27,69.80,70.20,327333
28-Mar-13,69.51,70.16,69.44,69.98,719502
27-Mar-13,69.20,69.86,68.93,69.54,377814
26-Mar-13,69.09,69.60,68.43,69.57,592473
25-Mar-13,68.62,69.06,68.47,68.85,486000
22-Mar-13,68.43,68.75,67.95,68.45,401705
21-Mar-13,67.51,68.39,67.21,68.33,837724
20-Mar-13,67.10,67.78,66.94,67.62,560850
19-Mar-13,67.26,67.61,66.58,66.89,672529
18-Mar-13,67.42,68.26,67.07,67.62,999454
15-Mar-13,64.69,67.88,64.41,67.63,2731575
14-Mar-13,61.22,61.39,60.74,61.35,552704
13-Mar-13,60.33,60.91,60.24,60.82,403742
12-Mar-13,60.28,60.45,60.01,60.32,642398
11-Mar-13,59.90,60.45,59.75,60.37,524419
8-Mar-13,59.48,60.03,59.34,60.01,468694
7-Mar-13,59.49,59.53,59.14,59.25,392037
6-Mar-13,59.17,59.52,58.88,59.51,638993
5-Mar-13,58.34,59.06,58.24,59.06,580119
4-Mar-13,57.67,58.35,57.56,58.30,606867
1-Mar-13,57.64,57.96,57.35,57.81,1121822
28-Feb-13,57.80,58.10,57.60,57.91,1166690
27-Feb-13,57.63,61.39,55.39,58.23,1228225
26-Feb-13,58.81,59.02,58.03,58.61,774092
25-Feb-13,59.93,60.07,58.60,58.61,480398
22-Feb-13,59.34,59.87,59.27,59.80,298370
21-Feb-13,59.36,59.48,59.04,59.14,345012
20-Feb-13,59.82,59.99,59.41,59.41,248085
19-Feb-13,59.46,60.00,59.38,59.83,394716
15-Feb-13,59.58,59.70,59.19,59.40,248933
14-Feb-13,59.68,59.80,59.12,59.53,464310
13-Feb-13,59.50,59.75,59.30,59.75,301853
12-Feb-13,59.29,59.54,58.99,59.47,449210
11-Feb-13,59.36,59.44,59.18,59.41,314955
8-Feb-13,59.06,59.40,59.04,59.38,235823
7-Feb-13,59.01,59.25,58.74,59.10,230189
6-Feb-13,58.61,59.07,58.55,59.06,948178
5-Feb-13,58.84,58.98,58.60,58.84,332529
4-Feb-13,58.74,58.77,58.51,58.61,311585
1-Feb-13,59.14,59.14,58.59,58.87,373477
31-Jan-13,58.60,58.80,58.39,58.71,402954
30-Jan-13,58.70,58.72,58.45,58.67,427916
29-Jan-13,58.26,58.63,58.15,58.60,701867
28-Jan-13,57.95,58.41,57.37,58.39,337918
25-Jan-13,57.97,58.05,57.62,57.98,542310
24-Jan-13,57.67,57.99,57.50,57.64,362210
23-Jan-13,57.53,57.70,57.26,57.53,240781
22-Jan-13,57.17,57.79,57.11,57.79,397605
18-Jan-13,56.80,57.22,56.66,57.18,211033
17-Jan-13,56.39,56.77,56.28,56.73,355474
16-Jan-13,56.83,56.83,56.17,56.32,312253
15-Jan-13,56.99,56.99,56.56,56.69,262483
14-Jan-13,57.47,57.47,56.82,56.90,267291
11-Jan-13,57.02,57.28,57.01,57.26,305318
10-Jan-13,56.99,57.38,56.86,57.14,307528
9-Jan-13,56.70,56.84,56.47,56.78,311974
8-Jan-13,56.85,56.99,56.12,56.63,376324
7-Jan-13,57.79,57.79,57.09,57.13,347081
4-Jan-13,57.39,57.88,57.36,57.80,375885
3-Jan-13,57.38,57.82,57.08,57.31,779726
2-Jan-13,56.94,57.48,56.74,57.46,447622
31-Dec-12,55.47,56.43,55.16,56.31,308747
28-Dec-12,55.43,56.34,55.16,55.56,427492
27-Dec-12,55.56,55.86,55.09,55.71,404966
26-Dec-12,56.29,56.44,55.52,55.54,355461
24-Dec-12,56.11,56.25,55.77,56.22,157984
21-Dec-12,56.48,56.81,56.09,56.20,1276929
20-Dec-12,56.73,57.05,56.53,57.01,242486
19-Dec-12,57.00,57.08,56.65,56.73,376718
18-Dec-12,56.42,56.95,56.30,56.89,829598
17-Dec-12,55.59,56.37,55.31,56.37,597713
