Date, Open, High, Low, Close, Volume
17-May-13,29.21,29.72,28.93,29.55,228330
16-May-13,28.89,29.31,28.77,29.16,180071
15-May-13,28.83,29.02,28.69,28.96,110463
14-May-13,28.57,29.05,28.57,29.00,217104
13-May-13,28.88,28.88,28.29,28.47,147489
10-May-13,28.71,29.00,28.61,28.92,209714
9-May-13,28.51,29.10,28.51,28.68,269252
8-May-13,28.63,28.90,27.68,28.84,223123
7-May-13,28.08,28.85,28.08,28.68,447806
6-May-13,27.35,28.18,27.06,27.99,279118
3-May-13,27.40,27.91,27.15,27.22,362120
2-May-13,23.60,27.10,23.60,26.85,927731
1-May-13,24.31,24.32,23.12,23.14,319837
30-Apr-13,24.45,24.62,24.21,24.47,286585
29-Apr-13,24.16,24.83,24.16,24.52,268007
26-Apr-13,24.25,24.43,23.82,24.05,135534
25-Apr-13,24.60,24.75,24.31,24.38,113334
24-Apr-13,23.68,24.51,23.68,24.43,158754
23-Apr-13,23.48,23.67,23.26,23.67,137803
22-Apr-13,23.59,23.67,22.60,23.31,176876
19-Apr-13,23.20,23.59,23.06,23.57,188441
18-Apr-13,23.25,23.56,22.99,23.13,294713
17-Apr-13,23.23,23.27,22.87,23.17,251148
16-Apr-13,23.09,23.45,23.04,23.42,320368
15-Apr-13,23.98,24.00,22.76,22.84,349886
12-Apr-13,24.17,24.34,23.79,24.18,191103
11-Apr-13,23.94,24.52,23.87,24.30,227185
10-Apr-13,23.36,24.14,23.36,24.02,356168
9-Apr-13,22.83,23.79,22.82,23.32,306347
8-Apr-13,22.56,22.71,22.22,22.70,220787
5-Apr-13,22.31,22.57,22.26,22.48,291057
4-Apr-13,22.89,22.94,22.65,22.79,228724
3-Apr-13,23.09,23.17,22.78,22.87,410367
2-Apr-13,23.27,23.33,22.98,23.08,299786
1-Apr-13,23.47,23.78,23.09,23.18,215521
28-Mar-13,23.67,23.67,23.20,23.48,245454
27-Mar-13,23.40,23.63,23.27,23.53,197916
26-Mar-13,23.76,23.86,23.44,23.63,354672
25-Mar-13,24.14,24.15,23.37,23.64,212198
22-Mar-13,24.50,24.59,23.68,24.06,482556
21-Mar-13,24.52,25.21,24.48,24.50,227934
20-Mar-13,24.92,25.12,24.70,24.80,106237
19-Mar-13,24.88,25.17,24.45,24.76,236763
18-Mar-13,24.80,25.02,24.52,24.74,180818
15-Mar-13,25.53,25.57,24.96,25.18,268311
14-Mar-13,25.26,25.88,25.26,25.62,225688
13-Mar-13,24.98,25.30,24.87,25.17,185399
12-Mar-13,25.15,25.36,24.83,25.02,137333
11-Mar-13,24.89,25.20,24.80,25.15,154306
8-Mar-13,25.14,25.36,24.94,24.99,316245
7-Mar-13,25.27,25.42,24.81,24.84,398806
6-Mar-13,25.42,25.56,25.14,25.23,305310
5-Mar-13,24.65,25.33,24.65,25.26,317651
4-Mar-13,24.59,24.84,24.40,24.52,416695
1-Mar-13,24.33,24.96,24.10,24.73,289255
28-Feb-13,24.71,24.93,24.50,24.54,200798
27-Feb-13,24.55,25.07,24.55,24.71,312907
26-Feb-13,24.60,24.83,24.47,24.66,405893
25-Feb-13,25.81,25.91,24.46,24.49,348729
22-Feb-13,25.27,25.76,25.05,25.66,209076
21-Feb-13,26.11,26.12,24.86,25.19,275554
20-Feb-13,27.41,27.52,26.16,26.20,535741
19-Feb-13,27.58,28.00,26.49,27.53,444049
15-Feb-13,27.80,27.87,27.25,27.59,351211
14-Feb-13,27.39,27.81,27.29,27.68,224460
13-Feb-13,27.40,27.60,27.19,27.45,252970
12-Feb-13,27.35,27.61,27.03,27.31,243887
11-Feb-13,27.39,27.48,27.03,27.34,181368
8-Feb-13,27.53,27.80,27.35,27.54,261697
7-Feb-13,27.38,27.54,27.01,27.51,272659
6-Feb-13,27.17,27.55,27.01,27.41,329683
5-Feb-13,27.50,27.88,27.30,27.33,181180
4-Feb-13,27.63,27.64,27.31,27.35,384139
1-Feb-13,27.85,28.13,27.66,27.85,270336
31-Jan-13,28.03,28.03,27.46,27.62,904559
30-Jan-13,28.64,29.00,28.02,28.11,801178
29-Jan-13,27.55,27.75,27.30,27.70,384042
28-Jan-13,27.25,27.75,27.25,27.51,379815
25-Jan-13,26.88,27.12,26.70,26.98,214807
24-Jan-13,26.95,27.14,26.64,26.75,526291
23-Jan-13,25.91,27.22,25.69,27.02,1588254
22-Jan-13,24.78,26.76,24.71,25.91,3250954
18-Jan-13,23.30,23.45,23.10,23.18,194768
17-Jan-13,23.40,23.48,23.14,23.27,167152
16-Jan-13,23.35,23.49,23.10,23.27,183197
15-Jan-13,23.59,23.60,23.41,23.42,172271
14-Jan-13,23.60,23.81,23.49,23.76,192553
11-Jan-13,23.34,23.72,23.23,23.63,181812
10-Jan-13,23.36,23.45,22.98,23.34,304749
9-Jan-13,23.33,23.53,23.20,23.29,247322
8-Jan-13,22.99,23.41,22.90,23.27,331027
7-Jan-13,22.78,23.01,22.59,22.96,147617
4-Jan-13,22.39,23.03,22.30,22.94,168570
3-Jan-13,22.90,23.03,22.28,22.32,270019
2-Jan-13,22.83,23.07,22.64,22.90,350091
31-Dec-12,21.83,22.30,21.66,22.20,372909
28-Dec-12,21.69,22.02,21.58,21.80,221561
27-Dec-12,21.91,21.98,21.54,21.95,203489
26-Dec-12,21.99,22.05,21.71,21.83,136790
24-Dec-12,21.82,22.00,21.49,21.90,126854
21-Dec-12,21.36,22.00,21.20,21.98,551338
20-Dec-12,21.56,21.81,21.45,21.80,199049
19-Dec-12,21.35,21.79,21.24,21.59,306469
18-Dec-12,21.00,21.28,20.89,21.28,194254
17-Dec-12,20.77,21.04,20.68,20.96,177523
14-Dec-12,20.50,20.90,20.25,20.74,129214
13-Dec-12,20.98,21.17,20.18,20.51,174883
12-Dec-12,21.24,21.25,20.89,21.05,155074
11-Dec-12,21.09,21.25,20.92,21.11,144350
10-Dec-12,20.80,20.93,20.69,20.93,164473
7-Dec-12,20.81,20.84,20.48,20.78,116062
6-Dec-12,20.68,20.75,20.37,20.68,100317
5-Dec-12,20.65,20.94,20.12,20.70,182000
4-Dec-12,20.22,20.62,20.22,20.56,208169
3-Dec-12,20.19,20.34,19.76,20.23,331741
30-Nov-12,19.78,20.11,19.53,19.97,579877
29-Nov-12,20.34,20.68,19.14,19.80,897337
28-Nov-12,20.38,20.75,19.89,20.75,196549
27-Nov-12,20.57,20.95,20.46,20.53,157208
26-Nov-12,20.60,20.94,20.17,20.61,289511
23-Nov-12,20.69,20.91,20.48,20.72,63714
21-Nov-12,20.33,20.76,20.26,20.47,132362
20-Nov-12,19.80,20.43,19.60,20.30,304779
19-Nov-12,19.46,19.98,19.32,19.89,235735
16-Nov-12,19.00,19.36,18.88,19.23,265879
15-Nov-12,18.90,19.28,18.73,19.02,231748
14-Nov-12,19.50,19.50,18.56,18.90,364055
13-Nov-12,19.21,19.82,18.83,19.44,477066
12-Nov-12,18.71,20.29,18.62,19.81,423701
9-Nov-12,18.18,19.29,17.70,18.56,611916
8-Nov-12,19.66,19.66,18.31,18.42,348150
7-Nov-12,19.96,20.09,19.54,19.67,228252
6-Nov-12,20.34,20.50,20.17,20.38,153940
5-Nov-12,20.36,20.53,20.10,20.17,147356
2-Nov-12,20.71,20.71,20.19,20.39,174987
1-Nov-12,20.27,20.56,20.27,20.56,421370
31-Oct-12,20.66,20.66,19.51,20.23,316479
26-Oct-12,20.85,20.98,20.21,20.76,220781
25-Oct-12,21.32,21.32,20.57,20.79,161059
24-Oct-12,21.19,21.39,20.62,21.08,544385
23-Oct-12,20.35,21.02,20.10,21.01,417455
22-Oct-12,19.45,20.79,19.45,20.77,428720
19-Oct-12,20.29,20.29,18.84,19.54,374771
18-Oct-12,20.37,20.66,20.24,20.53,209581
17-Oct-12,19.97,20.58,19.83,20.44,242846
16-Oct-12,17.86,20.23,17.76,19.97,1080279
15-Oct-12,17.86,17.93,17.52,17.71,116769
12-Oct-12,18.22,18.31,17.40,17.76,137973
11-Oct-12,18.43,18.66,18.15,18.23,106874
10-Oct-12,18.39,18.45,18.14,18.26,85645
9-Oct-12,18.84,18.89,18.27,18.39,119264
8-Oct-12,18.85,19.05,18.65,18.80,155565
5-Oct-12,19.05,19.40,18.97,19.05,193701
4-Oct-12,18.62,18.96,18.31,18.91,99978
