Date, Open, High, Low, Close, Volume
17-May-13,11.78,12.01,11.70,12.00,1253566
16-May-13,12.01,12.10,11.63,11.75,1996588
15-May-13,11.72,12.04,11.61,12.04,1957707
14-May-13,11.51,11.76,11.44,11.73,1742758
13-May-13,11.57,11.62,11.37,11.49,793277
10-May-13,11.42,11.67,11.39,11.62,720090
9-May-13,11.36,11.54,11.16,11.38,982173
8-May-13,11.68,11.75,11.26,11.41,2310015
7-May-13,11.76,11.78,11.19,11.52,2475146
6-May-13,11.58,11.80,11.35,11.74,1001557
3-May-13,11.48,11.64,11.48,11.59,980164
2-May-13,11.27,11.44,11.27,11.35,785598
1-May-13,11.44,11.55,11.07,11.26,1194214
30-Apr-13,10.99,11.63,10.88,11.51,1857071
29-Apr-13,11.17,11.29,10.98,11.04,1180151
26-Apr-13,11.25,11.29,11.08,11.14,616787
25-Apr-13,11.32,11.63,11.22,11.32,613480
24-Apr-13,11.45,11.55,11.24,11.31,1069250
23-Apr-13,11.73,11.79,11.28,11.46,1010096
22-Apr-13,11.38,11.65,11.16,11.65,1381367
19-Apr-13,11.07,11.48,10.93,11.37,1307689
18-Apr-13,11.03,11.12,10.70,11.04,1947309
17-Apr-13,11.00,11.21,10.88,11.04,1356139
16-Apr-13,11.34,11.45,11.10,11.14,1069642
15-Apr-13,11.72,11.82,11.19,11.21,1268405
12-Apr-13,11.82,11.99,11.61,11.84,1699140
11-Apr-13,11.76,12.00,11.75,11.85,739823
10-Apr-13,11.58,11.83,11.54,11.77,1024915
9-Apr-13,11.37,11.66,11.37,11.57,975566
8-Apr-13,11.02,11.39,10.90,11.35,1167252
5-Apr-13,10.94,11.15,10.86,11.01,2629297
4-Apr-13,11.07,11.21,10.90,11.21,1125069
3-Apr-13,11.38,11.54,11.00,11.09,2499705
2-Apr-13,11.48,11.54,11.32,11.38,1079955
1-Apr-13,11.57,11.63,11.19,11.43,1502045
28-Mar-13,11.57,11.68,11.50,11.61,1704015
27-Mar-13,11.66,11.75,11.56,11.61,1656616
26-Mar-13,11.91,12.05,11.68,11.79,1458897
25-Mar-13,11.95,12.08,11.80,11.87,1120354
22-Mar-13,12.02,12.10,11.90,11.94,1379894
21-Mar-13,11.95,12.12,11.88,11.95,989585
20-Mar-13,12.06,12.12,11.97,12.07,1112900
19-Mar-13,11.95,12.04,11.76,12.01,1727531
18-Mar-13,12.00,12.12,11.91,11.95,2385704
15-Mar-13,11.85,11.88,11.66,11.77,2421675
14-Mar-13,11.95,12.04,11.78,11.84,2027001
13-Mar-13,11.84,12.05,11.84,11.93,1410293
12-Mar-13,12.04,12.05,11.79,11.85,1053778
11-Mar-13,12.05,12.19,11.85,12.08,1144681
8-Mar-13,12.18,12.24,11.89,12.09,1019946
7-Mar-13,11.78,12.05,11.75,12.05,1918585
6-Mar-13,12.28,12.29,11.74,11.76,1809105
5-Mar-13,12.28,12.36,12.02,12.29,1980813
4-Mar-13,11.89,12.39,11.88,12.17,2373833
1-Mar-13,11.86,11.98,11.74,11.95,2316379
28-Feb-13,11.76,12.09,11.75,11.97,3133733
27-Feb-13,11.83,11.96,11.75,11.86,2283608
26-Feb-13,11.66,11.91,11.50,11.76,3127209
25-Feb-13,12.30,12.30,11.54,11.60,4627161
22-Feb-13,11.86,12.68,11.83,12.27,8289078
21-Feb-13,12.03,12.29,11.40,11.64,8946821
20-Feb-13,13.57,14.92,11.22,12.09,47401967
19-Feb-13,13.57,14.08,12.78,13.00,15617826
15-Feb-13,10.95,11.12,10.68,10.75,2453895
14-Feb-13,10.76,10.93,10.69,10.89,1568387
13-Feb-13,11.00,11.09,10.75,10.79,1150514
12-Feb-13,10.71,11.12,10.70,11.01,1644467
11-Feb-13,10.64,10.72,10.50,10.71,1069114
8-Feb-13,10.76,10.91,10.59,10.67,953832
7-Feb-13,11.16,11.16,10.55,10.72,1827813
6-Feb-13,11.16,11.28,10.91,11.17,2149864
5-Feb-13,11.04,11.45,10.92,11.20,1947749
4-Feb-13,10.69,11.07,10.61,10.99,1687367
1-Feb-13,10.82,10.85,10.69,10.77,1345305
31-Jan-13,10.50,10.82,10.46,10.78,1225929
30-Jan-13,10.77,10.78,10.50,10.51,841607
29-Jan-13,10.95,10.97,10.62,10.76,931246
28-Jan-13,10.63,10.99,10.62,10.92,1198243
25-Jan-13,10.75,10.81,10.47,10.61,1043111
24-Jan-13,10.62,11.17,10.62,10.75,1670497
