Date, Open, High, Low, Close, Volume
17-May-13,7.05,7.16,7.00,7.16,1202258
16-May-13,7.18,7.18,6.99,7.01,1099957
15-May-13,6.97,7.18,6.96,7.13,1695261
14-May-13,6.87,6.99,6.87,6.96,1249887
13-May-13,6.95,6.95,6.75,6.90,1063736
10-May-13,6.85,6.94,6.80,6.92,1003199
9-May-13,6.63,6.94,6.62,6.81,1668522
8-May-13,6.73,6.78,6.65,6.69,883640
7-May-13,6.75,6.79,6.71,6.76,956146
6-May-13,6.76,6.78,6.60,6.70,1084701
3-May-13,6.61,6.78,6.61,6.67,1433980
2-May-13,6.40,6.65,6.40,6.54,1351326
1-May-13,6.65,6.70,6.27,6.41,3419969
30-Apr-13,6.88,6.90,6.55,6.66,2497373
29-Apr-13,6.92,7.00,6.83,6.86,1145767
26-Apr-13,7.06,7.07,6.89,6.92,1278889
25-Apr-13,6.91,7.07,6.88,7.04,1625104
24-Apr-13,6.85,7.15,6.77,6.96,3163600
23-Apr-13,7.16,7.20,6.96,7.06,1106227
22-Apr-13,7.06,7.10,6.98,7.10,854346
19-Apr-13,6.97,7.09,6.96,7.02,956658
18-Apr-13,7.05,7.08,6.91,6.95,1135995
17-Apr-13,7.14,7.16,6.92,7.02,1557734
16-Apr-13,7.16,7.20,7.02,7.13,1518333
15-Apr-13,7.13,7.13,6.92,6.94,1504110
12-Apr-13,7.19,7.22,7.05,7.17,807625
11-Apr-13,7.12,7.32,7.10,7.19,1723697
10-Apr-13,6.95,7.10,6.86,7.10,1880536
9-Apr-13,7.14,7.20,6.80,6.95,4744836
8-Apr-13,7.33,7.34,7.17,7.22,1289853
5-Apr-13,7.06,7.23,7.01,7.17,1216330
4-Apr-13,7.00,7.30,6.90,7.29,1859566
3-Apr-13,7.45,7.47,6.65,7.00,4412028
2-Apr-13,7.56,7.60,7.33,7.40,1669877
1-Apr-13,7.63,7.65,7.36,7.55,1705642
28-Mar-13,7.64,7.70,7.58,7.63,1305890
27-Mar-13,7.58,7.64,7.54,7.62,1050392
