Date, Open, High, Low, Close, Volume
17-May-13,16.95,17.24,16.95,17.03,51530
16-May-13,16.96,17.10,16.70,16.90,164596
15-May-13,16.71,16.93,16.61,16.84,121366
14-May-13,16.83,17.00,16.68,16.85,91338
13-May-13,17.06,17.13,16.64,16.83,191596
10-May-13,17.37,17.37,17.00,17.07,444618
9-May-13,17.15,17.50,17.05,17.36,206541
8-May-13,17.03,17.24,16.97,17.18,276038
7-May-13,16.98,17.09,16.85,16.98,192348
6-May-13,16.89,17.00,16.79,16.98,163185
3-May-13,16.64,17.07,16.45,16.85,380437
2-May-13,16.36,16.62,16.34,16.60,250629
1-May-13,16.27,16.35,16.04,16.33,157831
30-Apr-13,16.36,16.50,16.29,16.38,108314
29-Apr-13,16.30,16.50,16.19,16.38,97504
26-Apr-13,16.30,16.30,16.04,16.23,74675
25-Apr-13,16.38,16.50,16.09,16.28,208958
24-Apr-13,15.87,16.36,15.15,16.27,297712
23-Apr-13,15.82,16.09,15.70,15.79,325261
22-Apr-13,15.60,15.87,15.60,15.75,119429
19-Apr-13,15.75,15.80,15.45,15.54,246742
18-Apr-13,15.14,15.75,15.11,15.70,542301
17-Apr-13,15.25,15.42,14.91,15.14,686427
16-Apr-13,15.49,15.51,15.24,15.37,201778
15-Apr-13,16.34,16.34,15.32,15.32,291864
12-Apr-13,16.34,16.48,16.25,16.29,246998
11-Apr-13,16.47,16.50,16.31,16.47,235470
10-Apr-13,16.50,16.50,16.26,16.42,257752
9-Apr-13,15.85,16.42,15.75,16.38,329677
8-Apr-13,15.57,15.82,15.42,15.82,205895
5-Apr-13,15.46,15.68,15.26,15.55,342661
4-Apr-13,15.64,15.79,15.51,15.64,172662
3-Apr-13,16.04,16.15,15.60,15.69,433492
2-Apr-13,16.12,16.23,15.94,16.12,356518
1-Apr-13,16.06,16.10,15.75,16.03,304273
28-Mar-13,16.00,16.39,15.99,16.11,273192
27-Mar-13,16.06,16.26,15.91,16.09,446073
26-Mar-13,16.47,16.47,16.09,16.16,361356
25-Mar-13,16.45,16.54,16.35,16.41,556719
22-Mar-13,15.99,16.41,15.99,16.35,635515
21-Mar-13,15.68,16.11,15.68,15.93,611260
20-Mar-13,15.60,15.90,15.52,15.73,634344
19-Mar-13,15.60,15.69,15.35,15.63,917900
18-Mar-13,15.54,15.67,15.36,15.47,345871
15-Mar-13,15.50,15.85,15.35,15.69,523455
14-Mar-13,14.97,15.50,14.95,15.50,417976
13-Mar-13,14.52,15.01,14.26,15.00,641055
12-Mar-13,14.51,14.60,14.36,14.54,180953
11-Mar-13,14.51,14.77,14.26,14.53,192029
8-Mar-13,14.29,14.79,14.19,14.58,484330
7-Mar-13,13.83,14.37,13.75,14.21,524025
6-Mar-13,14.23,14.38,14.03,14.15,208316
5-Mar-13,13.86,14.26,13.80,14.16,415179
4-Mar-13,14.26,14.33,13.45,13.76,574347
1-Mar-13,14.46,14.54,14.08,14.30,390843
28-Feb-13,14.71,14.76,14.36,14.57,678969
27-Feb-13,14.67,14.90,14.56,14.64,280182
26-Feb-13,14.72,14.80,14.50,14.67,358359
25-Feb-13,15.07,15.10,14.61,14.66,403272
22-Feb-13,15.40,15.55,14.95,15.00,966275
21-Feb-13,15.68,15.75,15.22,15.40,519542
20-Feb-13,16.24,16.29,15.70,15.71,947849
19-Feb-13,15.95,16.15,15.91,16.06,281626
15-Feb-13,16.40,16.42,15.81,15.93,768673
14-Feb-13,16.25,16.54,16.25,16.41,862966
13-Feb-13,16.25,16.45,16.18,16.32,1102816
12-Feb-13,16.62,16.75,16.15,16.20,4230032
11-Feb-13,17.53,17.64,17.43,17.55,121166
8-Feb-13,17.48,17.84,17.44,17.57,158459
7-Feb-13,17.39,17.64,17.39,17.52,114711
6-Feb-13,17.29,17.49,17.05,17.45,217779
5-Feb-13,17.59,17.70,17.30,17.52,234165
4-Feb-13,17.62,17.84,17.46,17.53,359821
1-Feb-13,17.32,17.98,17.32,17.71,306602
31-Jan-13,17.19,17.99,17.04,17.28,299037
30-Jan-13,17.94,17.99,17.10,17.26,563038
29-Jan-13,17.07,17.51,16.90,17.47,381524
28-Jan-13,16.54,17.04,16.50,16.89,242968
25-Jan-13,16.35,16.58,16.16,16.55,872475
24-Jan-13,15.91,16.46,15.75,16.32,1271072
23-Jan-13,15.43,15.65,15.40,15.60,146270
22-Jan-13,15.33,15.85,15.00,15.52,512791
18-Jan-13,15.78,16.12,15.61,15.87,351462
17-Jan-13,15.36,15.92,15.21,15.85,136123
16-Jan-13,15.05,15.64,14.95,15.27,438595
15-Jan-13,15.29,15.65,15.00,15.04,24353
14-Jan-13,15.61,15.67,15.33,15.38,27196
11-Jan-13,15.55,15.61,15.45,15.61,41970
10-Jan-13,15.40,15.75,15.37,15.56,91404
9-Jan-13,15.50,15.84,15.29,15.32,200033
8-Jan-13,15.81,15.81,15.38,15.64,71132
7-Jan-13,15.66,15.80,15.51,15.75,208121
4-Jan-13,15.23,15.71,15.01,15.69,317047
3-Jan-13,14.95,15.47,14.85,15.30,192254
2-Jan-13,15.27,15.27,14.83,15.00,79359
31-Dec-12,14.65,14.98,14.34,14.93,164094
