Date, Open, High, Low, Close, Volume
17-May-13,1.55,1.55,1.45,1.50,111906
16-May-13,1.54,1.60,1.51,1.52,85970
15-May-13,1.56,1.60,1.51,1.58,89168
14-May-13,1.60,1.60,1.55,1.57,95371
13-May-13,1.59,1.62,1.57,1.60,56481
10-May-13,1.61,1.61,1.58,1.58,36664
9-May-13,1.62,1.65,1.51,1.59,103398
8-May-13,1.61,1.61,1.50,1.58,106637
7-May-13,1.68,1.74,1.55,1.58,283625
6-May-13,1.90,1.91,1.60,1.67,416315
3-May-13,1.96,1.96,1.75,1.87,145336
2-May-13,1.90,2.00,1.80,1.89,140056
1-May-13,1.98,1.98,1.81,1.89,138427
30-Apr-13,1.88,2.06,1.79,1.98,396805
29-Apr-13,1.55,2.50,1.55,1.84,1829384
26-Apr-13,1.46,1.50,1.42,1.49,72984
25-Apr-13,1.54,1.54,1.44,1.45,87682
24-Apr-13,1.59,1.63,1.42,1.49,104155
23-Apr-13,1.69,1.69,1.48,1.55,51769
22-Apr-13,1.67,1.67,1.51,1.51,189102
19-Apr-13,1.67,1.69,1.41,1.52,151976
18-Apr-13,2.00,2.00,1.56,1.66,174076
17-Apr-13,1.86,1.94,1.85,1.86,81842
16-Apr-13,2.09,2.09,1.85,1.86,93920
15-Apr-13,2.25,2.25,1.90,2.03,318737
12-Apr-13,3.99,4.00,1.79,2.14,1510472
11-Apr-13,4.00,4.02,3.94,3.96,27970
10-Apr-13,4.04,4.04,3.91,3.99,73654
9-Apr-13,3.96,4.02,3.91,3.95,30857
8-Apr-13,3.89,3.96,3.81,3.94,24256
5-Apr-13,3.79,3.94,3.77,3.82,29392
4-Apr-13,3.85,3.95,3.76,3.85,37270
3-Apr-13,3.78,3.92,3.75,3.80,28633
2-Apr-13,3.85,3.96,3.75,3.75,37718
1-Apr-13,4.08,4.08,3.81,3.85,59388
28-Mar-13,4.00,4.04,3.95,3.96,56320
27-Mar-13,4.10,4.10,3.96,3.97,60154
26-Mar-13,4.11,4.12,3.80,3.99,47004
25-Mar-13,3.95,4.11,3.95,3.97,104663
22-Mar-13,4.00,4.11,3.93,3.95,95976
21-Mar-13,4.01,4.06,3.84,3.91,71110
20-Mar-13,3.81,4.06,3.60,3.86,95865
19-Mar-13,3.84,3.96,3.62,3.63,93394
18-Mar-13,4.01,4.01,3.80,3.84,75925
15-Mar-13,4.08,4.12,4.01,4.05,35600
