Date, Open, High, Low, Close, Volume
17-May-13,0.83,0.85,0.75,0.81,3840
16-May-13,0.81,0.82,0.81,0.82,700
15-May-13,0.81,0.82,0.81,0.82,641
13-May-13,0.83,0.83,0.83,0.83,100
10-May-13,0.83,0.83,0.83,0.83,100
9-May-13,0.80,0.80,0.80,0.80,700
8-May-13,0.83,0.83,0.80,0.81,1350
7-May-13,0.83,0.84,0.77,0.77,2167
6-May-13,0.77,0.82,0.74,0.74,850
3-May-13,0.80,0.80,0.72,0.72,3200
30-Apr-13,0.76,0.84,0.71,0.75,49016
29-Apr-13,0.69,0.71,0.69,0.70,1300
25-Apr-13,0.67,0.67,0.67,0.67,5000
24-Apr-13,0.69,0.69,0.67,0.67,12100
23-Apr-13,0.65,0.66,0.65,0.66,7213
22-Apr-13,0.66,0.66,0.66,0.66,4843
19-Apr-13,0.73,0.73,0.68,0.68,19710
18-Apr-13,0.73,0.74,0.70,0.72,31581
17-Apr-13,0.78,0.78,0.78,0.78,1130
11-Apr-13,0.84,0.84,0.84,0.84,100
10-Apr-13,0.84,0.84,0.79,0.79,340
9-Apr-13,0.80,0.80,0.72,0.72,1700
8-Apr-13,0.72,0.77,0.72,0.77,10500
5-Apr-13,0.70,0.78,0.70,0.78,8130
4-Apr-13,0.75,0.77,0.70,0.77,10336
2-Apr-13,0.75,0.75,0.69,0.75,7900
1-Apr-13,0.80,0.80,0.75,0.77,6785
27-Mar-13,0.85,0.85,0.85,0.85,100
26-Mar-13,0.81,0.81,0.75,0.80,600
22-Mar-13,0.83,0.83,0.80,0.81,11100
18-Mar-13,0.90,0.90,0.88,0.88,700
15-Mar-13,0.84,0.84,0.83,0.83,10000
14-Mar-13,0.85,0.90,0.82,0.89,11200
13-Mar-13,0.91,0.91,0.91,0.91,200
12-Mar-13,0.86,0.86,0.86,0.86,5200
8-Mar-13,0.87,0.87,0.86,0.86,400
5-Mar-13,0.86,0.86,0.86,0.86,500
4-Mar-13,0.86,0.90,0.86,0.90,1492
1-Mar-13,0.88,0.90,0.87,0.90,1700
28-Feb-13,0.86,0.87,0.86,0.86,1700
27-Feb-13,0.90,0.90,0.87,0.87,8100
26-Feb-13,0.90,0.90,0.90,0.90,7750
25-Feb-13,0.93,0.93,0.91,0.92,8920
22-Feb-13,0.91,0.91,0.91,0.91,600
21-Feb-13,0.91,0.92,0.90,0.91,6833
20-Feb-13,0.94,0.94,0.88,0.90,18240
19-Feb-13,0.98,0.98,0.93,0.93,13450
15-Feb-13,0.92,0.97,0.90,0.97,9350
14-Feb-13,0.90,0.92,0.90,0.92,7534
11-Feb-13,0.87,0.89,0.87,0.89,8042
8-Feb-13,0.88,0.88,0.87,0.87,1000
7-Feb-13,0.86,0.87,0.86,0.87,1100
5-Feb-13,0.87,0.87,0.86,0.87,1600
31-Jan-13,0.99,0.99,0.86,0.87,400
30-Jan-13,0.89,0.95,0.86,0.86,801
29-Jan-13,0.89,0.99,0.89,0.99,300
25-Jan-13,0.90,0.99,0.90,0.99,6200
24-Jan-13,0.90,0.99,0.84,0.84,48187
23-Jan-13,0.80,0.85,0.80,0.85,1000
18-Jan-13,0.80,0.85,0.80,0.85,800
17-Jan-13,0.82,0.82,0.81,0.81,1800
16-Jan-13,0.80,0.85,0.80,0.82,4300
15-Jan-13,0.86,0.86,0.86,0.86,300
14-Jan-13,0.84,0.87,0.81,0.87,4400
11-Jan-13,0.84,0.84,0.81,0.83,2520
10-Jan-13,0.82,0.82,0.82,0.82,5100
9-Jan-13,0.89,0.89,0.80,0.84,16621
8-Jan-13,0.90,0.90,0.82,0.82,600
7-Jan-13,0.83,0.83,0.83,0.83,300
3-Jan-13,0.81,0.82,0.81,0.81,2084
2-Jan-13,0.81,0.81,0.80,0.80,12600
31-Dec-12,0.80,0.83,0.80,0.81,4527
28-Dec-12,0.83,0.83,0.83,0.83,1520
27-Dec-12,0.85,0.86,0.81,0.86,8325
21-Dec-12,0.83,0.83,0.83,0.83,4132
20-Dec-12,0.83,0.83,0.83,0.83,1000
19-Dec-12,0.90,0.90,0.84,0.88,16600
18-Dec-12,0.83,0.86,0.83,0.86,600
17-Dec-12,0.92,0.92,0.82,0.83,16700
14-Dec-12,0.97,0.97,0.92,0.92,3100
13-Dec-12,1.02,1.02,0.86,0.98,16399
12-Dec-12,0.86,1.02,0.85,1.02,36459
11-Dec-12,0.85,0.85,0.85,0.85,3000
10-Dec-12,0.85,0.85,0.85,0.85,3200
7-Dec-12,0.84,0.92,0.84,0.92,22820
6-Dec-12,0.93,0.93,0.85,0.93,1360
5-Dec-12,0.92,0.92,0.90,0.92,11340
4-Dec-12,0.90,0.91,0.90,0.91,17406
3-Dec-12,0.82,0.91,0.82,0.91,590
30-Nov-12,0.85,0.92,0.85,0.92,8500
