Date, Open, High, Low, Close, Volume
17-May-13,3.22,3.31,3.22,3.30,8365
16-May-13,3.25,3.28,3.20,3.23,3385
15-May-13,3.12,3.24,3.12,3.22,16957
14-May-13,3.21,3.24,3.13,3.21,10856
13-May-13,3.24,3.27,3.14,3.25,22790
10-May-13,3.20,3.25,3.10,3.24,11503
9-May-13,3.24,3.30,3.15,3.18,17118
8-May-13,3.33,3.42,3.18,3.26,19888
7-May-13,3.42,3.48,3.29,3.35,39932
6-May-13,3.50,3.53,3.40,3.42,14700
3-May-13,3.44,3.60,3.39,3.55,116348
2-May-13,3.45,3.52,3.45,3.45,12634
1-May-13,3.43,3.53,3.41,3.45,21724
30-Apr-13,3.53,3.54,3.45,3.54,11482
29-Apr-13,3.56,3.68,3.51,3.53,8322
26-Apr-13,3.50,3.57,3.47,3.51,17632
25-Apr-13,3.49,3.72,3.49,3.50,68102
24-Apr-13,3.50,3.50,3.39,3.42,35944
23-Apr-13,3.45,3.76,3.45,3.50,11816
22-Apr-13,3.49,3.67,3.41,3.50,39936
19-Apr-13,3.53,3.53,3.42,3.42,15074
18-Apr-13,3.41,3.72,3.41,3.53,48584
17-Apr-13,3.45,3.60,3.40,3.42,18913
16-Apr-13,3.46,3.57,3.41,3.47,13300
15-Apr-13,3.50,3.52,3.39,3.40,33065
12-Apr-13,3.55,3.62,3.44,3.51,57172
11-Apr-13,3.73,3.94,3.53,3.60,127368
10-Apr-13,3.48,4.95,3.48,3.86,997653
9-Apr-13,3.49,3.50,3.38,3.38,6558
8-Apr-13,3.54,3.54,3.45,3.46,7390
5-Apr-13,3.54,3.70,3.51,3.54,5917
4-Apr-13,3.51,3.60,3.51,3.51,9753
3-Apr-13,3.65,3.68,3.51,3.51,19094
2-Apr-13,3.62,3.76,3.61,3.64,8762
1-Apr-13,3.88,3.90,3.68,3.70,26156
28-Mar-13,3.95,4.09,3.88,3.92,14929
27-Mar-13,3.99,4.10,3.95,3.97,32953
26-Mar-13,3.96,4.05,3.95,3.97,9126
25-Mar-13,3.95,4.09,3.95,3.96,6763
22-Mar-13,3.96,4.10,3.96,3.98,6807
21-Mar-13,3.95,4.14,3.95,4.10,21214
20-Mar-13,4.01,4.04,3.90,3.98,8867
19-Mar-13,4.08,4.08,3.89,4.03,14630
18-Mar-13,3.98,4.00,3.88,3.92,7690
15-Mar-13,4.00,4.06,3.96,4.02,12471
14-Mar-13,4.06,4.13,3.92,4.00,22746
13-Mar-13,4.18,4.25,4.06,4.14,16226
12-Mar-13,4.45,4.45,4.07,4.12,20897
11-Mar-13,4.12,4.45,4.08,4.38,57713
8-Mar-13,3.90,4.14,3.83,4.08,74960
7-Mar-13,3.97,4.07,3.83,3.90,39238
6-Mar-13,3.91,4.09,3.88,3.97,15073
5-Mar-13,4.10,4.10,3.95,3.95,15275
4-Mar-13,4.05,4.10,4.00,4.01,26318
1-Mar-13,4.12,4.12,4.05,4.06,12645
28-Feb-13,4.11,4.24,4.11,4.13,4128
27-Feb-13,4.11,4.22,4.11,4.18,3213
26-Feb-13,4.05,4.24,4.05,4.10,7205
25-Feb-13,4.19,4.25,4.05,4.05,29330
22-Feb-13,4.21,4.28,4.12,4.16,16243
21-Feb-13,4.16,4.42,3.91,4.14,10724
20-Feb-13,4.28,4.50,4.19,4.24,43612
19-Feb-13,4.10,4.27,4.10,4.22,17190
15-Feb-13,4.20,4.35,4.11,4.14,29037
14-Feb-13,4.03,4.30,4.03,4.15,38385
13-Feb-13,4.33,4.33,4.11,4.13,40198
12-Feb-13,4.61,4.61,4.12,4.35,41089
11-Feb-13,4.62,4.62,4.35,4.49,107935
8-Feb-13,5.00,5.00,4.55,4.63,217110
7-Feb-13,5.89,5.90,5.00,5.04,1241040
6-Feb-13,4.42,4.49,4.02,4.39,116412
5-Feb-13,4.00,4.35,4.00,4.28,53819
4-Feb-13,4.02,4.08,3.96,4.00,9159
1-Feb-13,4.21,4.22,4.02,4.10,17014
31-Jan-13,4.21,4.28,4.02,4.14,11316
30-Jan-13,4.27,4.29,4.16,4.20,15931
29-Jan-13,4.29,4.33,4.27,4.27,7468
28-Jan-13,4.31,4.34,4.27,4.30,18881
25-Jan-13,4.37,4.37,4.28,4.30,3006
24-Jan-13,4.37,4.37,4.27,4.27,26590
23-Jan-13,4.39,4.45,4.36,4.36,10701
22-Jan-13,4.37,4.54,4.36,4.45,2050
18-Jan-13,4.53,4.68,4.43,4.56,6987
17-Jan-13,4.40,4.90,4.37,4.63,19045
16-Jan-13,4.40,4.45,4.37,4.41,6973
15-Jan-13,4.49,4.60,4.28,4.45,8820
14-Jan-13,4.51,4.54,4.30,4.45,11826
11-Jan-13,4.31,4.70,4.31,4.55,16382
10-Jan-13,4.31,4.45,4.31,4.44,3015
9-Jan-13,4.38,4.51,4.29,4.42,7495
8-Jan-13,4.30,4.48,4.20,4.44,25644
7-Jan-13,4.70,4.70,4.12,4.39,86818
4-Jan-13,4.68,5.26,4.67,4.71,31187
3-Jan-13,5.08,5.08,4.67,4.76,13852
2-Jan-13,5.79,5.85,5.20,5.30,16335
31-Dec-12,5.20,6.00,5.20,5.35,17527
28-Dec-12,4.76,5.35,4.52,5.29,39543
27-Dec-12,4.44,5.04,4.44,4.65,39270
26-Dec-12,4.32,4.77,4.32,4.68,13492
24-Dec-12,4.32,4.79,4.22,4.32,10249
21-Dec-12,4.79,4.79,4.32,4.32,6284
20-Dec-12,4.50,4.80,4.50,4.50,5294
19-Dec-12,4.46,4.80,4.46,4.56,10637
18-Dec-12,4.56,4.68,4.34,4.47,16615
17-Dec-12,4.80,4.80,4.56,4.62,12303
14-Dec-12,4.91,5.06,4.68,4.74,4986
13-Dec-12,4.92,5.09,4.68,4.92,7435
12-Dec-12,4.74,5.27,4.68,4.84,62870
11-Dec-12,4.68,4.92,4.44,4.68,7659
10-Dec-12,4.68,4.80,4.45,4.68,14152
7-Dec-12,4.20,4.56,4.20,4.50,5850
6-Dec-12,4.78,4.79,4.20,4.50,18750
5-Dec-12,4.70,4.92,4.57,4.80,9629
4-Dec-12,4.80,5.03,4.68,4.80,8452
3-Dec-12,4.80,5.26,4.76,5.03,7094
30-Nov-12,5.04,5.04,4.57,4.77,24312
29-Nov-12,5.16,5.16,4.80,4.92,20560
28-Nov-12,4.80,5.35,4.68,5.04,38696
27-Nov-12,4.80,4.92,4.56,4.68,7326
26-Nov-12,5.14,5.16,4.57,4.77,15895
23-Nov-12,4.92,5.16,4.68,4.92,12216
21-Nov-12,5.04,5.40,4.80,4.86,70571
20-Nov-12,4.27,5.16,4.08,4.56,40045
19-Nov-12,4.41,4.45,4.21,4.26,11506
16-Nov-12,4.44,4.80,4.44,4.44,7353
15-Nov-12,4.26,4.80,4.26,4.43,11120
14-Nov-12,4.92,5.64,4.36,4.68,20666
13-Nov-12,4.32,6.00,4.26,4.86,123366
12-Nov-12,3.84,4.32,3.84,4.02,12159
9-Nov-12,4.92,5.10,3.75,4.10,59876
